dataset,task,view,repetition,held_out_group,stim_n,stim_n_ties,stim_accuracy,stim_balanced_accuracy,stim_macro_f1,stim_auc,stim_log_loss,stim_brier,glob_n,glob_n_ties,glob_accuracy,glob_balanced_accuracy,glob_macro_f1,glob_auc,glob_log_loss,glob_brier,delta_ba_pp,delta_accuracy_pp,delta_macro_f1,delta_auc,logloss_gain,brier_gain,bits_per_trial,n,n_fallback_trials
DEAP,arousal,A_LOPO,0,s11,40,1,0.625,0.6866666666666666,0.6228786926461345,0.7613333333333333,0.6639391466713244,0.2328444405757645,40,0,0.375,0.5,0.2727272727272727,0.5,0.7553581759510573,0.28071952160493824,18.666666666666664,25.0,0.3501514199188618,0.2613333333333333,0.09141902927973289,0.04787508102917373,0.13188978018475359,40,0
DEAP,arousal,A_LOPO,0,s12,40,0,0.775,0.8073593073593073,0.7094430992736077,0.9025974025974026,0.5132619550753328,0.1639388497469837,40,0,0.825,0.5,0.4520547945205479,0.5,0.6056998978734407,0.2065893793519587,30.73593073593073,-4.999999999999993,0.2573883047530598,0.4025974025974026,0.09243794279810791,0.04265052960497501,0.13335976166480795,40,0
DEAP,arousal,A_LOPO,0,s13,40,0,0.75,0.7843137254901962,0.6666666666666667,0.8995098039215687,0.5224288804055479,0.16976611301441347,40,0,0.85,0.5,0.4594594594594595,0.5,0.5990032847927407,0.20325986399461748,28.431372549019617,-9.999999999999998,0.20720720720720726,0.39950980392156865,0.07657440438719276,0.03349375098020402,0.11047351346842908,40,0
DEAP,arousal,A_LOPO,0,s14,40,0,0.825,0.7905982905982906,0.7963636363636364,0.8888888888888888,0.4795405982653952,0.15077391467501006,40,0,0.675,0.5,0.40298507462686567,0.5,0.6494441639398922,0.22831019185996837,29.059829059829056,14.999999999999991,0.3933785617367707,0.38888888888888884,0.16990356567449705,0.07753627718495831,0.2451190316279492,40,0
DEAP,arousal,A_LOPO,0,s15,38,0,0.7105263157894737,0.7105263157894737,0.700358422939068,0.7326869806094183,0.6169970400049296,0.20887935427115542,38,0,0.5,0.5,0.3333333333333333,0.5,0.7081809082786454,0.2574049815179006,21.052631578947366,21.052631578947366,0.3670250896057347,0.23268698060941828,0.09118386827371583,0.04852562724674517,0.1315505145675623,38,0
DEAP,arousal,A_LOPO,0,s16,40,1,0.575,0.575,0.5615731785944552,0.63875,0.6950290243913854,0.24779206165763595,40,0,0.5,0.5,0.3333333333333333,0.5,0.7082308274110143,0.25742920057456536,7.499999999999996,7.499999999999996,0.2282398452611219,0.13875000000000004,0.013201803019628922,0.00963713891692941,0.01904617574721159,40,0
DEAP,arousal,A_LOPO,0,s17,39,0,0.8461538461538461,0.8125,0.8269230769230769,0.9277777777777778,0.45565953443451507,0.1396117499720606,39,0,0.6153846153846154,0.5,0.38095238095238093,0.5,0.668527090494709,0.23777114663761906,31.25,23.076923076923073,0.44597069597069594,0.4277777777777778,0.21286755606019397,0.09815939666555845,0.30710296749419524,39,0
DEAP,arousal,A_LOPO,0,s18,40,1,0.725,0.6866666666666666,0.6925227113906359,0.7813333333333333,0.5404775933765595,0.1788444351560628,40,0,0.625,0.5,0.38461538461538464,0.5,0.6653866734611374,0.2362147371203383,18.666666666666664,9.999999999999998,0.3079073267752513,0.2813333333333333,0.1249090800845779,0.057370301964275505,0.18020571040002292,40,0
DEAP,arousal,A_LOPO,0,s19,40,0,0.8,0.7720797720797721,0.7720797720797721,0.905982905982906,0.47538210247471824,0.14906166696212417,40,0,0.675,0.5,0.40298507462686567,0.5,0.6494441639398923,0.22831019185996837,27.20797720797721,12.5,0.3690946974529064,0.405982905982906,0.1740620614651741,0.0792485248978442,0.25111847288271666,40,0
DEAP,arousal,A_LOPO,0,s20,40,0,0.7,0.6487455197132617,0.6238244514106583,0.7204301075268817,0.5709820755498665,0.19283554752273813,40,0,0.775,0.5,0.43661971830985913,0.5,0.6196018382693274,0.21349751297577857,14.874551971326166,-7.500000000000007,0.18720473310079921,0.22043010752688175,0.04861976271946089,0.020661965453040443,0.07014349056456433,40,0
DEAP,arousal,A_LOPO,0,s21,40,0,0.65,0.59375,0.561128526645768,0.5234375,0.6589472913259382,0.23121099871290465,40,0,0.8,0.5,0.4444444444444444,0.5,0.61256604050406,0.21000192901234568,9.375,-15.000000000000002,0.11668408220132354,0.0234375,-0.04638125082187816,-0.02120906970055897,-0.06691400055095079,40,0
DEAP,arousal,A_LOPO,0,s22,39,0,0.7692307692307693,0.75,0.752990851513019,0.8208333333333333,0.5229502200422569,0.17117168913202507,39,0,0.6153846153846154,0.5,0.38095238095238093,0.5,0.668527090494709,0.237771146637619,25.0,15.384615384615385,0.3720384705606381,0.3208333333333333,0.14557687045245216,0.06659945750559393,0.2100230290698878,39,0
DEAP,arousal,A_LOPO,0,s23,37,1,0.4864864864864865,0.6166666666666667,0.4864864864864865,0.7351851851851852,0.7647290902012376,0.2799239008292655,37,0,0.2702702702702703,0.5,0.2127659574468085,0.5,0.7970964950122925,0.30132034671552005,11.66666666666667,21.62162162162162,0.27372052903967803,0.23518518518518516,0.032367404811054934,0.021396445886254556,0.04669629440735453,37,0
DEAP,arousal,A_LOPO,0,s24,40,0,0.625,0.5476190476190476,0.5157384987893463,0.6255411255411255,0.6482188888463483,0.2254856642417497,40,0,0.825,0.5,0.4520547945205479,0.5,0.6056998978734408,0.2065893793519587,4.761904761904756,-19.999999999999996,0.06368370426879838,0.1255411255411255,-0.042518990972907456,-0.018896284889791004,-0.06134193742021619,40,0
DEAP,arousal,A_LOPO,0,s25,39,0,0.5897435897435898,0.4948275862068966,0.4935064935064935,0.5775862068965517,0.6481339142391339,0.22766329377515554,39,0,0.7435897435897436,0.5,0.4264705882352941,0.5,0.628590876815026,0.21796247717297276,-0.5172413793103403,-15.384615384615385,0.0670359052711994,0.07758620689655171,-0.0195430374241079,-0.009700816602182777,-0.028194643175667892,39,0
DEAP,arousal,A_LOPO,0,s26,40,1,0.5,0.5345268542199488,0.48849104859335035,0.5549872122762148,0.7858058781001747,0.2857617889957408,40,0,0.425,0.5,0.2982456140350877,0.5,0.7359920270192465,0.2711542902836516,3.4526854219948833,7.500000000000001,0.19024543455826265,0.054987212276214836,-0.04981385108092817,-0.014607498712089162,-0.07186619592203641,40,0
DEAP,arousal,A_LOPO,0,s27,40,0,0.55,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.7222160028973376,0.26190823994924695,40,0,0.675,0.5,0.40298507462686567,0.5,0.6494441639398923,0.22831019185996837,-1.282051282051283,-12.5,0.0841944125526215,-0.01282051282051283,-0.07277183895744521,-0.033598048089278576,-0.10498757118027649,40,0
DEAP,arousal,A_LOPO,0,s28,38,1,0.7368421052631579,0.7472222222222222,0.7301136363636364,0.8611111111111112,0.539017854722481,0.17819279099181143,38,0,0.47368421052631576,0.5,0.32142857142857145,0.5,0.7177093810311994,0.2621180184046441,24.72222222222222,26.31578947368421,0.4086850649350649,0.36111111111111116,0.17869152630871843,0.08392522741283268,0.2577973788544678,38,0
DEAP,arousal,A_LOPO,0,s29,38,1,0.8947368421052632,0.8830769230769231,0.8830769230769231,0.9276923076923077,0.44634498257792204,0.13368948891167065,38,0,0.6578947368421053,0.5,0.3968253968253968,0.5,0.6547819010918904,0.2309577423055682,38.30769230769231,23.684210526315784,0.4862515262515263,0.4276923076923077,0.20843691851396834,0.09726825339389755,0.3007109086782791,38,0
DEAP,arousal,A_LOPO,0,s30,39,0,0.5897435897435898,0.593421052631579,0.5828877005347594,0.6223684210526316,0.694903636362242,0.2454564547045352,39,0,0.48717948717948717,0.5,0.3275862068965517,0.5,0.7128336901932563,0.25970628050278205,9.342105263157896,10.256410256410259,0.25530149363820764,0.12236842105263157,0.017930053831014314,0.014249825798246851,0.025867599744876513,39,0
DEAP,arousal,A_LOPO,0,s31,39,1,0.6666666666666666,0.6723684210526316,0.6520247083047358,0.7789473684210526,0.6011484307642423,0.206566507830906,39,0,0.48717948717948717,0.5,0.3275862068965517,0.5,0.7128336901932563,0.25970628050278205,17.23684210526316,17.948717948717945,0.3244385014081841,0.2789473684210526,0.11168525942901397,0.05313977267187606,0.1611277699186358,39,0
DEAP,arousal,A_LOPO,0,s32,39,0,0.5641025641025641,0.5,0.4996226415094339,0.558641975308642,0.6861865889186175,0.24504194387476685,39,0,0.6923076923076923,0.5,0.4090909090909091,0.5,0.6440420653687647,0.2256307692307692,0.0,-12.82051282051282,0.0905317324185248,0.058641975308642014,-0.042144523549852764,-0.019411174643997664,-0.06080169512600072,39,0
DEAP,arousal,B_SUBJECT_FOLD,0,0,436,0,0.6330275229357798,0.6148105503315636,0.6126510305614783,0.6652380647775006,0.6545240085608202,0.2288816495429521,436,0,0.5573394495412844,0.5,0.35787923416789397,0.5,0.6898318912616398,0.24830282308302187,11.481055033156363,7.568807339449535,0.2547717963935843,0.16523806477750058,0.03530788270081964,0.01942117354006978,0.05093850727676171,436,0
DEAP,arousal,B_SUBJECT_FOLD,0,1,431,0,0.6751740139211136,0.6499864204236827,0.6520987084870848,0.684931196813326,0.6257417335694584,0.21602709489380836,431,0,0.6102088167053364,0.5,0.37896253602305474,0.5,0.6720433395361911,0.23950083148658755,14.998642042368271,6.49651972157772,0.2731361724640301,0.18493119681332604,0.04630160596673272,0.023473736592779182,0.06679909731340013,431,0
DEAP,arousal,B_SUBJECT_FOLD,0,2,396,0,0.6893939393939394,0.6601731601731602,0.6618603650197505,0.7061524334251607,0.6122091927838781,0.21030731623003127,396,0,0.5833333333333334,0.5,0.3684210526315789,0.5,0.6791933418424118,0.2430555924242746,16.01731601731602,10.606060606060607,0.2934393123881716,0.20615243342516065,0.06698414905853367,0.032748276194243336,0.09663769966491366,396,0
DEAP,valence,A_LOPO,0,s01,40,0,0.575,0.5776942355889725,0.5747342088805503,0.5889724310776943,0.9027833884964818,0.2915498981208991,40,0,0.475,0.5,0.3220338983050847,0.5,0.7074314746018862,0.2570938775510204,7.769423558897248,9.999999999999998,0.25270031057546555,0.08897243107769426,-0.1953519138945956,-0.034456020569878676,-0.28183323740390087,40,0
DEAP,valence,A_LOPO,0,s02,37,0,0.7567567567567568,0.7530303030303029,0.7501875468867216,0.9,0.4136236830541551,0.13451275520691736,37,0,0.5945945945945946,0.5,0.3728813559322034,0.5,0.6777236505667569,0.24231605672638865,25.303030303030294,16.216216216216218,0.37730619095451823,0.4,0.2640999675126018,0.10780330151947129,0.38101571342936696,37,0
DEAP,valence,A_LOPO,0,s03,40,1,0.8,0.797979797979798,0.797979797979798,0.8939393939393939,0.41166782141194574,0.12276727829129452,40,0,0.55,0.5,0.3548387096774194,0.5,0.6883583256460136,0.24760832986255724,29.7979797979798,25.0,0.44314108830237864,0.3939393939393939,0.2766905042340679,0.12484105157126271,0.39918001831955646,40,0
DEAP,valence,A_LOPO,0,s04,40,0,0.725,0.75,0.7248280175109443,0.8893229166666666,0.49520488992178463,0.16162836862688246,40,0,0.4,0.5,0.2857142857142857,0.5,0.728023089204082,0.26732611411911705,25.0,32.49999999999999,0.4391137317966586,0.38932291666666663,0.23281819928229736,0.1056977454922346,0.3358856615332688,40,0
DEAP,valence,A_LOPO,0,s05,40,0,0.7,0.6979166666666667,0.6930946291560103,0.8033854166666666,0.5361515753484765,0.17709519802009263,40,0,0.6,0.5,0.375,0.5,0.6764850813100199,0.24169945855893377,19.791666666666675,9.999999999999998,0.3180946291560103,0.30338541666666663,0.14033350596154348,0.06460426053884114,0.20245845312128058,40,0
DEAP,valence,A_LOPO,0,s06,40,0,0.675,0.7166666666666667,0.6484110885733604,0.82,0.5720192217551906,0.18826728642084706,40,0,0.75,0.5,0.42857142857142855,0.5,0.6448991866184862,0.2259640149937526,21.666666666666668,-7.499999999999996,0.21983966000193184,0.31999999999999995,0.07287996486329562,0.03769672857290554,0.1051435638884385,40,0
DEAP,valence,A_LOPO,0,s07,40,1,0.7,0.7142857142857143,0.6799999999999999,0.7916666666666666,0.5660244175380262,0.18415855975266288,40,0,0.7,0.5,0.4117647058823529,0.5,0.6547562648028583,0.23087730112453145,21.42857142857143,0.0,0.268235294117647,0.29166666666666663,0.08873184726483208,0.04671874137186857,0.12801299601789018,40,0
DEAP,valence,A_LOPO,0,s08,40,1,0.725,0.7196969696969697,0.7206349206349206,0.8573232323232324,0.45923676553327475,0.15021346065341729,40,0,0.55,0.5,0.3548387096774194,0.5,0.6883583256460137,0.24760832986255724,21.969696969696972,17.499999999999993,0.36579621095750126,0.3573232323232324,0.229121560112739,0.09739486920913995,0.33055253853539107,40,0
DEAP,valence,A_LOPO,0,s09,39,1,0.717948717948718,0.7157894736842105,0.7149501661129568,0.7947368421052632,0.5439343381308055,0.17265633227987304,39,0,0.5128205128205128,0.5,0.3389830508474576,0.5,0.697615890767728,0.2522133543104872,21.578947368421055,20.512820512820518,0.3759671152654992,0.2947368421052632,0.1536815526369225,0.07955702203061416,0.2217156138654043,39,0
DEAP,valence,A_LOPO,0,s10,40,1,0.75,0.75,0.7493734335839599,0.90375,0.4183936944790302,0.1342073878776629,40,0,0.5,0.5,0.3333333333333333,0.5,0.700905182859096,0.2538490628904623,25.0,25.0,0.4160401002506266,0.40375000000000005,0.2825114883800658,0.11964167501279938,0.4075779232800809,40,0
DEAP,valence,A_LOPO,0,s11,40,0,0.75,0.75,0.7442455242966752,0.9231770833333334,0.37903803873479147,0.11986624746403125,40,0,0.6,0.5,0.375,0.5,0.6764850813100199,0.24169945855893377,25.0,15.000000000000002,0.36924552429667523,0.42317708333333337,0.29744704257522847,0.12183321109490251,0.4291253732503705,40,0
DEAP,valence,A_LOPO,0,s12,40,0,0.85,0.849624060150376,0.849624060150376,0.9624060150375939,0.3272140969430731,0.09467784508369825,40,0,0.525,0.5,0.3442622950819672,0.5,0.6945475014690826,0.25068721366097463,34.962406015037594,32.49999999999999,0.5053617650684088,0.46240601503759393,0.36733340452600954,0.15600936857727637,0.5299500810625335,40,0
DEAP,valence,A_LOPO,0,s13,39,0,0.7948717948717948,0.8048128342245989,0.7947368421052632,0.9117647058823529,0.44750323161161987,0.1388267583203075,39,0,0.4358974358974359,0.5,0.30357142857142855,0.5,0.7179231001111818,0.262308652219575,30.481283422459892,35.89743589743589,0.49116541353383464,0.4117647058823529,0.2704198684995619,0.1234818938992675,0.39013340324216356,39,0
DEAP,valence,A_LOPO,0,s14,40,1,0.825,0.825,0.8240100565681961,0.955,0.3294270206152411,0.09588554092461918,40,0,0.5,0.5,0.3333333333333333,0.5,0.700905182859096,0.2538490628904623,32.49999999999999,32.49999999999999,0.49067672323486283,0.45499999999999996,0.3714781622438549,0.1579635219658431,0.5359297024677552,40,0
DEAP,valence,A_LOPO,0,s15,40,1,0.85,0.85,0.8484848484848485,0.95875,0.3220015997145088,0.08989746494582104,40,0,0.5,0.5,0.3333333333333333,0.5,0.700905182859096,0.25384906289046233,35.0,35.0,0.5151515151515151,0.45875,0.37890358314458716,0.1639515979446413,0.546642320377755,40,0
DEAP,valence,A_LOPO,0,s16,40,1,0.45,0.4666666666666667,0.44862155388471175,0.5173333333333333,1.0939108488536977,0.35523630040548404,40,0,0.375,0.5,0.2727272727272727,0.5,0.7352249094569934,0.27090279050395666,-3.3333333333333326,7.500000000000001,0.17589428115743905,0.01733333333333331,-0.35868593939670435,-0.08433350990152738,-0.5174744260042247,40,0
DEAP,valence,A_LOPO,0,s17,40,1,0.725,0.7247474747474747,0.7234443746071653,0.8345959595959596,0.5051865674547408,0.1638293433602331,40,0,0.55,0.5,0.3548387096774194,0.5,0.6883583256460136,0.24760832986255724,22.47474747474747,17.499999999999993,0.3686056649297459,0.33459595959595956,0.18317175819127285,0.08377898650232413,0.2642609871734617,40,0
DEAP,valence,A_LOPO,0,s18,38,0,0.8157894736842105,0.8392857142857143,0.8125440451021846,0.9419642857142857,0.35839427716140004,0.1064256288208897,38,0,0.631578947368421,0.5,0.3870967741935484,0.5,0.6692969007822616,0.23812076930049866,33.92857142857143,18.42105263157895,0.4254472709086362,0.4419642857142857,0.3109026236208615,0.13169514047960895,0.4485376732971848,38,0
DEAP,valence,A_LOPO,0,s19,40,1,0.775,0.7736572890025575,0.7714285714285715,0.9245524296675192,0.3680898034150685,0.11379616462389078,40,0,0.575,0.5,0.36507936507936506,0.5,0.6823375525557346,0.24461241149521032,27.365728900255746,20.000000000000007,0.4063492063492064,0.42455242966751916,0.3142477491406661,0.13081624687131954,0.453363669295758,40,0
DEAP,valence,A_LOPO,0,s20,40,1,0.875,0.8759590792838874,0.873015873015873,0.9808184143222506,0.2893843896470796,0.07773209765263686,40,0,0.575,0.5,0.36507936507936506,0.5,0.6823375525557347,0.24461241149521032,37.59590792838874,30.000000000000004,0.5079365079365079,0.4808184143222506,0.3929531629086551,0.16688031384257346,0.5669115794299497,40,0
DEAP,valence,A_LOPO,0,s21,40,1,0.65,0.6466165413533835,0.6464646464646464,0.7631578947368421,0.6258119358997096,0.21141552677919773,40,0,0.525,0.5,0.3442622950819672,0.5,0.6945475014690826,0.25068721366097463,14.661654135338352,12.5,0.3022023513826792,0.26315789473684215,0.06873556556937299,0.0392716868817769,0.0991644595796326,40,0
DEAP,valence,A_LOPO,0,s22,38,0,0.8421052631578947,0.8472222222222222,0.8416666666666667,0.9111111111111111,0.41151592591109226,0.12346560549145093,38,0,0.47368421052631576,0.5,0.32142857142857145,0.5,0.707726951218719,0.257241028865846,34.72222222222222,36.84210526315789,0.5202380952380952,0.4111111111111111,0.2962110253076267,0.13377542337439507,0.4273421772679483,38,0
DEAP,valence,A_LOPO,0,s23,39,0,0.717948717948718,0.7307692307692308,0.7055593685655457,0.8284023668639053,0.5128670026148737,0.17159876087321863,39,0,0.6666666666666666,0.5,0.4,0.5,0.661660529602992,0.23431743748597314,23.076923076923084,5.128205128205132,0.30555936856554566,0.32840236686390534,0.14879352698811832,0.06271867661275451,0.21466368350213644,39,0
DEAP,valence,A_LOPO,0,s24,39,1,0.7948717948717948,0.8015873015873016,0.7947368421052632,0.9193121693121693,0.4061616238804432,0.12625992274423675,39,0,0.46153846153846156,0.5,0.3157894736842105,0.5,0.7109811883184101,0.25885856480566916,30.15873015873016,33.33333333333333,0.4789473684210527,0.4193121693121693,0.3048195644379669,0.1325986420614324,0.43976167398058863,39,0
DEAP,valence,A_LOPO,0,s25,38,1,0.7894736842105263,0.7894736842105263,0.788888888888889,0.8767313019390581,0.4440989120645096,0.1363818794674506,38,0,0.5,0.5,0.3333333333333333,0.5,0.7008797160933241,0.2538365252346517,28.947368421052634,28.947368421052634,0.45555555555555566,0.3767313019390581,0.25678080402881454,0.11745464576720113,0.3704563925678515,38,0
DEAP,valence,A_LOPO,0,s26,40,0,0.75,0.7582417582417582,0.7395833333333333,0.8736263736263736,0.44400896323378625,0.14527226780417174,40,0,0.65,0.5,0.3939393939393939,0.5,0.6652846504952875,0.2361224489795918,25.82417582417582,9.999999999999998,0.34564393939393934,0.37362637362637363,0.22127568726150126,0.09085018117542007,0.31923333668146503,40,0
DEAP,valence,A_LOPO,0,s27,40,0,0.55,0.5666666666666667,0.52,0.6716666666666666,0.7666059945866608,0.26966295784059213,40,0,0.75,0.5,0.42857142857142855,0.5,0.6448991866184862,0.22596401499375265,6.666666666666665,-19.999999999999996,0.09142857142857147,0.17166666666666663,-0.12170680796817457,-0.04369894284683948,-0.17558580829811082,40,0
DEAP,valence,A_LOPO,0,s28,40,1,0.775,0.78,0.7678916827852997,0.8946666666666667,0.4110396986766952,0.13114554433903125,40,0,0.625,0.5,0.38461538461538464,0.5,0.6708008129609327,0.23886947105372763,28.000000000000004,15.000000000000002,0.3832762981699151,0.3946666666666667,0.25976111428423754,0.10772392671469638,0.3747560713936608,40,0
DEAP,valence,A_LOPO,0,s29,40,1,0.775,0.7736572890025575,0.7714285714285715,0.8797953964194374,0.42735593425974666,0.13275687246403126,40,0,0.575,0.5,0.36507936507936506,0.5,0.6823375525557347,0.24461241149521032,27.365728900255746,20.000000000000007,0.4063492063492064,0.3797953964194374,0.25498161829598803,0.11185553903117906,0.3678607162334645,40,0
DEAP,valence,A_LOPO,0,s30,40,0,0.725,0.7564102564102564,0.7163120567375887,0.8262108262108262,0.5420539099316695,0.17650555141174196,40,0,0.675,0.5,0.40298507462686567,0.5,0.6599364988292201,0.23345839233652646,25.64102564102564,4.999999999999993,0.313326982110723,0.3262108262108262,0.11788258889755066,0.056952840924784504,0.1700686264096487,40,0
DEAP,valence,A_LOPO,0,s31,37,0,0.7297297297297297,0.7267080745341614,0.7196969696969697,0.8524844720496895,0.4695275588609891,0.1547881138935176,37,0,0.6216216216216216,0.5,0.38333333333333336,0.5,0.6715191716027881,0.2392273437627699,22.670807453416142,10.81081081081081,0.33636363636363636,0.35248447204968947,0.20199161274179894,0.08443922986925231,0.2914122980037573,37,0
DEAP,valence,A_LOPO,0,s32,40,0,0.825,0.825,0.8248905565978737,0.9425,0.3568406575932029,0.10523188425188246,40,0,0.5,0.5,0.3333333333333333,0.5,0.700905182859096,0.25384906289046233,32.49999999999999,32.49999999999999,0.4915572232645404,0.4425,0.3440645252658931,0.14861717863857987,0.49638018434691944,40,0
DEAP,valence,B_SUBJECT_FOLD,0,0,437,0,0.7345537757437071,0.729327208061648,0.7302813604052272,0.7861165212973156,0.598253988819656,0.18793461219866908,437,0,0.551487414187643,0.5,0.3554572271386431,0.5,0.6881855421158604,0.2475213410065456,22.932720806164795,18.306636155606405,0.3748241332665841,0.2861165212973156,0.08993155329620439,0.05958672880787652,0.12974380595987559,437,0
DEAP,valence,B_SUBJECT_FOLD,0,1,427,0,0.810304449648712,0.8118156325113506,0.8089464351803262,0.8769585150894685,0.4387629775758954,0.13847371162450697,427,0,0.5597189695550351,0.5,0.3588588588588589,0.5,0.6859980134486556,0.24643394013306047,31.18156325113506,25.058548009367687,0.4500875763214673,0.37695851508946854,0.24723503587276024,0.1079602285085535,0.3566847601876362,427,0
DEAP,valence,B_SUBJECT_FOLD,0,2,400,0,0.775,0.773357813137495,0.7717126623376623,0.8564871481028152,0.46732383208741735,0.1477659756534379,400,0,0.57,0.5,0.3630573248407643,0.5,0.6837421574913312,0.24531050152026457,27.335781313749496,20.500000000000007,0.40865533749689803,0.35648714810281523,0.2164183254039138,0.09754452586682666,0.3122256448177204,400,0
DEJAVU,arousal,A_LOPO,0,P001,3,0,0.3333333333333333,,0.25,,0.6828411674255087,0.24909614771250985,3,0,0.0,,0.0,,0.8163798209838934,0.31133165301407273,,33.33333333333333,0.25,,0.13353865355838468,0.06223550530156288,0.1926555532556709,3,1
DEJAVU,arousal,A_LOPO,0,P002,5,0,0.6,,0.375,,0.969885896443912,0.30949305555555556,5,5,0.0,,0.0,,0.6931471805599453,0.25,,60.0,0.375,,-0.2767387158839667,-0.05949305555555556,-0.3992495730277786,5,0
DEJAVU,arousal,A_LOPO,0,P003,3,2,0.3333333333333333,0.5,0.25,0.25,0.7539210328245969,0.2800925925925926,3,0,0.3333333333333333,0.5,0.25,0.5,0.726001163050746,0.2663831127914304,0.0,0.0,0.0,-0.25,-0.02791986977385086,-0.013709479801162217,-0.0402798576650003,3,0
DEJAVU,arousal,A_LOPO,0,P004,1,0,0.0,,0.0,,1.203972804325936,0.48999999999999994,1,0,0.0,,0.0,,0.7814397877056237,0.2940388811743702,,0.0,0.0,,-0.4225330166203122,-0.19596111882562972,-0.6095862876899784,1,0
DEJAVU,arousal,A_LOPO,0,P005,2,1,0.5,0.5,0.3333333333333333,0.0,0.9485599924429406,0.37,2,0,0.5,0.5,0.3333333333333333,0.5,0.6957047308933305,0.2512755102040816,0.0,0.0,0.0,-0.5,-0.25285526154961013,-0.11872448979591838,-0.3647930319003043,2,0
DEJAVU,arousal,A_LOPO,0,P006,2,1,0.0,,0.0,,0.9485599924429406,0.37,2,0,0.0,,0.0,,0.7985076962177717,0.30250000000000005,,0.0,0.0,,-0.1500522962251689,-0.06749999999999995,-0.2164797036380529,2,0
