dataset,task,view,repetition,stim_n,stim_n_ties,stim_accuracy,stim_balanced_accuracy,stim_macro_f1,stim_auc,stim_log_loss,stim_brier,glob_n,glob_n_ties,glob_accuracy,glob_balanced_accuracy,glob_macro_f1,glob_auc,glob_log_loss,glob_brier,delta_ba_pp,delta_accuracy_pp,delta_macro_f1,delta_auc,logloss_gain,brier_gain,bits_per_trial,n,subject_macro_ba_stimulus,subject_macro_ba_global,subject_macro_ba_valid_denominator,subject_macro_ba_undefined_participants,subject_macro_accuracy_stimulus,subject_macro_accuracy_global,subject_macro_accuracy_denominator,n_participants,n_fallback_trials,fallback_trial_fraction,trial_weighted_overlap_fraction_pooled,unique_stimulus_overlap_fraction_mean_over_folds,n_stimuli,class_balance_high_fraction,fold_provenance
DEJAVU,valence,A_LOPO,0,75.0,0.0,0.8533333333333334,0.8031732418524871,0.8153949429402552,0.9223842195540308,0.3239462419621257,0.09945547670102887,75.0,0.0,0.7066666666666667,0.5,0.4140625,0.2062607204116638,0.6174550100465266,0.212350621786078,30.317324185248708,14.666666666666671,0.40133244294025516,0.7161234991423671,0.2935087680844009,0.11289514508504912,0.42344364417279406,75.0,0.9035714285714286,0.5,14.0,10.0,0.8277777777777778,0.6958333333333332,24.0,24.0,4.0,0.05333333333333334,0.9466666666666667,0.9666666666666667,16.0,0.29333333333333333,leave_one_participant_out
DEJAVU,valence,B_SUBJECT_FOLD,0,75.0,0.0,0.8666666666666667,0.8259005145797599,0.8346560846560847,0.9322469982847341,0.33792816216651744,0.10307670767267209,75.0,0.0,0.7066666666666667,0.5,0.4140625,0.43567753001715265,0.6151783814608186,0.21153816896102068,32.59005145797599,16.000000000000004,0.42059358465608465,0.49656946826758147,0.27725021929430116,0.10846146128834859,0.3999875164612659,75.0,0.9214285714285715,0.5,14.0,10.0,0.8361111111111109,0.6958333333333332,24.0,24.0,6.0,0.08,0.92,0.8888888888888888,16.0,0.29333333333333333,"shared:01351073683eaa6c4469bf8b8728227a184b1ac4:folds/dejavu_joint_cv_repeated_assignments.csv (participant, rep=0)"
DEJAVU,valence,B_SUBJECT_FOLD,1,75.0,9.0,0.88,0.822041166380789,0.8440748440748441,0.9382504288164666,0.313603087656895,0.09323254153989437,75.0,0.0,0.7066666666666667,0.5,0.4140625,0.4485420240137221,0.6098824170341369,0.20926778635400783,32.204116638078894,17.333333333333336,0.4300123440748441,0.48970840480274447,0.29627932937724194,0.11603524481411347,0.42744071921045473,75.0,0.9035714285714286,0.5,14.0,10.0,0.8555555555555555,0.6958333333333332,24.0,24.0,4.0,0.05333333333333334,0.9466666666666667,0.888888888888889,16.0,0.29333333333333333,"shared:01351073683eaa6c4469bf8b8728227a184b1ac4:folds/dejavu_joint_cv_repeated_assignments.csv (participant, rep=1)"
DEJAVU,valence,B_SUBJECT_FOLD,2,75.0,5.0,0.8666666666666667,0.8126072041166381,0.8295454545454546,0.885934819897084,0.36882529872919073,0.11388222679631956,75.0,0.0,0.7066666666666667,0.5,0.4140625,0.42452830188679247,0.6156840203411411,0.2117408568438194,31.26072041166381,16.000000000000004,0.4154829545454546,0.46140651801029153,0.24685872161195038,0.09785863004749985,0.35614185346975,75.0,0.9035714285714286,0.5,14.0,10.0,0.8416666666666667,0.6958333333333332,24.0,24.0,6.0,0.08,0.92,0.8958333333333334,16.0,0.29333333333333333,"shared:01351073683eaa6c4469bf8b8728227a184b1ac4:folds/dejavu_joint_cv_repeated_assignments.csv (participant, rep=2)"
DEJAVU,valence,B_SUBJECT_FOLD,3,75.0,7.0,0.8533333333333334,0.7765866209262435,0.8026787849796699,0.8850771869639794,0.35551016877191133,0.10685902516667672,75.0,0.0,0.7066666666666667,0.5,0.4140625,0.4228130360205832,0.6157674896222114,0.21162665737161587,27.658662092624354,14.666666666666671,0.38861628497966993,0.46226415094339623,0.26025732085030007,0.10476763220493915,0.3754719461457757,75.0,0.8589285714285715,0.5,14.0,10.0,0.8333333333333334,0.6958333333333332,24.0,24.0,4.0,0.05333333333333334,0.9466666666666667,0.9047619047619048,16.0,0.29333333333333333,"shared:01351073683eaa6c4469bf8b8728227a184b1ac4:folds/dejavu_joint_cv_repeated_assignments.csv (participant, rep=3)"
DEJAVU,valence,B_SUBJECT_FOLD,4,75.0,10.0,0.8533333333333334,0.7898799313893654,0.8094248094248094,0.8692109777015438,0.38020592243368445,0.11632418782473039,75.0,0.0,0.7066666666666667,0.5,0.4140625,0.3893653516295026,0.6259038166263181,0.21617940063470484,28.98799313893654,14.666666666666671,0.39536230942480943,0.4798456260720412,0.24569789419263366,0.09985521280997445,0.35446713350857384,75.0,0.8857142857142858,0.5,14.0,10.0,0.8277777777777778,0.6958333333333332,24.0,24.0,4.0,0.05333333333333334,0.9466666666666667,0.9010989010989011,16.0,0.29333333333333333,"shared:01351073683eaa6c4469bf8b8728227a184b1ac4:folds/dejavu_joint_cv_repeated_assignments.csv (participant, rep=4)"
IDARE,arousal,A_LOPO,0,1799.0,0.0,0.8143413007226237,0.7861211031175059,0.7952756388415673,0.8380188862010828,0.4575340245523614,0.1435900981224646,1799.0,0.0,0.6181211784324625,0.5,0.38199931295087597,0.27644238321133485,0.6676050683127482,0.23728798372343574,28.612110311750595,19.622012229016118,0.4132763258906913,0.5615765029897479,0.21007104376038682,0.09369788560097114,0.3030684530674785,1799.0,0.8317471212945403,0.5,59.0,4.0,0.8131768765430479,0.6164196143032619,63.0,63.0,0.0,0.0,1.0,1.0,32.0,0.3818788215675375,leave_one_participant_out
IDARE,arousal,B_SUBJECT_FOLD,0,1799.0,36.0,0.8143413007226237,0.7861211031175059,0.7952756388415673,0.841640879436189,0.4659421895213823,0.14471075727472726,1799.0,0.0,0.6181211784324625,0.5,0.38199931295087597,0.4690010000733038,0.6671521140223722,0.2370790634695036,28.612110311750595,19.622012229016118,0.4132763258906913,0.37263987936288523,0.2012099245009899,0.09236830619477635,0.29028456025522087,1799.0,0.8317471212945403,0.5,59.0,4.0,0.8131768765430479,0.6164196143032619,63.0,63.0,0.0,0.0,1.0,1.0,32.0,0.3818788215675375,configs/cv/folds/idare_subject_folds.csv
IDARE,valence,A_LOPO,0,1667.0,0.0,0.9562087582483503,0.9558854031630801,0.9561480984993036,0.9813384034799643,0.14288893607812012,0.03744964641363943,1667.0,0.0,0.5128974205158968,0.5,0.33901665344964316,0.42439143836603,0.6931122612743943,0.24998246080286074,45.58854031630801,44.33113377324535,0.6171314450496604,0.5569469651139343,0.5502233251962741,0.2125328143892213,0.7938044626421001,1667.0,0.9607835265951143,0.5,63.0,0.0,0.9580971209514426,0.5130353424355923,63.0,63.0,0.0,0.0,1.0,1.0,32.0,0.5128974205158968,leave_one_participant_out
IDARE,valence,B_SUBJECT_FOLD,0,1667.0,0.0,0.9562087582483503,0.9558854031630801,0.9561480984993036,0.9831468037910869,0.14231954382733705,0.03681426817826583,1667.0,0.0,0.5128974205158968,0.5,0.33901665344964316,0.48360700602079915,0.6933912367167624,0.25012181413527385,45.58854031630801,44.33113377324535,0.6171314450496604,0.49953979777028773,0.5510716928894254,0.21330754595700802,0.7950283985058598,1667.0,0.9607835265951143,0.5,63.0,0.0,0.9580971209514426,0.5130353424355923,63.0,63.0,0.0,0.0,1.0,1.0,32.0,0.5128974205158968,configs/cv/folds/idare_subject_folds.csv
PRIMARY4_MACRO_DEAP_IDARE_ONLY,both,A_LOPO,0,,,,0.7751283996833312,0.777354034116716,0.8304728595935813,0.43039436825170635,,,,,0.5,,,0.6825329963404319,,27.512839968333125,,,,0.25213862808872545,0.10560279603688165,0.3637591483601509,,,,,,,,,,,,1.0,,,,
