model,modality,task,fold,subject_id,n,mean_abs_error,rmse,target_mean,pred_mean
mean_baseline_no_training,EEG,arousal,4,25,32,0.2570564516129032,0.2927486002973654,0.5,0.5
mean_baseline_no_training,EEG,arousal,4,36,32,0.2540322580645161,0.29485154733116054,0.5,0.5
mean_baseline_no_training,EEG,arousal,4,40,32,0.25705645161290325,0.2916078182542669,0.5,0.5
mean_baseline_no_training,EEG,arousal,4,42,32,0.24899193548387097,0.2939402736872193,0.5,0.5
mean_baseline_no_training,EEG,arousal,4,53,32,0.25705645161290325,0.29424434514771014,0.5,0.5
mean_baseline_no_training,EEG,arousal,4,55,32,0.24899193548387097,0.28234445682479375,0.5,0.5
mean_baseline_no_training,EEG,arousal,4,61,32,0.2570564516129032,0.2844957384252038,0.5,0.5
mean_baseline_no_training,EEG,arousal,5,14,32,0.25705645161290325,0.2908541280940403,0.5,0.5
mean_baseline_no_training,EEG,arousal,5,23,32,0.24899193548387097,0.29490668553591204,0.5,0.5
mean_baseline_no_training,EEG,arousal,5,24,32,0.25705645161290325,0.29460329770335214,0.5,0.5
mean_baseline_no_training,EEG,arousal,5,27,32,0.25806451612903225,0.291775040566541,0.5,0.5
mean_baseline_no_training,EEG,arousal,5,29,32,0.2570564516129032,0.293857290500033,0.5,0.5
mean_baseline_no_training,EEG,arousal,5,30,32,0.24899193548387094,0.2927486002973654,0.5,0.5
mean_baseline_no_training,EEG,arousal,5,37,32,0.22177419354838712,0.28648902690857436,0.5,0.5
mean_baseline_no_training,EEG,arousal,5,56,32,0.25806451612903225,0.29416144773934644,0.5,0.5
mean_baseline_no_training,EEG,arousal,5,60,32,0.25806451612903225,0.29238737081102095,0.5,0.5
mean_baseline_no_training,EEG,arousal,5,64,32,0.25806451612903225,0.292025694491934,0.5,0.5
mean_baseline_no_training,EEG,arousal,6,12,32,0.2570564516129032,0.28023468312732347,0.5,0.5
mean_baseline_no_training,EEG,arousal,6,15,32,0.2570564516129032,0.2936912537843571,0.5,0.5
mean_baseline_no_training,EEG,arousal,6,16,32,0.25705645161290325,0.2948791177222939,0.5,0.5
mean_baseline_no_training,EEG,arousal,6,18,32,0.25806451612903225,0.2947412399770079,0.5,0.5
mean_baseline_no_training,EEG,arousal,6,21,32,0.25806451612903225,0.2933311851527937,0.5,0.5
mean_baseline_no_training,EEG,arousal,6,22,32,0.25705645161290325,0.2888065254753223,0.5,0.5
mean_baseline_no_training,EEG,arousal,6,32,32,0.2540322580645161,0.29449289736306794,0.5,0.5
mean_baseline_no_training,EEG,arousal,6,33,32,0.2570564516129032,0.2929151713494194,0.5,0.5
mean_baseline_no_training,EEG,arousal,6,41,32,0.23286290322580644,0.26798594594053643,0.5,0.5
mean_baseline_no_training,EEG,arousal,6,50,32,0.25705645161290325,0.29460329770335214,0.5,0.5
mean_baseline_no_training,EEG,valence,1,6,32,0.25705645161290325,0.2928041345101949,0.5,0.5
mean_baseline_no_training,EEG,valence,1,7,32,0.24899193548387097,0.29263750025530083,0.5,0.5
mean_baseline_no_training,EEG,valence,1,8,32,0.25806451612903225,0.2955125267834718,0.5,0.5
mean_baseline_no_training,EEG,valence,1,13,32,0.24899193548387094,0.2909379678636685,0.5,0.5
mean_baseline_no_training,EEG,valence,1,28,32,0.24899193548387097,0.2907702641503217,0.5,0.5
mean_baseline_no_training,EEG,valence,1,38,32,0.248991935483871,0.2888909594854511,0.5,0.5
mean_baseline_no_training,EEG,valence,1,43,32,0.25806451612903225,0.29457570149724,0.5,0.5
mean_baseline_no_training,EEG,valence,1,54,32,0.2540322580645161,0.2939402736872193,0.5,0.5
mean_baseline_no_training,EEG,valence,1,58,32,0.25806451612903225,0.29520976157617945,0.5,0.5
mean_baseline_no_training,EEG,valence,1,59,32,0.25705645161290325,0.2947963988134555,0.5,0.5
mean_baseline_no_training,EEG,valence,1,65,32,0.2570564516129032,0.2936912537843571,0.5,0.5
mean_baseline_no_training,EEG,valence,2,2,32,0.25806451612903225,0.29457570149724,0.5,0.5
mean_baseline_no_training,EEG,valence,2,5,32,0.25806451612903225,0.29482397436178887,0.5,0.5
mean_baseline_no_training,EEG,valence,2,11,32,0.2540322580645161,0.29219267765310186,0.5,0.5
mean_baseline_no_training,EEG,valence,2,17,32,0.2540322580645161,0.2947963988134555,0.5,0.5
mean_baseline_no_training,EEG,valence,2,26,32,0.25705645161290325,0.2929984213642734,0.5,0.5
mean_baseline_no_training,EEG,valence,2,31,32,0.25806451612903225,0.2815370976566319,0.5,0.5
mean_baseline_no_training,EEG,valence,2,34,32,0.2540322580645161,0.2925263580180011,0.5,0.5
mean_baseline_no_training,EEG,valence,2,44,32,0.24899193548387097,0.2915799385450149,0.5,0.5
mean_baseline_no_training,EEG,valence,2,46,32,0.25705645161290325,0.2949618134334935,0.5,0.5
mean_baseline_no_training,EEG,valence,2,49,32,0.23286290322580644,0.2888909594854511,0.5,0.5
mean_baseline_no_training,EEG,valence,2,63,32,0.24899193548387094,0.2931648504724763,0.5,0.5
mean_baseline_no_training,EEG,valence,3,9,32,0.24899193548387097,0.29285965819221677,0.5,0.5
mean_baseline_no_training,EEG,valence,3,10,32,0.2540322580645161,0.29515467998943706,0.5,0.5
mean_baseline_no_training,EEG,valence,3,20,32,0.25806451612903225,0.2950444859665599,0.5,0.5
mean_baseline_no_training,EEG,valence,3,35,32,0.24899193548387097,0.2942443451477102,0.5,0.5
mean_baseline_no_training,EEG,valence,3,39,32,0.25705645161290325,0.2928318976671824,0.5,0.5
mean_baseline_no_training,EEG,valence,3,45,32,0.24899193548387094,0.29302616611329296,0.5,0.5
mean_baseline_no_training,EEG,valence,3,47,32,0.25705645161290325,0.29057448748703985,0.5,0.5
mean_baseline_no_training,EEG,valence,3,48,32,0.25705645161290325,0.2941061698195237,0.5,0.5
mean_baseline_no_training,EEG,valence,3,52,32,0.25705645161290325,0.2946584823620179,0.5,0.5
mean_baseline_no_training,EEG,valence,3,57,32,0.2540322580645161,0.2946584823620179,0.5,0.5
mean_baseline_no_training,EEG,valence,3,62,32,0.2540322580645161,0.2944100699398679,0.5,0.5
mean_baseline_no_training,EEG,valence,4,1,32,0.25705645161290325,0.29476882068543653,0.5,0.5
mean_baseline_no_training,EEG,valence,4,3,32,0.25705645161290325,0.2955400355130435,0.5,0.5
mean_baseline_no_training,EEG,valence,4,19,32,0.2540322580645161,0.29260971865365704,0.5,0.5
mean_baseline_no_training,EEG,valence,4,25,32,0.2540322580645161,0.2949618134334935,0.5,0.5
mean_baseline_no_training,EEG,valence,4,36,32,0.25705645161290325,0.29427197242772485,0.5,0.5
mean_baseline_no_training,EEG,valence,4,40,32,0.25705645161290325,0.2929151713494194,0.5,0.5
mean_baseline_no_training,EEG,valence,4,42,32,0.25806451612903225,0.2925819344140603,0.5,0.5
mean_baseline_no_training,EEG,valence,4,53,32,0.2540322580645161,0.29077026415032176,0.5,0.5
mean_baseline_no_training,EEG,valence,4,55,32,0.24899193548387094,0.2892003399522759,0.5,0.5
mean_baseline_no_training,EEG,valence,4,61,32,0.2580645161290323,0.28855307520669105,0.5,0.5
mean_baseline_no_training,EEG,valence,5,14,32,0.24899193548387097,0.2910497166551385,0.5,0.5
mean_baseline_no_training,EEG,valence,5,23,32,0.2540322580645161,0.2945481027056399,0.5,0.5
mean_baseline_no_training,EEG,valence,5,24,32,0.23286290322580644,0.28908787627314386,0.5,0.5
mean_baseline_no_training,EEG,valence,5,27,32,0.2540322580645161,0.293663571871502,0.5,0.5
mean_baseline_no_training,EEG,valence,5,29,32,0.25806451612903225,0.29424434514771014,0.5,0.5
mean_baseline_no_training,EEG,valence,5,30,32,0.25705645161290325,0.2925819344140603,0.5,0.5
mean_baseline_no_training,EEG,valence,5,37,32,0.24193548387096772,0.2872824698476915,0.5,0.5
mean_baseline_no_training,EEG,valence,5,56,32,0.25806451612903225,0.29457570149724,0.5,0.5
mean_baseline_no_training,EEG,valence,5,60,32,0.2540322580645161,0.291775040566541,0.5,0.5
mean_baseline_no_training,EEG,valence,5,64,32,0.24193548387096772,0.29032258064516125,0.5,0.5
mean_baseline_no_training,EEG,valence,6,12,32,0.2540322580645161,0.2911335000997532,0.5,0.5
mean_baseline_no_training,EEG,valence,6,15,32,0.24899193548387097,0.2927486002973654,0.5,0.5
mean_baseline_no_training,EEG,valence,6,16,32,0.24899193548387097,0.29238737081102095,0.5,0.5
mean_baseline_no_training,EEG,valence,6,18,32,0.24899193548387097,0.2921091980044328,0.5,0.5
mean_baseline_no_training,EEG,valence,6,21,32,0.25806451612903225,0.2934974255657717,0.5,0.5
mean_baseline_no_training,EEG,valence,6,22,32,0.23286290322580644,0.2894251362084897,0.5,0.5
mean_baseline_no_training,EEG,valence,6,32,32,0.24899193548387097,0.2938019553539818,0.5,0.5
mean_baseline_no_training,EEG,valence,6,33,32,0.24899193548387097,0.29391261522809553,0.5,0.5
mean_baseline_no_training,EEG,valence,6,41,32,0.23286290322580647,0.2877913851621851,0.5,0.5
mean_baseline_no_training,EEG,valence,6,50,32,0.25705645161290325,0.29233175742567513,0.5,0.5
mean_baseline_no_training,EMG,arousal,1,6,32,0.248991935483871,0.28694269152672897,0.5,0.5
mean_baseline_no_training,EMG,arousal,1,7,32,0.23286290322580644,0.27921749398813006,0.5,0.5
mean_baseline_no_training,EMG,arousal,1,8,32,0.25806451612903225,0.2869710217525498,0.5,0.5
mean_baseline_no_training,EMG,arousal,1,13,32,0.23286290322580647,0.285408683373974,0.5,0.5
mean_baseline_no_training,EMG,arousal,1,28,32,0.2540322580645161,0.28939704622577606,0.5,0.5
mean_baseline_no_training,EMG,arousal,1,38,32,0.2540322580645161,0.2942167152734629,0.5,0.5
mean_baseline_no_training,EMG,arousal,1,43,32,0.25806451612903225,0.2884967226868281,0.5,0.5
mean_baseline_no_training,EMG,arousal,1,54,32,0.24193548387096772,0.2928318976671823,0.5,0.5
mean_baseline_no_training,EMG,arousal,1,58,32,0.25806451612903225,0.2889190986721429,0.5,0.5
mean_baseline_no_training,EMG,arousal,1,59,32,0.2540322580645161,0.2929429239830834,0.5,0.5
mean_baseline_no_training,EMG,arousal,1,65,32,0.2540322580645161,0.2695286285011033,0.5,0.5
mean_baseline_no_training,EMG,arousal,2,2,32,0.25806451612903225,0.2924151735373531,0.5,0.5
mean_baseline_no_training,EMG,arousal,2,5,32,0.2540322580645161,0.2925819344140603,0.5,0.5
mean_baseline_no_training,EMG,arousal,2,11,32,0.248991935483871,0.29327575074142226,0.5,0.5
mean_baseline_no_training,EMG,arousal,2,17,32,0.2540322580645161,0.29341431713268373,0.5,0.5
mean_baseline_no_training,EMG,arousal,2,26,32,0.25705645161290325,0.2815370976566319,0.5,0.5
mean_baseline_no_training,EMG,arousal,2,31,32,0.25705645161290325,0.2902385631117437,0.5,0.5
mean_baseline_no_training,EMG,arousal,2,34,32,0.25806451612903225,0.29299842136427334,0.5,0.5
mean_baseline_no_training,EMG,arousal,2,44,32,0.25806451612903225,0.2924985658600344,0.5,0.5
mean_baseline_no_training,EMG,arousal,2,46,32,0.25705645161290325,0.28998636445750325,0.5,0.5
mean_baseline_no_training,EMG,arousal,2,49,32,0.2570564516129032,0.28908787627314386,0.5,0.5
mean_baseline_no_training,EMG,arousal,2,63,32,0.25705645161290325,0.28646064901469975,0.5,0.5
mean_baseline_no_training,EMG,arousal,3,9,32,0.25705645161290325,0.29308164773191253,0.5,0.5
mean_baseline_no_training,EMG,arousal,3,10,32,0.25705645161290325,0.2953198939290412,0.5,0.5
mean_baseline_no_training,EMG,arousal,3,20,32,0.2540322580645161,0.2941061698195237,0.5,0.5
mean_baseline_no_training,EMG,arousal,3,35,32,0.25806451612903225,0.2924429736204636,0.5,0.5
mean_baseline_no_training,EMG,arousal,3,39,32,0.2570564516129032,0.29219267765310186,0.5,0.5
mean_baseline_no_training,EMG,arousal,3,45,32,0.2540322580645161,0.2936912537843571,0.5,0.5
mean_baseline_no_training,EMG,arousal,3,47,32,0.25705645161290325,0.29418908280425204,0.5,0.5
mean_baseline_no_training,EMG,arousal,3,48,32,0.25806451612903225,0.2952372985158948,0.5,0.5
mean_baseline_no_training,EMG,arousal,3,52,32,0.25705645161290325,0.29427197242772485,0.5,0.5
mean_baseline_no_training,EMG,arousal,3,57,32,0.25806451612903225,0.2930539082355907,0.5,0.5
mean_baseline_no_training,EMG,arousal,3,62,32,0.25705645161290325,0.28583562255560135,0.5,0.5
mean_baseline_no_training,EMG,arousal,4,1,32,0.25705645161290325,0.2946584823620179,0.5,0.5
mean_baseline_no_training,EMG,arousal,4,3,32,0.2570564516129032,0.2908261761331768,0.5,0.5
mean_baseline_no_training,EMG,arousal,4,19,32,0.2540322580645161,0.2918307600439069,0.5,0.5
mean_baseline_no_training,EMG,arousal,4,25,32,0.2570564516129032,0.2927486002973654,0.5,0.5
mean_baseline_no_training,EMG,arousal,4,36,32,0.2540322580645161,0.29485154733116054,0.5,0.5
mean_baseline_no_training,EMG,arousal,4,40,32,0.25705645161290325,0.2916078182542669,0.5,0.5
mean_baseline_no_training,EMG,arousal,4,42,32,0.24899193548387097,0.2939402736872193,0.5,0.5
mean_baseline_no_training,EMG,arousal,4,53,32,0.25705645161290325,0.29424434514771014,0.5,0.5
mean_baseline_no_training,EMG,arousal,4,55,32,0.24899193548387097,0.28234445682479375,0.5,0.5
mean_baseline_no_training,EMG,arousal,4,61,32,0.2570564516129032,0.2844957384252038,0.5,0.5
mean_baseline_no_training,EMG,arousal,5,14,32,0.25705645161290325,0.2908541280940403,0.5,0.5
mean_baseline_no_training,EMG,arousal,5,23,32,0.24899193548387097,0.29490668553591204,0.5,0.5
mean_baseline_no_training,EMG,arousal,5,24,32,0.25705645161290325,0.29460329770335214,0.5,0.5
mean_baseline_no_training,EMG,arousal,5,27,32,0.25806451612903225,0.291775040566541,0.5,0.5
mean_baseline_no_training,EMG,arousal,5,29,32,0.2570564516129032,0.293857290500033,0.5,0.5
mean_baseline_no_training,EMG,arousal,5,30,32,0.24899193548387094,0.2927486002973654,0.5,0.5
mean_baseline_no_training,EMG,arousal,5,37,32,0.22177419354838712,0.28648902690857436,0.5,0.5
mean_baseline_no_training,EMG,arousal,5,56,32,0.25806451612903225,0.29416144773934644,0.5,0.5
mean_baseline_no_training,EMG,arousal,5,60,32,0.25806451612903225,0.29238737081102095,0.5,0.5
mean_baseline_no_training,EMG,arousal,5,64,32,0.25806451612903225,0.292025694491934,0.5,0.5
mean_baseline_no_training,EMG,arousal,6,12,32,0.2570564516129032,0.28023468312732347,0.5,0.5
mean_baseline_no_training,EMG,arousal,6,15,32,0.2570564516129032,0.2936912537843571,0.5,0.5
mean_baseline_no_training,EMG,arousal,6,16,32,0.25705645161290325,0.2948791177222939,0.5,0.5
mean_baseline_no_training,EMG,arousal,6,18,32,0.25806451612903225,0.2947412399770079,0.5,0.5
mean_baseline_no_training,EMG,arousal,6,21,32,0.25806451612903225,0.2933311851527937,0.5,0.5
mean_baseline_no_training,EMG,arousal,6,22,32,0.25705645161290325,0.2888065254753223,0.5,0.5
mean_baseline_no_training,EMG,arousal,6,32,32,0.2540322580645161,0.29449289736306794,0.5,0.5
mean_baseline_no_training,EMG,arousal,6,33,32,0.2570564516129032,0.2929151713494194,0.5,0.5
mean_baseline_no_training,EMG,arousal,6,41,32,0.23286290322580644,0.26798594594053643,0.5,0.5
mean_baseline_no_training,EMG,arousal,6,50,32,0.25705645161290325,0.29460329770335214,0.5,0.5
mean_baseline_no_training,EMG,valence,1,6,32,0.25705645161290325,0.2928041345101949,0.5,0.5
mean_baseline_no_training,EMG,valence,1,7,32,0.24899193548387097,0.29263750025530083,0.5,0.5
mean_baseline_no_training,EMG,valence,1,8,32,0.25806451612903225,0.2955125267834718,0.5,0.5
mean_baseline_no_training,EMG,valence,1,13,32,0.24899193548387094,0.2909379678636685,0.5,0.5
mean_baseline_no_training,EMG,valence,1,28,32,0.24899193548387097,0.2907702641503217,0.5,0.5
mean_baseline_no_training,EMG,valence,1,38,32,0.248991935483871,0.2888909594854511,0.5,0.5
mean_baseline_no_training,EMG,valence,1,43,32,0.25806451612903225,0.29457570149724,0.5,0.5
mean_baseline_no_training,EMG,valence,1,54,32,0.2540322580645161,0.2939402736872193,0.5,0.5
mean_baseline_no_training,EMG,valence,1,58,32,0.25806451612903225,0.29520976157617945,0.5,0.5
mean_baseline_no_training,EMG,valence,1,59,32,0.25705645161290325,0.2947963988134555,0.5,0.5
mean_baseline_no_training,EMG,valence,1,65,32,0.2570564516129032,0.2936912537843571,0.5,0.5
mean_baseline_no_training,EMG,valence,2,2,32,0.25806451612903225,0.29457570149724,0.5,0.5
mean_baseline_no_training,EMG,valence,2,5,32,0.25806451612903225,0.29482397436178887,0.5,0.5
mean_baseline_no_training,EMG,valence,2,11,32,0.2540322580645161,0.29219267765310186,0.5,0.5
mean_baseline_no_training,EMG,valence,2,17,32,0.2540322580645161,0.2947963988134555,0.5,0.5
mean_baseline_no_training,EMG,valence,2,26,32,0.25705645161290325,0.2929984213642734,0.5,0.5
mean_baseline_no_training,EMG,valence,2,31,32,0.25806451612903225,0.2815370976566319,0.5,0.5
mean_baseline_no_training,EMG,valence,2,34,32,0.2540322580645161,0.2925263580180011,0.5,0.5
mean_baseline_no_training,EMG,valence,2,44,32,0.24899193548387097,0.2915799385450149,0.5,0.5
mean_baseline_no_training,EMG,valence,2,46,32,0.25705645161290325,0.2949618134334935,0.5,0.5
mean_baseline_no_training,EMG,valence,2,49,32,0.23286290322580644,0.2888909594854511,0.5,0.5
mean_baseline_no_training,EMG,valence,2,63,32,0.24899193548387094,0.2931648504724763,0.5,0.5
mean_baseline_no_training,EMG,valence,3,9,32,0.24899193548387097,0.29285965819221677,0.5,0.5
mean_baseline_no_training,EMG,valence,3,10,32,0.2540322580645161,0.29515467998943706,0.5,0.5
mean_baseline_no_training,EMG,valence,3,20,32,0.25806451612903225,0.2950444859665599,0.5,0.5
mean_baseline_no_training,EMG,valence,3,35,32,0.24899193548387097,0.2942443451477102,0.5,0.5
mean_baseline_no_training,EMG,valence,3,39,32,0.25705645161290325,0.2928318976671824,0.5,0.5
mean_baseline_no_training,EMG,valence,3,45,32,0.24899193548387094,0.29302616611329296,0.5,0.5
mean_baseline_no_training,EMG,valence,3,47,32,0.25705645161290325,0.29057448748703985,0.5,0.5
mean_baseline_no_training,EMG,valence,3,48,32,0.25705645161290325,0.2941061698195237,0.5,0.5
mean_baseline_no_training,EMG,valence,3,52,32,0.25705645161290325,0.2946584823620179,0.5,0.5
mean_baseline_no_training,EMG,valence,3,57,32,0.2540322580645161,0.2946584823620179,0.5,0.5
mean_baseline_no_training,EMG,valence,3,62,32,0.2540322580645161,0.2944100699398679,0.5,0.5
mean_baseline_no_training,EMG,valence,4,1,32,0.25705645161290325,0.29476882068543653,0.5,0.5
mean_baseline_no_training,EMG,valence,4,3,32,0.25705645161290325,0.2955400355130435,0.5,0.5
mean_baseline_no_training,EMG,valence,4,19,32,0.2540322580645161,0.29260971865365704,0.5,0.5
mean_baseline_no_training,EMG,valence,4,25,32,0.2540322580645161,0.2949618134334935,0.5,0.5
mean_baseline_no_training,EMG,valence,4,36,32,0.25705645161290325,0.29427197242772485,0.5,0.5
mean_baseline_no_training,EMG,valence,4,40,32,0.25705645161290325,0.2929151713494194,0.5,0.5
mean_baseline_no_training,EMG,valence,4,42,32,0.25806451612903225,0.2925819344140603,0.5,0.5
mean_baseline_no_training,EMG,valence,4,53,32,0.2540322580645161,0.29077026415032176,0.5,0.5
mean_baseline_no_training,EMG,valence,4,55,32,0.24899193548387094,0.2892003399522759,0.5,0.5
mean_baseline_no_training,EMG,valence,4,61,32,0.2580645161290323,0.28855307520669105,0.5,0.5
mean_baseline_no_training,EMG,valence,5,14,32,0.24899193548387097,0.2910497166551385,0.5,0.5
mean_baseline_no_training,EMG,valence,5,23,32,0.2540322580645161,0.2945481027056399,0.5,0.5
mean_baseline_no_training,EMG,valence,5,24,32,0.23286290322580644,0.28908787627314386,0.5,0.5
mean_baseline_no_training,EMG,valence,5,27,32,0.2540322580645161,0.293663571871502,0.5,0.5
mean_baseline_no_training,EMG,valence,5,29,32,0.25806451612903225,0.29424434514771014,0.5,0.5
mean_baseline_no_training,EMG,valence,5,30,32,0.25705645161290325,0.2925819344140603,0.5,0.5
mean_baseline_no_training,EMG,valence,5,37,32,0.24193548387096772,0.2872824698476915,0.5,0.5
mean_baseline_no_training,EMG,valence,5,56,32,0.25806451612903225,0.29457570149724,0.5,0.5
mean_baseline_no_training,EMG,valence,5,60,32,0.2540322580645161,0.291775040566541,0.5,0.5
mean_baseline_no_training,EMG,valence,5,64,32,0.24193548387096772,0.29032258064516125,0.5,0.5
mean_baseline_no_training,EMG,valence,6,12,32,0.2540322580645161,0.2911335000997532,0.5,0.5
mean_baseline_no_training,EMG,valence,6,15,32,0.24899193548387097,0.2927486002973654,0.5,0.5
mean_baseline_no_training,EMG,valence,6,16,32,0.24899193548387097,0.29238737081102095,0.5,0.5
mean_baseline_no_training,EMG,valence,6,18,32,0.24899193548387097,0.2921091980044328,0.5,0.5
mean_baseline_no_training,EMG,valence,6,21,32,0.25806451612903225,0.2934974255657717,0.5,0.5
mean_baseline_no_training,EMG,valence,6,22,32,0.23286290322580644,0.2894251362084897,0.5,0.5
mean_baseline_no_training,EMG,valence,6,32,32,0.24899193548387097,0.2938019553539818,0.5,0.5
mean_baseline_no_training,EMG,valence,6,33,32,0.24899193548387097,0.29391261522809553,0.5,0.5
mean_baseline_no_training,EMG,valence,6,41,32,0.23286290322580647,0.2877913851621851,0.5,0.5
mean_baseline_no_training,EMG,valence,6,50,32,0.25705645161290325,0.29233175742567513,0.5,0.5
ridge_regression_summary_features,EEG,arousal,1,6,32,0.25881758478326417,0.2938570191130142,0.5,0.4856423351427211
ridge_regression_summary_features,EEG,arousal,1,7,32,0.23446639959806256,0.2923234213610261,0.5,0.47348066615105544
ridge_regression_summary_features,EEG,arousal,1,8,32,0.25942146516600223,0.2913465924768937,0.5,0.506201492267651
ridge_regression_summary_features,EEG,arousal,1,13,32,0.2314619425061526,0.2803977760748761,0.5,0.48913043695498126
ridge_regression_summary_features,EEG,arousal,1,28,32,0.275746036293359,0.310142482965206,0.5,0.4723820074334887
ridge_regression_summary_features,EEG,arousal,1,38,32,0.2636927463633745,0.31265600206044325,0.5,0.5086536089826298
ridge_regression_summary_features,EEG,arousal,1,43,32,0.2532299817459691,0.28738799866793363,0.5,0.49737605081732106
ridge_regression_summary_features,EEG,arousal,1,54,32,0.2697262940184835,0.3248523302055652,0.5,0.525042586063374
ridge_regression_summary_features,EEG,arousal,1,58,32,0.24315938655630054,0.2852529537274539,0.5,0.4958104147425186
ridge_regression_summary_features,EEG,arousal,1,59,32,0.2724081851700463,0.32036644680235793,0.5,0.503489128762588
ridge_regression_summary_features,EEG,arousal,1,65,32,0.24999875328935484,0.2733411787050469,0.5,0.49534472926437917
ridge_regression_summary_features,EEG,arousal,2,2,32,0.2873394964211048,0.3404840088464336,0.5,0.4446328568121546
ridge_regression_summary_features,EEG,arousal,2,5,32,0.26182916493605474,0.29466863440906044,0.5,0.47047626406552534
ridge_regression_summary_features,EEG,arousal,2,11,32,0.25836573289797815,0.309622190217961,0.5,0.451224574393528
ridge_regression_summary_features,EEG,arousal,2,17,32,0.27335456308361555,0.3165277549858035,0.5,0.5464005025491594
ridge_regression_summary_features,EEG,arousal,2,26,32,0.24408592143509847,0.27577223508203946,0.5,0.4760809529267155
ridge_regression_summary_features,EEG,arousal,2,31,32,0.273983098508439,0.3041819024057568,0.5,0.46864916098269865
ridge_regression_summary_features,EEG,arousal,2,34,32,0.644683406868029,0.8319257680128275,0.5,1.0959908052018348
ridge_regression_summary_features,EEG,arousal,2,44,32,0.25546158213173126,0.29208184287879607,0.5,0.5011133355102408
ridge_regression_summary_features,EEG,arousal,2,46,32,0.26764771986359426,0.3005688016556881,0.5,0.4996363594682527
ridge_regression_summary_features,EEG,arousal,2,49,32,0.24918144562394798,0.285605606003126,0.5,0.4719997949306663
