matrix,modality,representation,task,policy,recipe,fold_id,runs,n_samples,macro_f1_mean,balanced_accuracy_mean,accuracy_mean,majority_macro_f1_mean,majority_balanced_accuracy_mean,delta_macro_f1_vs_majority,delta_bal_acc_vs_majority,pred_skew_mean,true_skew_mean,one_class_runs,failure_labels
broader_single_modality,EEG,STIM-BSL-only,arousal,midpoint_as_high,ce_class_weighted,5,1,320,0.46751085677178456,0.47725490196078435,0.4875,0.3469387755102041,0.5,0.12057208126158048,-0.02274509803921565,0.6625,0.53125,0,weak_signal_near_chance
broader_single_modality,EEG,STIM-BSL-only,arousal,midpoint_as_high,ce_class_weighted,6,1,320,0.5726495726495726,0.5742672627918529,0.625,0.38223938223938225,0.5,0.19041019041019036,0.07426726279185292,0.73125,0.61875,0,prediction_skew
broader_single_modality,EEG,STIM-BSL-only,valence,midpoint_as_high,balanced_sampler_ce,1,1,352,0.49277877845095797,0.4929985832427267,0.5,0.36347197106690776,0.5,0.1293068073840502,-0.007001416757273282,0.5482954545454546,0.5710227272727273,0,weak_signal_near_chance
broader_single_modality,EEG,STIM-BSL-only,valence,midpoint_as_high,balanced_sampler_ce,2,1,352,0.47949651963789813,0.4950980392156863,0.5340909090909091,0.3669064748201439,0.5,0.11259004481775425,-0.004901960784313708,0.7443181818181818,0.5795454545454546,0,weak_signal_near_chance;prediction_skew
broader_single_modality,EEG,STIM-BSL-only,valence,midpoint_as_high,balanced_sampler_ce,3,1,352,0.4794074148346828,0.4793956505663675,0.4971590909090909,0.3747779751332149,0.5,0.10462943970146787,-0.020604349433632485,0.5852272727272727,0.5994318181818182,0,weak_signal_near_chance
broader_single_modality,EEG,STIM-BSL-only,valence,midpoint_as_high,balanced_sampler_ce,4,1,320,0.4791666666666667,0.47935222672064776,0.5,0.37254901960784315,0.5,0.10661764705882354,-0.020647773279352244,0.60625,0.59375,0,weak_signal_near_chance
broader_single_modality,EEG,STIM-BSL-only,valence,midpoint_as_high,balanced_sampler_ce,5,1,320,0.48251673360107095,0.4845508534407575,0.528125,0.3834296724470135,0.5,0.09908706115405747,-0.01544914655924251,0.675,0.621875,0,weak_signal_near_chance
broader_single_modality,EEG,STIM-BSL-only,valence,midpoint_as_high,balanced_sampler_ce,6,1,320,0.5215078067948673,0.5317288923958636,0.596875,0.3834296724470135,0.5,0.13807813434785382,0.03172889239586363,0.775,0.621875,0,prediction_skew
broader_single_modality,EEG,STIM-BSL-only,valence,midpoint_as_high,ce_class_weighted,1,1,352,0.4838502330065885,0.5330302131725478,0.5852272727272727,0.36347197106690776,0.5,0.12037826193968076,0.03303021317254784,0.8721590909090909,0.5710227272727273,0,prediction_skew
broader_single_modality,EEG,STIM-BSL-only,valence,midpoint_as_high,ce_class_weighted,2,1,352,0.5037433155080213,0.5086115527291998,0.5056818181818182,0.3669064748201439,0.5,0.13683684068787744,0.008611552729199778,0.5170454545454546,0.5795454545454546,0,weak_signal_near_chance
broader_single_modality,EEG,STIM-BSL-only,valence,midpoint_as_high,ce_class_weighted,3,1,352,0.4921066032931591,0.4924540351584821,0.5170454545454546,0.3747779751332149,0.5,0.11732862815994416,-0.007545964841517927,0.6221590909090909,0.5994318181818182,0,weak_signal_near_chance
