model,modality,task,fold,subject,n_val_pairs,subject_balanced_accuracy,majority_subject_bal_acc,subject_delta_vs_majority_bal_acc,positive_lift
ridge_classifier_pairwise_summary_diff,EEG,arousal,3,57,854,0.5480093676814989,0.5,0.04800936768149888,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,3,62,776,0.5489690721649485,0.5,0.0489690721649485,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,3,9,858,0.4568764568764569,0.5,-0.04312354312354311,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,4,12,718,0.4958217270194986,0.5,-0.004178272980501385,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,4,18,884,0.3755656108597285,0.5,-0.1244343891402715,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,4,23,886,0.5237020316027088,0.5,0.023702031602708784,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,4,29,862,0.5406032482598608,0.5,0.040603248259860836,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,4,34,858,0.5081585081585082,0.5,0.00815850815850816,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,4,40,838,0.4510739856801909,0.5,-0.048926014319809086,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,4,46,818,0.4816625916870415,0.5,-0.018337408312958492,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,4,52,874,0.5560640732265446,0.5,0.05606407322654461,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,4,58,814,0.6240786240786241,0.5,0.12407862407862413,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,4,63,790,0.5012658227848101,0.5,0.0012658227848101333,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,5,13,750,0.64,0.5,0.14,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,5,19,842,0.5249406175771971,0.5,0.02494061757719712,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,5,24,880,0.4227272727272727,0.5,-0.07727272727272733,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,5,3,812,0.4556650246305418,0.5,-0.044334975369458185,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,5,35,838,0.4797136038186158,0.5,-0.020286396181384225,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,5,41,626,0.5623003194888179,0.5,0.06230031948881787,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,5,47,870,0.4459770114942529,0.5,-0.054022988505747105,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,5,53,866,0.5103926096997691,0.5,0.010392609699769073,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,5,59,844,0.490521327014218,0.5,-0.009478672985781977,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,5,64,848,0.5660377358490566,0.5,0.06603773584905659,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,6,14,816,0.5808823529411765,0.5,0.08088235294117652,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,6,2,848,0.4575471698113207,0.5,-0.04245283018867929,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,6,25,852,0.5610328638497653,0.5,0.06103286384976525,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,6,30,846,0.5295508274231678,0.5,0.029550827423167836,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,6,36,886,0.4514672686230248,0.5,-0.048532731376975224,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,6,42,866,0.4503464203233256,0.5,-0.049653579676674386,False
ridge_classifier_pairwise_summary_diff,EEG,arousal,6,48,888,0.5855855855855856,0.5,0.0855855855855856,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,6,54,852,0.5985915492957746,0.5,0.09859154929577463,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,6,6,764,0.5157068062827225,0.5,0.015706806282722474,True
ridge_classifier_pairwise_summary_diff,EEG,arousal,6,65,660,0.4303030303030303,0.5,-0.0696969696969697,False
