objective_run_id,model,modality,task,fold,balanced_accuracy,macro_f1,majority_bal_acc,random_bal_acc,delta_vs_majority_bal_acc,delta_vs_random_bal_acc,above_055,below_045
85,ridge_classifier_pairwise_summary_diff,EMG,valence,1,0.4868478737395879,0.4868478737395879,0.5,0.4866286716352477,-0.013152126260412123,0.00021920210434017706,False,False
86,ridge_classifier_pairwise_summary_diff,EMG,valence,2,0.5053991107347026,0.5053991107347026,0.5,0.4893076434469616,0.005399110734702561,0.016091467287740968,False,False
87,ridge_classifier_pairwise_summary_diff,EMG,valence,3,0.5070633561643836,0.5070633561643836,0.5,0.4987157534246575,0.007063356164383583,0.008347602739726068,False,False
88,ridge_classifier_pairwise_summary_diff,EMG,valence,4,0.510786360473208,0.510786360473208,0.5,0.4951287404314544,0.010786360473208023,0.01565762004175364,False,False
89,ridge_classifier_pairwise_summary_diff,EMG,valence,5,0.5351338432122371,0.5351338432122371,0.5,0.4907982791586998,0.035133843212237115,0.044335564053537335,False,False
90,ridge_classifier_pairwise_summary_diff,EMG,valence,6,0.5264993026499303,0.5264993026499303,0.5,0.50046490004649,0.02649930264993028,0.026034402603440254,False,False
91,ridge_classifier_pairwise_summary_diff,EMG,arousal,1,0.4984098137210359,0.4984098137210359,0.5,0.5047705588368924,-0.001590186278964123,-0.006360745115856492,False,False
92,ridge_classifier_pairwise_summary_diff,EMG,arousal,2,0.5,0.5,0.5,0.501817015818726,0.0,-0.0018170158187259533,False,False
93,ridge_classifier_pairwise_summary_diff,EMG,arousal,3,0.516240796881767,0.516240796881767,0.5,0.498051104374188,0.01624079688176705,0.01818969250757907,False,False
94,ridge_classifier_pairwise_summary_diff,EMG,arousal,4,0.5130664109326301,0.5130664109326301,0.5,0.501558379285543,0.013066410932630057,0.011508031647087025,False,False
95,ridge_classifier_pairwise_summary_diff,EMG,arousal,5,0.5068493150684932,0.5068493150684932,0.5,0.4980430528375734,0.006849315068493178,0.008806262230919792,False,False
96,ridge_classifier_pairwise_summary_diff,EMG,arousal,6,0.5078521381976323,0.5078521381976323,0.5,0.491060642667311,0.007852138197632308,0.016791495530321332,False,False
