source_id,family,modality,representation,task,policy,recipe,fold_id,n,accuracy,balanced_accuracy,macro_f1,majority_accuracy,true_0,true_1,pred_0,pred_1,tn,fp,fn,tp,one_class_pred,prob1_mean,prob1_std,prob1_q05,prob1_median,prob1_q95,brier,ece_10,best_threshold,best_threshold_macro_f1,best_threshold_balanced_accuracy,best_threshold_accuracy,best_threshold_pred_0,best_threshold_pred_1,threshold_macro_f1_gain,threshold_balanced_accuracy_gain,prediction_skew_abs
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,arousal,midpoint_as_high,ce_class_weighted,1,352,0.5227272727272727,0.5178412572897104,0.5170994610485056,0.5710227272727273,201,151,189,163,111,90,78,73,False,0.4575008248317648,0.30893456857391627,0.05166937857866285,0.44366054236888885,0.9294466584920883,0.34177178089554744,0.26214211810888216,0.37999999999999995,0.5249201923465471,0.5310368686369478,0.5255681818181818,164,188,0.007820731298041506,0.013195611347237346,0.03693181818181818
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,arousal,midpoint_as_high,ce_class_weighted,2,352,0.5369318181818182,0.5212314225053079,0.5172930180123335,0.5539772727272727,195,157,228,124,130,65,98,59,False,0.365439020576146,0.33192880458157503,0.02342194868251676,0.20899438858032224,0.930532881617546,0.36140264061377947,0.31223129467054445,0.49499999999999994,0.5172930180123335,0.5212314225053079,0.5369318181818182,228,124,0.0,0.0,0.1477272727272727
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,arousal,midpoint_as_high,ce_class_weighted,3,352,0.4971590909090909,0.4960926147188943,0.494609787555058,0.5085227272727273,173,179,154,198,75,98,79,100,False,0.5497480014508421,0.37215257864218754,0.028828506451100053,0.6337696611881256,0.9776486426591873,0.39303409727204264,0.3546585196798498,0.19999999999999996,0.5054474479022067,0.5222817838344044,0.5255681818181818,108,244,0.010837660347148725,0.026189169115510058,0.0625
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,arousal,midpoint_as_high,ce_class_weighted,4,320,0.521875,0.5037438423645321,0.49248997107939174,0.546875,175,145,222,98,122,53,100,45,False,0.3178025422996143,0.3345617303457059,0.01211464437656095,0.12864559888839716,0.9119756281375885,0.3664602916123737,0.33344880059303256,0.1246006414294242,0.5463389356563908,0.5484729064039409,0.546875,156,164,0.05384896457699906,0.044729064039408795,0.19374999999999998
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,arousal,midpoint_as_high,ce_class_weighted,5,320,0.4875,0.47725490196078435,0.46751085677178456,0.53125,170,150,212,108,109,61,103,47,False,0.34979882433544845,0.31673371087337104,0.017144388612359666,0.2543821334838867,0.895527595281601,0.37671141778321227,0.3313731721835211,0.3449999999999999,0.5110361892368813,0.5115686274509803,0.515625,181,139,0.04352533246509677,0.034313725490195957,0.16249999999999998
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,arousal,midpoint_as_high,ce_class_weighted,6,320,0.625,0.5742672627918529,0.5726495726495726,0.61875,198,122,234,86,156,42,78,44,False,0.3115478201361839,0.3096058437088102,0.015379046928137456,0.17911283671855927,0.9150830239057541,0.2832896622643247,0.21511528486735187,0.2280960530042648,0.6039245283018868,0.6091654247391952,0.615625,177,143,0.031274955652314196,0.0348981619473423,0.23125
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,valence,midpoint_as_high,balanced_sampler_ce,1,352,0.5,0.4929985832427267,0.49277877845095797,0.5710227272727273,151,201,159,193,67,84,92,109,False,0.5288934322888963,0.35674480920291646,0.02766545545309776,0.578207790851593,0.9616134852170944,0.38417562073995926,0.33230360719608143,0.5611000657081604,0.5025341130604288,0.5045632763335639,0.5056818181818182,173,179,0.009755334609470867,0.011564693090837186,0.048295454545454586
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,valence,midpoint_as_high,balanced_sampler_ce,2,352,0.5340909090909091,0.4950980392156863,0.47949651963789813,0.5795454545454546,148,204,90,262,37,111,53,151,False,0.696422289612449,0.2702408065785249,0.14210095256566996,0.8102778494358063,0.9601854503154754,0.344095958275582,0.2761379887815565,0.815,0.5143960788132567,0.5184154742978272,0.5170454545454546,178,174,0.03489955917535853,0.023317435082140903,0.24431818181818177
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,valence,midpoint_as_high,balanced_sampler_ce,3,352,0.4971590909090909,0.4793956505663675,0.4794074148346828,0.5994318181818182,141,211,146,206,55,86,91,120,False,0.5301273360911926,0.31122792486762,0.04140636399388309,0.6026922464370728,0.9293258368968963,0.3508774871058343,0.28590224540411413,0.6421162486076355,0.5040808394869801,0.5147390003697355,0.5056818181818182,191,161,0.024673424652297327,0.03534334980336801,0.08522727272727271
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,valence,midpoint_as_high,balanced_sampler_ce,4,320,0.5,0.47935222672064776,0.4791666666666667,0.59375,130,190,126,194,48,82,78,112,False,0.5515761045331601,0.2787863495280446,0.0773891657590866,0.611941397190094,0.9043819844722748,0.3227058836465987,0.25249851853004657,0.4028444290161133,0.5162663941406915,0.5206477732793522,0.55625,98,222,0.037099727474024846,0.04129554655870443,0.10624999999999996
