subject_id,task,label_policy,accuracy_EEG,accuracy_EMG,error_rate_EEG,error_rate_EMG,n_EEG,n_EMG,common_failure_score,both_hard_flag,eeg_specific_hard_flag,emg_specific_hard_flag
16,arousal,midpoint_as_high,0.5625,0.3854166666666667,0.4375,0.6145833333333334,192,192,0.26888020833333337,False,False,True
28,valence,midpoint_as_high,0.484375,0.4791666666666667,0.515625,0.5208333333333334,192,192,0.2685546875,False,False,False
1,valence,discard_midpoint,0.5185185185185185,0.4444444444444444,0.48148148148148145,0.5555555555555556,54,54,0.2674897119341564,False,False,False
60,arousal,discard_midpoint,0.48333333333333334,0.48333333333333334,0.5166666666666667,0.5166666666666667,60,60,0.2669444444444445,False,False,False
39,valence,midpoint_as_high,0.4583333333333333,0.5104166666666666,0.5416666666666666,0.4895833333333333,192,192,0.2651909722222222,False,False,False
2,arousal,midpoint_as_low,0.515625,0.453125,0.484375,0.546875,64,64,0.264892578125,False,False,False
43,valence,midpoint_as_low,0.515625,0.453125,0.484375,0.546875,64,64,0.264892578125,False,False,False
64,valence,midpoint_as_low,0.515625,0.453125,0.484375,0.546875,64,64,0.264892578125,False,False,False
5,valence,midpoint_as_low,0.515625,0.453125,0.484375,0.546875,64,64,0.264892578125,False,False,False
42,arousal,discard_midpoint,0.43103448275862066,0.5344827586206896,0.5689655172413793,0.46551724137931033,58,58,0.26486325802615934,False,False,False
65,valence,discard_midpoint,0.5892857142857143,0.35714285714285715,0.4107142857142857,0.6428571428571429,56,56,0.264030612244898,False,False,True
3,valence,midpoint_as_low,0.578125,0.375,0.421875,0.625,64,64,0.263671875,False,False,True
20,arousal,midpoint_as_low,0.53125,0.4375,0.46875,0.5625,64,64,0.263671875,False,False,False
9,valence,midpoint_as_low,0.4375,0.53125,0.5625,0.46875,64,64,0.263671875,False,False,False
2,valence,midpoint_as_low,0.4375,0.53125,0.5625,0.46875,64,64,0.263671875,False,False,False
11,arousal,midpoint_as_high,0.4791666666666667,0.4947916666666667,0.5208333333333334,0.5052083333333334,192,192,0.2631293402777778,False,False,False
41,valence,discard_midpoint,0.5,0.475,0.5,0.525,40,40,0.2625,False,False,False
11,valence,midpoint_as_low,0.546875,0.421875,0.453125,0.578125,64,64,0.261962890625,False,False,False
43,valence,midpoint_as_high,0.515625,0.4635416666666667,0.484375,0.5364583333333334,192,192,0.25984700520833337,False,False,False
23,arousal,discard_midpoint,0.4807692307692308,0.5,0.5192307692307693,0.5,52,52,0.25961538461538464,False,False,False
3,valence,discard_midpoint,0.5185185185185185,0.46296296296296297,0.48148148148148145,0.5370370370370371,54,54,0.25857338820301784,False,False,False
37,arousal,midpoint_as_high,0.5364583333333334,0.4427083333333333,0.4635416666666667,0.5572916666666666,192,192,0.2583279079861111,False,False,False
17,arousal,midpoint_as_high,0.3958333333333333,0.5729166666666666,0.6041666666666666,0.4270833333333333,192,192,0.25802951388888884,False,True,False
7,valence,midpoint_as_low,0.515625,0.46875,0.484375,0.53125,64,64,0.25732421875,False,False,False
41,valence,midpoint_as_low,0.515625,0.46875,0.484375,0.53125,64,64,0.25732421875,False,False,False
36,arousal,discard_midpoint,0.5370370370370371,0.4444444444444444,0.46296296296296297,0.5555555555555556,54,54,0.257201646090535,False,False,False
30,valence,discard_midpoint,0.5833333333333334,0.38333333333333336,0.4166666666666667,0.6166666666666667,60,60,0.2569444444444445,False,False,True
28,arousal,midpoint_as_high,0.6145833333333334,0.3333333333333333,0.3854166666666667,0.6666666666666666,192,192,0.2569444444444444,False,False,True
37,valence,midpoint_as_high,0.40625,0.5677083333333334,0.59375,0.4322916666666667,192,192,0.25667317708333337,False,True,False
56,valence,midpoint_as_low,0.453125,0.53125,0.546875,0.46875,64,64,0.25634765625,False,False,False
54,arousal,discard_midpoint,0.5652173913043478,0.41304347826086957,0.43478260869565216,0.5869565217391305,46,46,0.2551984877126654,False,False,True
11,valence,midpoint_as_high,0.515625,0.4739583333333333,0.484375,0.5260416666666666,192,192,0.25480143229166663,False,False,False
2,valence,midpoint_as_high,0.5208333333333334,0.46875,0.4791666666666667,0.53125,192,192,0.2545572916666667,False,False,False
54,valence,midpoint_as_high,0.5260416666666666,0.4635416666666667,0.4739583333333333,0.5364583333333334,192,192,0.2542588975694445,False,False,False
