candidate_id,modality,task,fold,run_macro_f1,run_bal_acc,run_acc,pos_cov,n_predictions,prediction_accuracy,n_subjects,mean_subject_accuracy,std_subject_accuracy,min_subject_accuracy,hard_subject_count
A4_rating_distance_guarded_supcon,EEG,arousal,6,0.5405049658968529,0.5466964729259811,0.55,1.0,320,0.55,10,0.55,0.08359334436557866,0.46875,0
A4_rating_distance_guarded_supcon,EMG,valence,1,0.4582520596199271,0.4582221343613061,0.46875,1.0,352,0.46875,11,0.46875,0.08267972847076846,0.3125,3
A4_rating_distance_guarded_supcon,EMG,valence,2,0.4544750096861681,0.4644939056703762,0.4545454545454545,1.0,352,0.45454545454545453,11,0.45454545454545453,0.09719065143969725,0.25,4
A4_rating_distance_guarded_supcon,EMG,valence,3,0.4771855894442334,0.4794796813552485,0.5113636363636364,1.0,352,0.5113636363636364,11,0.5113636363636364,0.10007099752403062,0.34375,3
A4_rating_distance_guarded_supcon,EMG,valence,4,0.4687292472362201,0.4870445344129555,0.46875,1.0,320,0.46875,10,0.46875,0.11023963796102462,0.21875,3
A4_rating_distance_guarded_supcon,EMG,valence,5,0.5267072346179851,0.5267660617135264,0.5625,1.0,320,0.5625,10,0.5625,0.08333333333333333,0.40625,1
A4_rating_distance_guarded_supcon,EMG,valence,6,0.5148242705245962,0.5376676772291208,0.515625,1.0,320,0.515625,10,0.515625,0.09346020023399146,0.34375,3
A4_rating_distance_guarded_supcon,EMG,arousal,1,0.545219638242894,0.5533919804948766,0.5454545454545454,1.0,352,0.5454545454545454,11,0.5454545454545454,0.13503734752753674,0.34375,3
A4_rating_distance_guarded_supcon,EMG,arousal,2,0.533751962323391,0.5337252980565083,0.5397727272727273,1.0,352,0.5397727272727273,11,0.5397727272727273,0.08159890122923336,0.4375,2
A4_rating_distance_guarded_supcon,EMG,arousal,3,0.4764616459180738,0.4882132592760034,0.4857954545454545,1.0,352,0.48579545454545453,11,0.48579545454545453,0.07700907561627218,0.375,5
A4_rating_distance_guarded_supcon,EMG,arousal,4,0.4902217574448538,0.4923152709359606,0.490625,1.0,320,0.490625,10,0.490625,0.10421873698567302,0.28125,2
A4_rating_distance_guarded_supcon,EMG,arousal,5,0.4931008717310087,0.513921568627451,0.503125,1.0,320,0.503125,10,0.503125,0.15759834892324645,0.15625,3
A4_rating_distance_guarded_supcon,EMG,arousal,6,0.4866073800189122,0.4881188938565988,0.528125,1.0,320,0.528125,10,0.528125,0.08893905919223567,0.40625,3
A6_vrex_only_recheck,EEG,valence,1,0.505306812205237,0.5113340581858917,0.5369318181818182,0.0,352,0.5369318181818182,11,0.5369318181818182,0.07237351819805111,0.40625,2
A6_vrex_only_recheck,EEG,valence,2,0.5228482769884044,0.5245098039215687,0.5284090909090909,0.0,352,0.5284090909090909,11,0.5284090909090909,0.10593201078564925,0.375,2
A6_vrex_only_recheck,EEG,valence,3,0.4630638483329701,0.4815468387617223,0.4630681818181818,0.0,352,0.4630681818181818,11,0.4630681818181818,0.07631424268354915,0.34375,5
