global_run_id,method,modality,task,fold,macro_f1,balanced_accuracy,accuracy,ce_loss_start,ce_loss_end,ce_loss_delta,ce_loss_relative_delta,supcon_loss_start,supcon_loss_end,supcon_loss_delta,supcon_loss_relative_delta,vrex_loss_start,vrex_loss_end,vrex_loss_delta,vrex_loss_relative_delta,total_loss_start,total_loss_end,total_loss_delta,total_loss_relative_delta,active_lambda_supcon_start,active_lambda_supcon_end,active_lambda_supcon_delta,active_lambda_supcon_relative_delta,active_lambda_vrex_start,active_lambda_vrex_end,active_lambda_vrex_delta,active_lambda_vrex_relative_delta,vrex_environment_count_start,vrex_environment_count_end,vrex_environment_count_delta,vrex_environment_count_relative_delta,design_run_id,fold_embedding,seed,same_class_cross_subject_distance_mean,diff_class_cross_subject_distance_mean,distance_margin_diff_minus_same
11,CE_plus_SupCon,EEG,arousal,5,0.4409099672257567,0.4442667614309405,0.4423076923076923,0.6930354237556458,0.6732398271560669,-0.019795596599578857,-0.028563614385400445,7.580109119415283,7.276804447174072,-0.30330467224121094,-0.040013232984251204,0.0,0.0,0.0,,0.6930354237556458,1.400920271873474,0.7078848481178281,1.0214266455265901,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,6,5,11,0.4490624666213989,0.4500212371349334,0.0009587705135345
12,CE_plus_SupCon,EEG,arousal,6,0.464632285627098,0.4738581730769231,0.4728682170542636,0.696246862411499,0.6788110733032227,-0.017435789108276367,-0.02504253886026331,7.737818241119385,7.283885955810547,-0.4539322853088379,-0.0586641183811485,0.0,0.0,0.0,,0.696246862411499,1.4071996212005615,0.7109527587890625,1.0211216698724195,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,6,6,11,0.4386055171489715,0.4380845129489898,-0.0005210041999816
13,CE_plus_SupCon,EMG,valence,1,0.5075813029384085,0.5076138147566719,0.5090252707581228,0.6925468444824219,0.687285304069519,-0.005261540412902832,-0.0075973783648311454,7.543745994567871,7.242938995361328,-0.30080699920654297,-0.039875016924370094,0.0,0.0,0.0,,0.6925468444824219,1.411579132080078,0.719032287597656,1.038243540240268,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,7,1,11,0.3011245131492615,0.3008980453014374,-0.000226467847824
14,CE_plus_SupCon,EMG,valence,2,0.5173730856231691,0.5180595249827535,0.519298245614035,0.6960220336914062,0.6902812719345093,-0.005740761756896973,-0.008247959804448146,7.83668327331543,7.256788730621338,-0.5798945426940918,-0.07399744540763588,0.0,0.0,0.0,,0.6960220336914062,1.4159600734710691,0.7199380397796629,1.0343609899264485,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,7,2,11,0.3656080365180969,0.3648983538150787,-0.0007096827030181
15,CE_plus_SupCon,EMG,valence,3,0.3863975155279503,0.4400258194881006,0.445692883895131,0.698844313621521,0.6911805868148804,-0.007663726806640625,-0.010966286277591627,7.473455429077148,7.25577449798584,-0.2176809310913086,-0.029127213396412627,0.0,0.0,0.0,,0.698844313621521,1.4167580604553225,0.7179137468338015,1.0272870979137825,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,7,3,11,0.3352498710155487,0.334830492734909,-0.0004193782806396
16,CE_plus_SupCon,EMG,valence,4,0.5109546165884193,0.5170338114754098,0.52,0.6937008500099182,0.6890852451324463,-0.004615604877471924,-0.0066535955338759235,7.537806987762451,7.265470504760742,-0.272336483001709,-0.03612940520284538,0.0,0.0,0.0,,0.6937008500099182,1.415632247924805,0.7219313979148867,1.0406955648166856,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,7,4,11,0.3480770587921142,0.3475991189479828,-0.0004779398441314
17,CE_plus_SupCon,EMG,valence,5,0.5236272811505459,0.5450623202301055,0.5309090909090909,0.7069525718688965,0.6916154026985168,-0.015337169170379639,-0.021694763949771583,7.690815925598144,7.260809898376465,-0.4300060272216788,-0.05591162646221254,0.0,0.0,0.0,,0.7069525718688965,1.417696475982666,0.7107439041137695,1.005362923052745,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,7,5,11,0.4407858550548553,0.4416601359844208,0.0008742809295654
18,CE_plus_SupCon,EMG,valence,6,0.5064555876995607,0.5076988425188489,0.5127272727272727,0.7136214375495911,0.6950839757919312,-0.018537461757659912,-0.025976604376282776,7.754939079284668,7.274728298187256,-0.4802107810974121,-0.06192321773102927,0.0,0.0,0.0,,0.7136214375495911,1.4225568771362305,0.7089354395866394,0.9934334960857646,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,7,6,11,0.3624790608882904,0.3618281483650207,-0.0006509125232696
19,CE_plus_SupCon,EMG,arousal,1,0.4652229676400947,0.4772321428571428,0.4948805460750853,0.6986351013183594,0.691806435585022,-0.006828665733337402,-0.00977429522285864,7.577866077423096,7.249717712402344,-0.32814836502075195,-0.04330353184762814,0.0,0.0,0.0,,0.6986351013183594,1.4167782068252563,0.718143105506897,1.0279230232659724,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,8,1,11,0.3109132945537567,0.3097371757030487,-0.001176118850708
20,CE_plus_SupCon,EMG,arousal,2,0.4165638766519824,0.4712732919254658,0.4518272425249169,0.6963174343109131,0.6904733777046204,-0.005844056606292725,-0.008392805232682559,7.490718364715576,7.234292984008789,-0.2564253807067871,-0.03423241513319446,0.0,0.0,0.0,,0.6963174343109131,1.413902759552002,0.7175853252410889,1.0305433842127232,0.0,0.1,0.1,,0.0,0.0,0.0,,0,0,0,,8,2,11,0.294699102640152,0.2940060496330261,-0.0006930530071258
