run_id,candidate_id,method_family,modality,task,fold,accuracy,balanced_accuracy,macro_f1,one_class_pred,n_train,n_val,positive_pair_coverage_final_epoch,embedding_norm_mean,embedding_norm_std,confusion_json
23,A0_CE_control,control,EMG,arousal,5,0.484375,0.49235294117647055,0.4794901369295833,False,1696,320,0.0,2.4859862327575684,2.9580249786376953,"{""fn"": 57, ""fp"": 108, ""tn"": 62, ""tp"": 93}"
24,A0_CE_control,control,EMG,arousal,6,0.509375,0.47139427057459843,0.47021543588067194,False,1696,320,0.0,1.2778573036193848,0.8516693115234375,"{""fn"": 84, ""fp"": 73, ""tn"": 125, ""tp"": 38}"
25,A2_cross_subject_positive_only,SupCon,EEG,valence,1,0.5255681818181818,0.49973641725149087,0.4931671020753041,False,1664,352,1.0,4.427064895629883,1.398240327835083,"{""fn"": 64, ""fp"": 103, ""tn"": 48, ""tp"": 137}"
26,A2_cross_subject_positive_only,SupCon,EEG,valence,2,0.5,0.5064917859035506,0.49920781194425584,False,1664,352,1.0,5.473146438598633,4.134279727935791,"{""fn"": 109, ""fp"": 67, ""tn"": 81, ""tp"": 95}"
27,A2_cross_subject_positive_only,SupCon,EEG,valence,3,0.4659090909090909,0.47332862760915595,0.46417929783650735,False,1664,352,1.0,5.6656012535095215,3.8333656787872314,"{""fn"": 119, ""fp"": 69, ""tn"": 72, ""tp"": 92}"
28,A2_cross_subject_positive_only,SupCon,EEG,valence,4,0.54375,0.5404858299595141,0.53722413724791,False,1696,320,1.0,5.62414026260376,3.1904914379119873,"{""fn"": 84, ""fp"": 62, ""tn"": 68, ""tp"": 106}"
29,A2_cross_subject_positive_only,SupCon,EEG,valence,5,0.490625,0.4851738028987915,0.4803486924034869,False,1696,320,1.0,4.140948295593262,1.1207365989685059,"{""fn"": 98, ""fp"": 65, ""tn"": 56, ""tp"": 101}"
30,A2_cross_subject_positive_only,SupCon,EEG,valence,6,0.578125,0.5555255616927613,0.5549649225824397,False,1696,320,1.0,4.3218793869018555,1.5779598951339722,"{""fn"": 70, ""fp"": 65, ""tn"": 56, ""tp"": 129}"
31,A2_cross_subject_positive_only,SupCon,EEG,arousal,1,0.5227272727272727,0.5137227768442556,0.5136842105263157,False,1664,352,1.0,4.128127574920654,1.137686848640442,"{""fn"": 83, ""fp"": 85, ""tn"": 116, ""tp"": 68}"
32,A2_cross_subject_positive_only,SupCon,EEG,arousal,2,0.5113636363636364,0.5093254940388698,0.5086830915051774,False,1664,352,1.0,5.736595153808594,4.018187999725342,"{""fn"": 80, ""fp"": 92, ""tn"": 103, ""tp"": 77}"
33,A2_cross_subject_positive_only,SupCon,EEG,arousal,3,0.5284090909090909,0.5283689088384409,0.5283481854578329,False,1664,352,1.0,4.971780300140381,2.219386339187622,"{""fn"": 84, ""fp"": 82, ""tn"": 91, ""tp"": 95}"
34,A2_cross_subject_positive_only,SupCon,EEG,arousal,4,0.534375,0.5334975369458128,0.5327276825527494,False,1696,320,1.0,6.3131842613220215,4.360063552856445,"{""fn"": 69, ""fp"": 80, ""tn"": 95, ""tp"": 76}"
35,A2_cross_subject_positive_only,SupCon,EEG,arousal,5,0.540625,0.5370588235294118,0.5368209612146634,False,1696,320,1.0,4.5525922775268555,1.04962956905365,"{""fn"": 78, ""fp"": 69, ""tn"": 101, ""tp"": 72}"
36,A2_cross_subject_positive_only,SupCon,EEG,arousal,6,0.55625,0.5611856267593973,0.550561797752809,False,1696,320,1.0,4.687752723693848,1.8446691036224365,"{""fn"": 51, ""fp"": 91, ""tn"": 107, ""tp"": 71}"
37,A2_cross_subject_positive_only,SupCon,EMG,valence,1,0.46875,0.4532799578267602,0.45230190625962075,False,1664,352,1.0,2.4624617099761963,0.9562548995018005,"{""fn"": 88, ""fp"": 99, ""tn"": 52, ""tp"": 113}"
38,A2_cross_subject_positive_only,SupCon,EMG,valence,2,0.4715909090909091,0.4773449920508744,0.47075371035017943,False,1664,352,1.0,2.182858943939209,2.251688241958618,"{""fn"": 114, ""fp"": 72, ""tn"": 76, ""tp"": 90}"
39,A2_cross_subject_positive_only,SupCon,EMG,valence,3,0.5454545454545454,0.5008571140465867,0.49219172647599807,False,1664,352,1.0,2.137547731399536,0.8418604731559753,"{""fn"": 58, ""fp"": 102, ""tn"": 39, ""tp"": 153}"
40,A2_cross_subject_positive_only,SupCon,EMG,valence,4,0.496875,0.5058704453441296,0.49576706630780526,False,1696,320,1.0,2.3763859272003174,0.7883570194244385,"{""fn"": 103, ""fp"": 58, ""tn"": 72, ""tp"": 87}"
41,A2_cross_subject_positive_only,SupCon,EMG,valence,5,0.584375,0.515199966776029,0.5006980372834031,False,1696,320,1.0,5.2462968826293945,9.151396751403809,"{""fn"": 40, ""fp"": 93, ""tn"": 28, ""tp"": 159}"
42,A2_cross_subject_positive_only,SupCon,EMG,valence,6,0.48125,0.5213671664105652,0.4805194805194805,False,1696,320,1.0,2.142061710357666,1.4526407718658447,"{""fn"": 128, ""fp"": 38, ""tn"": 83, ""tp"": 71}"
43,A2_cross_subject_positive_only,SupCon,EMG,arousal,1,0.5482954545454546,0.5591743270402952,0.5482918089150384,False,1664,352,1.0,2.2335572242736816,0.8625563979148865,"{""fn"": 55, ""fp"": 104, ""tn"": 97, ""tp"": 96}"
44,A2_cross_subject_positive_only,SupCon,EMG,arousal,2,0.5738636363636364,0.5632533072023518,0.5627980922098569,False,1664,352,1.0,2.8638882637023926,3.2088561058044434,"{""fn"": 84, ""fp"": 66, ""tn"": 129, ""tp"": 73}"
45,A2_cross_subject_positive_only,SupCon,EMG,arousal,3,0.4971590909090909,0.49948332095456455,0.4888044700071382,False,1664,352,1.0,2.2074697017669678,0.8729256391525269,"{""fn"": 114, ""fp"": 63, ""tn"": 110, ""tp"": 65}"
46,A2_cross_subject_positive_only,SupCon,EMG,arousal,4,0.45625,0.454384236453202,0.4541176470588235,False,1696,320,1.0,2.3276283740997314,0.6725365519523621,"{""fn"": 82, ""fp"": 92, ""tn"": 83, ""tp"": 63}"
47,A2_cross_subject_positive_only,SupCon,EMG,arousal,5,0.50625,0.5137254901960784,0.502440560541647,False,1696,320,1.0,5.159815788269043,7.240538597106934,"{""fn"": 55, ""fp"": 103, ""tn"": 67, ""tp"": 95}"
48,A2_cross_subject_positive_only,SupCon,EMG,arousal,6,0.528125,0.4975575426395099,0.4974989340571345,False,1696,320,1.0,2.4395828247070312,1.6855987310409546,"{""fn"": 77, ""fp"": 74, ""tn"": 124, ""tp"": 45}"
49,A4_rating_distance_guarded_supcon,SupCon,EEG,valence,1,0.5369318181818182,0.5170999308095285,0.5149096627465569,False,1664,352,1.0,4.546957015991211,1.4458047151565552,"{""fn"": 69, ""fp"": 94, ""tn"": 57, ""tp"": 132}"
50,A4_rating_distance_guarded_supcon,SupCon,EEG,valence,2,0.53125,0.5399443561208267,0.530791788856305,False,1664,352,1.0,5.485114097595215,4.094779968261719,"{""fn"": 105, ""fp"": 60, ""tn"": 88, ""tp"": 99}"
51,A4_rating_distance_guarded_supcon,SupCon,EEG,valence,3,0.4772727272727273,0.4816308695506033,0.4744051676567014,False,1664,352,1.0,5.274864673614502,2.672805070877075,"{""fn"": 114, ""fp"": 70, ""tn"": 71, ""tp"": 97}"
52,A4_rating_distance_guarded_supcon,SupCon,EEG,valence,4,0.540625,0.5390688259109312,0.535063009636768,False,1696,320,1.0,5.537415504455566,2.6579222679138184,"{""fn"": 86, ""fp"": 61, ""tn"": 69, ""tp"": 104}"
53,A4_rating_distance_guarded_supcon,SupCon,EEG,valence,5,0.49375,0.49092570289463844,0.4848761874478318,False,1696,320,1.0,4.3748908042907715,1.129041075706482,"{""fn"": 99, ""fp"": 63, ""tn"": 58, ""tp"": 100}"
54,A4_rating_distance_guarded_supcon,SupCon,EEG,valence,6,0.53125,0.5291747996179244,0.5222169135212613,False,1696,320,1.0,4.5987396240234375,1.7308855056762695,"{""fn"": 92, ""fp"": 58, ""tn"": 63, ""tp"": 107}"
55,A4_rating_distance_guarded_supcon,SupCon,EEG,arousal,1,0.5142045454545454,0.5103785707225462,0.5093536791137847,False,1664,352,1.0,4.684579849243164,1.3798061609268188,"{""fn"": 78, ""fp"": 93, ""tn"": 108, ""tp"": 73}"
56,A4_rating_distance_guarded_supcon,SupCon,EEG,arousal,2,0.5397727272727273,0.5374489629266699,0.5368421052631579,False,1664,352,1.0,5.726162433624268,4.09359073638916,"{""fn"": 76, ""fp"": 86, ""tn"": 109, ""tp"": 81}"
57,A4_rating_distance_guarded_supcon,SupCon,EEG,arousal,3,0.5482954545454546,0.5471469628959861,0.5456220824030851,False,1664,352,1.0,4.624279022216797,2.1473302841186523,"{""fn"": 69, ""fp"": 90, ""tn"": 83, ""tp"": 110}"
58,A4_rating_distance_guarded_supcon,SupCon,EEG,arousal,4,0.49375,0.49517241379310345,0.49325513196480936,False,1696,320,1.0,5.528000831604004,3.7335870265960693,"{""fn"": 71, ""fp"": 91, ""tn"": 84, ""tp"": 74}"
59,A4_rating_distance_guarded_supcon,SupCon,EEG,arousal,5,0.559375,0.5566666666666666,0.5566691230655858,False,1696,320,1.0,4.716305732727051,1.0678499937057495,"{""fn"": 73, ""fp"": 68, ""tn"": 102, ""tp"": 77}"
60,A4_rating_distance_guarded_supcon,SupCon,EEG,arousal,6,0.55,0.5466964729259811,0.5405049658968529,False,1696,320,1.0,5.0242462158203125,2.004668951034546,"{""fn"": 57, ""fp"": 87, ""tn"": 111, ""tp"": 65}"
61,A4_rating_distance_guarded_supcon,SupCon,EMG,valence,1,0.46875,0.4582221343613061,0.4582520596199271,False,1664,352,1.0,2.5052123069763184,1.1065579652786255,"{""fn"": 94, ""fp"": 93, ""tn"": 58, ""tp"": 107}"
62,A4_rating_distance_guarded_supcon,SupCon,EMG,valence,2,0.45454545454545453,0.46449390567037624,0.45447500968616816,False,1664,352,1.0,2.185540199279785,2.2958879470825195,"{""fn"": 122, ""fp"": 70, ""tn"": 78, ""tp"": 82}"
63,A4_rating_distance_guarded_supcon,SupCon,EMG,valence,3,0.5113636363636364,0.47947968135524854,0.4771855894442334,False,1664,352,1.0,2.112292766571045,0.8663966655731201,"{""fn"": 76, ""fp"": 96, ""tn"": 45, ""tp"": 135}"
64,A4_rating_distance_guarded_supcon,SupCon,EMG,valence,4,0.46875,0.4870445344129555,0.46872924723622017,False,1696,320,1.0,2.5332419872283936,0.8184636831283569,"{""fn"": 116, ""fp"": 54, ""tn"": 76, ""tp"": 74}"
65,A4_rating_distance_guarded_supcon,SupCon,EMG,valence,5,0.5625,0.5267660617135264,0.5267072346179851,False,1696,320,1.0,4.829814910888672,7.556090354919434,"{""fn"": 65, ""fp"": 75, ""tn"": 46, ""tp"": 134}"
66,A4_rating_distance_guarded_supcon,SupCon,EMG,valence,6,0.515625,0.5376676772291208,0.5148242705245962,False,1696,320,1.0,2.137622594833374,1.57401442527771,"{""fn"": 110, ""fp"": 45, ""tn"": 76, ""tp"": 89}"
67,A4_rating_distance_guarded_supcon,SupCon,EMG,arousal,1,0.5454545454545454,0.5533919804948766,0.545219638242894,False,1664,352,1.0,2.2206199169158936,0.8668094277381897,"{""fn"": 59, ""fp"": 101, ""tn"": 100, ""tp"": 92}"
68,A4_rating_distance_guarded_supcon,SupCon,EMG,arousal,2,0.5397727272727273,0.5337252980565083,0.533751962323391,False,1664,352,1.0,2.3734426498413086,2.4538636207580566,"{""fn"": 82, ""fp"": 80, ""tn"": 115, ""tp"": 75}"
69,A4_rating_distance_guarded_supcon,SupCon,EMG,arousal,3,0.48579545454545453,0.48821325927600345,0.47646164591807383,False,1664,352,1.0,1.9685909748077393,0.9303562045097351,"{""fn"": 117, ""fp"": 64, ""tn"": 109, ""tp"": 62}"
70,A4_rating_distance_guarded_supcon,SupCon,EMG,arousal,4,0.490625,0.4923152709359606,0.49022175744485386,False,1696,320,1.0,2.440523147583008,0.7594959139823914,"{""fn"": 71, ""fp"": 92, ""tn"": 83, ""tp"": 74}"
71,A4_rating_distance_guarded_supcon,SupCon,EMG,arousal,5,0.503125,0.513921568627451,0.4931008717310087,False,1696,320,1.0,4.723143100738525,6.954872131347656,"{""fn"": 47, ""fp"": 112, ""tn"": 58, ""tp"": 103}"
72,A4_rating_distance_guarded_supcon,SupCon,EMG,arousal,6,0.528125,0.4881188938565988,0.48660738001891224,False,1696,320,1.0,2.1826367378234863,1.5148310661315918,"{""fn"": 83, ""fp"": 68, ""tn"": 130, ""tp"": 39}"
73,A6_vrex_only_recheck,DG,EEG,valence,1,0.5369318181818182,0.5113340581858917,0.505306812205237,False,1664,352,0.0,3.2247540950775146,1.1806635856628418,"{""fn"": 62, ""fp"": 101, ""tn"": 50, ""tp"": 139}"
74,A6_vrex_only_recheck,DG,EEG,valence,2,0.5284090909090909,0.5245098039215687,0.5228482769884044,False,1664,352,0.0,3.4567530155181885,2.3198564052581787,"{""fn"": 92, ""fp"": 74, ""tn"": 74, ""tp"": 112}"
75,A6_vrex_only_recheck,DG,EEG,valence,3,0.4630681818181818,0.48154683876172233,0.46306384833297015,False,1664,352,0.0,3.5691635608673096,2.1517231464385986,"{""fn"": 129, ""fp"": 60, ""tn"": 81, ""tp"": 82}"
76,A6_vrex_only_recheck,DG,EEG,valence,4,0.559375,0.55,0.5487954879548795,False,1696,320,0.0,3.8725104331970215,1.3910322189331055,"{""fn"": 76, ""fp"": 65, ""tn"": 65, ""tp"": 114}"
77,A6_vrex_only_recheck,DG,EEG,valence,5,0.490625,0.4803147971261265,0.4773494724396036,False,1696,320,0.0,2.9456629753112793,0.8452926874160767,"{""fn"": 95, ""fp"": 68, ""tn"": 53, ""tp"": 104}"
78,A6_vrex_only_recheck,DG,EEG,valence,6,0.5625,0.5413430790315212,0.5405128205128206,False,1696,320,0.0,3.1173136234283447,0.9644157290458679,"{""fn"": 74, ""fp"": 66, ""tn"": 55, ""tp"": 125}"
79,A6_vrex_only_recheck,DG,EEG,arousal,1,0.5426136363636364,0.5385489769694574,0.5375035704084548,False,1664,352,0.0,3.083760976791382,0.8351413011550903,"{""fn"": 74, ""fp"": 87, ""tn"": 114, ""tp"": 77}"
80,A6_vrex_only_recheck,DG,EEG,arousal,2,0.4914772727272727,0.4833088355381349,0.4830282493292528,False,1664,352,0.0,4.077956199645996,3.471921443939209,"{""fn"": 93, ""fp"": 86, ""tn"": 109, ""tp"": 64}"
81,A6_vrex_only_recheck,DG,EEG,arousal,3,0.5255681818181818,0.5250912261439598,0.5249201923465471,False,1664,352,0.0,3.3671743869781494,1.283315658569336,"{""fn"": 80, ""fp"": 87, ""tn"": 86, ""tp"": 99}"
82,A6_vrex_only_recheck,DG,EEG,arousal,4,0.5,0.49793103448275866,0.4976254955061031,False,1696,320,0.0,3.8901031017303467,1.8196526765823364,"{""fn"": 76, ""fp"": 84, ""tn"": 91, ""tp"": 69}"
83,A6_vrex_only_recheck,DG,EEG,arousal,5,0.503125,0.49745098039215685,0.495633382567234,False,1696,320,0.0,3.149101495742798,0.8273270130157471,"{""fn"": 89, ""fp"": 70, ""tn"": 100, ""tp"": 61}"
84,A6_vrex_only_recheck,DG,EEG,arousal,6,0.53125,0.5378373902964066,0.5265151515151515,False,1696,320,0.0,2.974482297897339,1.2133586406707764,"{""fn"": 53, ""fp"": 97, ""tn"": 101, ""tp"": 69}"
85,A6_vrex_only_recheck,DG,EMG,valence,1,0.4630681818181818,0.45324700998319656,0.4533218291630716,False,1664,352,0.0,1.3529562950134277,0.7391756176948547,"{""fn"": 96, ""fp"": 93, ""tn"": 58, ""tp"": 105}"
86,A6_vrex_only_recheck,DG,EMG,valence,2,0.4602272727272727,0.4823794382617912,0.45811051693404636,False,1664,352,0.0,1.2544302940368652,1.581703543663025,"{""fn"": 134, ""fp"": 56, ""tn"": 92, ""tp"": 70}"
87,A6_vrex_only_recheck,DG,EMG,valence,3,0.5397727272727273,0.511411381130046,0.5105572149551962,False,1664,352,0.0,1.0608927011489868,0.3824912905693054,"{""fn"": 73, ""fp"": 89, ""tn"": 52, ""tp"": 138}"
88,A6_vrex_only_recheck,DG,EMG,valence,4,0.5,0.5036437246963563,0.497171590194846,False,1696,320,0.0,1.201934576034546,0.3915732502937317,"{""fn"": 98, ""fp"": 62, ""tn"": 68, ""tp"": 92}"
89,A6_vrex_only_recheck,DG,EMG,valence,5,0.5625,0.48627434694131816,0.46254618743701714,False,1696,320,0.0,2.2925972938537598,3.952552556991577,"{""fn"": 40, ""fp"": 100, ""tn"": 21, ""tp"": 159}"
90,A6_vrex_only_recheck,DG,EMG,valence,6,0.5125,0.5351551144150505,0.5118134877171022,False,1696,320,0.0,0.9665807485580444,0.8511481285095215,"{""fn"": 111, ""fp"": 45, ""tn"": 76, ""tp"": 88}"
91,A6_vrex_only_recheck,DG,EMG,arousal,1,0.5568181818181818,0.5633422292510954,0.5563025210084034,False,1664,352,0.0,1.1906415224075317,0.4343816339969635,"{""fn"": 59, ""fp"": 97, ""tn"": 104, ""tp"": 92}"
92,A6_vrex_only_recheck,DG,EMG,arousal,2,0.5539772727272727,0.5440633676302467,0.543631033486106,False,1664,352,0.0,1.276286005973816,1.64607572555542,"{""fn"": 86, ""fp"": 71, ""tn"": 124, ""tp"": 71}"
93,A6_vrex_only_recheck,DG,EMG,arousal,3,0.4971590909090909,0.4998708302386411,0.48549485940790293,False,1664,352,0.0,1.1493889093399048,0.373398095369339,"{""fn"": 118, ""fp"": 59, ""tn"": 114, ""tp"": 61}"
94,A6_vrex_only_recheck,DG,EMG,arousal,4,0.50625,0.5006896551724138,0.5006123819683141,False,1696,320,0.0,1.4752342700958252,0.47396162152290344,"{""fn"": 81, ""fp"": 77, ""tn"": 98, ""tp"": 64}"
95,A6_vrex_only_recheck,DG,EMG,arousal,5,0.528125,0.53,0.5281203918007011,False,1696,320,0.0,3.081817865371704,6.167133331298828,"{""fn"": 66, ""fp"": 85, ""tn"": 85, ""tp"": 84}"
96,A6_vrex_only_recheck,DG,EMG,arousal,6,0.515625,0.4843103162775294,0.48418764754209176,False,1696,320,0.0,1.280875563621521,0.8865892291069031,"{""fn"": 79, ""fp"": 76, ""tn"": 122, ""tp"": 43}"
97,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,valence,1,0.5369318181818182,0.5129814503640737,0.5082576984718759,False,1664,352,1.0,4.6382927894592285,1.5136399269104004,"{""fn"": 64, ""fp"": 99, ""tn"": 52, ""tp"": 137}"
98,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,valence,2,0.5056818181818182,0.492845786963434,0.492845786963434,False,1664,352,1.0,4.909210681915283,3.260863780975342,"{""fn"": 87, ""fp"": 87, ""tn"": 61, ""tp"": 117}"
99,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,valence,3,0.46875,0.47687472689993615,0.46719765587690115,False,1664,352,1.0,5.2045698165893555,3.2777040004730225,"{""fn"": 119, ""fp"": 68, ""tn"": 73, ""tp"": 92}"
100,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,valence,4,0.53125,0.5263157894736843,0.5238095238095238,False,1696,320,1.0,5.265203952789307,2.9128878116607666,"{""fn"": 85, ""fp"": 65, ""tn"": 65, ""tp"": 105}"
101,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,valence,5,0.515625,0.5198513227293492,0.5097603162836669,False,1696,320,1.0,4.0145792961120605,1.14434015750885,"{""fn"": 99, ""fp"": 56, ""tn"": 65, ""tp"": 100}"
102,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,valence,6,0.56875,0.5560862162049919,0.5530364372469636,False,1696,320,1.0,4.419911861419678,1.5563780069351196,"{""fn"": 78, ""fp"": 60, ""tn"": 61, ""tp"": 121}"
103,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,arousal,1,0.5426136363636364,0.5418437613258211,0.5394879045692045,False,1664,352,1.0,4.492251873016357,1.3657443523406982,"{""fn"": 70, ""fp"": 91, ""tn"": 110, ""tp"": 81}"
104,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,arousal,2,0.5454545454545454,0.5463008329250367,0.5442628256999514,False,1664,352,1.0,5.887214183807373,4.075132369995117,"{""fn"": 70, ""fp"": 90, ""tn"": 105, ""tp"": 87}"
105,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,arousal,3,0.5284090909090909,0.5282720315174217,0.5282720315174217,False,1664,352,1.0,4.6945295333862305,2.16147518157959,"{""fn"": 83, ""fp"": 83, ""tn"": 90, ""tp"": 96}"
106,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,arousal,4,0.490625,0.49054187192118226,0.4895033031563494,False,1696,320,1.0,5.756667613983154,3.6407930850982666,"{""fn"": 74, ""fp"": 89, ""tn"": 86, ""tp"": 71}"
107,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,arousal,5,0.528125,0.5241176470588236,0.5236546101598005,False,1696,320,1.0,4.580515384674072,1.0542752742767334,"{""fn"": 81, ""fp"": 70, ""tn"": 100, ""tp"": 69}"
108,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,arousal,6,0.525,0.5233482364629906,0.5166739536547558,False,1696,320,1.0,4.3598527908325195,1.5112484693527222,"{""fn"": 59, ""fp"": 93, ""tn"": 105, ""tp"": 63}"
109,A5_cross_subject_supcon_vrex,SupCon_DG,EMG,valence,1,0.4772727272727273,0.47062699746301606,0.47043432757718473,False,1664,352,1.0,2.23970103263855,0.9078652858734131,"{""fn"": 97, ""fp"": 87, ""tn"": 64, ""tp"": 104}"
110,A5_cross_subject_supcon_vrex,SupCon_DG,EMG,valence,2,0.45738636363636365,0.46787228404875464,0.4573469470115824,False,1664,352,1.0,2.3488199710845947,1.9594089984893799,"{""fn"": 122, ""fp"": 69, ""tn"": 79, ""tp"": 82}"
111,A5_cross_subject_supcon_vrex,SupCon_DG,EMG,valence,3,0.5369318181818182,0.5090417128836006,0.5082576984718759,False,1664,352,1.0,2.273336887359619,0.8219177722930908,"{""fn"": 74, ""fp"": 89, ""tn"": 52, ""tp"": 137}"
112,A5_cross_subject_supcon_vrex,SupCon_DG,EMG,valence,4,0.496875,0.4997975708502024,0.4937853107344633,False,1696,320,1.0,2.373903751373291,0.7325907349586487,"{""fn"": 98, ""fp"": 63, ""tn"": 67, ""tp"": 92}"
113,A5_cross_subject_supcon_vrex,SupCon_DG,EMG,valence,5,0.596875,0.5317288923958636,0.5215078067948673,False,1696,320,1.0,4.849228858947754,6.917853832244873,"{""fn"": 40, ""fp"": 89, ""tn"": 32, ""tp"": 159}"
