run_id,cell_id,cell_name,normalization,transductive,strict_nontransductive_allowed,dataset,modality,task,formulation,input,model,fold,n_train_subjects,n_val_subjects,n_train_pairs,n_val_pairs,train_positive_rate,val_positive_rate,accuracy,balanced_accuracy,macro_f1,pred_positive_rate,true_positive_rate,one_class_pred,delta_vs_ref_mean_bal_acc,positive_fold_bal_acc_gt_0_5,leakage_or_transductive_labeling_issue
11,B1,per_subject_zscore_transductive,per-subject z-score using unlabeled subject-level feature statistics,True,False,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),5,53,10,22008,4088,0.5522082878953108,0.5824363992172211,0.50220156555773,0.48078790621024137,0.4794301808322892,0.6267123287671232,0.5824363992172211,False,-0.04088300328975858,False,False
12,B1,per_subject_zscore_transductive,per-subject z-score using unlabeled subject-level feature statistics,True,False,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),6,53,10,21957,4139,0.5551760258687435,0.5663203672384634,0.5385358782314569,0.5197678895681025,0.5171535753462475,0.6441169364580817,0.5663203672384634,False,-0.0019030199318974539,True,False
13,B2,train_fold_standard_scaler_nontransductive,train-fold StandardScaler fit on train subjects only,False,True,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),1,52,11,21694,4402,0.561076795427307,0.5365742844161745,0.5502044525215811,0.5380615878866364,0.5303999032778841,0.6687869150386188,0.5365742844161745,False,0.016390678386636437,True,False
14,B2,train_fold_standard_scaler_nontransductive,train-fold StandardScaler fit on train subjects only,False,True,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),2,52,11,21418,4678,0.5564011579045662,0.5594271056006841,0.5284309533988885,0.5127056196032473,0.5101377221848484,0.6338178708849936,0.5594271056006841,False,-0.008965289896752604,True,False
15,B2,train_fold_standard_scaler_nontransductive,train-fold StandardScaler fit on train subjects only,False,True,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),3,52,11,21478,4618,0.5567091907998882,0.5580337808575141,0.5220874837592031,0.5041730858114892,0.49940526929878654,0.6548289302728454,0.5580337808575141,False,-0.017497823688510716,True,False
16,B2,train_fold_standard_scaler_nontransductive,train-fold StandardScaler fit on train subjects only,False,True,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),4,53,10,21925,4171,0.5601368301026226,0.5401582354351474,0.5320067130184608,0.5166806903736739,0.5053072374513011,0.6921601534404219,0.5401582354351474,False,-0.004990219126326023,True,False
17,B2,train_fold_standard_scaler_nontransductive,train-fold StandardScaler fit on train subjects only,False,True,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),5,53,10,22008,4088,0.5522082878953108,0.5824363992172211,0.5217710371819961,0.49717299151380767,0.4947732493383314,0.6487279843444227,0.5824363992172211,False,-0.024497917986192275,False,False
18,B2,train_fold_standard_scaler_nontransductive,train-fold StandardScaler fit on train subjects only,False,True,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),6,53,10,21957,4139,0.5551760258687435,0.5663203672384634,0.5366030442135782,0.5211277296624108,0.5200349940386797,0.619473302730128,0.5663203672384634,False,-0.0005431798375891139,True,False
19,B3,per_subject_rank_transform_transductive,per-subject rank transform using unlabeled subject-level feature statistics,True,False,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),1,52,11,21694,4402,0.561076795427307,0.5365742844161745,0.5390731485688324,0.5269873487074762,0.5191051308633853,0.6671967287596547,0.5365742844161745,False,0.0053164392074762645,True,False
20,B3,per_subject_rank_transform_transductive,per-subject rank transform using unlabeled subject-level feature statistics,True,False,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),2,52,11,21418,4678,0.5564011579045662,0.5594271056006841,0.5474561778537836,0.5403790614755869,0.5404157042808151,0.5643437366395896,0.5594271056006841,False,0.01870815197558695,True,False
21,B3,per_subject_rank_transform_transductive,per-subject rank transform using unlabeled subject-level feature statistics,True,False,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),3,52,11,21478,4618,0.5567091907998882,0.5580337808575141,0.5441749675184062,0.529262744699892,0.5271203512026073,0.631875270679948,0.5580337808575141,False,0.007591835199892039,True,False
22,B3,per_subject_rank_transform_transductive,per-subject rank transform using unlabeled subject-level feature statistics,True,False,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),4,53,10,21925,4171,0.5601368301026226,0.5401582354351474,0.529848957084632,0.5186370669254804,0.5138788538132577,0.6410932630064733,0.5401582354351474,False,-0.003033842574519552,True,False
23,B3,per_subject_rank_transform_transductive,per-subject rank transform using unlabeled subject-level feature statistics,True,False,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),5,53,10,22008,4088,0.5522082878953108,0.5824363992172211,0.5413405088062623,0.5245858703212579,0.5245150192771475,0.6056751467710372,0.5824363992172211,False,0.0029149608212579725,True,False
24,B3,per_subject_rank_transform_transductive,per-subject rank transform using unlabeled subject-level feature statistics,True,False,I-DARE,EEG,arousal,within_subject_pairwise_affect_preference_ranking,current_STIM_BSL_summary,RidgeClassifier(alpha=1.0),6,53,10,21957,4139,0.5551760258687435,0.5663203672384634,0.5445759845373278,0.5268621597725955,0.5249150289449925,0.6371104131432713,0.5663203672384634,False,0.005191250272595593,True,False
