pair_name,pair_type,left,right,task,policy,recipe,n_aligned,y_true_mismatch,left_error_rate,right_error_rate,both_error_rate,either_error_rate,error_jaccard
label_emg_mainline:valence_vs_arousal,task_overlap,valence,arousal,valence_vs_arousal,midpoint_as_high,ce_class_weighted,2016,0,0.4781746031746032,0.4791666666666667,0.24851190476190477,0.7088293650793651,0.35059482155353394
label_emg_mainline:valence_vs_arousal,task_overlap,valence,arousal,valence_vs_arousal,midpoint_as_low,balanced_sampler_ce,2016,0,0.5109126984126984,0.4742063492063492,0.24603174603174602,0.7390873015873016,0.33288590604026846
label_emg_mainline:valence_vs_arousal,task_overlap,valence,arousal,valence_vs_arousal,midpoint_as_low,ce_class_weighted,2016,0,0.4930555555555556,0.4642857142857143,0.22916666666666666,0.7281746031746031,0.31471389645776565
broader_eeg_stim_bsl_only:valence_vs_arousal,task_overlap,valence,arousal,valence_vs_arousal,midpoint_as_high,balanced_sampler_ce,17136,0,0.4585084033613445,0.4945728291316527,0.22560690943043885,0.7274743230625583,0.3101235360179689
broader_eeg_stim_bsl_only:valence_vs_arousal,task_overlap,valence,arousal,valence_vs_arousal,midpoint_as_high,ce_class_weighted,17136,0,0.45115546218487396,0.4481792717086835,0.2032563025210084,0.696078431372549,0.2920020120724346
broader_eeg_bsl_stats:valence_vs_arousal,task_overlap,valence,arousal,valence_vs_arousal,midpoint_as_high,balanced_sampler_ce,17136,0,0.47280578898225956,0.4900210084033613,0.23447712418300654,0.7283496732026143,0.32192933258553
broader_eeg_bsl_stats:valence_vs_arousal,task_overlap,valence,arousal,valence_vs_arousal,midpoint_as_high,ce_class_weighted,17136,0,0.4835434173669468,0.4768323996265173,0.23336834733893558,0.7270074696545284,0.3209985551452882
broader_emg_feature_only:valence_vs_arousal,task_overlap,valence,arousal,valence_vs_arousal,midpoint_as_high,balanced_sampler_ce,2016,0,0.49007936507936506,0.48412698412698413,0.2584325396825397,0.7157738095238095,0.36105336105336105
broader_emg_feature_only:valence_vs_arousal,task_overlap,valence,arousal,valence_vs_arousal,midpoint_as_high,ce_class_weighted,2016,0,0.4781746031746032,0.4791666666666667,0.24851190476190477,0.7088293650793651,0.35059482155353394
broader_emg_bsl_stats:valence_vs_arousal,task_overlap,valence,arousal,valence_vs_arousal,midpoint_as_high,balanced_sampler_ce,17136,0,0.49188842203548083,0.477999533146592,0.2378034547152194,0.7320845004668534,0.3248306098047031
broader_emg_bsl_stats:valence_vs_arousal,task_overlap,valence,arousal,valence_vs_arousal,midpoint_as_high,ce_class_weighted,17136,0,0.48891223155929037,0.4738562091503268,0.23015873015873015,0.732609710550887,0.3141628166321491
