cache_row,subject_id,subject_col,stimulus_id,eeg_file,eeg_begin_raw,energy_ratio_gt40hz,energy_ratio_gt64hz,stride_vs_poly_z_nrmse,stride_vs_poly_z_corr,stride_vs_lowpass_z_nrmse,stride_vs_lowpass_z_corr,poly_vs_lowpass_z_nrmse,poly_vs_lowpass_z_corr
1105,36,sbj_P_36,1441,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_36.mat,356789.0,0.005832498795743925,0.00027618188359093714,0.01884617861476338,0.99982241077581,0.013904931097391986,0.9999033264455887,0.015703108546018738,0.999876706190996
1106,36,sbj_P_36,Flowers_6,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_36.mat,364968.0,0.007957634804634328,0.00040337670893482853,0.020747515082006264,0.9997847703089607,0.019347574729601743,0.9998128356760414,0.015556331676721217,0.9998790002723822
1107,36,sbj_P_36,Yarn_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_36.mat,374581.0,0.0067765119712983974,0.0003216022739277,0.028682617346179114,0.9995886537310869,0.019171535789761968,0.9998162261077315,0.025207827634833976,0.9996822827129661
1108,36,sbj_P_36,9331,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_36.mat,383183.0,0.011566078143936679,0.0006109887906035697,0.02147956800852921,0.9997693140790834,0.021177823352766276,0.9997757498990198,0.015472495955249844,0.9998803009344569
1109,36,sbj_P_36,Beach_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_36.mat,391335.0,0.0067447241996162815,0.00037037052881850794,0.035793174992051514,0.9993594243119944,0.017816723343066488,0.999841282184658,0.033323152235162606,0.9994447837625561
1110,36,sbj_P_36,2491,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_36.mat,399911.0,0.009056133810357485,0.00040302182009768674,0.03463798555009336,0.9994001049785156,0.020353531437629992,0.9997928668790091,0.03167888047401386,0.9994982242659564
1111,36,sbj_P_36,9360,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_36.mat,407914.0,0.009543671719241453,0.00044374063363108416,0.01976199857598119,0.9998047317061418,0.020017311229644782,0.9997996536255689,0.013872218429226674,0.9999037807779259
1112,36,sbj_P_36,Lake_3,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_36.mat,417303.0,0.0066842931254066235,0.0003205064901780874,0.03331276538118373,0.9994451298313293,0.01718066545094433,0.9998524123673311,0.030813327436389832,0.9995252694261487
1113,36,sbj_P_36,3170,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_36.mat,426076.0,0.008256055367862508,0.0003908662295011943,0.03607513610637218,0.9993492922774535,0.019547471098451247,0.9998089481868271,0.03349699631163899,0.9994389756190488
1114,36,sbj_P_36,8080,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_36.mat,434334.0,0.006565760580306251,0.0002990961772510062,0.03457612543928741,0.9994022457748037,0.014909142004772492,0.9998888587423409,0.03275456954522288,0.9994635690869529
