model,modality,task,subject_id,mean_error,max_error,n_rows,hard_subject_flag
ridge_regression_summary_features,EMG,arousal,47,0.2581904775824619,0.2581904775824619,1,False
ridge_regression_summary_features,EEG,arousal,50,0.2581659609560046,0.2581659609560046,1,False
ridge_regression_summary_features,EEG,arousal,35,0.2581623977941049,0.2581623977941049,1,False
ridge_regression_summary_features,EEG,valence,64,0.2581488762735672,0.2581488762735672,1,False
ridge_regression_summary_features,EMG,arousal,39,0.2581001926407408,0.2581001926407408,1,False
mean_baseline_no_training,EEG,valence,61,0.2580645161290323,0.2580645161290323,1,False
mean_baseline_no_training,EMG,valence,61,0.2580645161290323,0.2580645161290323,1,False
mean_baseline_no_training,EEG,arousal,2,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,arousal,8,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,arousal,18,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,arousal,21,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,arousal,27,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,arousal,34,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,arousal,35,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,arousal,43,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,arousal,44,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,arousal,48,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,arousal,56,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,arousal,57,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,arousal,58,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,arousal,60,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,arousal,64,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,valence,2,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,valence,5,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,valence,8,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,valence,20,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,valence,21,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,valence,29,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,valence,31,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,valence,42,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,valence,43,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,valence,56,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EEG,valence,58,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,arousal,2,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,arousal,8,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,arousal,18,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,arousal,21,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,arousal,27,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,arousal,34,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,arousal,35,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,arousal,43,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,arousal,44,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,arousal,48,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,arousal,56,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,arousal,57,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,arousal,58,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,arousal,60,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,arousal,64,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,valence,2,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,valence,5,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,valence,8,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,valence,20,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,valence,21,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,valence,29,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,valence,31,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,valence,42,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,valence,43,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,valence,56,0.2580645161290322,0.2580645161290322,1,False
mean_baseline_no_training,EMG,valence,58,0.2580645161290322,0.2580645161290322,1,False
ridge_regression_summary_features,EMG,arousal,8,0.2580485984732657,0.2580485984732657,1,False
ridge_regression_summary_features,EMG,arousal,32,0.2580179194050476,0.2580179194050476,1,False
ridge_regression_summary_features,EMG,valence,30,0.2579834396535801,0.2579834396535801,1,False
ridge_regression_summary_features,EMG,arousal,1,0.2579633700734206,0.2579633700734206,1,False
ridge_regression_summary_features,EMG,arousal,9,0.2579347009935078,0.2579347009935078,1,False
ridge_regression_summary_features,EMG,valence,20,0.2578317122774886,0.2578317122774886,1,False
ridge_regression_summary_features,EMG,valence,53,0.2578026608122637,0.2578026608122637,1,False
ridge_regression_summary_features,EMG,valence,65,0.257452195802541,0.257452195802541,1,False
ridge_regression_summary_features,EMG,arousal,40,0.2574166858844025,0.2574166858844025,1,False
ridge_regression_summary_features,EMG,arousal,60,0.2573227619096701,0.2573227619096701,1,False
ridge_regression_summary_features,EMG,valence,36,0.2573167610509535,0.2573167610509535,1,False
ridge_regression_summary_features,EMG,valence,40,0.2572171008000497,0.2572171008000497,1,False
ridge_regression_summary_features,EMG,arousal,17,0.2571468191389806,0.2571468191389806,1,False
ridge_regression_summary_features,EMG,arousal,62,0.257084600893753,0.257084600893753,1,False
ridge_regression_summary_features,EMG,arousal,5,0.2570704312617706,0.2570704312617706,1,False
mean_baseline_no_training,EEG,arousal,1,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,3,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,9,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,10,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,12,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,14,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,15,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,16,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,22,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,24,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,25,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,26,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,29,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,31,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,33,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,39,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,40,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,46,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,47,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,49,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,50,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,52,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,53,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,61,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,62,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,arousal,63,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,valence,1,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,valence,3,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,valence,6,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,valence,26,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,valence,30,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,valence,36,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,valence,39,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,valence,40,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,valence,46,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,valence,47,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,valence,48,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,valence,50,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,valence,52,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,valence,59,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EEG,valence,65,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,1,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,3,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,9,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,10,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,12,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,14,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,15,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,16,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,22,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,24,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,25,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,26,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,29,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,31,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,33,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,39,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,40,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,46,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,47,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,49,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,50,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,52,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,53,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,61,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,62,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,arousal,63,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,valence,1,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,valence,3,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,valence,6,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,valence,26,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,valence,30,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,valence,36,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,valence,39,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,valence,40,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,valence,46,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,valence,47,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,valence,48,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,valence,50,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,valence,52,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,valence,59,0.2570564516129032,0.2570564516129032,1,False
mean_baseline_no_training,EMG,valence,65,0.2570564516129032,0.2570564516129032,1,False
ridge_regression_summary_features,EEG,valence,20,0.2570476313848957,0.2570476313848957,1,False
ridge_regression_summary_features,EMG,arousal,16,0.2569872569472352,0.2569872569472352,1,False
ridge_regression_summary_features,EMG,arousal,43,0.2568445549139535,0.2568445549139535,1,False
ridge_regression_summary_features,EMG,arousal,18,0.2568367140996662,0.2568367140996662,1,False
ridge_regression_summary_features,EMG,valence,29,0.2567415749756282,0.2567415749756282,1,False
ridge_regression_summary_features,EMG,valence,2,0.2566931335606902,0.2566931335606902,1,False
ridge_regression_summary_features,EMG,valence,31,0.2565209670733778,0.2565209670733778,1,False
ridge_regression_summary_features,EMG,valence,10,0.2564149794537115,0.2564149794537115,1,False
ridge_regression_summary_features,EEG,valence,12,0.2564008343252648,0.2564008343252648,1,False
ridge_regression_summary_features,EMG,arousal,46,0.256396550109304,0.256396550109304,1,False
ridge_regression_summary_features,EMG,valence,60,0.2563932722948722,0.2563932722948722,1,False
ridge_regression_summary_features,EMG,arousal,48,0.2562754914462387,0.2562754914462387,1,False
ridge_regression_summary_features,EMG,valence,50,0.2560444531857385,0.2560444531857385,1,False
ridge_regression_summary_features,EEG,arousal,55,0.2559606162810574,0.2559606162810574,1,False
ridge_regression_summary_features,EMG,arousal,26,0.2558821771128371,0.2558821771128371,1,False
ridge_regression_summary_features,EMG,arousal,20,0.2557858629419398,0.2557858629419398,1,False
ridge_regression_summary_features,EEG,valence,18,0.2557826445287073,0.2557826445287073,1,False
ridge_regression_summary_features,EMG,valence,21,0.2556968550344945,0.2556968550344945,1,False
ridge_regression_summary_features,EEG,valence,6,0.2556600312795633,0.2556600312795633,1,False
ridge_regression_summary_features,EMG,arousal,28,0.2556121108540192,0.2556121108540192,1,False
ridge_regression_summary_features,EMG,arousal,19,0.2556053959968318,0.2556053959968318,1,False
ridge_regression_summary_features,EEG,arousal,44,0.2554615821317312,0.2554615821317312,1,False
ridge_regression_summary_features,EMG,arousal,65,0.2552261999713848,0.2552261999713848,1,False
ridge_regression_summary_features,EMG,arousal,38,0.2552104678351279,0.2552104678351279,1,False
ridge_regression_summary_features,EMG,arousal,3,0.2551468429439135,0.2551468429439135,1,False
ridge_regression_summary_features,EMG,arousal,50,0.2545859281640829,0.2545859281640829,1,False
ridge_regression_summary_features,EMG,valence,3,0.2545779822965379,0.2545779822965379,1,False
ridge_regression_summary_features,EMG,valence,35,0.2543998268400519,0.2543998268400519,1,False
mean_baseline_no_training,EEG,arousal,5,0.2540322580645161,0.2540322580645161,1,False
mean_baseline_no_training,EEG,arousal,17,0.2540322580645161,0.2540322580645161,1,False
mean_baseline_no_training,EEG,arousal,19,0.2540322580645161,0.2540322580645161,1,False
