source_group,source_name,modality,variant,task,label_policy,recipe,level,fold_id,n,default_macro_f1,default_balanced_accuracy,default_accuracy,default_pred_0,default_pred_1,best_threshold,best_macro_f1,best_balanced_accuracy,best_accuracy,best_pred_0,best_pred_1,threshold_one_class,macro_f1_gain,balanced_accuracy_gain
label_policy_ablation,idare_label_policy_ablation_emg_primary_predictions.csv,EMG,mainline_label_policy_ablation,arousal,midpoint_as_low,balanced_sampler_ce,overall,,2016,0.5132205855610111,0.5281772748331641,0.5257936507936508,1011,1005,0.5547116994857788,0.5307495875799417,0.53072704630661,0.5912698412698413,1411,605,False,0.017529002018930595,0.0025497714734459276
label_policy_ablation,idare_label_policy_ablation_emg_primary_predictions.csv,EMG,mainline_label_policy_ablation,arousal,midpoint_as_low,ce_class_weighted,overall,,2016,0.5162889896027726,0.525154349890419,0.5357142857142857,1091,925,0.55,0.5389699394714982,0.5391271632806621,0.6046626984126984,1448,568,False,0.022680949868725597,0.013972813390243144
label_policy_ablation,idare_label_policy_ablation_emg_primary_predictions.csv,EMG,mainline_label_policy_ablation,valence,discard_midpoint,balanced_sampler_ce,overall,,1667,0.5012939734717416,0.5034713219831187,0.5020995800839833,922,745,0.49,0.5165550396634164,0.5167869386108951,0.5176964607078585,774,893,False,0.015261066191674777,0.013315616627776361
label_policy_ablation,idare_label_policy_ablation_emg_primary_predictions.csv,EMG,mainline_label_policy_ablation,valence,discard_midpoint,ce_class_weighted,overall,,1667,0.5049593157925997,0.5050017284590788,0.5050989802039592,827,840,0.49,0.511281331228691,0.5137318871892375,0.5158968206358728,693,974,False,0.006322015436091344,0.0087301587301587
label_policy_ablation,idare_label_policy_ablation_emg_primary_predictions.csv,EMG,mainline_label_policy_ablation,valence,midpoint_as_high,balanced_sampler_ce,overall,,2016,0.5065751727896549,0.5133176767098179,0.5099206349206349,1038,978,0.48563681542873377,0.5137522267719672,0.5151363271852446,0.5243055555555556,907,1109,False,0.007177053982312276,0.0018186504754267308
label_policy_ablation,idare_label_policy_ablation_emg_primary_predictions.csv,EMG,mainline_label_policy_ablation,valence,midpoint_as_high,ce_class_weighted,overall,,2016,0.516062328928129,0.520277236796884,0.5218253968253969,984,1032,0.49,0.5205552890719788,0.5217665253751862,0.5317460317460317,896,1120,False,0.004492960143849811,0.001489288578302217
label_policy_ablation,idare_label_policy_ablation_emg_primary_predictions.csv,EMG,mainline_label_policy_ablation,valence,midpoint_as_low,balanced_sampler_ce,overall,,2016,0.4863188559531678,0.48921528627770977,0.48908730158730157,1003,1013,0.51,0.5016903094317648,0.5017453193707784,0.5148809523809523,1183,833,False,0.01537145347859703,0.012530033093068604
label_policy_ablation,idare_label_policy_ablation_emg_primary_predictions.csv,EMG,mainline_label_policy_ablation,valence,midpoint_as_low,ce_class_weighted,overall,,2016,0.5048215493007864,0.5087265968538919,0.5069444444444444,987,1029,0.5,0.5048215493007864,0.5087265968538919,0.5069444444444444,987,1029,False,0.0,0.0
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,arousal,midpoint_as_high,balanced_sampler_ce,fold,1,352,0.5166553584698395,0.5318111429606932,0.5170454545454546,141,211,0.68,0.5303196416885512,0.5328490000329479,0.5539772727272727,230,122,False,0.013664283218711715,0.0010378570722546776
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,arousal,midpoint_as_high,balanced_sampler_ce,fold,2,352,0.5113005295105257,0.5161522129674996,0.5113636363636364,161,191,0.62,0.5333472297494476,0.5352114976318798,0.5482954545454546,220,132,False,0.022046700238921857,0.019059284664380227
broader_eval_primary,idare_broader_eval_eeg_bsl_stats_primary_predictions.csv,EEG,bsl_stats,arousal,midpoint_as_high,balanced_sampler_ce,fold,3,352,0.5426286856571714,0.553976814027836,0.5568181818181818,117,235,0.64,0.5531658567743918,0.553411696321891,0.5539772727272727,164,188,False,0.010537171117220412,-0.0005651177059450285
