method,modality,task,fold,n_runs,mean_macro_f1,mean_balanced_accuracy,mean_accuracy,best_macro_f1,worst_macro_f1,one_class_pred_count
CE_plus_SupCon_plus_VREx,EMG,valence,2,1,0.5081875628499423,0.514831970040406,0.512280701754386,0.5081875628499423,0.5081875628499423,0
CE_plus_SupCon_plus_VREx,EMG,valence,3,1,0.4832690688294995,0.5053322855859901,0.5093632958801498,0.4832690688294995,0.4832690688294995,0
CE_plus_SupCon_plus_VREx,EMG,valence,4,1,0.519740328563858,0.531890368852459,0.536,0.519740328563858,0.519740328563858,0
CE_plus_SupCon_plus_VREx,EMG,valence,5,1,0.5086751101758844,0.5151273037179078,0.509090909090909,0.5086751101758844,0.5086751101758844,0
CE_plus_SupCon_plus_VREx,EMG,valence,6,1,0.5090712832648316,0.5198577041520654,0.5309090909090909,0.5090712832648316,0.5090712832648316,0
CE_plus_VREx,EEG,arousal,1,1,0.4976576837631604,0.5023261278195489,0.515358361774744,0.4976576837631604,0.4976576837631604,0
CE_plus_VREx,EEG,arousal,2,1,0.4966039796580088,0.5020186335403727,0.5116279069767442,0.4966039796580088,0.4966039796580088,0
CE_plus_VREx,EEG,arousal,3,1,0.5348084352619604,0.5349752792528841,0.53515625,0.5348084352619604,0.5348084352619604,0
CE_plus_VREx,EEG,arousal,4,1,0.5249919032710786,0.5297202797202797,0.5345454545454545,0.5249919032710786,0.5249919032710786,0
CE_plus_VREx,EEG,arousal,5,1,0.4461538461538461,0.4465766406064913,0.4461538461538462,0.4461538461538461,0.4461538461538461,0
CE_plus_VREx,EEG,arousal,6,1,0.4918740133804405,0.4924879807692308,0.4922480620155038,0.4918740133804405,0.4918740133804405,0
CE_plus_VREx,EEG,valence,1,1,0.5245974662317074,0.5246206174777603,0.5270758122743683,0.5245974662317074,0.5245974662317074,0
CE_plus_VREx,EEG,valence,2,1,0.4627345646307955,0.4641273282743667,0.4631578947368421,0.4627345646307955,0.4627345646307955,0
CE_plus_VREx,EEG,valence,3,1,0.5017608350988453,0.5023293668612483,0.50187265917603,0.5017608350988453,0.5017608350988453,0
CE_plus_VREx,EEG,valence,4,1,0.4993863445513856,0.5065957991803278,0.504,0.4993863445513856,0.4993863445513856,0
CE_plus_VREx,EEG,valence,5,1,0.4995349213410442,0.5243155427719186,0.509090909090909,0.4995349213410442,0.4995349213410442,0
CE_plus_VREx,EEG,valence,6,1,0.4475249116039859,0.4632844855049378,0.4545454545454545,0.4475249116039859,0.4475249116039859,0
CE_plus_VREx,EMG,arousal,1,1,0.4637640613160808,0.4706766917293233,0.4641638225255973,0.4637640613160808,0.4637640613160808,0
CE_plus_VREx,EMG,arousal,2,1,0.4380121862597127,0.45527950310559,0.4451827242524916,0.4380121862597127,0.4380121862597127,0
CE_plus_VREx,EMG,arousal,3,1,0.5186425131850493,0.5198986754562657,0.51953125,0.5186425131850493,0.5186425131850493,0
CE_plus_VREx,EMG,arousal,4,1,0.5506535947712419,0.5527389277389277,0.5563636363636364,0.5506535947712419,0.5506535947712419,0
CE_plus_VREx,EMG,arousal,5,1,0.4992161254199329,0.5072850035536602,0.5038461538461538,0.4992161254199329,0.4992161254199329,0
CE_plus_VREx,EMG,arousal,6,1,0.5265624289115698,0.5302884615384615,0.5310077519379846,0.5265624289115698,0.5265624289115698,0
CE_plus_VREx,EMG,valence,1,1,0.4831884403159859,0.4852694924123495,0.4909747292418772,0.4831884403159859,0.4831884403159859,0
CE_plus_VREx,EMG,valence,2,1,0.4376097222411236,0.4839361387602247,0.4912280701754385,0.4376097222411236,0.4376097222411236,0
CE_plus_VREx,EMG,valence,3,1,0.5161752517945188,0.5163336326897171,0.5168539325842697,0.5161752517945188,0.5161752517945188,0
CE_plus_VREx,EMG,valence,4,1,0.4919918718699499,0.4923796106557377,0.492,0.4919918718699499,0.4919918718699499,0
CE_plus_VREx,EMG,valence,5,1,0.5537163258682245,0.5550495365931608,0.5636363636363636,0.5537163258682245,0.5537163258682245,0
CE_plus_VREx,EMG,valence,6,1,0.5563108336859924,0.5578209620898376,0.5563636363636364,0.5563108336859924,0.5563108336859924,0
