planned_run_id,candidate_id,method_family,modality,task,fold,positive_policy,negative_policy,sampler_policy,loss,dg_regularizer,temperature,lambda_supcon,lambda_vrex,supcon_warmup_epochs,vrex_warmup_epochs,epochs,seed,authorized
16,A0_CE_control,control,EMG,valence,4,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
17,A0_CE_control,control,EMG,valence,5,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
18,A0_CE_control,control,EMG,valence,6,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
19,A0_CE_control,control,EMG,arousal,1,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
20,A0_CE_control,control,EMG,arousal,2,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
21,A0_CE_control,control,EMG,arousal,3,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
22,A0_CE_control,control,EMG,arousal,4,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
23,A0_CE_control,control,EMG,arousal,5,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
24,A0_CE_control,control,EMG,arousal,6,none,none,subject_balanced_label_balanced,CE,none,0.10,0.00,0.00,0,0,12,11,yes
25,A2_cross_subject_positive_only,SupCon,EEG,valence,1,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
26,A2_cross_subject_positive_only,SupCon,EEG,valence,2,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
27,A2_cross_subject_positive_only,SupCon,EEG,valence,3,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
28,A2_cross_subject_positive_only,SupCon,EEG,valence,4,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
29,A2_cross_subject_positive_only,SupCon,EEG,valence,5,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
30,A2_cross_subject_positive_only,SupCon,EEG,valence,6,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
31,A2_cross_subject_positive_only,SupCon,EEG,arousal,1,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
32,A2_cross_subject_positive_only,SupCon,EEG,arousal,2,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
33,A2_cross_subject_positive_only,SupCon,EEG,arousal,3,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
34,A2_cross_subject_positive_only,SupCon,EEG,arousal,4,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
35,A2_cross_subject_positive_only,SupCon,EEG,arousal,5,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
36,A2_cross_subject_positive_only,SupCon,EEG,arousal,6,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
37,A2_cross_subject_positive_only,SupCon,EMG,valence,1,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
38,A2_cross_subject_positive_only,SupCon,EMG,valence,2,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
39,A2_cross_subject_positive_only,SupCon,EMG,valence,3,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
40,A2_cross_subject_positive_only,SupCon,EMG,valence,4,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
41,A2_cross_subject_positive_only,SupCon,EMG,valence,5,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
42,A2_cross_subject_positive_only,SupCon,EMG,valence,6,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
43,A2_cross_subject_positive_only,SupCon,EMG,arousal,1,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
44,A2_cross_subject_positive_only,SupCon,EMG,arousal,2,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
45,A2_cross_subject_positive_only,SupCon,EMG,arousal,3,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
46,A2_cross_subject_positive_only,SupCon,EMG,arousal,4,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
47,A2_cross_subject_positive_only,SupCon,EMG,arousal,5,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
48,A2_cross_subject_positive_only,SupCon,EMG,arousal,6,"same label, cross-subject positives only",opposite label; avoid same-subject negatives when possible,multi_subject_per_class_batch,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
49,A4_rating_distance_guarded_supcon,SupCon,EEG,valence,1,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
50,A4_rating_distance_guarded_supcon,SupCon,EEG,valence,2,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
51,A4_rating_distance_guarded_supcon,SupCon,EEG,valence,3,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
52,A4_rating_distance_guarded_supcon,SupCon,EEG,valence,4,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
53,A4_rating_distance_guarded_supcon,SupCon,EEG,valence,5,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
54,A4_rating_distance_guarded_supcon,SupCon,EEG,valence,6,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
55,A4_rating_distance_guarded_supcon,SupCon,EEG,arousal,1,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
56,A4_rating_distance_guarded_supcon,SupCon,EEG,arousal,2,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
57,A4_rating_distance_guarded_supcon,SupCon,EEG,arousal,3,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
58,A4_rating_distance_guarded_supcon,SupCon,EEG,arousal,4,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
59,A4_rating_distance_guarded_supcon,SupCon,EEG,arousal,5,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
60,A4_rating_distance_guarded_supcon,SupCon,EEG,arousal,6,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
61,A4_rating_distance_guarded_supcon,SupCon,EMG,valence,1,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
62,A4_rating_distance_guarded_supcon,SupCon,EMG,valence,2,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
63,A4_rating_distance_guarded_supcon,SupCon,EMG,valence,3,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
64,A4_rating_distance_guarded_supcon,SupCon,EMG,valence,4,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
65,A4_rating_distance_guarded_supcon,SupCon,EMG,valence,5,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
66,A4_rating_distance_guarded_supcon,SupCon,EMG,valence,6,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
67,A4_rating_distance_guarded_supcon,SupCon,EMG,arousal,1,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
68,A4_rating_distance_guarded_supcon,SupCon,EMG,arousal,2,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
69,A4_rating_distance_guarded_supcon,SupCon,EMG,arousal,3,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
70,A4_rating_distance_guarded_supcon,SupCon,EMG,arousal,4,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
71,A4_rating_distance_guarded_supcon,SupCon,EMG,arousal,5,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
72,A4_rating_distance_guarded_supcon,SupCon,EMG,arousal,6,same class and close subject-relative rating quantile,opposite class only if rating-distance margin is large,label_balanced_distance_guarded,CE + SupCon,none,0.10,0.10,0.00,2,0,12,11,yes
73,A6_vrex_only_recheck,DG,EEG,valence,1,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
74,A6_vrex_only_recheck,DG,EEG,valence,2,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
75,A6_vrex_only_recheck,DG,EEG,valence,3,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
76,A6_vrex_only_recheck,DG,EEG,valence,4,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
77,A6_vrex_only_recheck,DG,EEG,valence,5,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
78,A6_vrex_only_recheck,DG,EEG,valence,6,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
79,A6_vrex_only_recheck,DG,EEG,arousal,1,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
80,A6_vrex_only_recheck,DG,EEG,arousal,2,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
81,A6_vrex_only_recheck,DG,EEG,arousal,3,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
82,A6_vrex_only_recheck,DG,EEG,arousal,4,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
83,A6_vrex_only_recheck,DG,EEG,arousal,5,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
84,A6_vrex_only_recheck,DG,EEG,arousal,6,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
85,A6_vrex_only_recheck,DG,EMG,valence,1,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
86,A6_vrex_only_recheck,DG,EMG,valence,2,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
87,A6_vrex_only_recheck,DG,EMG,valence,3,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
88,A6_vrex_only_recheck,DG,EMG,valence,4,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
89,A6_vrex_only_recheck,DG,EMG,valence,5,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
90,A6_vrex_only_recheck,DG,EMG,valence,6,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
91,A6_vrex_only_recheck,DG,EMG,arousal,1,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
92,A6_vrex_only_recheck,DG,EMG,arousal,2,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
93,A6_vrex_only_recheck,DG,EMG,arousal,3,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
94,A6_vrex_only_recheck,DG,EMG,arousal,4,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
95,A6_vrex_only_recheck,DG,EMG,arousal,5,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
96,A6_vrex_only_recheck,DG,EMG,arousal,6,none,none,subject_balanced_label_balanced,CE + VREx,VREx by training subject after warmup,0.10,0.00,0.10,0,4,12,11,yes
97,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,valence,1,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
98,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,valence,2,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
99,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,valence,3,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
100,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,valence,4,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
101,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,valence,5,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
102,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,valence,6,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
103,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,arousal,1,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
104,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,arousal,2,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
105,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,arousal,3,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
106,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,arousal,4,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
107,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,arousal,5,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
108,A5_cross_subject_supcon_vrex,SupCon_DG,EEG,arousal,6,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
109,A5_cross_subject_supcon_vrex,SupCon_DG,EMG,valence,1,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
110,A5_cross_subject_supcon_vrex,SupCon_DG,EMG,valence,2,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
111,A5_cross_subject_supcon_vrex,SupCon_DG,EMG,valence,3,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
112,A5_cross_subject_supcon_vrex,SupCon_DG,EMG,valence,4,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
113,A5_cross_subject_supcon_vrex,SupCon_DG,EMG,valence,5,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
114,A5_cross_subject_supcon_vrex,SupCon_DG,EMG,valence,6,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
115,A5_cross_subject_supcon_vrex,SupCon_DG,EMG,arousal,1,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
116,A5_cross_subject_supcon_vrex,SupCon_DG,EMG,arousal,2,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
117,A5_cross_subject_supcon_vrex,SupCon_DG,EMG,arousal,3,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
118,A5_cross_subject_supcon_vrex,SupCon_DG,EMG,arousal,4,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
119,A5_cross_subject_supcon_vrex,SupCon_DG,EMG,arousal,5,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
120,A5_cross_subject_supcon_vrex,SupCon_DG,EMG,arousal,6,"same label, cross-subject positives only",opposite label with rating-distance guard,multi_subject_per_class_batch,CE + SupCon + VREx,VREx by training subject after warmup,0.10,0.10,0.10,2,4,12,11,yes
