source_id,family,modality,representation,task,policy,recipe,subject_id,n,accuracy,balanced_accuracy,macro_f1,majority_accuracy,true_0,true_1,pred_0,pred_1,tn,fp,fn,tp,one_class_pred,prob1_mean,prob1_std,prob1_q05,prob1_median,prob1_q95,brier,ece_10,best_threshold,best_threshold_macro_f1,best_threshold_balanced_accuracy,best_threshold_accuracy,best_threshold_pred_0,best_threshold_pred_1,threshold_macro_f1_gain,threshold_balanced_accuracy_gain,prediction_skew_abs
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,arousal,midpoint_as_high,balanced_sampler_ce,13,32,0.28125,0.15,0.21951219512195122,0.9375,30,2,11,21,9,21,2,0,False,0.5954262018203735,0.27583934133338306,0.11197432503104209,0.6710195541381836,0.9067532062530518,0.45179956356792617,0.5279673840850592,0.9199999999999999,0.4838709677419355,0.5,0.9375,32,0,0.2643587726199843,0.35,0.15625
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,balanced_sampler_ce,16,32,0.28125,0.4090909090909091,0.21951219512195122,0.65625,21,11,2,30,0,21,2,9,False,,,,,,,,,,,,0,0,,,0.4375
label_eeg_mainline,label_policy_ablation,EEG,STIM-BSL-only,valence,discard_midpoint,ce_class_weighted,11,28,0.2857142857142857,0.2857142857142857,0.2222222222222222,0.5,14,14,22,6,8,6,14,0,False,0.35964239614882637,0.2647882031153841,0.051419098116457396,0.30569554865360254,0.8509789645671844,0.42477047495048803,0.47335867251136476,0.32499999999999996,0.5351213282247764,0.5357142857142857,0.5357142857142857,15,13,0.3128991060025542,0.25,0.2857142857142857
broader_emg_feature_only,broader_primary,EMG,feature-only,arousal,midpoint_as_high,balanced_sampler_ce,28,32,0.25,0.4583333333333333,0.22267206477732793,0.75,24,8,2,30,1,23,1,7,False,0.5703833708539605,0.04933285169345624,0.5028033509850501,0.5694353580474854,0.6412274777889252,0.3016231036727407,0.32401424180716276,0.5199999999999999,0.43750000000000006,0.5833333333333334,0.4375,8,24,0.21482793522267213,0.12500000000000006,0.4375
broader_emg_feature_only,broader_primary,EMG,feature-only,valence,midpoint_as_high,balanced_sampler_ce,55,32,0.25,0.4583333333333333,0.22267206477732793,0.75,8,24,30,2,7,1,23,1,False,0.45938452798873186,0.02879984959756944,0.4201784074306488,0.4584573954343796,0.5074567079544067,0.27459931226235923,0.29476075898855925,0.42999999999999994,0.6621417797888386,0.6458333333333333,0.78125,5,27,0.43946971501151066,0.18749999999999994,0.4375
label_emg_mainline,label_policy_ablation,EMG,feature-only,arousal,midpoint_as_high,balanced_sampler_ce,28,32,0.25,0.4583333333333333,0.22267206477732793,0.75,24,8,2,30,1,23,1,7,False,0.5703833708539605,0.04933285169345624,0.5028033509850501,0.5694353580474854,0.6412274777889252,0.3016231036727407,0.32401424180716276,0.5199999999999999,0.43750000000000006,0.5833333333333334,0.4375,8,24,0.21482793522267213,0.12500000000000006,0.4375
label_emg_mainline,label_policy_ablation,EMG,feature-only,valence,midpoint_as_high,balanced_sampler_ce,55,32,0.25,0.4583333333333333,0.22267206477732793,0.75,8,24,30,2,7,1,23,1,False,0.45938452798873186,0.02879984959756944,0.4201784074306488,0.4584573954343796,0.5074567079544067,0.27459931226235923,0.29476075898855925,0.42999999999999994,0.6621417797888386,0.6458333333333333,0.78125,5,27,0.43946971501151066,0.18749999999999994,0.4375
label_eeg_mainline,label_policy_ablation,EEG,STIM-BSL-only,arousal,midpoint_as_high,balanced_sampler_ce,19,32,0.25,0.4106280193236715,0.22267206477732795,0.71875,9,23,29,3,7,2,22,1,False,0.13093213416868815,0.19938200642839468,0.008932158956304174,0.032566032372415,0.5613901734352111,0.6060539195718642,0.6500541376299225,0.0229081865400075,0.5636363636363636,0.5700483091787439,0.625,11,21,0.3409642988590357,0.15942028985507245,0.40625
label_eeg_mainline,label_policy_ablation,EEG,STIM-BSL-only,arousal,discard_midpoint,ce_class_weighted,14,28,0.25,0.3653846153846154,0.22529644268774704,0.9285714285714286,26,2,7,21,6,20,1,1,False,0.6699538563511201,0.29381202119176664,0.14254401624202723,0.7634854018688202,0.9591038942337036,0.5434967263441997,0.5721728554261583,0.9666624665260316,0.4716981132075472,0.4807692307692308,0.8928571428571429,27,1,0.24640167051980014,0.11538461538461536,0.25
label_emg_mainline,label_policy_ablation,EMG,feature-only,arousal,discard_midpoint,balanced_sampler_ce,65,30,0.23333333333333334,0.35795454545454547,0.2255892255892256,0.7333333333333333,22,8,5,25,2,20,3,5,False,0.5475400606791179,0.06673763663188612,0.4464115887880325,0.5457202196121216,0.6896005928516388,0.3048052340783696,0.32915354172388706,0.57,0.5111111111111111,0.5113636363636364,0.6333333333333333,23,7,0.2855218855218855,0.15340909090909088,0.33333333333333337
