global_run_id,design_run_id,stage,method,modality,task,fold,seed,label_formulation,recipe,hyperparameter_tag,n_train,n_val,train_subject_count,val_subject_count,val_subjects,epochs,lr,hidden_dim,projection_dim,tau,lambda_supcon,lambda_vrex,warmup_epochs,positive_pair_coverage_train,row_overlap,subject_overlap,final_accuracy,final_balanced_accuracy,final_macro_f1,majority_accuracy,one_class_pred,pred_count_0,pred_count_1,tp,tn,fp,fn
30,9,first_pass_dg_probe,CE_plus_VREx,EEG,valence,6,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1354,275,53,10,12 15 16 18 21 22 32 33 41 50,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.45454545454545453,0.46328448550493784,0.4475249116039859,0.5309090909090909,False,98,177,78,47,99,51
31,10,first_pass_dg_probe,CE_plus_VREx,EEG,arousal,1,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1350,293,51,11,6 7 8 13 28 45 50 54 58 63 65,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.515358361774744,0.5023261278195489,0.49765768376316044,0.5460750853242321,False,188,105,48,103,57,85
32,10,first_pass_dg_probe,CE_plus_VREx,EEG,arousal,2,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1342,301,51,11,2 5 11 17 26 31 34 41 44 46 49,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.5116279069767442,0.5020186335403727,0.49660397965800884,0.5348837209302325,False,192,109,51,103,58,89
33,10,first_pass_dg_probe,CE_plus_VREx,EEG,arousal,3,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1387,256,52,10,9 10 20 35 36 39 47 48 59 62,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.53515625,0.5349752792528841,0.5348084352619604,0.50390625,False,134,122,65,72,57,62
34,10,first_pass_dg_probe,CE_plus_VREx,EEG,arousal,4,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1368,275,52,10,1 3 19 25 40 43 53 55 57 61,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.5345454545454545,0.5297202797202797,0.5249919032710786,0.52,False,104,171,93,54,78,50
35,10,first_pass_dg_probe,CE_plus_VREx,EEG,arousal,5,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1383,260,52,10,14 23 24 27 29 30 38 56 60 64,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.4461538461538462,0.4465766406064913,0.4461538461538461,0.5153846153846153,False,126,134,58,58,76,68
36,10,first_pass_dg_probe,CE_plus_VREx,EEG,arousal,6,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1385,258,52,10,12 15 16 18 21 22 32 33 42 52,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.49224806201550386,0.4924879807692308,0.49187401338044057,0.5038759689922481,False,121,137,67,60,70,61
37,11,first_pass_dg_probe,CE_plus_VREx,EMG,valence,1,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1352,277,52,11,6 7 8 13 28 38 43 54 58 59 65,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.49097472924187724,0.4852694924123495,0.4831884403159859,0.5306859205776173,False,164,113,51,85,62,79
38,11,first_pass_dg_probe,CE_plus_VREx,EMG,valence,2,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1344,285,52,11,2 5 11 17 26 31 34 44 46 49 63,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.49122807017543857,0.4839361387602247,0.4376097222411236,0.512280701754386,False,227,58,26,114,32,113
39,11,first_pass_dg_probe,CE_plus_VREx,EMG,valence,3,11,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,1362,267,52,11,9 10 20 35 39 45 47 48 52 57 62,12,0.001,64,64,0.1,0.0,0.05,3,1.0,0,0,0.5168539325842697,0.5163336326897171,0.5161752517945188,0.5093632958801498,False,141,126,64,74,62,67
