subject_id,modality,task,label_policy,n,correct,errors,accuracy,error_rate,n_sources,n_recipes,n_folds,variants,recipes,hard_subject_flag
24,EMG,valence,midpoint_as_low,64,27,37,0.421875,0.578125,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
28,EEG,valence,midpoint_as_low,64,27,37,0.421875,0.578125,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
28,EMG,valence,midpoint_as_low,64,27,37,0.421875,0.578125,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
35,EMG,arousal,midpoint_as_low,64,27,37,0.421875,0.578125,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
36,EMG,arousal,midpoint_as_low,64,27,37,0.421875,0.578125,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
46,EMG,arousal,midpoint_as_low,64,27,37,0.421875,0.578125,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
49,EEG,valence,midpoint_as_low,64,27,37,0.421875,0.578125,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
61,EMG,valence,midpoint_as_low,64,27,37,0.421875,0.578125,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
38,EMG,arousal,discard_midpoint,52,22,30,0.4230769230769231,0.5769230769230769,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
12,EMG,valence,midpoint_as_high,192,82,110,0.4270833333333333,0.5729166666666667,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
13,EMG,valence,midpoint_as_high,192,82,110,0.4270833333333333,0.5729166666666667,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
22,EEG,valence,discard_midpoint,42,18,24,0.42857142857142855,0.5714285714285714,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
8,EMG,arousal,discard_midpoint,58,25,33,0.43103448275862066,0.5689655172413793,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
31,EEG,arousal,discard_midpoint,58,25,33,0.43103448275862066,0.5689655172413793,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
42,EEG,arousal,discard_midpoint,58,25,33,0.43103448275862066,0.5689655172413793,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
42,EEG,arousal,midpoint_as_high,192,83,109,0.4322916666666667,0.5677083333333333,3,2,1,"bsl_stats,mainline_label_policy_ablation,stim_bsl_only","balanced_sampler_ce,ce_class_weighted",True
38,EEG,valence,discard_midpoint,60,26,34,0.43333333333333335,0.5666666666666667,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
61,EMG,valence,discard_midpoint,60,26,34,0.43333333333333335,0.5666666666666667,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
58,EMG,arousal,discard_midpoint,62,27,35,0.43548387096774194,0.564516129032258,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
26,EMG,arousal,midpoint_as_high,192,84,108,0.4375,0.5625,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
65,EEG,arousal,midpoint_as_high,192,84,108,0.4375,0.5625,3,2,1,"bsl_stats,mainline_label_policy_ablation,stim_bsl_only","balanced_sampler_ce,ce_class_weighted",True
2,EEG,valence,midpoint_as_low,64,28,36,0.4375,0.5625,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
