subject_col,stimulus_id,eeg_file,eeg_begin_raw,energy_ratio_gt_40hz,energy_ratio_45_64hz,energy_ratio_gt_64hz,line_50hz_energy_ratio,line_100hz_energy_ratio,stride_vs_poly_z_nrmse,stride_vs_poly_z_corr,status
sbj_P_02,2491,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,449992.0,0.00869610978323489,0.005914722897198894,0.0005020922980164863,0.001051364998476137,5.714717619717184e-06,0.025221728299995846,0.9996819322107798,passed
sbj_P_02,9360,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,457571.0,0.03654396348515993,0.02088731189452634,0.003650065394989178,0.005004009547616999,1.3732298608760269e-05,0.06324490159868967,0.9980000412108819,passed
sbj_P_02,Lake_3,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,470656.0,0.007411708836734798,0.0048378751958599794,0.0008273100504789699,0.000677683200430983,1.211247979435217e-05,0.03283571351125112,0.9994609079591028,passed
sbj_P_02,3170,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,479412.0,0.009584786094241151,0.006714640350626577,0.0004707617669438318,0.0008874125442135198,4.580748863365268e-06,0.01912136130447444,0.9998171867709316,passed
sbj_P_02,8080,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,492289.0,0.07976547833889833,0.03831932848291544,0.006734883132752525,0.0039126607250719375,3.247022626170915e-05,0.07560048080180666,0.997142283651262,passed
sbj_P_02,Snow_1,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,500259.0,0.009916191694659033,0.006960959234340083,0.0005917056779680586,0.0007938121996125752,7.6929008594914e-06,0.018269377922622808,0.9998331149151596,passed
sbj_P_02,4220,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,509558.0,0.004862725516987216,0.003320287819420891,0.00016376513120363044,0.00036607734961185154,1.2689707964367046e-06,0.013042569476975597,0.9999149456907185,passed
sbj_P_02,5760,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,519217.0,0.006723864351756963,0.00447296881214131,0.00039124215791251453,0.0004849873416138468,4.73180539159654e-06,0.022422250551552492,0.9997486213401008,passed
sbj_P_02,3063,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,527097.0,0.007760642086963491,0.005437272619432803,0.0003697451774076574,0.0005096833280079397,4.222085997064904e-06,0.017957303714810694,0.9998387676216467,passed
sbj_P_02,3080,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,534715.0,0.011298633755037472,0.007972619837470605,0.0005481242721931648,0.0009396108901732649,6.225350432190798e-06,0.026012125557019636,0.9996616846620022,passed
