objective_run_id,model,training_category,modality,task,fold,n_train_pairs,n_val_pairs,accuracy,balanced_accuracy,macro_f1,pred_positive_rate,one_class_pred,subject_overlap,pair_overlap,leakage_guard_pass
70,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,arousal,4,43850,8342,0.5128266602733158,0.5128266602733158,0.5128266602733158,0.5,False,0,0,True
71,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,arousal,5,44016,8176,0.5046477495107632,0.5046477495107632,0.5046477495107632,0.5,False,0,0,True
72,logistic_regression_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,arousal,6,43914,8278,0.5061609084319884,0.5061609084319884,0.5061609084319884,0.5,False,0,0,True
73,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,valence,1,44384,9124,0.48991670320035074,0.48991670320035074,0.48991670320035074,0.5,False,0,0,True
74,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,valence,2,44062,9446,0.5413931822993859,0.5413931822993859,0.5413931822993859,0.5,False,0,0,True
75,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,valence,3,44164,9344,0.5038527397260274,0.5038527397260274,0.5038527397260274,0.5,False,0,0,True
76,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,valence,4,44886,8622,0.4975643702157272,0.4975643702157272,0.4975643702157272,0.5,False,0,0,True
77,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,valence,5,45140,8368,0.5169694072657743,0.5169694072657743,0.5169694072657743,0.5,False,0,0,True
78,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,valence,6,44904,8604,0.5353324035332404,0.5353324035332404,0.5353324035332404,0.5,False,0,0,True
79,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,arousal,1,43388,8804,0.5497501135847342,0.5497501135847342,0.5497501135847342,0.5,False,0,0,True
80,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,arousal,2,42836,9356,0.5451047456177853,0.5451047456177853,0.5451047456177853,0.5,False,0,0,True
81,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,arousal,3,42956,9236,0.505413598960589,0.505413598960589,0.505413598960589,0.5,False,0,0,True
82,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,arousal,4,43850,8342,0.5053943898345721,0.5053943898345721,0.5053943898345721,0.5,False,0,0,True
83,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,arousal,5,44016,8176,0.5066046966731899,0.5066046966731899,0.5066046966731899,0.5,False,0,0,True
84,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EEG,arousal,6,43914,8278,0.5177579125392607,0.5177579125392607,0.5177579125392607,0.5,False,0,0,True
85,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,valence,1,44384,9124,0.4868478737395879,0.4868478737395879,0.4868478737395879,0.5,False,0,0,True
86,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,valence,2,44062,9446,0.5053991107347026,0.5053991107347026,0.5053991107347026,0.5,False,0,0,True
87,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,valence,3,44164,9344,0.5070633561643836,0.5070633561643836,0.5070633561643836,0.5,False,0,0,True
88,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,valence,4,44886,8622,0.510786360473208,0.510786360473208,0.510786360473208,0.5,False,0,0,True
89,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,valence,5,45140,8368,0.5351338432122371,0.5351338432122371,0.5351338432122371,0.5,False,0,0,True
90,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,valence,6,44904,8604,0.5264993026499303,0.5264993026499303,0.5264993026499303,0.5,False,0,0,True
91,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,arousal,1,43388,8804,0.4984098137210359,0.4984098137210359,0.4984098137210359,0.5,False,0,0,True
92,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,arousal,2,42836,9356,0.5,0.5,0.5,0.5,False,0,0,True
93,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,arousal,3,42956,9236,0.516240796881767,0.516240796881767,0.516240796881767,0.5,False,0,0,True
94,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,arousal,4,43850,8342,0.5130664109326301,0.5130664109326301,0.5130664109326301,0.5,False,0,0,True
95,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,arousal,5,44016,8176,0.5068493150684932,0.5068493150684932,0.5068493150684932,0.5,False,0,0,True
96,ridge_classifier_pairwise_summary_diff,minimal_classical_pairwise_baseline,EMG,arousal,6,43914,8278,0.5078521381976323,0.5078521381976323,0.5078521381976323,0.5,False,0,0,True
