modality,task,fold,seed,candidate,base_feature_block,description,leakage_risk,transform_note,feature_dim,n_train,n_val,train_class0,train_class1,val_class0,val_class1,domain_shift_mean_abs_z,domain_shift_centroid_l2,train_class_separation,val_class_separation,val_train_separation_ratio,train_pos_rate,val_pos_rate,val_balance_gap
EEG,valence,6,11,eeg_summary_train_robust_scaled,eeg_summary_raw,train-only robust scaling on EEG summary features,low,train-only robust scaling,160,1354,275,683,671,146,129,0.13687516748905182,0.18666863441467285,0.040047746151685715,0.1437205970287323,3.5886416140067565,0.49556868537666177,0.4690909090909091,0.030909090909090886
EEG,valence,6,11,eeg_window_channel_zscore_summary,eeg_window_channel_zscore_summary,per-trial channel zscore then EEG summary features,low,deterministic record-level or raw feature transform,96,1354,275,683,671,146,129,0.10615549236536026,0.1281605213880539,0.04106144979596138,0.1400509923696518,3.410682827390056,0.49556868537666177,0.4690909090909091,0.030909090909090886
EEG,valence,6,11,eeg_window_channel_zscore_train_standard_scaled,eeg_window_channel_zscore_summary,per-trial channel zscore summary plus train-only standard scaling,low,train-only standard scaling,96,1354,275,683,671,146,129,0.10615596920251846,0.12816087901592255,0.0410606823861599,0.14005248248577118,3.410782860007138,0.49556868537666177,0.4690909090909091,0.030909090909090886
EEG,arousal,1,11,eeg_summary_raw,eeg_summary_raw,raw EEG summary features,low,deterministic record-level or raw feature transform,160,1350,293,686,664,160,133,0.17628827691078186,0.22357386350631714,0.0449683852493763,0.09702009707689285,2.1574699440268303,0.4918518518518519,0.4539249146757679,0.0460750853242321
EEG,arousal,1,11,eeg_summary_train_standard_scaled,eeg_summary_raw,train-only standard scaling on EEG summary features,low,train-only standard scaling,160,1350,293,686,664,160,133,0.17628858983516693,0.22357435524463654,0.04496854543685913,0.09702042490243912,2.1574695487785975,0.4918518518518519,0.4539249146757679,0.0460750853242321
EEG,arousal,1,11,eeg_summary_train_robust_scaled,eeg_summary_raw,train-only robust scaling on EEG summary features,low,train-only robust scaling,160,1350,293,686,664,160,133,0.17628861963748932,0.22357438504695892,0.044968560338020325,0.09702043235301971,2.1574689995577305,0.4918518518518519,0.4539249146757679,0.0460750853242321
EEG,arousal,1,11,eeg_window_channel_zscore_summary,eeg_window_channel_zscore_summary,per-trial channel zscore then EEG summary features,low,deterministic record-level or raw feature transform,96,1350,293,686,664,160,133,0.1006447896361351,0.12902973592281342,0.035991519689559937,0.09304742515087128,2.58518786551809,0.4918518518518519,0.4539249146757679,0.0460750853242321
EEG,arousal,1,11,eeg_window_channel_zscore_train_standard_scaled,eeg_window_channel_zscore_summary,per-trial channel zscore summary plus train-only standard scaling,low,train-only standard scaling,96,1350,293,686,664,160,133,0.10064566135406494,0.12903210520744324,0.03599192947149277,0.09304822236299515,2.585180582111036,0.4918518518518519,0.4539249146757679,0.0460750853242321
EEG,arousal,2,11,eeg_summary_raw,eeg_summary_raw,raw EEG summary features,low,deterministic record-level or raw feature transform,160,1342,301,685,657,161,140,0.16214138269424438,0.27865830063819885,0.046236343681812286,0.10045427083969116,2.172578760816777,0.48956780923994037,0.46511627906976744,0.034883720930232565
EEG,arousal,2,11,eeg_summary_train_standard_scaled,eeg_summary_raw,train-only standard scaling on EEG summary features,low,train-only standard scaling,160,1342,301,685,657,161,140,0.16214177012443542,0.27865874767303467,0.046236466616392136,0.10045453161001205,2.1725786242449288,0.48956780923994037,0.46511627906976744,0.034883720930232565
EEG,arousal,2,11,eeg_summary_train_robust_scaled,eeg_summary_raw,train-only robust scaling on EEG summary features,low,train-only robust scaling,160,1342,301,685,657,161,140,0.16214177012443542,0.2786587178707123,0.046236470341682434,0.10045453906059265,2.172578610340503,0.48956780923994037,0.46511627906976744,0.034883720930232565
EEG,arousal,2,11,eeg_window_channel_zscore_summary,eeg_window_channel_zscore_summary,per-trial channel zscore then EEG summary features,low,deterministic record-level or raw feature transform,96,1342,301,685,657,161,140,0.09549500793218613,0.13686306774616241,0.03890945389866829,0.08760429918766022,2.251433494345808,0.48956780923994037,0.46511627906976744,0.034883720930232565
EEG,arousal,2,11,eeg_window_channel_zscore_train_standard_scaled,eeg_window_channel_zscore_summary,per-trial channel zscore summary plus train-only standard scaling,low,train-only standard scaling,96,1342,301,685,657,161,140,0.09549525380134583,0.13686369359493256,0.03891061991453171,0.08760619163513184,2.25141466296074,0.48956780923994037,0.46511627906976744,0.034883720930232565
EEG,arousal,3,11,eeg_summary_raw,eeg_summary_raw,raw EEG summary features,low,deterministic record-level or raw feature transform,160,1387,256,717,670,129,127,0.23960597813129425,0.3609517514705658,0.045821692794561386,0.08106624335050583,1.7691287527329131,0.4830569574621485,0.49609375,0.00390625
EEG,arousal,3,11,eeg_summary_train_standard_scaled,eeg_summary_raw,train-only standard scaling on EEG summary features,low,train-only standard scaling,160,1387,256,717,670,129,127,0.2396065890789032,0.3609524965286255,0.045821793377399445,0.08106638491153717,1.769127958740299,0.4830569574621485,0.49609375,0.00390625
EEG,arousal,3,11,eeg_summary_train_robust_scaled,eeg_summary_raw,train-only robust scaling on EEG summary features,low,train-only robust scaling,160,1387,256,717,670,129,127,0.23960661888122559,0.36095258593559265,0.04582180082798004,0.08106640726327896,1.7691281588745373,0.4830569574621485,0.49609375,0.00390625
EEG,arousal,3,11,eeg_window_channel_zscore_summary,eeg_window_channel_zscore_summary,per-trial channel zscore then EEG summary features,low,deterministic record-level or raw feature transform,96,1387,256,717,670,129,127,0.19248338043689728,0.22415171563625336,0.03758937865495682,0.07966211438179016,2.1192155341932315,0.4830569574621485,0.49609375,0.00390625
EEG,arousal,3,11,eeg_window_channel_zscore_train_standard_scaled,eeg_window_channel_zscore_summary,per-trial channel zscore summary plus train-only standard scaling,low,train-only standard scaling,96,1387,256,717,670,129,127,0.19248706102371216,0.2241552323102951,0.037589460611343384,0.07966244220733643,2.1192196347627967,0.4830569574621485,0.49609375,0.00390625
EEG,arousal,4,11,eeg_summary_raw,eeg_summary_raw,raw EEG summary features,low,deterministic record-level or raw feature transform,160,1368,275,714,654,132,143,0.3662140667438507,0.46727845072746277,0.041791561990976334,0.09206921607255936,2.2030048335500116,0.4780701754385965,0.52,0.020000000000000018
EEG,arousal,4,11,eeg_summary_train_standard_scaled,eeg_summary_raw,train-only standard scaling on EEG summary features,low,train-only standard scaling,160,1368,275,714,654,132,143,0.36621522903442383,0.4672800302505493,0.04179174825549126,0.09206940233707428,2.2029994719233867,0.4780701754385965,0.52,0.020000000000000018
EEG,arousal,4,11,eeg_summary_train_robust_scaled,eeg_summary_raw,train-only robust scaling on EEG summary features,low,train-only robust scaling,160,1368,275,714,654,132,143,0.36621522903442383,0.4672800302505493,0.041791755706071854,0.09206940978765488,2.202999257459316,0.4780701754385965,0.52,0.020000000000000018
EEG,arousal,4,11,eeg_window_channel_zscore_summary,eeg_window_channel_zscore_summary,per-trial channel zscore then EEG summary features,low,deterministic record-level or raw feature transform,96,1368,275,714,654,132,143,0.12322892993688583,0.1559741348028183,0.033673517405986786,0.1327580362558365,3.9423886808912143,0.4780701754385965,0.52,0.020000000000000018
EEG,arousal,4,11,eeg_window_channel_zscore_train_standard_scaled,eeg_window_channel_zscore_summary,per-trial channel zscore summary plus train-only standard scaling,low,train-only standard scaling,96,1368,275,714,654,132,143,0.12323009967803955,0.15597529709339142,0.03367488831281662,0.132761150598526,3.942320670662124,0.4780701754385965,0.52,0.020000000000000018
EEG,arousal,5,11,eeg_summary_raw,eeg_summary_raw,raw EEG summary features,low,deterministic record-level or raw feature transform,160,1383,260,712,671,134,126,0.22810406982898712,0.2851884067058563,0.04640674963593483,0.10369442403316498,2.234420432937163,0.485177151120752,0.4846153846153846,0.015384615384615385
EEG,arousal,5,11,eeg_summary_train_standard_scaled,eeg_summary_raw,train-only standard scaling on EEG summary features,low,train-only standard scaling,160,1383,260,712,671,134,126,0.22810474038124084,0.2851894497871399,0.04640689492225647,0.10369481146335602,2.234421786143669,0.485177151120752,0.4846153846153846,0.015384615384615385
EEG,arousal,5,11,eeg_summary_train_robust_scaled,eeg_summary_raw,train-only robust scaling on EEG summary features,low,train-only robust scaling,160,1383,260,712,671,134,126,0.22810475528240204,0.2851894795894623,0.04640689119696617,0.103694848716259,2.2344227682346802,0.485177151120752,0.4846153846153846,0.015384615384615385
EEG,arousal,5,11,eeg_window_channel_zscore_summary,eeg_window_channel_zscore_summary,per-trial channel zscore then EEG summary features,low,deterministic record-level or raw feature transform,96,1383,260,712,671,134,126,0.13651205599308014,0.17387008666992188,0.039515960961580276,0.08534303307533264,2.159655778143112,0.485177151120752,0.4846153846153846,0.015384615384615385
EEG,arousal,5,11,eeg_window_channel_zscore_train_standard_scaled,eeg_window_channel_zscore_summary,per-trial channel zscore summary plus train-only standard scaling,low,train-only standard scaling,96,1383,260,712,671,134,126,0.13651402294635773,0.17387157678604126,0.03951655700802803,0.08534568548202515,2.159690323586731,0.485177151120752,0.4846153846153846,0.015384615384615385
EEG,arousal,6,11,eeg_summary_raw,eeg_summary_raw,raw EEG summary features,low,deterministic record-level or raw feature transform,160,1385,258,716,669,130,128,0.14542269706726074,0.19489887356758118,0.048613958060741425,0.11655043810606003,2.3974192872991344,0.4830324909747292,0.49612403100775193,0.003875968992248069
EEG,arousal,6,11,eeg_summary_train_standard_scaled,eeg_summary_raw,train-only standard scaling on EEG summary features,low,train-only standard scaling,160,1385,258,716,669,130,128,0.14542312920093536,0.19489938020706177,0.04861411079764366,0.11655062437057495,2.397415586600372,0.4830324909747292,0.49612403100775193,0.003875968992248069
EEG,arousal,6,11,eeg_summary_train_robust_scaled,eeg_summary_raw,train-only robust scaling on EEG summary features,low,train-only robust scaling,160,1385,258,716,669,130,128,0.14542315900325775,0.19489942491054535,0.048614099621772766,0.11655066162347794,2.3974169040122573,0.4830324909747292,0.49612403100775193,0.003875968992248069
EEG,arousal,6,11,eeg_window_channel_zscore_summary,eeg_window_channel_zscore_summary,per-trial channel zscore then EEG summary features,low,deterministic record-level or raw feature transform,96,1385,258,716,669,130,128,0.10881779342889786,0.1367538869380951,0.03272465243935585,0.10194635391235352,3.1151817095555563,0.4830324909747292,0.49612403100775193,0.003875968992248069
EEG,arousal,6,11,eeg_window_channel_zscore_train_standard_scaled,eeg_window_channel_zscore_summary,per-trial channel zscore summary plus train-only standard scaling,low,train-only standard scaling,96,1385,258,716,669,130,128,0.10881807655096054,0.13675463199615479,0.032724779099226,0.10194901376962662,3.1152509298713023,0.4830324909747292,0.49612403100775193,0.003875968992248069
EMG,valence,1,11,emg_raw_features,emg_raw_features,raw EMG features,low,deterministic record-level or raw feature transform,22,1352,277,682,670,147,130,0.11373739689588547,0.17117910087108612,0.04595744237303734,0.06720543652772903,1.4623088394126422,0.49556213017751477,0.4693140794223827,0.03068592057761732
EMG,valence,1,11,emg_train_standard_scaled,emg_raw_features,train-only standard scaling on EMG features,low,train-only standard scaling,22,1352,277,682,670,147,130,0.11373760551214218,0.17117908596992493,0.04595743864774704,0.06720472127199173,1.4622933948450447,0.49556213017751477,0.4693140794223827,0.03068592057761732
EMG,valence,1,11,emg_train_robust_scaled,emg_raw_features,train-only robust scaling on EMG features,low,train-only robust scaling,22,1352,277,682,670,147,130,0.11373762786388397,0.17117910087108612,0.045957475900650024,0.0672055259346962,1.4623097180153806,0.49556213017751477,0.4693140794223827,0.03068592057761732
EMG,valence,1,11,emg_record_l2_normalized,emg_record_l2_normalized,per-record L2 normalization on EMG features,low,deterministic record-level or raw feature transform,22,1352,277,682,670,147,130,0.13795505464076996,0.18402084708213806,0.0855967253446579,0.07006760686635971,0.8185685610713789,0.49556213017751477,0.4693140794223827,0.03068592057761732
EMG,valence,1,11,emg_signed_log1p_train_standard_scaled,emg_signed_log1p_features,signed log1p EMG features plus train-only standard scaling,low,train-only standard scaling,22,1352,277,682,670,147,130,0.1018097922205925,0.13741756975650787,0.038863491266965866,0.06618436425924301,1.7029520290028486,0.49556213017751477,0.4693140794223827,0.03068592057761732
EMG,valence,2,11,emg_raw_features,emg_raw_features,raw EMG features,low,deterministic record-level or raw feature transform,22,1344,285,683,661,146,139,0.15101002156734467,0.21413841843605042,0.04284953698515892,0.08858737349510193,2.0673573711756226,0.49181547619047616,0.48771929824561405,0.012280701754385948
EMG,valence,2,11,emg_train_standard_scaled,emg_raw_features,train-only standard scaling on EMG features,low,train-only standard scaling,22,1344,285,683,661,146,139,0.15100985765457153,0.21413826942443848,0.04284955933690071,0.08858700841665268,2.0673477729931538,0.49181547619047616,0.48771929824561405,0.012280701754385948
EMG,valence,2,11,emg_train_robust_scaled,emg_raw_features,train-only robust scaling on EMG features,low,train-only robust scaling,22,1344,285,683,661,146,139,0.15100985765457153,0.2141382396221161,0.0428495928645134,0.08858712017536163,2.0673487635389245,0.49181547619047616,0.48771929824561405,0.012280701754385948
EMG,valence,2,11,emg_record_l2_normalized,emg_record_l2_normalized,per-record L2 normalization on EMG features,low,deterministic record-level or raw feature transform,22,1344,285,683,661,146,139,0.2048201709985733,0.233687624335289,0.0774465873837471,0.11096998304128647,1.4328397667371917,0.49181547619047616,0.48771929824561405,0.012280701754385948
EMG,valence,2,11,emg_signed_log1p_train_standard_scaled,emg_signed_log1p_features,signed log1p EMG features plus train-only standard scaling,low,train-only standard scaling,22,1344,285,683,661,146,139,0.21754039824008942,0.2918649911880493,0.032653387635946274,0.07809971272945404,2.3917065479887025,0.49181547619047616,0.48771929824561405,0.012280701754385948
EMG,valence,3,11,emg_raw_features,emg_raw_features,raw EMG features,low,deterministic record-level or raw feature transform,22,1362,267,693,669,136,131,0.08698725700378418,0.10598387569189072,0.06804763525724411,0.1959751397371292,2.879927554700911,0.4911894273127753,0.49063670411985016,0.009363295880149836
EMG,valence,3,11,emg_train_standard_scaled,emg_raw_features,train-only standard scaling on EMG features,low,train-only standard scaling,22,1362,267,693,669,136,131,0.08698732405900955,0.10598386079072952,0.06804759800434113,0.1959739774465561,2.879912051002932,0.4911894273127753,0.49063670411985016,0.009363295880149836
EMG,valence,3,11,emg_train_robust_scaled,emg_raw_features,train-only robust scaling on EMG features,low,train-only robust scaling,22,1362,267,693,669,136,131,0.08698736876249313,0.1059839054942131,0.06804759055376053,0.1959751695394516,2.879929884581886,0.4911894273127753,0.49063670411985016,0.009363295880149836
EMG,valence,3,11,emg_record_l2_normalized,emg_record_l2_normalized,per-record L2 normalization on EMG features,low,deterministic record-level or raw feature transform,22,1362,267,693,669,136,131,0.10741329938173294,0.13750754296779633,0.08409890532493591,0.15773019194602966,1.8755097444712832,0.4911894273127753,0.49063670411985016,0.009363295880149836
