candidate_id,modality,task,n_runs,mean_macro_f1,std_macro_f1,mean_bal_acc,mean_acc,folds_over_055_macro_f1,folds_under_050_macro_f1,mean_pos_cov,baseline_macro_f1,baseline_bal_acc,vrex_macro_f1,vrex_bal_acc,delta_vs_A0_macro_f1,delta_vs_A0_bal_acc,delta_vs_A6_macro_f1,delta_vs_A6_bal_acc,candidate_label
A0_CE_control,EMG,arousal,6,0.5035646183275787,0.038185794068076644,0.5087416697547914,0.5140151515151515,1,4,0.0,0.5035646183275787,0.5087416697547914,0.5163914725355866,0.5203793997616545,0.0,0.0,-0.012826854208007887,-0.011637730006863078,CE control
A0_CE_control,EMG,valence,6,0.49336780365431077,0.03135306703259108,0.5012775879081236,0.5146780303030303,0,3,0.0,0.49336780365431077,0.5012775879081236,0.48225347106687994,0.49535183590462645,0.0,0.0,0.01111433258743083,0.005925752003497153,CE control
A6_vrex_only_recheck,EEG,arousal,6,0.5108710069454573,0.021606759257319797,0.5133614073038123,0.5156723484848484,0,3,0.0,0.5154012214815265,0.5193954079780911,0.5108710069454573,0.5133614073038123,-0.004530214536069166,-0.006034000674278839,0.0,0.0,VREx only
A4_rating_distance_guarded_supcon,EMG,valence,6,0.4833622351881883,0.03028503474127344,0.49227899912375556,0.49692234848484845,0,4,1.0,0.49336780365431077,0.5012775879081236,0.48225347106687994,0.49535183590462645,-0.010005568466122439,-0.008998588784368045,0.001108764121308392,-0.003072836780870891,rating-distance guarded SupCon
A6_vrex_only_recheck,EMG,valence,6,0.48225347106687994,0.0272240553421094,0.49535183590462645,0.506344696969697,0,4,0.0,0.49336780365431077,0.5012775879081236,0.48225347106687994,0.49535183590462645,-0.01111433258743083,-0.005925752003497153,0.0,0.0,VREx only
A2_cross_subject_positive_only,EMG,valence,6,0.4820386545327478,0.018186031876863105,0.49565327374249085,0.5080492424242424,0,5,1.0,0.49336780365431077,0.5012775879081236,0.48225347106687994,0.49535183590462645,-0.011329149121562965,-0.005624314165632749,-0.00021481653413213397,0.0003014378378644045,cross-subject SupCon only
A4_rating_distance_guarded_supcon,EEG,valence,6,0.5103771216442374,0.0250246095772362,0.5163074141507421,0.5185132575757576,0,2,1.0,0.5228032451002834,0.5282840721925769,0.5096461197389859,0.5148414295044718,-0.01242612345604599,-0.011976658041834787,0.0007310019052515493,0.0014659846462703463,rating-distance guarded SupCon
A6_vrex_only_recheck,EEG,valence,6,0.5096461197389859,0.03432647441960887,0.5148414295044718,0.5234848484848486,0,2,0.0,0.5228032451002834,0.5282840721925769,0.5096461197389859,0.5148414295044718,-0.01315712536129754,-0.013442642688105133,0.0,0.0,VREx only
A5_cross_subject_supcon_vrex,EEG,valence,6,0.5091512364420608,0.028871841754653516,0.5141592154392448,0.5211647727272727,1,2,1.0,0.5228032451002834,0.5282840721925769,0.5096461197389859,0.5148414295044718,-0.01365200865822258,-0.014124856753332082,-0.0004948832969250416,-0.0006822140652269493,cross-subject SupCon + VREx
A2_cross_subject_positive_only,EEG,valence,6,0.5048486606816506,0.034589983219462606,0.5101236708858773,0.5173295454545455,1,4,1.0,0.5228032451002834,0.5282840721925769,0.5096461197389859,0.5148414295044718,-0.017954584418632846,-0.018160401306699603,-0.004797459057335307,-0.00471775861859447,cross-subject SupCon only
