dataset,repetition,role,axis,entity_id,fold_index_0based,fold_index_1based,seed,partition_uses_labels,manifest_sha256
DEAP,0,primary,stimulus,exp26,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp27,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp28,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp29,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp30,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp31,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp32,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp33,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp34,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp35,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp36,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp37,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp38,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp39,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp40,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
