target,model,test_subject,n,mae,rmse,pearson,spearman,ccc,y_true_std,y_pred_std,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_std,pred_dev_std
arousal,physio_eeg_bandpower_ridge,23,32,1.3020697169490671,1.4868187168246878,0.8492169984790029,0.8394673541474408,0.7165316983023368,2.108159371940366,1.5606116020514509,1.3020697169490671,1.4868187168246878,0.19654209777787066,0.2687196418581397,0.40625,1.1590966729438268,0.2467590692771212
arousal,physio_eeg_bandpower_ridge,24,32,1.6763502734457574,1.9334596021373556,0.8517912136736056,0.8518204030310139,0.6626642156453784,2.706870598587971,1.5924678155097964,1.6763502734457572,1.9334596021373556,-0.23097715886256165,-0.23755842827295293,0.40625,1.4823221092336487,0.3206252963617448
arousal,physio_eeg_bandpower_ridge,25,32,1.8411647024284916,2.2469123670977695,0.6861949861417516,0.6884588759162219,0.5835652855815877,3.0413812651491097,1.6949870731622754,1.8411647024284916,2.2469123670977695,-0.09506077192877685,-0.1033724340175953,0.3125,2.18923247648393,0.3384628069833623
arousal,physio_eeg_bandpower_ridge,26,32,1.8276502736651055,2.066665965923322,0.6902626272921552,0.7168445037520975,0.5631484882369928,2.381569860407206,1.674641977801171,1.8276502736651055,2.066665965923322,0.08648707256356562,0.08907624633431084,0.53125,1.7189293581328962,0.34300255123559686
arousal,physio_eeg_bandpower_ridge,27,32,1.184197001509078,1.4806089651188925,0.6390305222724345,0.5833633098966182,0.6177106796355974,1.71277370075559,1.6181624168020687,1.184197001509078,1.4806089651188925,-0.15476537366154447,-0.19118321040793976,0.6875,1.3302540014938895,0.32576931523355557
arousal,physio_eeg_bandpower_ridge,28,32,1.2078489207032608,1.5184277575417895,0.8357176350707627,0.7296313897093767,0.7304222970842973,2.346664854106781,1.5927136093969885,1.2078489207032608,1.5184277575417895,-0.14837025044194893,-0.22800586510263926,0.78125,1.2832399966930983,0.24090544150245724
arousal,physio_eeg_bandpower_ridge,29,32,1.2453145253779003,1.5740280884424969,0.7342198509993602,0.7380626590247251,0.6686028665910625,2.0832291640623697,1.6339970877730225,1.2453145253778999,1.5740280884424969,-0.21742595090572725,-0.18071847507331376,0.3125,1.33879307925565,0.25991175627881746
arousal,physio_eeg_bandpower_ridge,30,32,0.8837516321427892,1.1757427017610793,0.8770267817343002,0.8398750750613931,0.8120395904070988,2.0707694071286644,1.6442233538758708,0.8837516321427892,1.1757427017610793,-0.051721987629528614,-0.017230318100044426,0.5625,0.9561639397658943,0.278475285570672
arousal,physio_eeg_bandpower_ridge,31,32,2.0070271897554517,2.3233792877769717,0.7550076865376457,0.7120928623685606,0.5923470307887394,3.2379584617471546,1.604254222051799,2.0070271897554517,2.3233792877769717,-0.32855017673922776,-0.2756598240469208,0.5625,2.1966185537351026,0.2322061588779488
arousal,physio_eeg_bandpower_ridge,32,32,1.3855118944955385,1.6471109749494448,0.7963938880662621,0.7474064422789334,0.6682271794605773,1.9833289565778038,1.729722308100578,1.3923758074887436,1.664149480483967,0.31434227908619655,0.34680597707748995,0.375,1.2823728733282098,0.5456803663301388
arousal,physio_eeg_bandpower_ridge,33,32,1.4396803550822934,1.645456324069324,0.5333153223729693,0.5471738367738933,0.5310212357292652,1.6366767968966873,1.7561210428247387,1.4396803550822932,1.645456324069324,-0.3226867715188393,-0.335441299181716,0.59375,1.5470529366384678,0.2442922784356395
arousal,physio_eeg_bandpower_ridge,34,32,1.8599300350732881,2.0222590930918245,0.8270305543626045,0.8236948920456976,0.5984257041166217,2.373148949707961,1.5525349262119272,1.8599300350732881,2.022259093091825,-0.024224736416153008,-0.06268902968314036,0.34375,1.287200102975002,0.509254479031841
arousal,physio_eeg_bandpower_ridge,35,32,1.1486927916938114,1.4785323879631342,0.5787965477405046,0.5680308191133611,0.5712524760305737,1.5783570373967988,1.594141899031021,1.1486927916938114,1.4785323879631345,0.2982359859483731,0.26798643683260587,0.5625,1.5253824941246354,0.4511351732328836
