target,k_calibration,model,subject_id,n,rmse,mae,pearson,stimulus_rmse_reference,lift_vs_stimulus_rmse
arousal,1,affine_residual_ridge1,38,3100,2.0943203443303293,1.7059417273673259,0.5162724848755921,1.3941493626471329,-0.7001709816831965
arousal,1,affine_residual_ridge1,39,3100,2.9524068804680788,2.4100832466181066,0.45055956848375744,2.0360080114622368,-0.916398869005842
arousal,1,affine_residual_ridge1,40,3100,3.769863708088622,3.1032049947970863,0.2312390433257974,2.9225330088254142,-0.8473306992632077
arousal,1,affine_residual_ridge1,41,3100,2.131887885615142,1.7224973985431842,0.31854173349011705,2.4769273833782357,0.3450394977630937
arousal,1,affine_residual_ridge1,42,3100,2.570525554172092,2.0879396462018733,0.4297551042123261,2.639645527075555,0.06911997290346283
arousal,1,affine_residual_ridge1,43,3100,2.6000891128930683,2.1310613943808536,0.5568925559465767,1.806454237585428,-0.7936348753076403
arousal,1,affine_residual_ridge1,44,3100,3.286904148415353,2.5413839750260143,0.29096958816744456,2.468600079992588,-0.8183040684227652
arousal,1,affine_residual_ridge1,45,3100,2.172634933236615,1.6877315296566073,0.4281576708606077,1.518412305328114,-0.654222627908501
arousal,1,affine_residual_ridge1,46,3100,2.623202233282507,2.096514047866805,0.26471017137711084,1.9374061084144147,-0.6857961248680924
arousal,1,affine_residual_ridge1,47,3100,3.4313298252683473,2.7997918834547346,0.2803791635476865,2.4425728091705046,-0.9887570160978427
arousal,1,affine_residual_ridge1,48,3100,1.9426469945687592,1.5698751300728409,0.5924923155583345,1.3011013117909087,-0.6415456827778505
arousal,1,affine_residual_ridge1,49,3100,2.443085421296412,1.9571800208116545,0.257385326632848,2.3840166659926387,-0.0590687553037732
arousal,1,affine_residual_ridge1,50,3100,2.0555114661480274,1.6918418314255985,0.6518908518690474,1.388795543989685,-0.6667159221583423
arousal,1,affine_residual_ridge1,52,3100,2.920099565239863,2.376690946930281,0.2826388783219483,2.0120683560748227,-0.9080312091650402
arousal,1,affine_residual_ridge1,53,3100,1.525635394863779,1.2561706555671175,0.7331574207610375,1.1177547737684532,-0.40788062109532586
arousal,1,affine_residual_ridge1,54,3100,2.4170186778440557,1.9772528616024974,0.4340257723342802,1.70055098022174,-0.7164676976223157
arousal,1,affine_residual_ridge1,55,3100,1.398941514244464,1.107086368366285,0.6838017522022695,2.4623477768449216,1.0634062626004577
