arch_config,augmentation_config,target,model,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_true_dev_std,lift_vs_stimulus_pred_dev_std
A3_batchnorm,gaussian_0p10,arousal,eeg_oracle_arch_A3_batchnorm,2016,1.4730347860585902,1.8371996048967856,0.6834836639028539,0.6759007357957991,0.7838329373958817,0.7865100595986114,0.8531822308967025,1.4730347860585902,1.8371996048967856,0.3291155260559395,0.3174996220342421,0.6185515873015873,-1.409807015397024e-17,1.9442049821165959,-0.06925797105271023,0.6379123411197587,0.10689032914878305,0.1070053772198103,0.0491081692723645,0.07740076961807874,0.015209912565181893,0.012598985963151677,0.03710859419751755,0.10689032914878305,0.1070053772198103,,,0.6185515873015873,0.0,0.6379123411197587
A3_batchnorm,gaussian_0p10,arousal,stimulus_only,2016,1.5799251152073732,1.9442049821165959,0.6343754946304894,0.5984999661777204,0.7686230248306998,0.7739110736354597,0.816073636699185,1.5799251152073732,1.9442049821165959,,,0.0,-1.409807015397024e-17,1.9442049821165959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A4_stem_sum,gaussian_0p10,arousal,eeg_oracle_arch_A4_stem_sum,2016,1.479397303204408,1.8460778411564216,0.6794440804491098,0.6713814712642235,0.7772087888256922,0.7798210797426932,0.849984063928291,1.479397303204408,1.8460778411564216,0.3192946625002793,0.34876252004353875,0.6339285714285714,-1.409807015397024e-17,1.9442049821165959,-0.061756616990026346,0.5227069388782489,0.10052781200296512,0.09812714096017428,0.04506858581862039,0.07288150508650315,0.008585763994992446,0.0059100061072334675,0.03391042722910598,0.10052781200296512,0.09812714096017428,,,0.6339285714285714,0.0,0.5227069388782489
A4_stem_sum,gaussian_0p10,arousal,stimulus_only,2016,1.5799251152073732,1.9442049821165959,0.6343754946304894,0.5984999661777204,0.7686230248306998,0.7739110736354597,0.816073636699185,1.5799251152073732,1.9442049821165959,,,0.0,-1.409807015397024e-17,1.9442049821165959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A5_stem_attn,gaussian_0p10,arousal,eeg_oracle_arch_A5_stem_attn,2016,1.4745147743090024,1.8346806345324056,0.6843981385832213,0.6748853862534652,0.7820503974160563,0.785393981060522,0.8516948642038591,1.4745147743090024,1.8346806345324056,0.3361475123392747,0.36064743443891206,0.6339285714285714,-1.409807015397024e-17,1.9442049821165959,-0.06710390257363147,0.5600988718118763,0.10541034089837087,0.10952434758419027,0.05002264395273193,0.07638542007574478,0.013427372585356534,0.011482907425062305,0.03562122750467411,0.10541034089837087,0.10952434758419027,,,0.6339285714285714,0.0,0.5600988718118763
A5_stem_attn,gaussian_0p10,arousal,stimulus_only,2016,1.5799251152073732,1.9442049821165959,0.6343754946304894,0.5984999661777204,0.7686230248306998,0.7739110736354597,0.816073636699185,1.5799251152073732,1.9442049821165959,,,0.0,-1.409807015397024e-17,1.9442049821165959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A6_stem_moe,gaussian_0p10,arousal,eeg_oracle_arch_A6_stem_moe,2016,1.4745140224201405,1.8346799868462533,0.6843983920818802,0.6748861227117438,0.7820503974160563,0.785393981060522,0.8516959594665194,1.4745140224201405,1.8346799868462536,0.3361483395098,0.36064839376075264,0.6339285714285714,-1.409807015397024e-17,1.9442049821165959,-0.06710245609824654,0.5601009104059811,0.10541109278723271,0.10952499527034254,0.05002289745139088,0.07638615653402336,0.013427372585356534,0.011482907425062305,0.03562232276733446,0.10541109278723271,0.10952499527034232,,,0.6339285714285714,0.0,0.5601009104059811
A6_stem_moe,gaussian_0p10,arousal,stimulus_only,2016,1.5799251152073732,1.9442049821165959,0.6343754946304894,0.5984999661777204,0.7686230248306998,0.7739110736354597,0.816073636699185,1.5799251152073732,1.9442049821165959,,,0.0,-1.409807015397024e-17,1.9442049821165959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A7_no_channel_mha,gaussian_0p10,arousal,eeg_oracle_arch_A7_no_channel_mha,2016,1.4751023977642397,1.8353310088151542,0.6839172159723175,0.6785236487293956,0.7850108923871578,0.7885884926143798,0.8563070152668663,1.4751023977642397,1.8353310088151542,0.3312808032158767,0.3232816278395797,0.6170634920634921,-1.409807015397024e-17,1.9442049821165959,-0.0509225574112503,0.616691848423786,0.10482271744313354,0.10887397330144166,0.049541721341828104,0.08002368255167525,0.016387867556458047,0.014677418978920054,0.04023337856768128,0.10482271744313354,0.10887397330144166,,,0.6170634920634921,0.0,0.616691848423786
A7_no_channel_mha,gaussian_0p10,arousal,stimulus_only,2016,1.5799251152073732,1.9442049821165959,0.6343754946304894,0.5984999661777204,0.7686230248306998,0.7739110736354597,0.816073636699185,1.5799251152073732,1.9442049821165959,,,0.0,-1.409807015397024e-17,1.9442049821165959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
