target,model,test_subject,n,mae,rmse,pearson,spearman,ccc,balanced_accuracy,macro_f1,auroc,dev_rmse,dev_mae,dev_pearson,dev_spearman,dev_sign_acc,pred_dev_std
valence,stimulus_only,27,32,1.0403225806451613,1.3065636152706914,0.8615460240890016,0.8546099402867805,0.8482869534496099,0.8452380952380952,0.8423645320197044,0.9603174603174603,1.3065636152706914,1.0403225806451613,,,0.0,0.0
valence,stimulus_only,28,32,1.0181451612903225,1.2752203396559423,0.8236257915520524,0.8248647334839991,0.7797105503189111,0.875,0.8423645320197044,0.975,1.2752203396559423,1.0181451612903225,,,0.0,0.0
valence,stimulus_only,29,32,0.7414314516129032,0.9792037966849636,0.9261693100661718,0.9241859422826492,0.9054954009684828,0.96875,0.9687194525904204,1.0,0.9792037966849636,0.7414314516129032,,,0.0,0.0
valence,stimulus_only,30,32,0.8356854838709676,0.9805105223786827,0.9379974670758721,0.8751374668635553,0.9194312085863741,0.9372549019607843,0.9372549019607843,0.9921568627450981,0.9805105223786827,0.8356854838709677,,,0.0,0.0
valence,stimulus_only,31,32,1.438508064516129,1.6415104177594801,0.9646127020985076,0.9161207331651278,0.8448737386560656,0.96875,0.9687194525904204,1.0,1.6415104177594801,1.438508064516129,,,0.0,0.0
valence,stimulus_only,32,32,0.888608870967742,1.067296131717133,0.8963117720951916,0.87827351773193,0.8785526266750683,0.875,0.8423645320197044,0.9291666666666667,1.067296131717133,0.888608870967742,,,0.0,0.0
valence,stimulus_only,33,32,0.686491935483871,0.8017706893454289,0.9343139008328094,0.9289440751663227,0.925660007868904,0.8299595141700404,0.8117647058823529,0.9757085020242915,0.8017706893454289,0.686491935483871,,,0.0,0.0
valence,stimulus_only,34,32,1.164818548387097,1.3695290126321555,0.877199258764556,0.8860229676758531,0.8090887933843264,0.8409090909090908,0.7757757757757757,0.9727272727272728,1.3695290126321555,1.164818548387097,,,0.0,0.0
valence,stimulus_only,35,32,0.7444556451612903,0.8910241143900415,0.9231548791961848,0.913888347462997,0.9182401955356899,0.8947368421052632,0.8745098039215686,0.979757085020243,0.8910241143900415,0.7444556451612903,,,0.0,0.0
valence,stimulus_only,36,32,0.871975806451613,1.0204401633369262,0.952858933387899,0.9472029644614396,0.91835033093206,0.8947368421052632,0.8745098039215686,0.9878542510121457,1.0204401633369262,0.871975806451613,,,0.0,0.0
valence,stimulus_only,37,32,1.122983870967742,1.2260783336006187,0.9324066298630631,0.9250128716174963,0.7595713178206379,0.8260869565217391,0.7408906882591093,0.9637681159420289,1.2260783336006187,1.122983870967742,,,0.0,0.0
valence,stimulus_only,38,32,1.385584677419355,1.6108025634891396,0.7087267234242455,0.7482941895497968,0.6972603353672202,0.7878787878787878,0.746031746031746,0.8917748917748918,1.6108025634891396,1.385584677419355,,,0.0,0.0
valence,stimulus_only,39,32,0.9924395161290323,1.1755363588632064,0.9250073263216803,0.8975086558660758,0.8919926973407372,0.9411764705882353,0.9375,0.9686274509803922,1.1755363588632064,0.9924395161290323,,,0.0,0.0
valence,stimulus_only,40,32,1.2253024193548385,1.426675927235319,0.9319376503137341,0.911521538031714,0.8646066174691214,0.8784313725490196,0.875,0.9568627450980393,1.426675927235319,1.2253024193548387,,,0.0,0.0
valence,stimulus_only,41,32,1.2570564516129032,1.5324278343980433,0.744149958586994,0.787929511430954,0.6501285686428164,0.8571428571428572,0.8095238095238095,0.9567099567099567,1.5324278343980433,1.2570564516129032,,,0.0,0.0
valence,stimulus_only,42,32,0.8825604838709677,1.0730391028443886,0.9550430392765968,0.8914646584095169,0.9134110394153917,0.96875,0.9687194525904204,0.99609375,1.0730391028443886,0.8825604838709676,,,0.0,0.0
valence,stimulus_only,43,32,0.9420362903225805,1.0653749285080085,0.9514252587630226,0.9288917024558039,0.9127015229259563,0.96875,0.9687194525904204,0.98046875,1.0653749285080085,0.9420362903225806,,,0.0,0.0
valence,stimulus_only,44,32,1.3150201612903225,1.551526240789527,0.8137530874760048,0.8164499982635804,0.7727112057799143,0.8947368421052632,0.8745098039215686,0.951417004048583,1.551526240789527,1.3150201612903225,,,0.0,0.0
valence,stimulus_only,45,32,0.7525201612903227,0.9413358052974866,0.9060554036542894,0.8772193258743899,0.9041056149976673,0.8947368421052632,0.8745098039215686,0.9676113360323887,0.9413358052974866,0.7525201612903227,,,0.0,0.0
valence,stimulus_only,46,32,1.1199596774193548,1.3444300634951423,0.9022970737641547,0.8907610229943452,0.8615328996064323,0.875,0.8423645320197044,0.9416666666666667,1.3444300634951423,1.1199596774193548,,,0.0,0.0
valence,stimulus_only,47,32,1.5519153225806452,1.8138910213562776,0.8306075032362703,0.8385162839805926,0.7771184011511924,0.8299595141700404,0.8117647058823529,0.9453441295546559,1.8138910213562776,1.5519153225806452,,,0.0,0.0
valence,stimulus_only,48,32,0.8351814516129032,1.0440083806940523,0.9156274603870709,0.911793242320702,0.8980285155540683,0.8784313725490196,0.875,0.9607843137254902,1.0440083806940523,0.8351814516129032,,,0.0,0.0
valence,stimulus_only,49,32,1.1310483870967742,1.3329525449140025,0.8336429857786507,0.835676878120201,0.731072294408383,0.8571428571428572,0.8095238095238095,0.9069264069264069,1.3329525449140025,1.1310483870967742,,,0.0,0.0
valence,stimulus_only,50,32,1.1547379032258065,1.2866157693255633,0.9672093563941468,0.9572243610768556,0.8925953988897438,0.9411764705882353,0.9375,1.0,1.2866157693255633,1.1547379032258065,,,0.0,0.0
valence,stimulus_only,52,32,1.2358870967741935,1.5125805677667,0.7823572050296049,0.7589824829572485,0.750234463038042,0.7878787878787878,0.746031746031746,0.8506493506493507,1.5125805677666997,1.2358870967741935,,,0.0,0.0
valence,stimulus_only,53,32,0.9208669354838709,1.117921278029436,0.9434256898467938,0.9099429949294116,0.8952338699454937,0.9166666666666667,0.906158357771261,0.9761904761904762,1.117921278029436,0.920866935483871,,,0.0,0.0
valence,stimulus_only,54,32,1.0932459677419357,1.4427400196528868,0.8113994042385747,0.8344108319672651,0.8028321779493479,0.8531746031746033,0.8435972629521017,0.9722222222222222,1.4427400196528868,1.0932459677419357,,,0.0,0.0
valence,stimulus_only,55,32,1.0015120967741937,1.303620364059265,0.8343983189289959,0.8756624196901942,0.8042566818781314,0.8947368421052632,0.8745098039215686,0.9838056680161943,1.303620364059265,1.0015120967741935,,,0.0,0.0
valence,stimulus_only,56,32,0.8644153225806452,1.0985109884654758,0.9228221709057491,0.8854194809660154,0.9004788429459502,0.9411764705882353,0.9375,0.9921568627450981,1.0985109884654758,0.8644153225806451,,,0.0,0.0
valence,stimulus_only,57,32,1.1633064516129032,1.306171564966866,0.9357541313678465,0.9189961045829611,0.8695385403450053,0.9722222222222222,0.9684729064039409,0.9880952380952381,1.306171564966866,1.1633064516129035,,,0.0,0.0
valence,stimulus_only,58,32,0.8346774193548387,1.01439944967274,0.9058262036219726,0.8974096094567731,0.8967085099641939,0.84375,0.8435972629521017,0.94140625,1.01439944967274,0.8346774193548387,,,0.0,0.0
valence,stimulus_only,59,32,1.1154233870967742,1.3881015443772842,0.8139054960134012,0.8320801973230201,0.8094550155380809,0.8083333333333333,0.7793103448275862,0.9041666666666667,1.3881015443772842,1.1154233870967742,,,0.0,0.0
valence,stimulus_only,60,32,1.0912298387096773,1.2498666682272446,0.9365309095696591,0.9159804879307853,0.8876724127978474,0.9166666666666667,0.906158357771261,0.9880952380952381,1.2498666682272448,1.0912298387096775,,,0.0,0.0
valence,stimulus_only,61,32,1.486391129032258,1.796584786883719,0.9245718728211336,0.878894809310882,0.7980118384135406,0.9473684210526316,0.9365079365079365,0.979757085020243,1.796584786883719,1.486391129032258,,,0.0,0.0
valence,stimulus_only,62,32,1.1244959677419355,1.2933652382208536,0.9017688423353323,0.8759279144645141,0.8609266151963054,0.9722222222222222,0.9684729064039409,1.0,1.2933652382208536,1.1244959677419355,,,0.0,0.0
valence,stimulus_only,63,32,0.925907258064516,1.1374506141295835,0.9185405998609216,0.9126073081799048,0.8950883756190414,0.8947368421052632,0.8745098039215686,0.9919028340080972,1.1374506141295835,0.9259072580645161,,,0.0,0.0
valence,stimulus_only,64,32,0.9959677419354839,1.2210553618366922,0.8780768654201265,0.8475350823686865,0.8482305166291902,0.8260869565217391,0.7408906882591093,0.8792270531400966,1.2210553618366922,0.9959677419354839,,,0.0,0.0
valence,stimulus_only,65,32,0.8140120967741935,0.9601897859684009,0.9453700665497249,0.9474030066230439,0.9238197533003781,0.8784313725490196,0.875,0.9764705882352941,0.960189785968401,0.8140120967741935,,,0.0,0.0
valence,emg_expanded_ridge_residual_noaug,1,32,1.0487102533471961,1.2438058074738765,0.8648972572358282,0.8480085635521081,0.8553978661360248,0.8333333333333333,0.8095238095238095,0.9,1.2438058074738765,1.0487102533471961,-0.2454925673761933,-0.35896967165425114,0.53125,0.33339167031818706
