target,subject_id,k_calibration,repeat,model,eval_n,calibration_n,calibration_stimuli,tau2_train_subject_residual,sigma2_train_within_residual,fold_rmse,fold_mae,fold_pearson
valence,1,1,9,bias_huber,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.5963668427946605,1.2949308755760365,0.8857025134710111
valence,1,1,9,bias_trimmed_mean,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.5963668427946605,1.2949308755760365,0.8857025134710111
valence,1,1,9,affine_residual_ridge1,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.5963668427946605,1.2949308755760365,0.8857025134710111
valence,1,1,9,affine_residual_ridge4,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.5963668427946605,1.2949308755760365,0.8857025134710111
valence,1,1,9,kernel_residual_shrink4,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.3298510585984311,1.088351050399243,0.8851531924441562
valence,1,1,10,stimulus_only,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.2564514227571708,1.0414746543778803,0.882987562215709
valence,1,1,10,bias_mean,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.6390960754941915,1.3502304147465434,0.8829875622157091
valence,1,1,10,bias_shrink1,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.2309777099724346,1.002304147465438,0.8829875622157091
valence,1,1,10,bias_shrink2,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.1828944439799827,0.9784946236559141,0.882987562215709
valence,1,1,10,bias_shrink4,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.1853949933767143,0.9926267281105992,0.8829875622157091
valence,1,1,10,bias_shrink8,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.2074300545106411,1.0133128520225296,0.8829875622157091
valence,1,1,10,bias_empirical_bayes,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.2191688739173365,1.0214107443217797,0.882987562215709
valence,1,1,10,bias_median,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.6390960754941915,1.3502304147465434,0.8829875622157091
valence,1,1,10,bias_huber,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.6390960754941915,1.3502304147465434,0.8829875622157091
valence,1,1,10,bias_trimmed_mean,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.6390960754941915,1.3502304147465434,0.8829875622157091
valence,1,1,10,affine_residual_ridge1,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.6390960754941915,1.3502304147465434,0.8829875622157091
valence,1,1,10,affine_residual_ridge4,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.6390960754941915,1.3502304147465434,0.8829875622157091
valence,1,1,10,kernel_residual_shrink4,31,1,Dog_6,0.13735170717592593,1.5977360488290984,1.1921609765036079,0.974338367164643,0.8820991377628568
valence,1,1,11,stimulus_only,31,1,8370,0.13735170717592593,1.5977360488290984,1.2619409901184546,1.0460829493087558,0.8855138872281213
valence,1,1,11,bias_mean,31,1,8370,0.13735170717592593,1.5977360488290984,1.5435311721059193,1.2672811059907838,0.8855138872281213
