scope,test_subject,task,eeg_accuracy,stimulus_accuracy,delta_accuracy_eeg_minus_stimulus,eeg_balanced_accuracy,stimulus_balanced_accuracy,delta_balanced_accuracy_eeg_minus_stimulus,eeg_macro_f1,stimulus_macro_f1,delta_macro_f1_eeg_minus_stimulus,eeg_weighted_f1,stimulus_weighted_f1,delta_weighted_f1_eeg_minus_stimulus,eeg_mcc,stimulus_mcc,delta_mcc_eeg_minus_stimulus,eeg_cohen_kappa,stimulus_cohen_kappa,delta_cohen_kappa_eeg_minus_stimulus,eeg_auroc,stimulus_auroc,delta_auroc_eeg_minus_stimulus,eeg_average_precision,stimulus_average_precision,delta_average_precision_eeg_minus_stimulus,eeg_accuracy_lift_vs_majority,stimulus_accuracy_lift_vs_majority,delta_accuracy_lift_vs_majority_eeg_minus_stimulus,eeg_dimension_hamming_accuracy,stimulus_dimension_hamming_accuracy,delta_dimension_hamming_accuracy_eeg_minus_stimulus,eeg_both_dimensions_correct_rate,stimulus_both_dimensions_correct_rate,delta_both_dimensions_correct_rate_eeg_minus_stimulus,eeg_neither_dimension_correct_rate,stimulus_neither_dimension_correct_rate,delta_neither_dimension_correct_rate_eeg_minus_stimulus
subject,20.0,arousal_high_low,0.75,0.75,0.0,0.7619047619047619,0.7777777777777778,-0.015873015873015928,0.75,0.746031746031746,0.003968253968253954,0.75,0.7420634920634921,0.007936507936507908,0.5238095238095238,0.5945883900105632,-0.07077886620103935,0.5076923076923077,0.5223880597014925,-0.014695752009184826,0.880952380952381,0.8809523809523809,1.1102230246251565e-16,0.920801513656373,0.9229619943578755,-0.002160480701502543,0.1875,0.1875,0.0,,,,,,,,,
subject,21.0,arousal_high_low,0.96875,0.96875,0.0,0.9782608695652174,0.9782608695652174,0.0,0.9625730994152046,0.9625730994152046,0.0,0.9692251461988304,0.9692251461988304,0.0,0.9278305692406299,0.9278305692406299,0.0,0.9252336448598131,0.9252336448598131,0.0,0.9903381642512078,0.9903381642512078,0.0,0.9765432098765432,0.9765432098765434,-2.220446049250313e-16,0.25,0.25,0.0,,,,,,,,,
subject,22.0,arousal_high_low,0.84375,0.875,-0.03125,0.8318181818181818,0.8545454545454545,-0.022727272727272707,0.82281284606866,0.8545454545454545,-0.03173260847679449,0.8456533776301218,0.875,-0.029346622369878173,0.6476427756840265,0.7090909090909091,-0.0614481334068826,0.6460176991150443,0.7090909090909091,-0.06307320997586485,0.9227272727272727,0.9181818181818182,0.004545454545454519,0.9127090301003344,0.9149999999999999,-0.002290969899665485,0.15625,0.1875,-0.03125,,,,,,,,,
subject,23.0,arousal_high_low,0.90625,0.90625,0.0,0.8846153846153846,0.8846153846153846,0.0,0.8981972428419936,0.8981972428419936,0.0,0.9035657476139979,0.9035657476139979,0.0,0.8150678894028793,0.8150678894028793,0.0,0.7983193277310925,0.7983193277310925,0.0,0.9271255060728746,0.9352226720647774,-0.0080971659919028,0.934319526627219,0.941282051282051,-0.006962524654832047,0.3125,0.3125,0.0,,,,,,,,,
subject,24.0,arousal_high_low,0.90625,0.90625,0.0,0.8852813852813852,0.8852813852813852,0.0,0.893687707641196,0.893687707641196,0.0,0.905107973421927,0.905107973421927,0.0,0.7895918772038132,0.7895918772038132,0.0,0.7876106194690266,0.7876106194690266,0.0,0.9783549783549783,0.987012987012987,-0.008658008658008698,0.9674931129476584,0.9750688705234161,-0.00757575757575768,0.25,0.25,0.0,,,,,,,,,
subject,25.0,arousal_high_low,0.84375,0.90625,-0.0625,0.8376623376623377,0.8852813852813852,-0.04761904761904756,0.8303287380699894,0.893687707641196,-0.06335896957120657,0.8452412513255567,0.905107973421927,-0.05986672209637023,0.6625413488689132,0.7895918772038132,-0.12705052833489994,0.6610169491525424,0.7876106194690266,-0.12659367031648416,0.9134199134199135,0.9047619047619048,0.008658008658008698,0.9012626262626262,0.8635720559633604,0.03769057029926581,0.1875,0.25,-0.0625,,,,,,,,,
subject,26.0,arousal_high_low,0.75,0.8125,-0.0625,0.625,0.7916666666666667,-0.16666666666666674,0.6342857142857142,0.7681159420289855,-0.13383022774327125,0.7371428571428571,0.8188405797101449,-0.0816977225672878,0.2773500981126145,0.5449492609130661,-0.26759916280045154,0.2727272727272727,0.5384615384615384,-0.26573426573426573,0.8125,0.84375,-0.03125,0.5066242784992785,0.5179563492063491,-0.011332070707070652,0.0,0.0625,-0.0625,,,,,,,,,
subject,27.0,arousal_high_low,0.8125,0.78125,0.03125,0.8056680161943319,0.7550607287449393,0.05060728744939258,0.8056680161943319,0.7624602332979851,0.04320778289634686,0.8125,0.7749867444326617,0.03751325556733831,0.611336032388664,0.5405187056040147,0.07081732678464925,0.611336032388664,0.5294117647058824,0.0819242676827816,0.8744939271255061,0.8603238866396762,0.014170040485829927,0.87112889525933,0.8205946014769543,0.05053429378237573,0.21875,0.1875,0.03125,,,,,,,,,
subject,28.0,arousal_high_low,0.96875,0.9375,0.03125,0.9791666666666667,0.9583333333333333,0.02083333333333348,0.9599499374217773,0.9227053140096618,0.03724462341211543,0.9693366708385482,0.9396135265700484,0.029723144268499868,0.9229582069908973,0.8563488385776753,0.06660936841322196,0.92,0.8461538461538461,0.0738461538461539,1.0,0.9947916666666667,0.005208333333333259,1.0,0.9861111111111112,0.01388888888888884,0.21875,0.1875,0.03125,,,,,,,,,
subject,29.0,arousal_high_low,0.875,0.875,0.0,0.8545454545454545,0.8545454545454545,0.0,0.8545454545454545,0.8545454545454545,0.0,0.875,0.875,0.0,0.7090909090909091,0.7090909090909091,0.0,0.7090909090909091,0.7090909090909091,0.0,0.9272727272727272,0.9181818181818182,0.009090909090909038,0.8701515151515151,0.8505608718766614,0.019590643274853714,0.1875,0.1875,0.0,,,,,,,,,
subject,30.0,arousal_high_low,0.9375,0.9375,0.0,0.9272727272727272,0.9272727272727272,0.0,0.9272727272727272,0.9272727272727272,0.0,0.9375,0.9375,0.0,0.8545454545454545,0.8545454545454545,0.0,0.8545454545454545,0.8545454545454545,0.0,0.9681818181818181,0.959090909090909,0.00909090909090915,0.9187698412698413,0.9068650793650793,0.011904761904761973,0.25,0.25,0.0,,,,,,,,,
