target,block,k_calibration,model,subjects,rmse_wins_vs_fewshot,rmse_losses_vs_fewshot,rmse_ties_vs_fewshot,rmse_win_margin_vs_fewshot,mean_delta_rmse_model_minus_fewshot,median_delta_rmse_model_minus_fewshot,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,emg_bsl_stats_22,8,stimulus_only,63,27,36,0,-9,0.16225651326047316,0.027851513199330435,1.5832279726003078,-0.10291281706034106
arousal,emg_bsl_stats_22,8,stimulus_plus_fewshot_bias,63,11,52,0,-41,0.02338748986522981,0.04441727129455186,0.10363707451668835,-0.22763801479723345
arousal,emg_bsl_stats_22,8,stimulus_plus_fewshot_bias_plus_physio,63,16,47,0,-31,0.716210843104463,0.04430723770605671,41.28182686913672,-0.21402342832910604
arousal,emg_bsl_stats_22,8,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,33,30,0,3,0.6925251294362443,-0.00042588849150049235,41.17548905545322,-0.04091840043184636
arousal,emg_bsl_stats_22,8,stimulus_plus_physio,63,25,38,0,-13,0.842054554917923,0.014217046010768453,40.99352147280227,-0.11683708029439677
arousal,emg_bsl_stats_22,16,stimulus_only,63,26,37,0,-11,0.19484034210282067,0.050117489754267774,1.7341904908670085,-0.08509531501770429
arousal,emg_bsl_stats_22,16,stimulus_plus_fewshot_bias,63,14,49,0,-35,0.0062614636066436035,0.013074682351035039,0.029282445527465395,-0.08778651844736984
arousal,emg_bsl_stats_22,16,stimulus_plus_fewshot_bias_plus_physio,63,22,41,0,-19,0.6766663363467139,0.012057819377906842,39.92608382110762,-0.0747902866315091
arousal,emg_bsl_stats_22,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,32,31,0,1,0.670225845555166,-0.0013032595946342873,39.86253402442454,-0.04580308534127986
arousal,emg_bsl_stats_22,16,stimulus_plus_physio,63,23,40,0,-17,0.849930632721478,0.038439024707666025,39.64587288447619,-0.11075895135038705
arousal,emg_existing_22,0,stimulus_only,63,0,0,63,0,0.0,0.0,0.0,0.0
arousal,emg_existing_22,0,stimulus_plus_fewshot_bias,63,0,0,63,0,0.0,0.0,0.0,0.0
arousal,emg_existing_22,0,stimulus_plus_fewshot_bias_plus_physio,63,35,28,0,7,0.03057566401008678,-0.005023796267301206,1.9308248559662646,-0.048826059743375616
arousal,emg_existing_22,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,35,28,0,7,0.03057566401008678,-0.005023796267301206,1.9308248559662646,-0.048826059743375616
arousal,emg_existing_22,0,stimulus_plus_physio,63,35,28,0,7,0.03057566401008678,-0.005023796267301206,1.9308248559662646,-0.048826059743375616
arousal,emg_existing_22,1,stimulus_only,63,32,31,0,1,0.045873880918932006,-0.00162228414289034,0.5357808727085556,-0.059249382963072694
arousal,emg_existing_22,1,stimulus_plus_fewshot_bias,63,5,58,0,-53,0.47464195880192067,0.5312915266397296,1.0594133755055868,-0.6739278570449923
arousal,emg_existing_22,1,stimulus_plus_fewshot_bias_plus_physio,63,5,58,0,-53,0.49872212690405016,0.5311127267619995,2.096028742798123,-0.669447292108611
arousal,emg_existing_22,1,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,35,28,0,7,0.030406655405031742,-0.004840448135884801,1.927646662179266,-0.04357946541087232
arousal,emg_existing_22,1,stimulus_plus_physio,63,34,29,0,5,0.07672666424201167,-0.00341393418143654,1.9478545682608692,-0.07288336402584283
arousal,emg_existing_22,2,stimulus_only,63,32,31,0,1,0.0804895775230504,-0.0007817562472527406,0.869146530109921,-0.09053441510497606
arousal,emg_existing_22,2,stimulus_plus_fewshot_bias,63,7,56,0,-49,0.20521926851883052,0.2562205387340857,0.5095457936711592,-0.6608932384148805
arousal,emg_existing_22,2,stimulus_plus_fewshot_bias_plus_physio,63,7,56,0,-49,0.23136270738300893,0.25930535579780956,1.9687194082564092,-0.6559529885450823
arousal,emg_existing_22,2,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,36,27,0,9,0.030076143230621414,-0.004514260049749641,1.9023446262270651,-0.03935003446120966
arousal,emg_existing_22,2,stimulus_plus_physio,63,32,31,0,1,0.11114909562714384,-0.001409308026684597,1.934255711107856,-0.0974496196916328
arousal,emg_existing_22,4,stimulus_only,63,30,33,0,-3,0.11917013571363788,0.018319304784665924,1.3070557323038665,-0.09445862725609078
arousal,emg_existing_22,4,stimulus_plus_fewshot_bias,63,11,52,0,-41,0.07541063409285886,0.10658864153378733,0.24858117635084565,-0.3748422530492106
arousal,emg_existing_22,4,stimulus_plus_fewshot_bias_plus_physio,63,10,53,0,-43,0.10309344687037317,0.1142775758174428,1.9016157154094369,-0.37167382912485003
arousal,emg_existing_22,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,37,26,0,11,0.030022225138789015,-0.003860919586065048,1.9131780681231356,-0.039460947544019964
arousal,emg_existing_22,4,stimulus_plus_physio,63,31,32,0,-1,0.15005186528484782,0.008786824798134418,1.9744959953782837,-0.10465628468057564
arousal,emg_existing_22,8,stimulus_only,63,29,34,0,-5,0.1606798950937964,0.027600741326246014,1.5793390167942256,-0.10869919870739064
arousal,emg_existing_22,8,stimulus_plus_fewshot_bias,63,13,50,0,-37,0.023057617026475814,0.039553586172215605,0.09532810491819577,-0.2400721329712081
arousal,emg_existing_22,8,stimulus_plus_fewshot_bias_plus_physio,63,14,49,0,-35,0.05246089854128612,0.03634001558915023,1.9707807454653534,-0.23433169589169012
arousal,emg_existing_22,8,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,41,22,0,19,0.030798356030944288,-0.003553144780397144,1.989719851748334,-0.03327344214627348
arousal,emg_existing_22,8,stimulus_plus_physio,63,29,34,0,-5,0.19266871056463444,0.030344150897174682,2.0676104442617547,-0.12184482791503193
arousal,emg_existing_22,16,stimulus_only,63,23,40,0,-17,0.19450905789973452,0.04381845764537173,1.7614496589888988,-0.09028615199973378
arousal,emg_existing_22,16,stimulus_plus_fewshot_bias,63,13,50,0,-37,0.006629961493913043,0.013099674956796203,0.03194171141652857,-0.08379787626647861
arousal,emg_existing_22,16,stimulus_plus_fewshot_bias_plus_physio,63,15,48,0,-33,0.03503066738869843,0.01253639098192183,1.885254429181733,-0.07765567343364688
