epoch,train_loss,val_rmse_scaled,augmentation_config,stage,test_subject,target,y_fit_mean,y_fit_std,early_stop,y_outer_mean,y_outer_std
8,0.3570856424393477,0.9638497034317756,gaussian_0p10,inner,13,valence,4.11193712824132e-18,1.2745061308351915,,,
9,0.3271288435768198,1.004678806274121,gaussian_0p10,inner,13,valence,4.11193712824132e-18,1.2745061308351915,True,,
1,0.4356681271906822,,gaussian_0p10,final,13,valence,,,,-3.9395010551215234e-17,1.2610536529056107
1,0.4434502127545851,0.9607637711810496,gaussian_0p10,inner,14,valence,-4.11193712824132e-18,1.2701780078364266,,,
2,0.4336561831059279,0.9785174729770523,gaussian_0p10,inner,14,valence,-4.11193712824132e-18,1.2701780078364266,,,
3,0.4283028645096002,1.007092690623412,gaussian_0p10,inner,14,valence,-4.11193712824132e-18,1.2701780078364266,,,
4,0.42559271057446796,0.9898384634460556,gaussian_0p10,inner,14,valence,-4.11193712824132e-18,1.2701780078364266,,,
5,0.4122983625641576,1.020234104615555,gaussian_0p10,inner,14,valence,-4.11193712824132e-18,1.2701780078364266,,,
6,0.4030156234900157,1.0399803978338686,gaussian_0p10,inner,14,valence,-4.11193712824132e-18,1.2701780078364266,,,
7,0.3966233854492505,1.037453962117479,gaussian_0p10,inner,14,valence,-4.11193712824132e-18,1.2701780078364266,,,
8,0.376396411271007,1.0892856759909053,gaussian_0p10,inner,14,valence,-4.11193712824132e-18,1.2701780078364266,,,
9,0.3629117390071904,1.10430940504916,gaussian_0p10,inner,14,valence,-4.11193712824132e-18,1.2701780078364266,True,,
1,0.43508671512526853,,gaussian_0p10,final,14,valence,,,,-1.7906822977825105e-17,1.2630001224566252
1,0.4447483061640351,0.939636941033142,gaussian_0p10,inner,15,valence,-8.22387425648264e-18,1.2714517425533167,,,
2,0.43435221662123996,0.9398900241308732,gaussian_0p10,inner,15,valence,-8.22387425648264e-18,1.2714517425533167,,,
3,0.4316746669786948,0.9430685255858903,gaussian_0p10,inner,15,valence,-8.22387425648264e-18,1.2714517425533167,,,
4,0.4244203037685818,0.9512429777774166,gaussian_0p10,inner,15,valence,-8.22387425648264e-18,1.2714517425533167,,,
5,0.40708693530824447,0.9676856439069442,gaussian_0p10,inner,15,valence,-8.22387425648264e-18,1.2714517425533167,,,
6,0.40098694022055026,0.9860138735183449,gaussian_0p10,inner,15,valence,-8.22387425648264e-18,1.2714517425533167,,,
7,0.3904538251183651,1.0168365402441442,gaussian_0p10,inner,15,valence,-8.22387425648264e-18,1.2714517425533167,,,
8,0.35747889429330826,1.0279467355699279,gaussian_0p10,inner,15,valence,-8.22387425648264e-18,1.2714517425533167,,,
9,0.3278061444008792,1.0195446353474302,gaussian_0p10,inner,15,valence,-8.22387425648264e-18,1.2714517425533167,True,,
1,0.44009318034495076,,gaussian_0p10,final,15,valence,,,,-1.7906822977825105e-17,1.260180925953942
1,0.438006912668546,0.997455672516158,gaussian_0p10,inner,16,valence,-6.1679056923619804e-18,1.2620987989957386,,,
2,0.4350089298354255,0.999614865872688,gaussian_0p10,inner,16,valence,-6.1679056923619804e-18,1.2620987989957386,,,
3,0.4306236246117839,1.0040971320600642,gaussian_0p10,inner,16,valence,-6.1679056923619804e-18,1.2620987989957386,,,
4,0.4190638109489723,1.0089399944788622,gaussian_0p10,inner,16,valence,-6.1679056923619804e-18,1.2620987989957386,,,
5,0.40478536679788873,1.0152958747575227,gaussian_0p10,inner,16,valence,-6.1679056923619804e-18,1.2620987989957386,,,
6,0.39130932065071883,1.0537100708612561,gaussian_0p10,inner,16,valence,-6.1679056923619804e-18,1.2620987989957386,,,
7,0.37239170681547235,1.0547334547977636,gaussian_0p10,inner,16,valence,-6.1679056923619804e-18,1.2620987989957386,,,
8,0.33287252292588904,1.1152641924927258,gaussian_0p10,inner,16,valence,-6.1679056923619804e-18,1.2620987989957386,,,
9,0.30750449360520754,1.07262940433702,gaussian_0p10,inner,16,valence,-6.1679056923619804e-18,1.2620987989957386,True,,
1,0.43991455579957656,,gaussian_0p10,final,16,valence,,,,-3.581364595565021e-18,1.2615164194060524
1,0.43469974564181435,0.9441489396693689,gaussian_0p10,inner,17,valence,8.22387425648264e-18,1.2691046282689895,,,
2,0.4331457242369652,0.9605898230691482,gaussian_0p10,inner,17,valence,8.22387425648264e-18,1.2691046282689895,,,
3,0.42243407915035885,0.9563577965214987,gaussian_0p10,inner,17,valence,8.22387425648264e-18,1.2691046282689895,,,
4,0.4192904945876863,0.9459798209959369,gaussian_0p10,inner,17,valence,8.22387425648264e-18,1.2691046282689895,,,
5,0.39903091584090833,0.9599982939441889,gaussian_0p10,inner,17,valence,8.22387425648264e-18,1.2691046282689895,,,
6,0.38455188026030857,0.9835483293453622,gaussian_0p10,inner,17,valence,8.22387425648264e-18,1.2691046282689895,,,
7,0.35965154899491203,0.999800108205748,gaussian_0p10,inner,17,valence,8.22387425648264e-18,1.2691046282689895,,,
8,0.3325282942365717,1.048549754853855,gaussian_0p10,inner,17,valence,8.22387425648264e-18,1.2691046282689895,,,
9,0.2978277371989356,1.0460526620498345,gaussian_0p10,inner,17,valence,8.22387425648264e-18,1.2691046282689895,True,,
1,0.43749972745295496,,gaussian_0p10,final,17,valence,,,,-1.4325458382260084e-17,1.2589240702147118
1,0.43536543349425,1.0376037691356947,gaussian_0p10,inner,18,valence,-4.11193712824132e-17,1.2436157721254766,,,
2,0.4338600249202163,1.0302335308651032,gaussian_0p10,inner,18,valence,-4.11193712824132e-17,1.2436157721254766,,,
3,0.43419180700072535,1.0346648222022663,gaussian_0p10,inner,18,valence,-4.11193712824132e-17,1.2436157721254766,,,
4,0.41726399847754725,1.0565089536546923,gaussian_0p10,inner,18,valence,-4.11193712824132e-17,1.2436157721254766,,,
5,0.4152778845142435,1.0404531738235359,gaussian_0p10,inner,18,valence,-4.11193712824132e-17,1.2436157721254766,,,
