target,k_calibration,model,locked_reference_model,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,2,bias_shrink8,bias_shrink4,63,38,25,0,13,0.01779013384508563,-0.009377511892818324,0.3305947349377476,-0.05344600717082715
arousal,2,bias_trimmed_mean,bias_shrink4,63,7,56,0,-49,0.21016236789440032,0.24634738718759253,0.5844223033007698,-0.6043863934367912
arousal,2,kernel_residual_shrink4,bias_shrink4,63,40,23,0,17,-0.0007879263579016744,-0.009953169368394299,0.18668220593310414,-0.1128610773169676
arousal,2,stimulus_only,bias_shrink4,63,29,34,0,-5,0.07892569775204668,0.003697080396891872,0.8883274894996358,-0.08521293107759931
arousal,4,affine_residual_ridge1,bias_shrink4,63,10,53,0,-43,0.25777808324473767,0.30901805131526916,0.9458664614431447,-0.7610651860313431
arousal,4,affine_residual_ridge4,bias_shrink4,63,15,48,0,-33,0.09649151936914933,0.15299629538205672,0.5196428274473486,-0.6915706028436652
arousal,4,bias_empirical_bayes,bias_shrink4,63,21,42,0,-21,-0.0002504195998504832,0.01408512693174857,0.037954696960937895,-0.12051075197238537
arousal,4,bias_huber,bias_shrink4,63,7,56,0,-49,0.10798198043087207,0.1303656976537526,0.2991650205942449,-0.3986104074496697
arousal,4,bias_mean,bias_shrink4,63,10,53,0,-43,0.07078872446961554,0.10960668972940102,0.2207421218623713,-0.4068224041543336
arousal,4,bias_median,bias_shrink4,63,7,56,0,-49,0.12682163121617993,0.14543433528734906,0.3588421020536354,-0.3903042233492213
arousal,4,bias_shrink1,bias_shrink4,63,17,46,0,-29,0.016065793950101184,0.0499814668492955,0.12014960519377293,-0.4051483294981839
arousal,4,bias_shrink2,bias_shrink4,63,19,44,0,-25,-0.0005690672587709754,0.02391471739104367,0.06191086597347217,-0.2768478036017443
arousal,4,bias_shrink4,bias_shrink4,63,0,0,63,0,0.0,0.0,0.0,0.0
arousal,4,bias_shrink8,bias_shrink4,63,37,26,0,11,0.02226607306557424,-0.011713512693289685,0.3700309402069375,-0.04887909385182976
arousal,4,bias_trimmed_mean,bias_shrink4,63,10,53,0,-43,0.07078872446961554,0.10960668972940102,0.2207421218623713,-0.4068224041543336
arousal,4,kernel_residual_shrink4,bias_shrink4,63,38,25,0,13,-0.0069533668272030785,-0.01817846344451879,0.29332251510254403,-0.23282784883727303
arousal,4,stimulus_only,bias_shrink4,63,28,35,0,-7,0.12272844836292016,0.012044675695445761,1.2731923990320828,-0.10424761912859903
arousal,8,affine_residual_ridge1,bias_shrink4,63,20,43,0,-23,0.017836532062239792,0.07404529026300777,0.3627096122226612,-0.8422929995214054
arousal,8,affine_residual_ridge4,bias_shrink4,63,24,39,0,-15,-0.017383505686747295,0.04581600482225667,0.28520987351610305,-0.8110872270703937
arousal,8,bias_empirical_bayes,bias_shrink4,63,22,41,0,-19,-0.000287065100985814,0.0076599970856447985,0.022007496555554784,-0.08132382147413031
arousal,8,bias_huber,bias_shrink4,63,11,52,0,-41,0.040524893350985226,0.05864096705294086,0.157300386722373,-0.22891074409687362
arousal,8,bias_mean,bias_shrink4,63,15,48,0,-33,0.023001334722241102,0.03896380655300424,0.11364540539359202,-0.24572840393305717
arousal,8,bias_median,bias_shrink4,63,9,54,0,-45,0.07543902935611511,0.08454160736191119,0.2212618031050657,-0.21743767975227413
arousal,8,bias_shrink1,bias_shrink4,63,16,47,0,-31,0.006066792915252818,0.02421293774587796,0.06621999420837898,-0.2273019472868052
arousal,8,bias_shrink2,bias_shrink4,63,19,44,0,-25,-0.0007033178121579489,0.013268950551423186,0.03504129806363032,-0.16472068251343197
arousal,8,bias_shrink4,bias_shrink4,63,0,0,63,0,0.0,0.0,0.0,0.0
