test_subject,scope,model_group,task,n,subjects,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,cohen_kappa,auroc,average_precision,true_high_rate,pred_high_rate,majority_class_accuracy,accuracy_lift_vs_majority,valence_mae_score,valence_rmse_score,valence_pearson_score,valence_spearman_score,valence_true_score_std,valence_pred_score_std,valence_pred_over_true_std_ratio,valence_mae_deviation,valence_rmse_deviation,valence_pearson_deviation,valence_spearman_deviation,valence_sign_accuracy_deviation,valence_true_deviation_std,valence_pred_deviation_std,valence_pred_over_true_deviation_std_ratio,valence_mean_abs_true_deviation,valence_mean_abs_pred_deviation,arousal_mae_score,arousal_rmse_score,arousal_pearson_score,arousal_spearman_score,arousal_true_score_std,arousal_pred_score_std,arousal_pred_over_true_std_ratio,arousal_mae_deviation,arousal_rmse_deviation,arousal_pearson_deviation,arousal_spearman_deviation,arousal_sign_accuracy_deviation,arousal_true_deviation_std,arousal_pred_deviation_std,arousal_pred_over_true_deviation_std_ratio,arousal_mean_abs_true_deviation,arousal_mean_abs_pred_deviation,dimension_hamming_accuracy,both_dimensions_correct_rate,only_valence_correct_rate,only_arousal_correct_rate,neither_dimension_correct_rate,true_rate_LV_LA,pred_rate_LV_LA,true_rate_LV_HA,pred_rate_LV_HA,true_rate_HV_LA,pred_rate_HV_LA,true_rate_HV_HA,pred_rate_HV_HA
9,subject,eeg_gaussian10,joint_4class_valence_arousal,32,1,0.53125,0.5392857142857143,0.6166666666666667,0.5392857142857143,0.5017424242424243,0.5000473484848484,0.39405862832393207,0.3692509855453351,,,,,0.3125,0.21875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.765625,0.53125,0.3125,0.15625,0.0,0.15625,0.1875,0.21875,0.28125,0.3125,0.46875,0.3125,0.0625
10,subject,eeg_gaussian10,valence_high_low,32,1,0.84375,0.875,0.8529411764705883,0.875,0.8423645320197044,0.8460591133004927,0.7276068751089989,0.6923076923076923,0.9666666666666667,0.9462343212343212,0.375,0.53125,0.625,0.21875,0.8095833175603204,1.0185585667170145,0.9084565186827653,0.8996115668874182,2.4206145913796355,2.1926617974632436,0.9058285467132644,0.8095833175603204,1.0185585667170145,-0.22134050713452097,-0.2128322675541703,0.5,0.9997417263296526,0.049263602508089276,0.04927632928646606,0.7928427419354838,0.154049217676953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,subject,eeg_gaussian10,arousal_high_low,32,1,0.90625,0.8852813852813852,0.9045454545454545,0.8852813852813852,0.893687707641196,0.905107973421927,0.7895918772038132,0.7876106194690266,0.8831168831168831,0.8815656565656566,0.34375,0.3125,0.65625,0.25,,,,,,,,,,,,,,,,,,1.415141427528356,1.7058864729063028,0.7560927454585537,0.635512806936659,2.567069097239106,1.6481921317907244,0.6420521105422211,1.415141427528356,1.7058864729063028,0.09451709546550191,0.13435982092906984,0.53125,1.7129972872947774,0.14992130568118137,0.08751987337811526,1.4380040322580645,0.17917952079102878,,,,,,,,,,,,,
10,subject,eeg_gaussian10,joint_4class_valence_arousal,32,1,0.75,0.7058080808080808,0.7247023809523809,0.7058080808080808,0.6975490196078431,0.7420343137254901,0.6645054442511,0.6449375866851594,,,,,0.34375,0.40625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,0.75,0.09375,0.15625,0.0,0.34375,0.21875,0.28125,0.25,0.3125,0.46875,0.0625,0.0625
11,subject,eeg_gaussian10,valence_high_low,32,1,0.90625,0.9166666666666667,0.9117647058823529,0.9166666666666667,0.906158357771261,0.906524926686217,0.828416869579514,0.813953488372093,0.9563492063492064,0.9447732939329577,0.4375,0.53125,0.5625,0.34375,1.2133289628346178,1.4625807164903686,0.9135502466733945,0.8863117163738455,3.136852522832401,2.1546639830049177,0.686887243605157,1.2133289628346178,1.4625807164903686,-0.11218807791536983,-0.07368035190615835,0.46875,1.4456403474452697,0.10187309016070213,0.07046918020838407,1.206149193548387,0.08785783568247721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,subject,eeg_gaussian10,arousal_high_low,32,1,0.59375,0.5607287449392713,0.5681818181818181,0.5607287449392713,0.5588547189819725,0.5821182396606575,0.1286949299057178,0.12605042016806722,0.5910931174089069,0.5096191503574948,0.40625,0.3125,0.59375,0.0,,,,,,,,,,,,,,,,,,1.7096971147224076,2.120586136259715,0.4345537489310138,0.42681437496194313,1.8874586088176875,1.6700256770578084,0.884801218556541,1.7096971147224078,2.120586136259715,0.06034421796408764,0.00824855653725531,0.4375,1.9006477694544373,0.22721336605724238,0.1195452254271933,1.6718749999999998,0.28787610439773825,,,,,,,,,,,,,
11,subject,eeg_gaussian10,joint_4class_valence_arousal,32,1,0.5,0.4897186147186147,0.4949404761904762,0.4897186147186147,0.447524154589372,0.4610658212560386,0.34444437195521865,0.32542819499341236,,,,,0.34375,0.15625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.5,0.40625,0.09375,0.0,0.34375,0.21875,0.21875,0.25,0.25,0.46875,0.1875,0.0625
12,subject,eeg_gaussian10,valence_high_low,32,1,0.90625,0.9166666666666667,0.9117647058823529,0.9166666666666667,0.906158357771261,0.906524926686217,0.828416869579514,0.813953488372093,0.9563492063492063,0.91179316715031,0.4375,0.53125,0.5625,0.34375,0.9343131650446164,1.1692507995200265,0.8492818982581716,0.8640351831489353,1.88926862502398,2.17285639529046,1.1501045253751196,0.9343131650446164,1.1692507995200265,0.126587601710853,0.04747937751639114,0.5,1.156639274123462,0.108024643971671,0.09339527576862035,0.9526209677419355,0.0782602933878041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,subject,eeg_gaussian10,arousal_high_low,32,1,0.84375,0.8236714975845411,0.8045454545454545,0.8236714975845411,0.8128654970760234,0.846125730994152,0.6279257387790121,0.6261682242990654,0.9275362318840579,0.8802860175409195,0.28125,0.3125,0.71875,0.125,,,,,,,,,,,,,,,,,,1.1973394422910384,1.4469887840194147,0.6565318131589144,0.5867380070029291,1.1575161985907585,1.6349159685591688,1.4124346342178344,1.1973394422910384,1.4469887840194147,-0.011416962969232473,-0.014664100510676108,0.3125,1.2274284576871455,0.1326607951448318,0.10808026676739893,1.0922379032258065,0.23964845427991982,,,,,,,,,,,,,
12,subject,eeg_gaussian10,joint_4class_valence_arousal,32,1,0.75,0.7301587301587302,0.5973214285714286,0.5476190476190477,0.5690289046653144,0.7694678625760649,0.6276406528373377,0.6229749631811488,,,,,0.4375,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,0.75,0.15625,0.09375,0.0,0.28125,0.21875,0.28125,0.25,0.4375,0.46875,0.0,0.0625
13,subject,eeg_gaussian10,valence_high_low,32,1,0.8125,0.8571428571428572,0.8235294117647058,0.8571428571428572,0.8095238095238095,0.8169642857142857,0.6798418006783489,0.632183908045977,0.9696969696969697,0.9403069153069152,0.34375,0.53125,0.65625,0.15625,0.8550905724759585,1.029098248682179,0.9067732204198593,0.9237204810603283,1.818954026356906,2.1982249396243265,1.2085104448878432,0.8550905724759585,1.029098248682179,-0.3280129916381823,-0.2604949631304703,0.6875,0.933579727266912,0.027807902861465252,0.029786318242839418,0.8724798387096774,0.06944329552218328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,subject,eeg_gaussian10,arousal_high_low,32,1,0.6875,0.6875,0.5,0.34375,0.4074074074074074,0.8148148148148148,,,,,0.0,0.3125,1.0,-0.3125,,,,,,,,,,,,,,,,,,2.1540823740961086,2.5000306957716427,0.5420052132306401,0.45464575239279637,1.243734296383275,1.6400943937893666,1.3186855090812972,2.1540823740961086,2.5000306957716427,-0.054980566295684354,-0.03629032258064516,0.25,1.4088788982214433,0.1384914828528087,0.09829906816514952,2.081149193548387,0.1337068634036479,,,,,,,,,,,,,
13,subject,eeg_gaussian10,joint_4class_valence_arousal,32,1,0.53125,0.6212121212121212,0.41666666666666663,0.3106060606060606,0.3173076923076923,0.5925480769230769,0.41330894997125445,0.3258426966292135,,,,,0.65625,-0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.53125,0.28125,0.15625,0.03125,0.65625,0.21875,0.0,0.25,0.34375,0.46875,0.0,0.0625
