target,block,k_calibration,model,n,mae,rmse,pearson,ccc,y_true_std,y_pred_std,locked_reference_rmse,locked_reference_model,lift_vs_locked_rmse,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,eeg_entropy_complexity,16,physio_residual_ridge1000,1280,2.1867010573856533,2.5550072905357832,0.27801213503357597,0.24942467012833897,2.5035477756263713,1.5584030013869647,1.804905946663372,locked_kernel_residual_shrink4,-0.7501013438724113,8.0,2.0,6.0,0.0,-4.0,0.7313839001496925,0.8430247008455298,1.5942581894750782,-0.053436875833644315
arousal,eeg_entropy_complexity,4,physio_residual_ridge100,2240,2.3897614394979816,2.8334797936178564,0.20581124067462236,0.19988607330149677,2.489867220457791,1.9570218408634987,2.0716091800585157,locked_kernel_residual_shrink4,-0.7618706135593407,8.0,0.0,8.0,0.0,-8.0,0.7338891989428918,0.5714156925331538,1.6024910957242144,0.25035722348634337
arousal,eeg_entropy_complexity,4,physio_context_ridge100,2240,2.407528384828142,2.8437331267777046,0.12616515634874176,0.11767662562394626,2.489867220457791,1.7167002981455823,2.0716091800585157,locked_kernel_residual_shrink4,-0.7721239467191889,8.0,0.0,8.0,0.0,-8.0,0.7461591850656069,0.6798170366476393,1.7142086018235108,0.16520695579034395
arousal,emg_lagged_interaction_experimental,16,physio_context_ridge100,1280,2.290446042828262,2.6330336674357797,0.13666565575715547,0.10278492311683556,2.528045690775473,1.149400476574705,1.8388992932376849,locked_kernel_residual_shrink4,-0.7941343741980949,8.0,2.0,6.0,0.0,-4.0,0.7815281368544504,0.7707689014211787,2.1941361083311945,-0.033637172372476876
arousal,emg_lagged_interaction_experimental,16,physio_residual_ridge100,1280,2.259979121573269,2.6407474975720104,0.22127702840095984,0.1937351787704777,2.528045690775473,1.4977291600378686,1.8388992932376849,locked_kernel_residual_shrink4,-0.8018482043343256,8.0,2.0,6.0,0.0,-4.0,0.7812710993201403,0.675074947546451,2.256929307277654,-0.05218755449854373
arousal,emg_lagged_interaction_experimental,16,physio_context_ridge1000,1280,2.332707926630974,2.6412719813126606,-0.16257760796361173,-0.056826905679394996,2.528045690775473,0.45635283408529265,1.8388992932376849,locked_kernel_residual_shrink4,-0.8023726880749757,8.0,0.0,8.0,0.0,-8.0,0.8083221136034631,1.0065295245974009,1.4805907474505768,0.048309735949410015
arousal,emg_existing_22,16,physio_context_ridge100,1280,2.1765744902193545,2.5819881002435032,0.19895263377914013,0.17108780255044398,2.442300961055987,1.4159245826927933,1.7764977055074054,locked_kernel_residual_shrink4,-0.8054903947360978,8.0,1.0,7.0,0.0,-6.0,0.72236272825776,0.43908424333026264,2.6749709714910535,-0.2152742349903649
arousal,emg_existing_22,16,physio_residual_ridge100,1280,2.142629064526409,2.6153398635399343,0.2616451277798705,0.24458696927957346,2.442300961055987,1.7328592245041272,1.7764977055074054,locked_kernel_residual_shrink4,-0.8388421580325289,8.0,1.0,7.0,0.0,-6.0,0.7375360569828857,0.3892149593415817,2.8289357684635257,-0.2380291458931587
arousal,eeg_entropy_complexity,16,physio_context_ridge1000,1280,2.3653771191835404,2.7009926265269897,-0.06503504798090295,-0.03968852651024286,2.5035477756263713,0.8552147392231184,1.804905946663372,locked_kernel_residual_shrink4,-0.8960866798636178,8.0,0.0,8.0,0.0,-8.0,0.9038697646671687,1.1850868332304199,1.3513506477533348,0.16222512738260875
arousal,eeg_entropy_complexity,16,physio_residual_ridge100,1280,2.384322408027947,2.817500338511591,0.23428149315023525,0.2285326219143251,2.5035477756263713,2.0046323159097774,1.804905946663372,locked_kernel_residual_shrink4,-1.0125943918482192,8.0,0.0,8.0,0.0,-8.0,0.982597529540615,0.9226005093521713,1.725068013578404,0.20937983025590534
