target,block,k_calibration,model,n,mae,rmse,pearson,spearman,ccc,y_true_std,y_pred_std,lift_vs_fewshot_rmse,lift_vs_fewshot_mae,lift_vs_fewshot_pearson,fewshot_reference_model
arousal,emg_existing_22,16,stimulus_plus_physio,1280,2.098862995886992,2.5227599708923423,0.32200654057752165,0.33606906382775453,0.30394364570356747,2.4659378762197153,1.7499422165832512,-0.5565400357545323,-0.519253620886992,-0.30053673856406193,stimulus_plus_fewshot_bias_shrink4
valence,eeg_entropy_complexity,4,stimulus_plus_physio,2240,1.2180127572000616,1.502191071746597,0.8387095161492413,0.8209460322015498,0.8355310503904894,2.72661084287007,2.5064803505617643,0.06563121291127882,0.025997659466604928,0.013750456441078862,stimulus_plus_fewshot_bias_shrink4
valence,emg_lagged_interaction_experimental,4,stimulus_plus_physio,2240,1.234587758667925,1.5313218490751754,0.832089057475215,0.8113542841830957,0.8289972246028244,2.725699941409452,2.506138246917332,0.038782661651156625,0.011878015141598919,0.0076604809749117875,stimulus_plus_fewshot_bias_shrink4
valence,eeg_entropy_complexity,16,stimulus_plus_physio,1280,1.2297490498908004,1.52822595174697,0.8364404907469486,0.8111574298327744,0.8329986668549075,2.751823680640883,2.530543817465393,0.02553851810609542,-0.010712591557466844,0.005931990432248679,stimulus_plus_fewshot_bias_shrink4
valence,emg_lagged_interaction_experimental,16,stimulus_plus_physio,1280,1.2592089729300822,1.5621388024623408,0.8289572452430766,0.8019979929408643,0.8254947642926138,2.7488410865919364,2.532989215220398,0.019875999406887335,-0.004469389596748918,0.004203723150895788,stimulus_plus_fewshot_bias_shrink4
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,2240,1.2425691345377101,1.549039610505959,0.829485940024442,0.815375120319565,0.8274646555757367,2.72661084287007,2.5441003725106333,0.01878267415191681,0.0014412821289564448,0.004526880316279569,stimulus_plus_fewshot_bias_shrink4
valence,emg_existing_22,4,stimulus_plus_physio,2240,1.2510222503414046,1.5475020950020917,0.8293649330887238,0.8069345377722328,0.8257878983059798,2.7403933767572495,2.4972620171331283,0.018724611522273005,-0.013559452722356813,0.002972041637568812,stimulus_plus_fewshot_bias_shrink4
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_plus_physio,128,1.22394397586921,1.5148614120907793,0.8364242844695423,0.8164537752460193,0.8334025582969095,2.7282073298001017,2.5153493217669864,0.014935233799705516,1.4357464123371244e-05,0.004012379119276321,stimulus_plus_fewshot_bias_shrink4
valence,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,128,1.22394397586921,1.5148614120907793,0.8364242844695423,0.8164537752460193,0.8334025582969095,2.7282073298001017,2.5153493217669864,0.014935233799705516,1.4357464123371244e-05,0.004012379119276321,stimulus_plus_fewshot_bias_shrink4
valence,eeg_entropy_complexity,0,stimulus_plus_physio,128,1.22394397586921,1.5148614120907793,0.8364242844695423,0.8164537752460193,0.8334025582969095,2.7282073298001017,2.5153493217669864,0.014935233799705516,1.4357464123371244e-05,0.004012379119276321,stimulus_plus_fewshot_bias_shrink4
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,1280,1.2234775930119033,1.5479221725886503,0.8330290427327063,0.8121687657004368,0.8298775229637341,2.751823680640883,2.5494107018639203,0.005842297264415208,-0.004441134678569769,0.0025205424180063662,stimulus_plus_fewshot_bias_shrink4
valence,emg_existing_22,16,stimulus_plus_physio,1280,1.247027836517862,1.5548617640458782,0.8247240497132027,0.804598587242744,0.8226678549675659,2.700634578024846,2.5177705510079975,0.0032253377127708927,-0.02471012818452878,-3.4833439112147424e-05,stimulus_plus_fewshot_bias_shrink4
valence,emg_existing_22,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,2240,1.2447733333126638,1.5641400898361628,0.8265290206745826,0.8063204140923388,0.8235444364782376,2.7403933767572495,2.5205885825852614,0.00208661668820187,-0.00731053569361606,0.00013612922342753908,stimulus_plus_fewshot_bias_shrink4
valence,emg_existing_22,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,1280,1.22733947108354,1.557094236203359,0.824639494310577,0.80623110321812,0.8227055849107048,2.700634578024846,2.525917922229801,0.00099286555528999,-0.005021762750206715,-0.00011938884173778863,stimulus_plus_fewshot_bias_shrink4
valence,emg_lagged_interaction_experimental,0,stimulus_plus_fewshot_bias_plus_physio,128,1.2362392721778583,1.534919808159993,0.8316196566505756,0.8095756782168537,0.8284664788212501,2.7282073298001017,2.5076401017551118,-0.0051231622695082635,-0.012280938844524858,-0.0007922486996904121,stimulus_plus_fewshot_bias_shrink4
valence,emg_lagged_interaction_experimental,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,128,1.2362392721778583,1.534919808159993,0.8316196566505756,0.8095756782168537,0.8284664788212501,2.7282073298001017,2.5076401017551118,-0.0051231622695082635,-0.012280938844524858,-0.0007922486996904121,stimulus_plus_fewshot_bias_shrink4
valence,emg_lagged_interaction_experimental,0,stimulus_plus_physio,128,1.2362392721778583,1.534919808159993,0.8316196566505756,0.8095756782168537,0.8284664788212501,2.7282073298001017,2.5076401017551118,-0.0051231622695082635,-0.012280938844524858,-0.0007922486996904121,stimulus_plus_fewshot_bias_shrink4
valence,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,1280,1.2675351435398268,1.5901757759516253,0.8240776166339481,0.7992915921797652,0.8204884153908188,2.7488410865919364,2.5510706854295044,-0.008160974082397132,-0.012795560206493528,-0.0006759054582327062,stimulus_plus_fewshot_bias_shrink4
valence,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_plus_physio,1280,1.2326824924609685,1.5641315432593907,0.829955469599118,0.8094490159939078,0.8270351130234926,2.751823680640883,2.5609857339997686,-0.010367073406325256,-0.013646034127634987,-0.0005530307155818814,stimulus_plus_fewshot_bias_shrink4
valence,emg_existing_22,0,stimulus_plus_fewshot_bias_plus_physio,128,1.2427751362532264,1.5403655655486723,0.8300016135221832,0.8071723834075857,0.826944013196681,2.7282073298001017,2.503518347787286,-0.010568919658187514,-0.01881680291989296,-0.0024102918280828334,stimulus_plus_fewshot_bias_shrink4
valence,emg_existing_22,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,128,1.2427751362532264,1.5403655655486723,0.8300016135221832,0.8071723834075857,0.826944013196681,2.7282073298001017,2.503518347787286,-0.010568919658187514,-0.01881680291989296,-0.0024102918280828334,stimulus_plus_fewshot_bias_shrink4
valence,emg_existing_22,0,stimulus_plus_physio,128,1.2427751362532264,1.5403655655486723,0.8300016135221832,0.8071723834075857,0.826944013196681,2.7282073298001017,2.503518347787286,-0.010568919658187514,-0.01881680291989296,-0.0024102918280828334,stimulus_plus_fewshot_bias_shrink4
valence,emg_lagged_interaction_experimental,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,2240,1.2604407575773855,1.5808332774252778,0.8222671177617805,0.8054725931892655,0.8202612732716815,2.725699941409452,2.5442613593676193,-0.010728766698945735,-0.013974983767861549,-0.0021614587385226924,stimulus_plus_fewshot_bias_shrink4
valence,emg_existing_22,16,stimulus_plus_fewshot_bias_plus_physio,1280,1.2327253080548717,1.5689495370768405,0.8223551748212946,0.8048055711542423,0.820596995257601,2.700634578024846,2.5349121403121497,-0.010862435318191421,-0.010407599721538485,-0.0024037083310202156,stimulus_plus_fewshot_bias_shrink4
valence,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_plus_physio,1280,1.2807394931138503,1.6094552967940619,0.8204238642590016,0.7965691839348992,0.8169561442431408,2.7488410865919364,2.563206001170261,-0.02744049492483369,-0.025999909780517028,-0.004329657833179179,stimulus_plus_fewshot_bias_shrink4
valence,emg_existing_22,4,stimulus_plus_fewshot_bias_plus_physio,2240,1.3278665848659281,1.6765328223603968,0.8047133206566759,0.7926289302738725,0.8033876141402068,2.7403933767572495,2.6040797708192494,-0.11030611583603211,-0.09040378724688036,-0.02167957079447913,stimulus_plus_fewshot_bias_shrink4
valence,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_plus_physio,2240,1.3592028741407784,1.7019251672470288,0.7998724947708484,0.7922877672854662,0.7995267328745941,2.72661084287007,2.6483996759592046,-0.13410288258915304,-0.11519245747411189,-0.025086564937313982,stimulus_plus_fewshot_bias_shrink4
valence,emg_lagged_interaction_experimental,4,stimulus_plus_fewshot_bias_plus_physio,2240,1.3803984401675493,1.725119637370679,0.7939590931876781,0.7848254051004795,0.7935802341521876,2.725699941409452,2.6434544497667387,-0.1550151266443469,-0.13393266635802537,-0.030469483312625112,stimulus_plus_fewshot_bias_shrink4
