test_subject,eeg_rmse,eeg_mae,eeg_balanced_accuracy,eeg_auroc,eeg_dev_rmse,eeg_dev_pearson,eeg_dev_sign_acc,eeg_true_dev_std,eeg_pred_dev_std,eeg_std_ratio_pred_over_true,eeg_mean_abs_true_dev,eeg_mean_abs_pred_dev,eeg_lift_vs_stimulus_rmse,eeg_lift_vs_stimulus_mae,eeg_lift_vs_stimulus_balanced_accuracy,eeg_lift_vs_stimulus_auroc,eeg_lift_vs_stimulus_dev_rmse,stimulus_rmse,stimulus_mae,stimulus_balanced_accuracy,stimulus_auroc,eeg_better_rmse_than_stimulus,eeg_better_mae_than_stimulus,eeg_better_auroc_than_stimulus,eeg_better_ba_than_stimulus,eeg_positive_dev_pearson,failure_score
32,1.3451789069057467,1.1675863110082636,0.8545454545454545,0.9545454545454546,1.3451789069057465,-0.012868531002258241,0.46875,1.2823728733282098,0.38631295482231237,0.30124853921729705,1.0398185483870965,0.35888860391758126,-0.05607603076041734,-0.12776776262116685,0.0,-0.011363636363636354,-0.05607603076041712,1.2891028761453294,1.0398185483870968,0.8545454545454545,0.9659090909090909,False,False,False,False,False,0.06894456176267558
33,1.5560866346631583,1.4085788589867092,0.7678571428571428,0.8214285714285714,1.5560866346631583,0.19278673433824253,0.625,1.5470529366384678,0.4197811422491952,0.27134245526274636,1.466733870967742,0.49032268813806723,0.15276321069032384,0.05815501198103279,0.017857142857142794,-0.0267857142857143,0.15276321069032384,1.7088498453534822,1.466733870967742,0.75,0.8482142857142857,True,True,False,True,True,-0.15276321069032384
34,1.418120348159529,1.22940120815512,0.8236714975845411,0.9130434782608695,1.418120348159529,-0.010574016601580588,0.4375,1.2872001029750018,0.19578247246216898,0.15209948477281865,1.1975806451612905,0.15707297456753597,-0.04718818543334713,-0.031820562993829515,0.0,0.0,-0.04718818543334713,1.370932162726182,1.1975806451612905,0.8236714975845411,0.9130434782608695,False,False,False,False,False,0.05776220203492772
35,1.5515586446228775,1.2331876144067004,0.8019323671497585,0.8695652173913043,1.5515586446228775,-0.3172131097548742,0.53125,1.5253824941246354,0.07253210807929945,0.047550111764509,1.1804435483870968,0.36166088175710764,0.001206293870505526,-0.052744066019603686,-0.021739130434782594,0.0,0.001206293870505526,1.552764938493383,1.1804435483870968,0.8236714975845411,0.8695652173913043,True,False,False,False,False,0.3160068158843687
36,1.7085582613298138,1.4350887133551247,0.819838056680162,0.9149797570850202,1.7085582613298138,0.06486290552064762,0.4375,1.5074025758264082,0.18065655165277103,0.11984625378101749,1.3986895161290323,0.2438592699306138,-0.09481604002685207,-0.036399197226092195,0.0,-0.004048582995951455,-0.09481604002685229,1.6137422213029617,1.3986895161290325,0.819838056680162,0.9190283400809717,False,False,False,False,True,0.09481604002685207
37,1.5729953848607852,1.2714281715849622,0.759090909090909,0.8363636363636363,1.5729953848607854,0.271294049119685,0.5625,1.513886625498777,0.1345756584456097,0.08889414582230187,1.2988911290322582,0.12659093609972544,0.0060983443786177816,0.027462957447295988,0.04999999999999993,0.004545454545454519,0.0060983443786175595,1.579093729239403,1.2988911290322582,0.7090909090909091,0.8318181818181818,True,True,True,True,True,-0.0060983443786177816
38,1.5401822662597522,1.2959728534584973,0.8666666666666667,0.9375,1.5401822662597522,0.03571712472003603,0.375,1.3855566244123854,0.7077911240900931,0.5108352207472983,1.1134072580645162,0.578838285617725,-0.14096257235138676,-0.18256559539398132,0.01666666666666672,-0.01666666666666672,-0.14096257235138676,1.3992196939083654,1.113407258064516,0.85,0.9541666666666667,False,False,False,True,True,0.14096257235138676
39,2.0079003000226785,1.7400433460013387,0.9009661835748792,0.9227053140096618,2.0079003000226785,0.08207074492787707,0.5,1.9867742000953235,0.34201036033686,0.17214354823023095,1.719758064516129,0.2984212493493158,0.03411894862867637,-0.020285281485209694,0.0,-0.009661835748792313,0.03411894862867637,2.042019248651355,1.719758064516129,0.9009661835748792,0.9323671497584541,True,False,False,False,True,-0.03411894862867637
40,3.058590524473479,2.5946356646186866,0.6686274509803922,0.7294117647058823,3.058590524473479,-0.1311743005697997,0.34375,2.710396573079377,0.18124322579171614,0.06686963361443911,2.499495967741935,0.2799723149214962,-0.13939859576284297,-0.09513969687675106,0.0,-0.013725490196078494,-0.13939859576284297,2.919191928710636,2.4994959677419355,0.6686274509803922,0.7431372549019608,False,False,False,False,False,0.2705728963326427
41,2.4932913617112757,2.013011646907574,0.6875,,2.4932913617112757,0.09310907368661368,0.5,1.4959771670373037,0.33910727170029914,0.22667944349154392,2.0055443548387095,0.28949383081961766,-0.02426661870409319,-0.007467292068864317,0.0,,-0.02426661870409319,2.4690247430071826,2.0055443548387095,0.6875,,False,False,False,False,True,0.02426661870409319
42,2.60635049069771,2.1991094213661198,0.7272727272727273,0.8454545454545455,2.60635049069771,-0.28562045120977547,0.8125,1.660115463055621,0.062225257930781694,0.03748248800490776,2.253024193548387,0.08051914361782328,0.04598353435212266,0.05391477218226726,0.0,0.0,0.04598353435212266,2.6523340250498326,2.253024193548387,0.7272727272727273,0.8454545454545455,True,True,False,False,False,0.23963691685765282
43,1.9119929292285744,1.586018635592131,0.9272727272727272,0.9681818181818181,1.9119929292285747,-0.06527725891957753,0.5625,1.802734417937777,0.30656623097823527,0.17005623675214404,1.5972782258064515,0.41593670337681643,-0.10510259151911505,0.011259590214320436,0.0,-0.022727272727272818,-0.10510259151911505,1.8068903377094594,1.5972782258064515,0.9272727272727272,0.990909090909091,False,True,False,False,False,0.17037985043869258
44,2.4368811914891952,1.9630102640715494,0.8545454545454545,0.8772727272727273,2.4368811914891952,0.2230843308239681,0.625,2.4099202277826843,0.12446448983913251,0.051646726063458936,1.9823588709677418,0.09843614233997405,0.0250806641170076,0.019348606896192333,0.0,0.00909090909090915,0.0250806641170076,2.461961855606203,1.9823588709677418,0.8545454545454545,0.8681818181818182,True,True,True,False,True,-0.0250806641170076
45,1.46782868168204,1.101885871681234,0.7467532467532467,0.7489177489177489,1.46782868168204,0.2383167576840623,0.5625,1.4722953086219466,0.3188651667449164,0.21657690877460878,1.142641129032258,0.2491044857480115,0.0541204039482186,0.04075525735102392,0.0,-0.030303030303030387,0.0541204039482186,1.5219490856302587,1.142641129032258,0.7467532467532467,0.7792207792207793,True,True,False,False,True,-0.0541204039482186
46,1.9689339496901408,1.513527943476411,0.5833333333333334,0.7041666666666667,1.9689339496901408,-0.21141092831124877,0.46875,1.9285807571028841,0.07771324419247236,0.04029556133764031,1.4858870967741935,0.19662504591650704,-0.03777278222258529,-0.02764084670221756,0.0,0.0,-0.03777278222258529,1.9311611674675555,1.4858870967741935,0.5833333333333334,0.7041666666666667,False,False,False,False,False,0.24918371053383406
47,2.464586832397346,1.978954447725027,0.803921568627451,0.7764705882352941,2.4645868323973463,-0.033635038173855644,0.53125,2.3476946080537613,0.46928438219907015,0.19989157899370352,2.015120967741935,0.4145520787677155,-0.02278238711278391,0.036166520016908565,-0.02941176470588225,-0.0019607843137254832,-0.022782387112784352,2.441804445284562,2.0151209677419355,0.8333333333333333,0.7784313725490196,False,True,False,False,False,0.05641742528663955
48,1.4301274403949227,1.1879190132921127,0.8160173160173161,0.9090909090909091,1.4301274403949227,-0.07758115169885366,0.46875,1.300879429561996,0.4850963728082192,0.37289879583319835,1.0493951612903225,0.40562914475603185,-0.1254255555474062,-0.13852385200179018,0.0,-0.030303030303030387,-0.12542555554740642,1.3047018848475165,1.0493951612903225,0.8160173160173161,0.9393939393939394,False,False,False,False,False,0.20300670724625985
49,2.354524964875116,2.0269083035521067,0.8548387096774194,0.8064516129032258,2.354524964875116,-0.16704788915671162,0.625,1.692520509403907,0.10166854616176738,0.06006931413641433,2.065524193548387,0.09516111133650632,0.029116005740006834,0.038615889996280295,0.0,0.0,0.029116005740006834,2.3836409706151227,2.065524193548387,0.8548387096774194,0.8064516129032258,True,True,False,False,False,0.1379318834167048
