augmentation_config,target,model,test_subject,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,best_epoch,best_val_rmse_scaled,fit_subjects,val_subjects,outer_train_subjects,y_outer_mean,y_outer_std,final_train_last_loss
gaussian_0p05,arousal,eeg_bc_residual_huber_norm_augmented_smoke,6,32,3.256032936931369,3.6677907370369938,0.33090457473680646,0.3707898265460708,0.6666666666666666,0.3333333333333333,0.5,3.256032936931369,3.6677907370369938,-0.0035439552060945634,-0.024926686217008793,0.65625,3.2752016129032255,1.790167901902087,0.07730495253908726,0.14023325803791872,1,0.9439318728224685,54,8,62,1.7906822977825105e-17,1.9011711549146475,0.43507297337055206
gaussian_0p05,arousal,eeg_bc_residual_huber_norm_augmented_smoke,7,32,1.4423545930965704,1.7215517167758791,0.6864600164263155,0.685457330351846,0.6875,0.4074074074074074,,1.4423545930965704,1.7215517167758791,0.23687100318842755,0.26798643683260587,0.34375,-1.0433467741935485,1.2461858921407156,0.17563063053477393,0.18568879428405094,2,0.9162406897876934,54,8,62,7.162729191130042e-18,1.949252022010084,0.4260044645878576
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,1,32,1.5237602642798207,1.8408075244459177,0.6547450775595135,0.6597268571265208,0.7166666666666667,0.722943722943723,0.775,1.5237602642798207,1.8408075244459177,0.42719807566136786,0.4624690698554478,0.53125,0.09979838709677412,1.8730758315387523,0.10973178530535545,0.07882866602270275,1,1.0056332790677398,54,8,62,7.162729191130042e-18,1.9455604821992014,0.44146689772605896
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,2,32,2.245963296873721,2.672645123291051,0.7503491732714055,0.809842904514298,0.7272727272727273,0.625,0.8681818181818182,2.245963296873721,2.672645123291051,0.3344519462608359,0.2789589442815249,0.65625,2.2273185483870965,1.5829340702617387,0.03221699197239511,0.21451621181999808,2,0.92292712112329,54,8,62,-7.162729191130042e-18,1.9288502402018097,0.4319373523035357
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,3,32,1.441057503657946,1.644730901820753,0.6340435264649685,0.6308791254823068,0.8548387096774194,0.5060034305317325,0.967741935483871,1.441057503657946,1.644730901820753,-0.022330665203147963,-0.07404692082111436,0.8125,-1.265625,1.353914241378173,-0.33659255870797333,0.06910788967574125,1,1.1185072851511175,54,8,62,2.865091676452017e-17,1.9459122563827091,0.4450831413269043
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,5,32,1.365118374240851,1.6810466836337594,0.6957730105554418,0.7386677413118589,0.7420634920634921,0.716256157635468,0.8611111111111112,1.365118374240851,1.6810466836337594,0.05153349908197488,0.007697947214076245,0.6875,0.893649193548387,1.5102454224184472,0.15195601061312325,0.10984654713081589,1,1.1541197846138576,54,8,62,-7.162729191130042e-18,1.9474092830945495,0.44905668352880784
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,6,32,3.306059514693379,3.7094120626064417,0.3174641536822286,0.38315582897064476,0.6666666666666666,0.3333333333333333,0.5,3.306059514693379,3.7094120626064417,-0.08087089564017691,-0.13416422287390029,0.6875,3.2752016129032255,1.790167901902087,0.031761177500053375,0.09206068042530986,1,0.9698403337022933,54,8,62,1.7906822977825105e-17,1.9011711549146475,0.44169922701774106
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,7,32,1.1654756492107636,1.4439544310808525,0.6689087218719129,0.6815471345141287,0.6875,0.4074074074074074,,1.1654756492107636,1.4439544310808525,0.20265784196826642,0.2503895162197945,0.78125,-1.0433467741935485,1.2461858921407156,-0.2821413023503911,0.1245941879616125,1,0.9032889630598474,54,8,62,7.162729191130042e-18,1.949252022010084,0.44598209906008934
gain_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,1,32,1.5396130573651157,1.8920067262335312,0.6380411781883403,0.6512046904801237,0.7166666666666667,0.722943722943723,0.7625,1.5396130573651157,1.8920067262335312,0.05291870655944977,0.045642012839479384,0.5,0.09979838709677412,1.8730758315387523,-0.14062036292992047,0.25176454870119724,2,0.9936425067200667,54,8,62,7.162729191130042e-18,1.9455604821992014,0.4322351111519721
gain_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,2,32,2.4041857817073287,2.819390328269118,0.741696264807376,0.7885607258341158,0.7272727272727273,0.625,0.8772727272727273,2.4041857817073287,2.8193903282691175,0.28144390169128036,0.3071847507331378,0.28125,2.2273185483870965,1.5829340702617387,-0.12970620430927657,0.151921582505648,1,0.9219415110491697,54,8,62,-7.162729191130042e-18,1.9288502402018097,0.44325814275972303
gain_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,3,32,1.64605844764817,1.8545782845083665,0.6323472207909225,0.6252479520921048,0.8548387096774194,0.5060034305317325,0.967741935483871,1.64605844764817,1.8545782845083665,-0.04757735088927347,-0.02382697947214076,0.5625,-1.265625,1.353914241378173,-0.002419299092693311,0.05739392756491602,1,1.10197848344938,54,8,62,2.865091676452017e-17,1.9459122563827091,0.4445680913425261
gain_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,5,32,1.3388997995882717,1.6044703420584268,0.7018401408159963,0.7229950739033728,0.7420634920634921,0.716256157635468,0.8690476190476191,1.3388997995882717,1.6044703420584268,0.13705744946010728,0.12976539589442815,0.71875,0.893649193548387,1.5102454224184472,0.3150298018311909,0.24608593389098063,5,1.1812172579391609,54,8,62,-7.162729191130042e-18,1.9474092830945495,0.4083933943221646
