test_subject,best_epoch,best_val_rmse_scaled,rmse,dev_pearson,pred_dev_std,true_dev_std,std_ratio_pred_over_true
23,1,0.7370068170513593,1.4383320695241033,-0.1206876607826364,0.0988468164335504,1.1590966729438268,0.08527918226398085
24,1,0.7461271344381577,1.45578111338962,0.230734598032861,0.2113366249720221,1.4823221092336485,0.14257132350355473
25,3,1.1019802486561792,2.1380268204222466,0.2326646824719895,0.5841356892539922,2.18923247648393,0.26682213768003177
26,13,0.9707096713051564,1.8552037533529504,0.1407044048427413,0.9792196910490794,1.7189293581328962,0.5696683731742818
27,14,0.6155613272179215,1.2006198901465577,0.5331131728410359,0.9728758336215568,1.3302540014938895,0.7313459177939001
28,5,0.6795032975056016,1.3234512130533145,0.2092221522406406,0.3593290055463854,1.2832399966930983,0.2800169932922712
29,2,0.7225828458334208,1.410305253150803,-0.2057931498152922,0.1392900189153264,1.3387930792556502,0.10404148413492671
30,1,0.4758402818744374,0.9309807019071884,0.2317557646408906,0.2224004741138379,0.9561639397658944,0.23259659234617241
31,2,1.1666307990187603,2.259916976226791,0.23353837411835,0.2510628413672381,2.1966185537351026,0.11429514739385863
32,1,0.6418227266987095,1.2537164386594128,0.2276864788093252,0.2727432804741773,1.2823728733282098,0.2126864082568374
33,1,0.8236420415425845,1.604520397172189,0.1620064341500055,0.0388545456167145,1.5470529366384678,0.025115201100448483
34,2,0.6909599501811057,1.349068122103771,-0.3226952598359121,0.1099519832609538,1.287200102975002,0.08541949538912454
35,1,0.8330008451841926,1.6245358867355366,-0.3616300590917883,0.1343367411302715,1.5253824941246354,0.0880675775732976
36,6,0.7790932530315519,1.5187716086350695,0.1656893580265286,0.5309248790761525,1.5074025758264082,0.35221173665905525
37,5,0.7561134688276435,1.4743263725438047,0.2429319843381684,0.4977722749797976,1.513886625498777,0.3288041961634991
38,3,0.6953683901859632,1.3574465671107203,0.2036720672175052,0.3308838861238431,1.3855566244123854,0.23880935668303777
39,1,1.0095974110591213,1.96145911890794,0.4444702808579304,0.0923426089144694,1.9867742000953237,0.046478663206940614
40,2,1.4936761891757488,2.874371235338497,-0.0909142974712972,0.2079128791927638,2.710396573079377,0.07670939421110123
41,24,1.1191077292684055,2.1341148492782613,0.143408482435846,0.9254791143655724,1.4959771670373037,0.6186452138159504
42,14,1.2633742915434452,2.433518135760527,-0.0724678099726223,0.9435555627511496,1.660115463055621,0.5683674321148928
43,1,0.9187720351986708,1.7885078823583012,0.1509106210422039,0.204932931883067,1.802734417937777,0.1136789367551424
44,8,1.1525050720575505,2.2237619407036124,0.4550522543878062,0.828175366268962,2.4099202277826843,0.34365260589183416
45,4,0.753080361415988,1.468973229007416,0.1243536344554273,0.3359566834965694,1.4722953086219464,0.2281856646076129
46,7,0.9795124897871466,1.904829588963877,0.2415803115808075,0.6859650745833645,1.928580757102884,0.3556838737797125
47,2,1.2601063328768638,2.4386000875823,0.0362666484011543,0.2630759507960895,2.3476946080537613,0.11205714316232103
48,4,0.6830605465835123,1.334153109485832,0.059149326290847,0.3279294890986982,1.300879429561996,0.25208292301855484
49,7,1.0264166919471989,1.9729951562443335,-0.0489980464653076,0.5860261148815072,1.692520509403907,0.3462446166090485
50,2,0.6914069881330727,1.349777370036461,0.3286280827403344,0.1490998983955924,1.3910614610751582,0.10718426364881992
52,2,1.0221983438914677,1.9863534770855589,0.0743884123778991,0.2138844460900028,1.9522573515044048,0.10955750578948208
53,3,0.581973721737184,1.13781592417198,-0.1469532335260009,0.25552039739402,1.0633145558549586,0.24030555773645804
54,1,0.8718086654576479,1.6984711989049583,0.0331622433430611,0.1194797098447888,1.6942831997212953,0.07051932632303907
55,4,1.0700174774632851,2.070292582303643,0.0962063376256799,0.3653505204367694,0.9986088789050976,0.3658594752705882
56,1,0.7605163533844568,1.4841572926607778,0.0049323473813139,0.1436360886990879,1.34441796976214,0.10683886405096221
57,12,1.121563851615475,2.1765052891371592,0.2382211894238075,0.972266961151162,2.1643328274237774,0.44922248040217505
58,5,0.7532380880262617,1.4686694428974247,0.0168914971549033,0.3431767937076851,1.133263600349544,0.30282168561827594
59,2,1.0288806126230514,1.998629242912592,-0.279874058583356,0.1841052519719819,1.6408958852975946,0.1121980094054489
60,1,1.2907443676975765,2.498586330501617,-0.1417482926152651,0.2215479258961959,2.0713483906629717,0.10695831125988688
61,1,0.9054207503844064,1.7617052171009364,-0.0134228718165857,0.1015487521387843,1.641778371653087,0.06185289920498592
62,5,1.044375107881487,2.0280977336024684,0.2505310974810968,0.5008820612603667,2.058781133828381,0.24329058248603516
63,21,1.1291431087072448,2.190881288398645,0.1879274454306937,0.9364437412961664,2.164451142824624,0.4326472068452886
64,1,0.8048731624947915,1.5701294958868384,-0.1916318609411607,0.1247013656327389,1.5037030977647274,0.08292951302561587
65,1,0.9754769832288092,1.8953930050975325,0.1186109468638352,0.142603793046586,1.7398221083540355,0.08196458267879857
