target,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,true_high_rate,pred_high_rate,lift_vs_stimulus_accuracy,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc
arousal,1,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,12400,0.6562903225806451,0.6502991301592477,0.649435072853225,0.7021427273884212,7167,5233,0.42201612903225805,0.4381451612903226,0.04177419354838707,0.042377410254353154,0.042303104933824276,0.08903267361439682
arousal,1,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,12400,0.6712096774193549,0.6735016272524775,0.6707818629894775,0.7272317643726741,5968,6432,0.5187096774193548,0.445241935483871,0.05290322580645168,0.05340047417070137,0.05270951842390148,0.07483725391140805
arousal,1,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,11201,0.6800285688777787,0.6758324638853553,0.6762315519722426,0.7327410947436587,5968,5233,0.46719042942594413,0.4245156682439068,0.04696009284885272,0.046916057562109814,0.04721776887923257,0.08662529221393012
arousal,2,stimulus_only,midpoint_as_low,12000,0.6125,0.6059524590432772,0.6051429242503639,0.6089708308051406,6936,5064,0.422,0.4415,0.0,0.0,0.0,0.0
arousal,2,stimulus_only,midpoint_as_high,12000,0.61725,0.6191452415372736,0.6170488841796256,0.6510794947728032,5761,6239,0.5199166666666667,0.45716666666666667,0.0,0.0,0.0,0.0
arousal,2,stimulus_only,discard_midpoint,10825,0.6317782909930716,0.627677034085216,0.6277433753712864,0.6431317565983394,5761,5064,0.4678060046189376,0.42808314087759813,0.0,0.0,0.0,0.0
arousal,2,stimulus_plus_fewshot_bias,midpoint_as_low,12000,0.7395833333333334,0.7381642997316016,0.7354999652658555,0.8150266838219351,6936,5064,0.422,0.45375,0.12708333333333333,0.13221184068832437,0.13035704101549161,0.20605585301679452
arousal,2,stimulus_plus_fewshot_bias,midpoint_as_high,12000,0.7234166666666667,0.7251814051957274,0.7233509144795005,0.8061473595367805,5761,6239,0.5199166666666667,0.4646666666666667,0.10616666666666674,0.10603616365845381,0.10630203029987495,0.15506786476397727
arousal,2,stimulus_plus_fewshot_bias,discard_midpoint,10825,0.7563048498845265,0.7546572077374885,0.7549564504701284,0.8345823005539509,5761,5064,0.4678060046189376,0.45801385681293305,0.12452655889145492,0.12698017365227243,0.12721307509884194,0.19145054395561145
arousal,2,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,12000,0.6745833333333333,0.6702905235135593,0.6688053084444928,0.7373143087966532,6936,5064,0.422,0.4459166666666667,0.06208333333333327,0.06433806447028212,0.06366238419412895,0.12834347799151258
arousal,2,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,12000,0.6891666666666667,0.69139895554833,0.6889139870526502,0.7580282314057257,5761,6239,0.5199166666666667,0.45158333333333334,0.07191666666666674,0.0722537140110564,0.07186510287302461,0.10694873663292248
arousal,2,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,10825,0.7006004618937645,0.6971022774482116,0.6976240017756534,0.7678771094681703,5761,5064,0.4678060046189376,0.4329792147806005,0.06882217090069287,0.0694252433629956,0.06988062640436699,0.1247453528698309
arousal,4,stimulus_only,midpoint_as_low,11200,0.6141071428571429,0.6080476068574092,0.6071353487157491,0.6125757447457443,6466,4734,0.4226785714285714,0.44410714285714287,0.0,0.0,0.0,0.0
arousal,4,stimulus_only,midpoint_as_high,11200,0.6182142857142857,0.6202060864265866,0.6180850849702311,0.6530859689185056,5355,5845,0.521875,0.45973214285714287,0.0,0.0,0.0,0.0
arousal,4,stimulus_only,discard_midpoint,10089,0.6331648329864209,0.6294364387072953,0.6295104406390555,0.6465435293959859,5355,4734,0.46922390722569135,0.43146000594707107,0.0,0.0,0.0,0.0
arousal,4,stimulus_plus_fewshot_bias,midpoint_as_low,11200,0.7605357142857143,0.760496783343402,0.7571626288626456,0.8435336126926182,6466,4734,0.4226785714285714,0.4594642857142857,0.14642857142857146,0.15244917648599277,0.15002728014689648,0.2309578679468739
arousal,4,stimulus_plus_fewshot_bias,midpoint_as_high,11200,0.7457142857142857,0.7477001179713403,0.7456734036871169,0.8343441009138186,5355,5845,0.521875,0.4654464285714286,0.12749999999999995,0.1274940315447537,0.1275883187168858,0.18125813199531304
