epoch,train_loss,val_rmse_scaled,augmentation_config,stage,test_subject,target,y_outer_mean,y_outer_std,oracle_test_checkpoint_selection,early_stop,arch_config,arch_description
10,0.23087074703747226,2.0433696028954835,gaussian_0p10,oracle_test_checkpoint_selection,6,arousal,1.7906822977825105e-17,1.9011711549146475,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
11,0.22435944659575338,2.1629417573106413,gaussian_0p10,oracle_test_checkpoint_selection,6,arousal,1.7906822977825105e-17,1.9011711549146475,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
12,0.19929655725436826,1.979907244050673,gaussian_0p10,oracle_test_checkpoint_selection,6,arousal,1.7906822977825105e-17,1.9011711549146475,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
13,0.1808585572627283,2.0634500543177667,gaussian_0p10,oracle_test_checkpoint_selection,6,arousal,1.7906822977825105e-17,1.9011711549146475,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
14,0.1696730119086081,1.9119322398607022,gaussian_0p10,oracle_test_checkpoint_selection,6,arousal,1.7906822977825105e-17,1.9011711549146475,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
15,0.1501461661631061,1.9839310661021046,gaussian_0p10,oracle_test_checkpoint_selection,6,arousal,1.7906822977825105e-17,1.9011711549146475,True,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
1,0.44057039724242303,0.846932201105911,gaussian_0p10,oracle_test_checkpoint_selection,7,arousal,7.162729191130042e-18,1.949252022010084,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
2,0.42370547306153084,0.820724586622198,gaussian_0p10,oracle_test_checkpoint_selection,7,arousal,7.162729191130042e-18,1.949252022010084,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
3,0.4131473192284184,0.7562993027107111,gaussian_0p10,oracle_test_checkpoint_selection,7,arousal,7.162729191130042e-18,1.949252022010084,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
4,0.3948926892011396,1.0494600166876589,gaussian_0p10,oracle_test_checkpoint_selection,7,arousal,7.162729191130042e-18,1.949252022010084,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
5,0.3762255330239573,1.106933446184872,gaussian_0p10,oracle_test_checkpoint_selection,7,arousal,7.162729191130042e-18,1.949252022010084,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
