target,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,true_high_rate,pred_high_rate
arousal,4,affine_residual_ridge4,discard_midpoint,4048,0.7843379446640316,0.783343723097931,0.7832936978145367,0.8635109995346072,2167,1881,0.46467391304347827,0.4659090909090909
arousal,4,bias_empirical_bayes,midpoint_as_low,4480,0.7441964285714285,0.745897647215968,0.7411247616004957,0.8375424114169786,2599,1881,0.4198660714285714,0.47120535714285716
arousal,4,bias_empirical_bayes,midpoint_as_high,4480,0.7328125,0.7339921364986051,0.7327722235718424,0.8292119480371273,2167,2313,0.5162946428571429,0.4714285714285714
arousal,4,bias_empirical_bayes,discard_midpoint,4048,0.7640810276679841,0.7635815812412126,0.7631993786329743,0.8580467438821214,2167,1881,0.46467391304347827,0.4743083003952569
arousal,4,bias_huber,midpoint_as_low,4480,0.7546875,0.7569223144140622,0.7518266887826572,0.8465329056548352,2599,1881,0.4198660714285714,0.47276785714285713
arousal,4,bias_huber,midpoint_as_high,4480,0.7404017857142857,0.7414147199941903,0.7403893551782887,0.8302518957973342,2167,2313,0.5162946428571429,0.4767857142857143
arousal,4,bias_huber,discard_midpoint,4048,0.7737154150197628,0.7735274195332972,0.7729696898450205,0.8634527334403467,2167,1881,0.46467391304347827,0.47801383399209485
arousal,4,bias_mean,midpoint_as_low,4480,0.7569196428571429,0.758111787566436,0.75371541791097,0.8505061346336331,2599,1881,0.4198660714285714,0.4660714285714286
arousal,4,bias_mean,midpoint_as_high,4480,0.7417410714285714,0.7428865079322327,0.7417101724990119,0.8353262423360589,2167,2313,0.5162946428571429,0.47276785714285713
arousal,4,bias_mean,discard_midpoint,4048,0.7754446640316206,0.7747917324460205,0.774521617849085,0.8683078324105211,2167,1881,0.46467391304347827,0.47134387351778656
arousal,4,bias_median,midpoint_as_low,4480,0.7544642857142857,0.755628417178406,0.7512405162970778,0.8430745354764715,2599,1881,0.4198660714285714,0.46629464285714284
arousal,4,bias_median,midpoint_as_high,4480,0.7375,0.7384297457180587,0.7374947683109119,0.8265483849536468,2167,2313,0.5162946428571429,0.4792410714285714
arousal,4,bias_median,discard_midpoint,4048,0.7719861660079052,0.7713860485701256,0.7710777445811692,0.8596687492808738,2167,1881,0.46467391304347827,0.4723320158102767
arousal,4,bias_shrink1,midpoint_as_low,4480,0.7462053571428572,0.7473353449032354,0.7429390056963343,0.8397398173222883,2599,1881,0.4198660714285714,0.4674107142857143
arousal,4,bias_shrink1,midpoint_as_high,4480,0.7328125,0.7339484437293993,0.7327805328274135,0.8311676483574013,2167,2313,0.5162946428571429,0.47276785714285713
arousal,4,bias_shrink1,discard_midpoint,4048,0.7658102766798419,0.7650563880860435,0.7648251035994131,0.8601085049607139,2167,1881,0.46467391304347827,0.47060276679841895
arousal,4,bias_shrink2,midpoint_as_low,4480,0.7328125,0.7342503220168719,0.7296174284462273,0.8259051092934571,2599,1881,0.4198660714285714,0.4714285714285714
arousal,4,bias_shrink2,midpoint_as_high,4480,0.7270089285714286,0.7280804449719498,0.7269860622394484,0.8231738666963538,2167,2313,0.5162946428571429,0.4745535714285714
arousal,4,bias_shrink2,discard_midpoint,4048,0.754199604743083,0.7534751738598919,0.7532048365665855,0.8484325929982064,2167,1881,0.46467391304347827,0.4718379446640316
arousal,4,bias_shrink4,midpoint_as_low,4480,0.7084821428571428,0.7091683936016777,0.7049525221504466,0.797417073879681,2599,1881,0.4198660714285714,0.4707589285714286
arousal,4,bias_shrink4,midpoint_as_high,4480,0.7149553571428572,0.7159849297853209,0.7149359129496586,0.8037997147400849,2167,2313,0.5162946428571429,0.47544642857142855
arousal,4,bias_shrink4,discard_midpoint,4048,0.732707509881423,0.7314367290322406,0.7314039926950631,0.8232068088163101,2167,1881,0.46467391304347827,0.4656620553359684
arousal,4,bias_shrink8,midpoint_as_low,4480,0.6850446428571428,0.6818451827564644,0.6796944985343163,0.7554885032254871,2599,1881,0.4198660714285714,0.45089285714285715
arousal,4,bias_shrink8,midpoint_as_high,4480,0.6977678571428572,0.6995292153995665,0.6974724200530653,0.7717399957025468,2167,2313,0.5162946428571429,0.4524553571428571
arousal,4,bias_shrink8,discard_midpoint,4048,0.7117094861660079,0.7084213764683975,0.7089944616117008,0.7843440599372885,2167,1881,0.46467391304347827,0.43873517786561267
arousal,4,bias_trimmed_mean,midpoint_as_low,4480,0.7569196428571429,0.758111787566436,0.75371541791097,0.850503373174036,2599,1881,0.4198660714285714,0.4660714285714286
arousal,4,bias_trimmed_mean,midpoint_as_high,4480,0.7417410714285714,0.7428865079322327,0.7417101724990119,0.8353310305847389,2167,2313,0.5162946428571429,0.47276785714285713
arousal,4,bias_trimmed_mean,discard_midpoint,4048,0.7754446640316206,0.7747917324460205,0.774521617849085,0.8683083230723675,2167,1881,0.46467391304347827,0.47134387351778656
arousal,4,kernel_residual_shrink4,midpoint_as_low,4480,0.6901785714285714,0.6892073363185734,0.6859144164466603,0.7524971265478748,2599,1881,0.4198660714285714,0.4636160714285714
arousal,4,kernel_residual_shrink4,midpoint_as_high,4480,0.6982142857142857,0.6996120121996596,0.6980924420430359,0.7694940078060424,2167,2313,0.5162946428571429,0.4636160714285714
arousal,4,kernel_residual_shrink4,discard_midpoint,4048,0.7149209486166008,0.7128242078816485,0.7130828640022484,0.7818727188824097,2167,1881,0.46467391304347827,0.45528656126482214
arousal,4,stimulus_only,midpoint_as_low,4480,0.6131696428571428,0.6064597903868068,0.6055414540324133,0.6136640293704752,2599,1881,0.4198660714285714,0.44107142857142856
arousal,4,stimulus_only,midpoint_as_high,4480,0.6176339285714286,0.619171728743318,0.6173547956973355,0.6538481259293442,2167,2313,0.5162946428571429,0.45669642857142856
arousal,4,stimulus_only,discard_midpoint,4048,0.6321640316205533,0.6277050494255945,0.6278667283156426,0.6469896546402994,2167,1881,0.46467391304347827,0.4278656126482213
arousal,8,affine_residual_ridge1,midpoint_as_low,3840,0.7916666666666666,0.7924486890085084,0.7887918896085611,0.8687413787115819,2215,1625,0.4231770833333333,0.46015625
arousal,8,affine_residual_ridge1,midpoint_as_high,3840,0.76796875,0.7699688965784063,0.7678754159438158,0.8503554016927565,1844,1996,0.5197916666666667,0.46015625
arousal,8,affine_residual_ridge1,discard_midpoint,3469,0.8097434419140963,0.8090186884698816,0.8089960416695865,0.8848349741364926,1844,1625,0.46843470740847504,0.4690112424329778
arousal,8,affine_residual_ridge4,midpoint_as_low,3840,0.7966145833333333,0.7969835040805695,0.7936404254046923,0.8717605139781212,2215,1625,0.4231770833333333,0.45677083333333335
arousal,8,affine_residual_ridge4,midpoint_as_high,3840,0.7713541666666667,0.7734938423484714,0.7712284987277354,0.8549084340046688,1844,1996,0.5197916666666667,0.45677083333333335
arousal,8,affine_residual_ridge4,discard_midpoint,3469,0.8143557221101182,0.8134667111630235,0.8135573813396145,0.8883230435508093,1844,1625,0.46843470740847504,0.4661285673104641
arousal,8,bias_empirical_bayes,midpoint_as_low,3840,0.76328125,0.7625983677721827,0.7597275954566478,0.8534103837471784,2215,1625,0.4231770833333333,0.4552083333333333
