split,fold_id,test_subject,n_high,zero_rmse_high,model_rmse_high,improvement_zero_minus_model,pearson_high,sign_acc_high
random_trial_kfold_subjects_overlap,random_fold_3,21,3,3.572784373473231,3.62193204979039,-0.04914767631715922,0.419506561641183,0.3333333333333333
random_trial_kfold_subjects_overlap,random_fold_3,22,5,3.107697848731256,3.2007545975186003,-0.09305674878734438,-0.8319496059906821,0.0
random_trial_kfold_subjects_overlap,random_fold_3,23,1,2.5089285714285716,2.6435306114809856,-0.13460204005241394,,0.0
random_trial_kfold_subjects_overlap,random_fold_3,24,1,2.8616600790513833,2.614786908913978,0.2468731701374054,,1.0
random_trial_kfold_subjects_overlap,random_fold_3,25,3,3.231077977649848,3.2812056371962295,-0.05012765954638132,-0.9218202719665237,0.6666666666666666
random_trial_kfold_subjects_overlap,random_fold_3,26,4,2.6059970224388533,2.5454227733427377,0.06057424909611564,-0.47287289253748777,0.75
random_trial_kfold_subjects_overlap,random_fold_3,27,3,2.5295726862735735,2.4798145696224627,0.04975811665111074,-0.08324338219838075,1.0
random_trial_kfold_subjects_overlap,random_fold_3,28,3,3.4284580757701306,3.301261756992895,0.1271963187772358,0.6554484574660262,0.6666666666666666
random_trial_kfold_subjects_overlap,random_fold_3,29,5,2.665179192388092,2.6477071447597433,0.01747204762834853,-0.5182033187659184,0.6
random_trial_kfold_subjects_overlap,random_fold_3,31,3,3.0599886945064414,2.975682290939501,0.08430640356694052,0.3197126318822611,0.6666666666666666
random_trial_kfold_subjects_overlap,random_fold_3,32,1,3.1383399209486167,3.437040909241311,-0.2987009882926941,,0.0
random_trial_kfold_subjects_overlap,random_fold_3,33,2,3.1747329814941616,3.0170379556878255,0.1576950258063361,0.9999999999999999,1.0
random_trial_kfold_subjects_overlap,random_fold_3,34,4,3.228511751776123,3.1148918019982936,0.11361994977782919,0.680593356035806,0.75
random_trial_kfold_subjects_overlap,random_fold_3,35,3,3.143437136259296,3.215656873016954,-0.07221973675765803,-0.028154459523453607,0.3333333333333333
random_trial_kfold_subjects_overlap,random_fold_3,36,2,3.335772027198578,3.280483155096851,0.05528887210172684,-1.0,1.0
random_trial_kfold_subjects_overlap,random_fold_3,37,3,3.356042436163961,3.4826805073297535,-0.12663807116579262,-0.23547344334162668,0.3333333333333333
random_trial_kfold_subjects_overlap,random_fold_3,38,1,2.5089285714285716,2.600061264421259,-0.09113269299268723,,0.0
random_trial_kfold_subjects_overlap,random_fold_3,39,4,4.214587293574843,4.326614769365605,-0.11202747579076178,-0.5073466780975716,0.25
random_trial_kfold_subjects_overlap,random_fold_3,40,3,4.461083718894864,4.535735254363721,-0.07465153546885706,-0.9899872305730713,0.3333333333333333
random_trial_kfold_subjects_overlap,random_fold_3,41,3,3.7744596188765054,3.7920964920607045,-0.017636873184199153,-0.7684021261056254,0.3333333333333333
random_trial_kfold_subjects_overlap,random_fold_3,42,6,4.236399797484058,4.4547595502811665,-0.21835975279710862,0.26994303318178337,0.0
random_trial_kfold_subjects_overlap,random_fold_3,43,3,2.557500943172589,2.556219547471677,0.0012813957009121246,-0.05033767113446708,0.3333333333333333
random_trial_kfold_subjects_overlap,random_fold_3,44,1,2.7222222222222223,2.5555867387188806,0.16663548350334167,,1.0
random_trial_kfold_subjects_overlap,random_fold_3,45,4,2.7067338491184163,2.725315984345353,-0.018582135226936636,0.5235663434421818,0.25
random_trial_kfold_subjects_overlap,random_fold_3,46,4,3.0615371087346035,3.0540280272720044,0.007509081462599099,0.10200237400417826,0.5
random_trial_kfold_subjects_overlap,random_fold_3,47,5,3.1313581208646846,3.159343228177365,-0.027985107312680224,-0.07690814110784408,0.4
random_trial_kfold_subjects_overlap,random_fold_3,48,4,2.6976176620533847,2.681848587729679,0.015769074323705556,-0.7755783184223387,0.75
random_trial_kfold_subjects_overlap,random_fold_3,49,4,3.1113401570723163,2.937385179449453,0.17395497762286327,-0.8573290423765693,0.75
random_trial_kfold_subjects_overlap,random_fold_3,50,7,2.9068839949668535,2.8548758835130146,0.05200811145383888,0.6413411629093526,0.7142857142857143
random_trial_kfold_subjects_overlap,random_fold_3,52,5,2.818619738341478,2.886616507667742,-0.06799676932626397,-0.9671938698009546,0.6
random_trial_kfold_subjects_overlap,random_fold_3,53,3,2.944048398306984,2.8858485393775744,0.05819985892940949,0.6957131293752798,0.6666666666666666
random_trial_kfold_subjects_overlap,random_fold_3,54,3,2.62818748727823,2.574774917698705,0.05341256957952467,0.3069498702041064,0.6666666666666666
random_trial_kfold_subjects_overlap,random_fold_3,55,1,2.25,2.0174183547496796,0.23258164525032043,,1.0
random_trial_kfold_subjects_overlap,random_fold_3,56,3,3.2100345212481125,3.3321679367491144,-0.12213341550100187,0.5760052385058417,0.0
random_trial_kfold_subjects_overlap,random_fold_3,57,8,3.3227905105477493,3.342115711060162,-0.01932520051241271,-0.1604533474704327,0.375
random_trial_kfold_subjects_overlap,random_fold_3,58,4,3.2184248542979015,3.1469698035418627,0.07145505075603875,0.20043978088881456,0.75
random_trial_kfold_subjects_overlap,random_fold_3,59,5,2.9497942706401,2.996823520789947,-0.04702925014984727,0.10466333200259262,0.4
random_trial_kfold_subjects_overlap,random_fold_3,60,8,3.759820253765611,3.823381623833533,-0.06356137006792206,0.21998612352699476,0.5
random_trial_kfold_subjects_overlap,random_fold_3,61,9,3.1751825717488784,3.126421992369512,0.0487605793793664,-0.3603532273016011,0.7777777777777778
random_trial_kfold_subjects_overlap,random_fold_3,62,4,3.2525962968023614,3.2521659967860996,0.0004303000162617643,-0.44903116527565806,0.5
random_trial_kfold_subjects_overlap,random_fold_3,63,6,3.1293776179129638,3.1391486561371655,-0.009771038224201778,-0.27216863320381435,0.5
