subject_id,candidate_rmse,candidate_lift_vs_stimulus_rmse,locked_rmse,locked_lift_vs_stimulus_rmse,delta_rmse_candidate_minus_locked,target,best_candidate_model,k_calibration,locked_reference_model
35,0.8788357624404973,0.002453788963075909,0.8816748861336074,-0.0003853347300342147,-0.002839123693110124,valence,kernel_residual_shrink4,16,bias_shrink4
57,1.1088926878549596,0.209090322035548,1.1133248091159795,0.20465820077452812,-0.0044321212610198835,valence,kernel_residual_shrink4,16,bias_shrink4
54,1.4412754259583682,-0.02657798337275552,1.446731701375493,-0.03203425878988031,-0.00545627541712479,valence,kernel_residual_shrink4,16,bias_shrink4
46,1.2975917838138507,0.015484498174556549,1.3081349556926039,0.00494132629580335,-0.0105431718787532,valence,kernel_residual_shrink4,16,bias_shrink4
8,0.9946275487629594,0.03126044822410079,1.0053035803983323,0.020584416588727894,-0.010676031635372896,valence,kernel_residual_shrink4,16,bias_shrink4
2,1.5371724521118073,0.009968133172786553,1.550280231289006,-0.0031396460044121888,-0.013107779177198742,valence,kernel_residual_shrink4,16,bias_shrink4
16,0.9490496110683545,0.06005662487582797,0.9802505838182207,0.02885565212596175,-0.031200972749866218,valence,kernel_residual_shrink4,16,bias_shrink4
59,1.3779070374176239,-0.0050031034081352566,1.409745377873978,-0.03684144386448929,-0.03183834045635403,valence,kernel_residual_shrink4,16,bias_shrink4
39,1.161385606081477,0.0187367469862878,1.2016475855570676,-0.021525232489302937,-0.04026197947559074,valence,kernel_residual_shrink4,16,bias_shrink4
9,1.067658593664383,0.1032656174033173,1.1125279273114304,0.05839628375626993,-0.04486933364704737,valence,kernel_residual_shrink4,16,bias_shrink4
65,0.936112789308842,0.020847565380656352,0.9865117059588073,-0.029551351269308967,-0.05039891664996532,valence,kernel_residual_shrink4,16,bias_shrink4
64,1.0614111080487767,0.15365250554009124,1.1129025055514266,0.10216110803744138,-0.05149139750264986,valence,kernel_residual_shrink4,16,bias_shrink4
19,1.3156737199255366,0.038259769430722734,1.37405189500677,-0.020118405650510596,-0.05837817508123333,valence,kernel_residual_shrink4,16,bias_shrink4
24,1.026958547201133,0.17065020124722463,1.0969916233719283,0.10061712507642939,-0.07003307617079524,valence,kernel_residual_shrink4,16,bias_shrink4
55,1.2072995093264751,0.10961807248100963,1.2781196175490728,0.03879796425841198,-0.07082010822259766,valence,kernel_residual_shrink4,16,bias_shrink4
33,0.7547462681480787,0.05156632067520206,0.8284287784867049,-0.022116189663424213,-0.07368251033862627,valence,kernel_residual_shrink4,16,bias_shrink4
52,1.3956656700296066,0.15397323087763204,1.4785228218229858,0.07111607908425288,-0.08285715179337916,valence,kernel_residual_shrink4,16,bias_shrink4
43,0.9809791706946532,0.09043148150176694,1.0674814576051919,0.003929194591228313,-0.08650228691053863,valence,kernel_residual_shrink4,16,bias_shrink4
30,0.903850279732938,0.06653957884322803,0.998232491025732,-0.027842632449565974,-0.094382211292794,valence,kernel_residual_shrink4,16,bias_shrink4
36,0.9304237073728054,0.0905748493399714,1.029029355529833,-0.008030798817056262,-0.09860564815702766,valence,kernel_residual_shrink4,16,bias_shrink4
56,1.000238045567898,0.07916332097452594,1.1031505380143418,-0.023749171471917796,-0.10291249244644374,valence,kernel_residual_shrink4,16,bias_shrink4
21,0.9739762863948711,0.08414823553162942,1.0846948733455997,-0.026570351419099136,-0.11071858695072856,valence,kernel_residual_shrink4,16,bias_shrink4
14,0.7626106944624788,0.1398024444074042,0.8737181129637381,0.02869502590614481,-0.11110741850125938,valence,kernel_residual_shrink4,16,bias_shrink4
60,1.1785598645395026,0.07925816859347234,1.295374522980393,-0.037556489847418106,-0.11681465844089045,valence,kernel_residual_shrink4,16,bias_shrink4
12,1.06370502129135,0.118334150563004,1.1821726867578768,-0.00013351490352286888,-0.11846766546652687,valence,kernel_residual_shrink4,16,bias_shrink4
7,0.6487385595840166,0.1101414067676223,0.7716123258642245,-0.012732359512585556,-0.12287376628020785,valence,kernel_residual_shrink4,16,bias_shrink4
11,1.4137456691292951,0.07650774184757614,1.5401403624696746,-0.04988695149280331,-0.12639469334037945,valence,kernel_residual_shrink4,16,bias_shrink4
13,0.8329924939134334,0.21914410139751173,0.9827860226341845,0.0693505726767607,-0.14979352872075102,valence,kernel_residual_shrink4,16,bias_shrink4
15,0.9815565883059043,0.1435153830305007,1.1452110024421107,-0.020139031105705696,-0.1636544141362064,valence,kernel_residual_shrink4,16,bias_shrink4
25,1.4239187676408414,0.11693609521181902,1.5900641464998797,-0.049209283647219326,-0.16614537885903835,valence,kernel_residual_shrink4,16,bias_shrink4
40,1.3021140139831608,0.13294533108984807,1.4684676312139118,-0.033408286140902854,-0.16635361723075093,valence,kernel_residual_shrink4,16,bias_shrink4
61,1.2896377131817178,0.4685961311349953,1.4603185880183702,0.2979152562983429,-0.1706808748366524,valence,kernel_residual_shrink4,16,bias_shrink4
