target,k_calibration,model,locked_reference_model,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,2,bias_mean,bias_shrink4,8,4,4,0,0,-0.018425990407117315,0.011029455111538855,0.4363147815497088,-0.41113508409984423
arousal,2,bias_median,bias_shrink4,8,4,4,0,0,-0.018425990407117315,0.011029455111538855,0.4363147815497088,-0.41113508409984423
arousal,2,bias_shrink1,bias_shrink4,8,5,3,0,2,-0.13618157495183192,-0.11159796462781402,0.1753760599433627,-0.5103268633374549
arousal,2,bias_shrink2,bias_shrink4,8,5,3,0,2,-0.09605646634460066,-0.08465666178177367,0.07562021105282568,-0.3233983361846695
arousal,2,bias_shrink4,bias_shrink4,8,0,0,8,0,0.0,0.0,0.0,0.0
arousal,2,bias_shrink8,bias_shrink4,8,3,5,0,-2,0.10922699782226644,0.1053023064192593,0.3281653145444454,-0.0414977204581759
arousal,2,bias_trimmed_mean,bias_shrink4,8,4,4,0,0,-0.018425990407117315,0.011029455111538855,0.4363147815497088,-0.41113508409984423
arousal,2,kernel_residual_shrink4,bias_shrink4,8,1,7,0,-6,0.0689915988754797,0.04190641017696639,0.2432960923023737,-0.0055895455511270065
arousal,2,stimulus_only,bias_shrink4,8,1,7,0,-6,0.3151141172171574,0.3160809082993721,0.8960880360734644,-0.06997189166135342
arousal,4,affine_residual_ridge1,bias_shrink4,8,3,5,0,-2,0.09941550356940976,0.1474697913850549,0.5338552666739589,-0.43342888791841383
arousal,4,affine_residual_ridge4,bias_shrink4,8,4,4,0,0,-0.025581228166202508,0.003912679578396139,0.27882412136650814,-0.4594748111560971
arousal,4,bias_empirical_bayes,bias_shrink4,8,5,3,0,2,-0.07364075623365407,-0.08389851496955592,0.10633529550360254,-0.2913555434588604
arousal,4,bias_huber,bias_shrink4,8,4,4,0,0,0.0020788669686507555,0.012675311688914892,0.19349520859228742,-0.24302527861785972
arousal,4,bias_mean,bias_shrink4,8,5,3,0,2,-0.027785031296895524,-0.047854748632922384,0.15494635635440623,-0.19612688643978915
arousal,4,bias_median,bias_shrink4,8,3,5,0,-2,0.021879626287450465,0.04670059228277901,0.2341146099927469,-0.2455977848191928
arousal,4,bias_shrink1,bias_shrink4,8,5,3,0,2,-0.08052570833449443,-0.08484221009748827,0.0832388311238037,-0.29777489293537984
arousal,4,bias_shrink2,bias_shrink4,8,5,3,0,2,-0.06700639959755011,-0.06753382992333923,0.04248653670352365,-0.2273846640565984
arousal,4,bias_shrink4,bias_shrink4,8,0,0,8,0,0.0,0.0,0.0,0.0
arousal,4,bias_shrink8,bias_shrink4,8,3,5,0,-2,0.11233644731904002,0.11391677508581788,0.3439867847936484,-0.03261738219295918
arousal,4,bias_trimmed_mean,bias_shrink4,8,5,3,0,2,-0.027785031296895524,-0.047854748632922384,0.15494635635440623,-0.19612688643978915
arousal,4,kernel_residual_shrink4,bias_shrink4,8,2,6,0,-4,0.1225987635583303,0.07559838356707171,0.4013488709560673,-0.01182064826711704
arousal,4,stimulus_only,bias_shrink4,8,3,5,0,-2,0.43142653155721844,0.45325249850461935,1.2371357778495744,-0.06668335280680182
arousal,8,affine_residual_ridge1,bias_shrink4,8,3,5,0,-2,-0.07112473517214185,0.030337567907660623,0.23531637424074714,-0.6198550413848596
arousal,8,affine_residual_ridge4,bias_shrink4,8,5,3,0,2,-0.11143594234753706,-0.032775205839399524,0.17660430902883317,-0.6328196452450494
arousal,8,bias_empirical_bayes,bias_shrink4,8,5,3,0,2,-0.06430221252068927,-0.05844976030971749,0.03855987385538451,-0.1985696365043399
arousal,8,bias_huber,bias_shrink4,8,5,3,0,2,-0.05328129771656667,-0.030108460333709952,0.08642082030810516,-0.245831418810875
arousal,8,bias_mean,bias_shrink4,8,5,3,0,2,-0.0663047709745348,-0.05115715829139711,0.0549443308500579,-0.22900166926811627
arousal,8,bias_median,bias_shrink4,8,4,4,0,0,-0.015127192732643485,0.0018284463646536242,0.16993655616739733,-0.2584699909316983
arousal,8,bias_shrink1,bias_shrink4,8,5,3,0,2,-0.06652605686225202,-0.057995497316684075,0.03261564950215479,-0.20810815811867367
arousal,8,bias_shrink2,bias_shrink4,8,5,3,0,2,-0.05005924259351935,-0.04608068018467737,0.017606756076983476,-0.14975516284383117
arousal,8,bias_shrink4,bias_shrink4,8,0,0,8,0,0.0,0.0,0.0,0.0
arousal,8,bias_shrink8,bias_shrink4,8,3,5,0,-2,0.09881104229967627,0.10159876246919264,0.2723626374816974,-0.013498048691178877
arousal,8,bias_trimmed_mean,bias_shrink4,8,5,3,0,2,-0.05897297156302356,-0.03257886406180388,0.06438886296845925,-0.2536640315592107
arousal,8,kernel_residual_shrink4,bias_shrink4,8,1,7,0,-6,0.11205144382049273,0.06293382254161806,0.29172604364618904,-0.004617964217933368
arousal,8,stimulus_only,bias_shrink4,8,2,6,0,-4,0.5546415845602428,0.6286173775854674,1.4206405387891752,-0.015200749606196107
arousal,16,affine_residual_ridge1,bias_shrink4,8,4,4,0,0,-0.0979321715157383,-0.02329805554223885,0.11814362012625423,-0.6188746555901097
arousal,16,affine_residual_ridge4,bias_shrink4,8,5,3,0,2,-0.10670266009205208,-0.037208805743900286,0.10517109225986898,-0.6197868539906353
arousal,16,bias_empirical_bayes,bias_shrink4,8,5,3,0,2,-0.02929314231096397,-0.03412591403732468,0.03126256920998105,-0.11845963377027968
arousal,16,bias_huber,bias_shrink4,8,5,3,0,2,-0.021967496569713724,-0.022407896623145795,0.07877368206894442,-0.17309942399585165
arousal,16,bias_mean,bias_shrink4,8,5,3,0,2,-0.03290208372934378,-0.03411932666854822,0.040578291470424244,-0.1515147210732346
