target,model,n,mae,rmse,pearson,spearman,ccc,balanced_accuracy,macro_f1,auroc,dev_rmse,dev_mae,dev_pearson,dev_spearman,dev_sign_acc,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_ccc,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_pred_dev_std,experiment,table,experiment_description,is_stimulus_only,is_residual_model,is_direct_model,is_augmented,subset
arousal,emg_residual_extratrees,2016,1.6006079808494995,1.968874378776272,0.622850065631582,0.5994220929517171,0.5707009004287692,0.765237020316027,0.769642122583299,0.8160528267086371,1.968874378776272,1.6006079808494995,-0.0925597798640766,-0.0657800841066749,0.4846230158730158,0.1790472043565619,-0.0206828656421262,-0.024669396659676,-0.0115254289989074,0.0009221267739967,-0.0086803994515034,-0.0033860045146727,-0.0042689510521607,-2.0809990547876467e-05,-0.0206828656421262,-0.0246693966596762,,,0.4846230158730158,0.1790472043565619,04c_nonlinear_22feat,main,22-feature EMG ExtraTrees nonlinear probe,False,True,False,False,
valence,stimulus_only,2016,1.02206541218638,1.257773694673858,0.8663072234664694,0.8413570547514742,0.8580903005604849,0.8795593635250918,0.8658039779535107,0.943285935194,1.257773694673858,1.02206541218638,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,04c_nonlinear_22feat,main,22-feature EMG ExtraTrees nonlinear probe,True,False,False,False,
valence,emg_direct_extratrees,2016,2.1089054004887298,2.525183279474229,-0.0333149250859159,-0.0394871960041702,-0.0033061648078666,0.4909198059748855,0.4214987683790853,0.4817343387178828,2.525183279474229,2.1089054004887298,0.0082005208906461,-0.0287212140918196,0.5094246031746031,2.1999823550984967,-1.0868399883023498,-1.2674095848003708,-0.8996221485523853,-0.8808442507556444,-0.8613964653683516,-0.3886395575502063,-0.4443052095744254,-0.4615515964761171,-1.0868399883023498,-1.2674095848003708,,,0.5094246031746031,2.1999823550984967,04c_nonlinear_22feat,main,22-feature EMG ExtraTrees nonlinear probe,False,False,True,False,
valence,emg_residual_extratrees,2016,1.0205084927579282,1.2603429801483192,0.865721464935686,0.8509584479343599,0.8575051704222296,0.8805748220680901,0.8667980225612624,0.9471135490175338,1.2603429801483192,1.0205084927579282,0.0066069377026459,-0.0183627363162615,0.5133928571428571,0.0891486256226094,0.0015569194284517,-0.0025692854744612,-0.0005857585307833,0.0096013931828857,-0.0005851301382552,0.0010154585429983,0.0009940446077516,0.0038276138235338,0.0015569194284517,-0.0025692854744612,,,0.5133928571428571,0.0891486256226094,04c_nonlinear_22feat,main,22-feature EMG ExtraTrees nonlinear probe,False,True,False,False,
arousal,stimulus_only,504,1.7458397337429596,2.076382289254385,0.3926516352461903,0.2674343736552073,0.2472329398646137,0.6474393082806784,0.6510972657645144,0.623212504156967,2.076382289254385,1.7458397337429594,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,04c_nonlinear_22feat,subset,22-feature EMG ExtraTrees nonlinear probe,True,False,False,False,top25_train_entropy
arousal,emg_direct_extratrees,504,2.3728301293930807,2.729036053812718,-0.1445405597929681,-0.1395624579191722,-0.0194996964230457,0.5016129032258064,0.2815511586173172,0.4393415364150316,2.729036053812718,2.3728301293930807,-0.0723060353884986,-0.0714461847234554,0.4305555555555556,0.8446482159087759,-0.626990395650121,-0.652653764558333,-0.5371921950391585,-0.4069968315743796,-0.2667326362876595,-0.145826405054872,-0.3695461071471972,-0.1838709677419354,-0.6269903956501213,-0.652653764558333,,,0.4305555555555556,0.8446482159087759,04c_nonlinear_22feat,subset,22-feature EMG ExtraTrees nonlinear probe,False,False,True,False,top25_train_entropy
arousal,emg_residual_extratrees,504,1.7773458795516062,2.1059375573375134,0.3584719869564105,0.301541904103927,0.2275593170590102,0.6242434319920186,0.6260659694288013,0.6420186232125041,2.1059375573375134,1.7773458795516062,-0.1241811267728098,-0.1115703442888765,0.4404761904761904,0.1776757656685679,-0.0315061458086465,-0.0295552680831283,-0.0341796482897797,0.0341075304487197,-0.0196736228056034,-0.0231958762886598,-0.0250312963357131,0.018806119055537,-0.0315061458086467,-0.0295552680831283,,,0.4404761904761904,0.1776757656685679,04c_nonlinear_22feat,subset,22-feature EMG ExtraTrees nonlinear probe,False,True,False,False,top25_train_entropy
arousal,stimulus_only,504,1.910426267281106,2.2739644157974346,0.3813269507180007,0.3026940215591803,0.2681335475163034,0.649796195652174,0.6552731306035677,0.6700067934782609,2.2739644157974346,1.910426267281106,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,04c_nonlinear_22feat,subset,22-feature EMG ExtraTrees nonlinear probe,True,False,False,False,top25_train_score_std
arousal,emg_direct_extratrees,504,2.1664212624891617,2.4861493951154268,-0.0782175837785601,-0.0506429780714437,-0.0140494654839936,0.4995923913043478,0.3926801148983566,0.4738960597826087,2.4861493951154268,2.1664212624891617,0.0134187190020902,-0.0079862917347811,0.4345238095238095,1.0353546100097462,-0.2559949952080556,-0.2121849793179921,-0.4595445344965608,-0.353336999630624,-0.2821830130002971,-0.1502038043478261,-0.2625930157052111,-0.1961107336956521,-0.2559949952080556,-0.2121849793179921,,,0.4345238095238095,1.0353546100097462,04c_nonlinear_22feat,subset,22-feature EMG ExtraTrees nonlinear probe,False,False,True,False,top25_train_score_std
arousal,emg_residual_extratrees,504,1.9297072709556105,2.2938378699312683,0.363809844712359,0.3647851137623343,0.2587051826052722,0.635733695652174,0.6399852587230597,0.6970108695652174,2.2938378699312683,1.9297072709556105,-0.0750679047905834,-0.0209222420578893,0.4821428571428571,0.1759506467872608,-0.0192810036745041,-0.0198734541338336,-0.0175171060056417,0.062091092203154,-0.0094283649110311,-0.0140624999999999,-0.015287871880508,0.0270040760869565,-0.0192810036745041,-0.0198734541338336,,,0.4821428571428571,0.1759506467872608,04c_nonlinear_22feat,subset,22-feature EMG ExtraTrees nonlinear probe,False,True,False,False,top25_train_score_std
valence,stimulus_only,504,1.0589157706093189,1.3230693666365962,0.3318823247544605,0.2667050643714082,0.2025541116278129,0.5037703065166417,0.3968343842491313,0.6852511007270703,1.3230693666365962,1.0589157706093189,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,04c_nonlinear_22feat,subset,22-feature EMG ExtraTrees nonlinear probe,True,False,False,False,top25_train_entropy
valence,emg_direct_extratrees,504,1.4491489104942816,1.907877424609049,-0.0114924778997389,-0.0324734853756411,-0.0010488318565028,0.4881492602776699,0.3242458100558659,0.5016110258270213,1.907877424609049,1.4491489104942816,0.0100444168492482,0.0401421541320472,0.5436507936507936,0.4971559511482794,-0.3902331398849628,-0.5848080579724528,-0.3433748026541995,-0.2991785497470492,-0.2036029434843158,-0.0156210462389717,-0.0725885741932654,-0.1836400749000489,-0.3902331398849628,-0.5848080579724528,,,0.5436507936507936,0.4971559511482794,04c_nonlinear_22feat,subset,22-feature EMG ExtraTrees nonlinear probe,False,False,True,False,top25_train_entropy
