epoch,train_loss,train_huber,train_bce,val_rmse_scaled,val_bce,val_objective,stage,test_subject,target,y_fit_mean,y_fit_std,early_stop,y_outer_mean,y_outer_std
3,0.5713054294939395,0.41151336166593766,0.6391682790385352,0.9827307296365734,0.597087562084198,1.132002620157623,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
4,0.5522344438014207,0.39790532682780866,0.6173164899702426,0.9708416393178241,0.5996644496917725,1.1207577517407672,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
5,0.547376623860112,0.39380216267373824,0.6142978326038078,1.0592488215392286,0.6218687295913696,1.214716003937071,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
6,0.508915294651632,0.3614559444012465,0.5898373833409062,1.0473176274071403,0.6336609721183777,1.2057328704367347,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
7,0.4805633889304267,0.3382728588249948,0.5691621231812017,1.0797886822610459,0.6334435939788818,1.2381495807557663,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
8,0.43692913872224315,0.3022608831524849,0.5386730250385072,1.1794938387192495,0.6872994899749756,1.3513187112129934,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
9,0.3894506174105185,0.2644609378443824,0.49995872543917763,1.1199981371886762,0.6705498695373535,1.2876356045730146,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,True,,
1,0.6127198127008253,0.44973638846028235,0.6519336921553458,,,,final,2,arousal,,,,-7.162729191130042e-18,1.9288502402018097
1,0.6025233406711508,0.4374480865619801,0.660301019748052,1.1149237293096932,0.6003304123878479,1.2650063324066552,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
2,0.5889938909698416,0.4250454472170936,0.6557937816337303,1.1130873946742734,0.601327121257782,1.263419174988719,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
3,0.5826288577583101,0.4192251529958513,0.6536148074600432,1.1785535177502844,0.6146283149719238,1.3322105964932653,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
4,0.5636223974051299,0.40289324246071,0.6429165999094645,1.1352027563736682,0.6119663715362549,1.288194349257732,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
5,0.547349097000228,0.3883873947240688,0.6358468068970574,1.1255947217961244,0.6050843000411987,1.276865796806424,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
6,0.5042812746983988,0.35083972690282045,0.6137661895266285,1.218393081460174,0.630300760269165,1.3759682715274653,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
7,0.47009085008391627,0.3201900894443194,0.5996030469735464,1.2495624875394997,0.635180652141571,1.4083576505748925,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
8,0.4204187481491654,0.27741796909658994,0.5720031101394583,1.2717825710915702,0.6746535301208496,1.4404459536217826,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
9,0.39035727083683014,0.2560460345336684,0.5372449485240159,1.3026915341854792,0.695527195930481,1.4765733331680995,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
10,0.35230015301042134,0.2255153306932361,0.5071392997547433,1.2488833310300589,0.6998494267463684,1.423845687716651,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,True,,
1,0.6031658798456192,0.4386451143410898,0.6580830706704047,,,,final,3,arousal,,,,2.865091676452017e-17,1.9459122563827091
2,0.5994521744789616,0.4368629926635373,0.6503567431242235,,,,final,3,arousal,,,,2.865091676452017e-17,1.9459122563827091
1,0.602782975744318,0.44024233685599434,0.6501625654874025,1.1527868875014193,0.690514862537384,1.3254156031357653,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
2,0.5824236284803461,0.4218360334634781,0.6423503717890492,1.2075075289202073,0.6769545078277588,1.376746155877147,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
3,0.5743798238259775,0.41489841126733357,0.6379256403004682,1.1905234848130966,0.6859773397445679,1.3620178197492385,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
4,0.5616114084367398,0.4041173154557193,0.6299763807544002,1.1779402369596281,0.6814934015274048,1.3483135873414793,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
5,0.5380600817777492,0.38466857456498676,0.6135660255396808,1.19927237688202,0.690580427646637,1.3719174837936792,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
6,0.5022724314972207,0.3533413953803204,0.5957241477789702,1.2268871895267641,0.7019750475883484,1.4023809514238512,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
7,0.45824615050245215,0.3153590993196876,0.5715482113537965,1.3209310731459583,0.7282640933990479,1.5029970964957202,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
8,0.4143795139259762,0.2778189182281494,0.5462423838950969,1.3238547121300144,0.7433435320854187,1.509690595151369,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
9,0.3790751932947724,0.24977792578714866,0.517189070030495,1.3045892298402821,0.7711103558540344,1.4973668188037907,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,True,,
1,0.6155012312435335,0.44859950917382396,0.6676068902015686,,,,final,5,arousal,,,,-7.162729191130042e-18,1.9474092830945495
1,0.6100419544511371,0.445392781385669,0.6585966999884005,0.9583216346038744,0.6090850234031677,1.1105928904546665,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
2,0.5877666705184512,0.42774566014607746,0.6400840310034929,0.9716870683939288,0.61121666431427,1.1244912344724964,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
3,0.5772335043659916,0.41778735374962844,0.6377846079844015,0.9802889703255153,0.6131330132484436,1.1335722236376262,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
4,0.5630498407063661,0.40630324626410447,0.6269863865993641,1.0188261620851324,0.6132063269615173,1.1721277438255118,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
5,0.5395884922257176,0.3856849256489012,0.6156142801046371,1.0761875413756976,0.6470180749893188,1.2379420601230273,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
6,0.5006238691232823,0.3506078239944246,0.6000641904495381,1.1222933519296925,0.6554139256477356,1.2861468333416264,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
7,0.4701855679353078,0.3275094551068765,0.5707044551769892,1.0904200682679845,0.6713986396789551,1.2582697281877233,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
8,0.44603125364692126,0.309119364729634,0.5476475523577796,1.1657405571454198,0.7318128943443298,1.3486937807315023,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
9,0.38567550894286895,0.25687242492481516,0.5152123239305284,1.1993261445480947,0.7571468949317932,1.388612868281043,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,True,,
1,0.6009550772366985,0.44055750245048153,0.6415902828016589,,,,final,6,arousal,,,,1.7906822977825105e-17,1.9011711549146475
1,0.6035155493904043,0.440734933923792,0.6511224718005569,0.911533501820289,0.6773914098739624,1.0808813542887796,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
2,0.5898429304361343,0.42920856840080684,0.6425374404147819,0.9044157506912948,0.6728962659835815,1.07263981718719,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
3,0.5723485074661396,0.4130602368602046,0.6371530890464783,0.9106197958759715,0.672828197479248,1.0788268452457834,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
4,0.546840645648815,0.39139964514308506,0.6217640020229198,0.9331826685565987,0.6758822202682495,1.102153223623661,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
5,0.5261865020902069,0.3745476564875356,0.6065553746841572,0.9570836354572979,0.6851193904876709,1.1283634830792155,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
6,0.4919548150565889,0.3464325001394307,0.5820892535977893,0.9889741672170953,0.7148462533950806,1.1676857305658654,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
7,0.4585574721848523,0.31817591549069796,0.561526225120933,1.0276351842700113,0.7088631987571716,1.2048509839593042,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
8,0.4145294085696892,0.2800225535476649,0.5380274167767277,1.0763644667082426,0.7585049867630005,1.2659907133989927,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
9,0.38616405951756017,0.26032481632298893,0.5033569628441775,1.0457752264479656,0.7751778960227966,1.2395697004536648,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
