target,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,true_high_rate,pred_high_rate,lift_vs_stimulus_accuracy,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc
arousal,4,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,352800,0.8082738095238096,0.784775721349091,0.785888460155419,0.8650237644020196,232460,120340,0.3410997732426304,0.33555839002267573,0.00726473922902493,0.016077794709706494,0.011935116399562684,0.04893188029968887
arousal,4,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,352800,0.7758361678004535,0.7617542788070149,0.7649199687944546,0.8556737875020514,194473,158327,0.44877267573696145,0.33573696145124715,0.01588435374149655,0.01841365348468349,0.019419264329768482,0.04567056329169916
arousal,4,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,314813,0.8272720630977755,0.805079374967308,0.8121385063000087,0.8923245898279971,194473,120340,0.382258674197063,0.3339156896316226,0.012947368755419797,0.01882962663397436,0.016771370227172677,0.0473306005580898
arousal,8,stimulus_only,midpoint_as_low,302400,0.800978835978836,0.7687894002423001,0.7739445106142151,0.8157930366479863,199322,103078,0.3408664021164021,0.31331349206349207,0.0,0.0,0.0,0.0
arousal,8,stimulus_only,midpoint_as_high,302400,0.7596693121693122,0.7431391416518487,0.7452705541021662,0.8095468707898211,166642,135758,0.44893518518518516,0.31331349206349207,0.0,0.0,0.0,0.0
arousal,8,stimulus_only,discard_midpoint,269720,0.8142888921844876,0.7863218400379213,0.7953810809981783,0.8446896269016623,166642,103078,0.3821666913836571,0.31385140145335905,0.0,0.0,0.0,0.0
arousal,8,stimulus_plus_fewshot_bias,midpoint_as_low,302400,0.8184292328042329,0.8013358038265719,0.7992973488141357,0.8773409996639417,199322,103078,0.3408664021164021,0.35038690476190476,0.01745039682539684,0.032546403584271744,0.025352838199920624,0.06154796301595544
arousal,8,stimulus_plus_fewshot_bias,midpoint_as_high,302400,0.7912268518518518,0.7788848644205921,0.7824922717100985,0.8671508567345517,166642,135758,0.44893518518518516,0.3506712962962963,0.031557539682539604,0.03574572276874344,0.03722171760793225,0.057603985944730596
arousal,8,stimulus_plus_fewshot_bias,discard_midpoint,269720,0.8417284591428148,0.823781600132397,0.8292542072483149,0.9044266731301219,166642,103078,0.3821666913836571,0.3475418952988284,0.027439566958327166,0.037459760094475714,0.03387312625013661,0.059737046228459656
arousal,8,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,302400,0.8139914021164021,0.7924652410492656,0.7927931500820669,0.8745784536681156,199322,103078,0.3408664021164021,0.3392824074074074,0.013012566137566073,0.023675840806965498,0.018848639467851758,0.058785417020129294
arousal,8,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,302400,0.7838690476190476,0.7702887784430354,0.7737342472377715,0.8654783125230426,166642,135758,0.44893518518518516,0.33942460317460316,0.024199735449735416,0.02714963679118676,0.02846369313560526,0.05593144173322151
arousal,8,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,269720,0.8351327302387661,0.8140957190580173,0.8209853631497437,0.9021133800070014,166642,103078,0.3821666913836571,0.3367121459291117,0.020843838054278474,0.027773879020095982,0.025604282151565405,0.05742375310533909
arousal,16,stimulus_only,midpoint_as_low,201600,0.8001934523809524,0.7680109184885968,0.7732485837011224,0.815071215021875,132694,68906,0.3417956349206349,0.31348710317460315,0.0,0.0,0.0,0.0
arousal,16,stimulus_only,midpoint_as_high,201600,0.7591319444444444,0.7429595386340894,0.7448826416122245,0.8095897029716081,110844,90756,0.45017857142857143,0.31348710317460315,0.0,0.0,0.0,0.0
arousal,16,stimulus_only,discard_midpoint,179750,0.8136578581363004,0.7857811344553636,0.7948458510978893,0.8444534437963567,110844,68906,0.3833435326842837,0.3138414464534075,0.0,0.0,0.0,0.0
arousal,16,stimulus_plus_fewshot_bias,midpoint_as_low,201600,0.825595238095238,0.8076224375513712,0.806741505879211,0.8846763970722562,132694,68906,0.3417956349206349,0.3458630952380952,0.02540178571428564,0.03961151906277438,0.033492922178088635,0.06960518205038124
arousal,16,stimulus_plus_fewshot_bias,midpoint_as_high,201600,0.7958085317460317,0.7832747968559892,0.786956926029357,0.8752485443968029,110844,90756,0.45017857142857143,0.3459871031746032,0.03667658730158729,0.04031525822189985,0.04207428441713246,0.06565884142519474
arousal,16,stimulus_plus_fewshot_bias,discard_midpoint,179750,0.8484673157162727,0.8299948007235907,0.8362813097463119,0.9120186723429318,110844,68906,0.3833435326842837,0.34383310152990265,0.034809457579972225,0.04421366626822709,0.041435458648422574,0.0675652285465751
arousal,16,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,201600,0.8199305555555556,0.7994508965820981,0.7997181793591667,0.8817138545075531,132694,68906,0.3417956349206349,0.34052579365079366,0.0197371031746032,0.0314399780935013,0.026469595658044298,0.06664263948567817
arousal,16,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,201600,0.7903075396825396,0.7771789860412691,0.7807107523826902,0.8730075043681488,110844,90756,0.45017857142857143,0.340625,0.03117559523809521,0.03421944740717975,0.03582811077046566,0.06341780139654063
arousal,16,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,179750,0.8421974965229485,0.821866410801295,0.8288882067610253,0.9094111304397762,110844,68906,0.3833435326842837,0.3377635605006954,0.02853963838664808,0.036085276345931394,0.03404235566313596,0.0649576866434195
valence,0,stimulus_only,midpoint_as_low,2016,0.8660714285714286,0.8795593635250918,0.8658039779535107,0.943285935194,1161,855,0.42410714285714285,0.53125,0.0,0.0,0.0,0.0
