target,block,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,n_low,n_high
arousal,emg_existing_22,16,physio_similarity_knn64,discard_midpoint,1141,0.6257668711656442,0.6277713778807237,0.6257381233863453,599,542
valence,eeg_entropy_complexity,4,locked_kernel_residual_shrink4,midpoint_as_low,2240,0.8799107142857143,0.8855867703305491,0.8799053289817883,1214,1026
valence,eeg_entropy_complexity,4,locked_kernel_residual_shrink4,midpoint_as_high,2240,0.9245535714285714,0.9259772115841114,0.9239163312782945,994,1246
valence,eeg_entropy_complexity,4,locked_kernel_residual_shrink4,discard_midpoint,2020,0.946039603960396,0.9459240825067363,0.9460128114751586,994,1026
valence,eeg_entropy_complexity,4,physio_residual_ridge100,midpoint_as_low,2240,0.878125,0.8841657273331599,0.8781243927594505,1214,1026
valence,eeg_entropy_complexity,4,physio_residual_ridge100,midpoint_as_high,2240,0.915625,0.9164255194085864,0.9148404616429056,994,1246
valence,eeg_entropy_complexity,4,physio_residual_ridge100,discard_midpoint,2020,0.94009900990099,0.9398407991810512,0.9400406875524202,994,1026
valence,eeg_entropy_complexity,4,physio_context_ridge100,midpoint_as_low,2240,0.8459821428571429,0.8455310204854989,0.8450793136580588,1214,1026
valence,eeg_entropy_complexity,4,physio_context_ridge100,midpoint_as_high,2240,0.859375,0.86789840164583,0.8593076765248997,994,1246
valence,eeg_entropy_complexity,4,physio_context_ridge100,discard_midpoint,2020,0.8910891089108911,0.8919089586250446,0.890934721829548,994,1026
valence,eeg_entropy_complexity,4,physio_residual_ridge1000,midpoint_as_low,2240,0.871875,0.8783996647301945,0.8718729316221823,1214,1026
valence,eeg_entropy_complexity,4,physio_residual_ridge1000,midpoint_as_high,2240,0.9165178571428572,0.9166176836298692,0.9156361357209306,994,1246
valence,eeg_entropy_complexity,4,physio_residual_ridge1000,discard_midpoint,2020,0.9371287128712872,0.9368226905291397,0.9370552691246697,994,1026
valence,eeg_entropy_complexity,4,physio_context_ridge1000,midpoint_as_low,2240,0.7852678571428572,0.7864236602856216,0.7846804229731503,1214,1026
valence,eeg_entropy_complexity,4,physio_context_ridge1000,midpoint_as_high,2240,0.815625,0.8208407749870006,0.8152343393467254,994,1246
valence,eeg_entropy_complexity,4,physio_context_ridge1000,discard_midpoint,2020,0.8331683168316831,0.8336990755448872,0.833099558954662,994,1026
valence,eeg_entropy_complexity,4,physio_similarity_knn64,midpoint_as_low,2240,0.8834821428571429,0.8891080667071303,0.88347543136154,1214,1026
valence,eeg_entropy_complexity,4,physio_similarity_knn64,midpoint_as_high,2240,0.928125,0.9296961544548188,0.9275298102580766,994,1246
valence,eeg_entropy_complexity,4,physio_similarity_knn64,discard_midpoint,2020,0.95,0.9499011613540894,0.9499773326360268,994,1026
valence,eeg_entropy_complexity,16,locked_kernel_residual_shrink4,midpoint_as_low,1280,0.8796875,0.8861576354679803,0.87966370302721,700,580
valence,eeg_entropy_complexity,16,locked_kernel_residual_shrink4,midpoint_as_high,1280,0.9296875,0.9308860834460226,0.929183346283601,574,706
valence,eeg_entropy_complexity,16,locked_kernel_residual_shrink4,discard_midpoint,1154,0.9488734835355286,0.9488405622972487,0.9488669945559564,574,580
valence,eeg_entropy_complexity,16,physio_residual_ridge100,midpoint_as_low,1280,0.87890625,0.885,0.8788671391092461,700,580
valence,eeg_entropy_complexity,16,physio_residual_ridge100,midpoint_as_high,1280,0.91796875,0.9194485297746543,0.9174341177706475,574,706
valence,eeg_entropy_complexity,16,physio_residual_ridge100,discard_midpoint,1154,0.9419410745233969,0.9418989547038328,0.9419312635233734,574,580
valence,eeg_entropy_complexity,16,physio_context_ridge100,midpoint_as_low,1280,0.8484375,0.8475369458128079,0.8472256743554218,700,580
valence,eeg_entropy_complexity,16,physio_context_ridge100,midpoint_as_high,1280,0.8609375,0.8692145966380749,0.8609252766356418,574,706
valence,eeg_entropy_complexity,16,physio_context_ridge100,discard_midpoint,1154,0.8934142114384749,0.8937041931995675,0.8931348744762787,574,580
valence,eeg_entropy_complexity,16,physio_residual_ridge1000,midpoint_as_low,1280,0.86875,0.8757142857142857,0.868741988646768,700,580
valence,eeg_entropy_complexity,16,physio_residual_ridge1000,midpoint_as_high,1280,0.915625,0.9160209651469238,0.9149262989986117,574,706
valence,eeg_entropy_complexity,16,physio_residual_ridge1000,discard_midpoint,1154,0.9350086655112652,0.9349303135888501,0.9349828386244758,574,580
valence,eeg_entropy_complexity,16,physio_context_ridge1000,midpoint_as_low,1280,0.78515625,0.7858374384236453,0.7842046377611231,700,580
valence,eeg_entropy_complexity,16,physio_context_ridge1000,midpoint_as_high,1280,0.81171875,0.8171052501702678,0.8115253748505393,574,706
valence,eeg_entropy_complexity,16,physio_context_ridge1000,discard_midpoint,1154,0.8310225303292894,0.8312207136849694,0.830829314499002,574,580
valence,eeg_entropy_complexity,16,physio_similarity_knn64,midpoint_as_low,1280,0.8796875,0.8857142857142857,0.8796451877613223,700,580
valence,eeg_entropy_complexity,16,physio_similarity_knn64,midpoint_as_high,1280,0.9265625,0.9282160870981433,0.9260931845041389,574,706
valence,eeg_entropy_complexity,16,physio_similarity_knn64,discard_midpoint,1154,0.9471403812824957,0.9471254355400697,0.9471371659651482,574,580
arousal,eeg_entropy_complexity,4,locked_kernel_residual_shrink4,midpoint_as_low,2240,0.6910714285714286,0.6843112579308899,0.6836096197306372,1304,936
arousal,eeg_entropy_complexity,4,locked_kernel_residual_shrink4,midpoint_as_high,2240,0.6955357142857143,0.6981873266100326,0.694629877050786,1082,1158
arousal,eeg_entropy_complexity,4,locked_kernel_residual_shrink4,discard_midpoint,2018,0.7145688800792864,0.7097512520340616,0.710542672722926,1082,936
arousal,eeg_entropy_complexity,4,physio_residual_ridge100,midpoint_as_low,2240,0.5209821428571428,0.5207350165172251,0.5173242696414855,1304,936
arousal,eeg_entropy_complexity,4,physio_residual_ridge100,midpoint_as_high,2240,0.5495535714285714,0.5497774862006328,0.5494881171949608,1082,1158
arousal,eeg_entropy_complexity,4,physio_residual_ridge100,discard_midpoint,2018,0.5391476709613479,0.5378039243566046,0.5376198486868753,1082,936
arousal,eeg_entropy_complexity,4,physio_context_ridge100,midpoint_as_low,2240,0.4714285714285714,0.47696764721304596,0.47037303298985544,1304,936
arousal,eeg_entropy_complexity,4,physio_context_ridge100,midpoint_as_high,2240,0.5151785714285714,0.5139222766002957,0.5137361385295508,1082,1158
arousal,eeg_entropy_complexity,4,physio_context_ridge100,discard_midpoint,2018,0.49256689791873143,0.4937892001200689,0.4923869040600558,1082,936
arousal,eeg_entropy_complexity,4,physio_residual_ridge1000,midpoint_as_low,2240,0.5883928571428572,0.5869251743484871,0.5837726808096246,1304,936
arousal,eeg_entropy_complexity,4,physio_residual_ridge1000,midpoint_as_high,2240,0.6160714285714286,0.6169937332196821,0.6160564307757558,1082,1158
arousal,eeg_entropy_complexity,4,physio_residual_ridge1000,discard_midpoint,2018,0.6134786917740337,0.61108445107983,0.6111549737795665,1082,936
arousal,eeg_entropy_complexity,4,physio_context_ridge1000,midpoint_as_low,2240,0.403125,0.3987041843636936,0.39798393929666026,1304,936
arousal,eeg_entropy_complexity,4,physio_context_ridge1000,midpoint_as_high,2240,0.4120535714285714,0.412300990617388,0.41202720546102295,1082,1158
arousal,eeg_entropy_complexity,4,physio_context_ridge1000,discard_midpoint,2018,0.39742319127849357,0.395694108725532,0.3957560141518726,1082,936
arousal,eeg_entropy_complexity,4,physio_similarity_knn64,midpoint_as_low,2240,0.58125,0.5827499868910913,0.5780853034278963,1304,936
arousal,eeg_entropy_complexity,4,physio_similarity_knn64,midpoint_as_high,2240,0.6089285714285714,0.6092057502418282,0.6088674569687228,1082,1158
arousal,eeg_entropy_complexity,4,physio_similarity_knn64,discard_midpoint,2018,0.6055500495540139,0.6046277864669731,0.6042872120705693,1082,936
arousal,eeg_entropy_complexity,16,locked_kernel_residual_shrink4,midpoint_as_low,1280,0.7625,0.7613876590483029,0.7591930193700105,732,548
arousal,eeg_entropy_complexity,16,locked_kernel_residual_shrink4,midpoint_as_high,1280,0.76171875,0.7625751259527351,0.7613970496109561,629,651
arousal,eeg_entropy_complexity,16,locked_kernel_residual_shrink4,discard_midpoint,1177,0.7850467289719626,0.783025135483272,0.7835461302222464,629,548
arousal,eeg_entropy_complexity,16,physio_residual_ridge100,midpoint_as_low,1280,0.5375,0.5364564636432532,0.5341837888876867,732,548
arousal,eeg_entropy_complexity,16,physio_residual_ridge100,midpoint_as_high,1280,0.55703125,0.5572630098246796,0.5570244907301443,629,651
arousal,eeg_entropy_complexity,16,physio_residual_ridge100,discard_midpoint,1177,0.5514018691588785,0.549972149049006,0.5498548423547409,629,548
