target,block,k_calibration,model,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,emg_existing_22,16,physio_context_ridge1000,63,6,57,0,-51,0.6960638579599083,0.2967615782134194,22.076303150581694,-0.08376986428016187
arousal,emg_existing_22,16,physio_residual_ridge100,63,9,54,0,-45,0.4936964353028601,0.17143251766752532,12.606592912292559,-0.09671375023199724
arousal,emg_existing_22,16,physio_residual_ridge1000,63,8,55,0,-47,0.6214922726002869,0.15296388631891,21.53732643463828,-0.11713561065568179
arousal,emg_existing_22,16,physio_similarity_knn64,63,5,58,0,-53,0.31516140047319524,0.2150586103577683,1.8470145301353602,-0.0512304733543405
arousal,emg_lagged_interaction_experimental,4,physio_context_ridge100,63,13,50,0,-37,0.14102649917763746,0.07830301720872201,1.0513206685556766,-0.08424806110215033
arousal,emg_lagged_interaction_experimental,4,physio_context_ridge1000,63,12,51,0,-39,0.20886514253186542,0.19502993275430858,0.9517044002467712,-0.16485835525472758
arousal,emg_lagged_interaction_experimental,4,physio_residual_ridge100,63,13,50,0,-37,0.13947823134386486,0.06314725829079215,1.0777943705343622,-0.08563174962126996
arousal,emg_lagged_interaction_experimental,4,physio_residual_ridge1000,63,13,50,0,-37,0.13639904826725993,0.06412512151580052,1.1011206411624777,-0.08625422823657747
arousal,emg_lagged_interaction_experimental,4,physio_similarity_knn64,63,16,47,0,-31,0.14314118314485574,0.08297143971722076,1.0192993616939794,-0.13990616521763255
arousal,emg_lagged_interaction_experimental,8,physio_context_ridge100,63,8,55,0,-47,0.20498172993214225,0.10909947804017728,1.3845123651229119,-0.12169410027376637
arousal,emg_lagged_interaction_experimental,8,physio_context_ridge1000,63,10,53,0,-43,0.2731265901590159,0.27193251846844513,1.276199164559301,-0.09597220139288809
arousal,emg_lagged_interaction_experimental,8,physio_residual_ridge100,63,8,55,0,-47,0.20341577622050377,0.09381995570110435,1.4123668777695997,-0.12477674203370603
arousal,emg_lagged_interaction_experimental,8,physio_residual_ridge1000,63,8,55,0,-47,0.20043702286766324,0.09486022774663883,1.4360086318519958,-0.12665721607591673
arousal,emg_lagged_interaction_experimental,8,physio_similarity_knn64,63,9,54,0,-45,0.20719633763472084,0.13799487858912718,1.3540267210785935,-0.18535145464954317
arousal,emg_lagged_interaction_experimental,16,physio_context_ridge100,63,7,56,0,-49,0.28684848151744546,0.15764519687998568,1.8683467679957928,-0.11650218037203874
arousal,emg_lagged_interaction_experimental,16,physio_context_ridge1000,63,7,56,0,-49,0.3557307650062162,0.2980999501986292,1.7592013243637112,-0.06221041615250966
arousal,emg_lagged_interaction_experimental,16,physio_residual_ridge100,63,7,56,0,-49,0.28514491382526896,0.13429409353397492,1.8964231208102624,-0.11514410836143996
arousal,emg_lagged_interaction_experimental,16,physio_residual_ridge1000,63,7,56,0,-49,0.2820391014358919,0.13529990160246008,1.9198871852324466,-0.11424746784279627
arousal,emg_lagged_interaction_experimental,16,physio_similarity_knn64,63,8,55,0,-47,0.28971048578933845,0.1720818363920935,1.8427721282587417,-0.17853354883827577
valence,eeg_bandpower,4,physio_context_ridge100,63,9,54,0,-45,0.13833792624684563,0.09254065155988478,1.226076878784546,-0.07789623106920263
