target,method,adaptation,k_calibration,subject,n_eval,zero_rmse,model_rmse,improvement_zero_minus_model
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,60,13,3.364229198692733,3.0299658015150093,0.3342633971777236
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,61,7,2.9657501831664757,2.531688881341613,0.4340613018248627
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,62,8,3.4774105646546394,3.701848827139801,-0.22443826248516174
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,63,12,3.156342133584165,3.0278033250538425,0.1285388085303225
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,64,2,3.751967919296454,3.3518869361342705,0.40008098316218366
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,65,10,2.7879768249170787,2.1032316686343444,0.6847451562827342
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,1,9,3.054269797486409,2.9811980063966033,0.07307179108980577
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,2,16,3.606356125027074,3.313390172499339,0.29296595252773505
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,3,6,3.1081918773532426,16.539997071919252,-13.43180519456601
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,5,8,2.909100239585122,2.8274831436434256,0.08161709594169642
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,6,22,4.3794514632224235,4.603238944922769,-0.22378748170034513
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,7,7,2.661457891666245,2.7519495402492593,-0.0904916485830145
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,8,10,2.7801792140109836,3.142095003225529,-0.3619157892145455
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,9,10,3.5470415337347743,3.348071912551594,0.1989696211831804
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,10,7,2.8355134918213976,2.868365764522705,-0.03285227270130742
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,11,9,3.2928911542907464,2.932795531195516,0.36009562309523035
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,12,3,2.313940020466014,2.6716511517040775,-0.35771113123806364
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,13,13,3.3718165315100426,2.2659668002201325,1.10584973128991
arousal,trialz_summary_ridge_alpha100,none_pure_loso,0,14,7,2.819840671424436,2.4610507830595876,0.3587898883648486
