target,block,k_calibration,model,test_subject,n,mae,rmse,pearson,spearman,ccc,y_true_std,y_pred_std
arousal,eeg_bandpower,0,stimulus_only,24,32,1.310483870967742,1.48257196823593,0.8842846261953842,0.8455977263856485,0.7790914999650712,2.706870598587971,1.619265425738052
arousal,eeg_bandpower,0,stimulus_only,25,32,1.7767137096774195,2.1900265994374353,0.7183776736175677,0.7140056976931781,0.5964710806999017,3.0413812651491097,1.6224070271970634
arousal,eeg_bandpower,0,stimulus_only,26,32,1.861391129032258,2.0975708009095437,0.6921782162668518,0.7032390754941981,0.5500166079740724,2.381569860407206,1.631177894570375
arousal,eeg_bandpower,0,stimulus_only,27,32,1.2263104838709677,1.535350762562059,0.6857768600850157,0.6533032970651478,0.6202442042179301,1.71277370075559,1.6389311656529597
arousal,eeg_bandpower,0,stimulus_only,28,32,1.3870967741935485,1.736794234893714,0.8523115608810488,0.7439674769942559,0.6831198156012985,2.346664854106781,1.625620229030218
arousal,eeg_bandpower,0,stimulus_only,29,32,1.0892137096774195,1.4303522584477635,0.7663483928825855,0.7911927673763665,0.7180842706934527,2.0832291640623697,1.6321077413038991
arousal,eeg_bandpower,0,stimulus_only,30,32,0.7550403225806452,0.956852374832003,0.8934739322809537,0.8682985705758665,0.8680754224554206,2.0707694071286644,1.628088483700141
arousal,eeg_bandpower,0,stimulus_only,31,32,2.011592741935484,2.3482477221801465,0.7902383180113698,0.7692709474610178,0.6000188698437783,3.2379584617471546,1.6164187210941403
arousal,eeg_bandpower,0,stimulus_only,32,32,1.0398185483870968,1.2891028761453294,0.7650874662357704,0.7299560016483684,0.7489324319303492,1.9833289565778038,1.6333954482244362
arousal,eeg_bandpower,0,stimulus_only,33,32,1.466733870967742,1.7088498453534824,0.5550418725169378,0.5846336260080733,0.5055267984077093,1.6366767968966873,1.643200511139798
arousal,eeg_bandpower,0,stimulus_only,34,32,1.1975806451612903,1.370932162726182,0.8577420069249223,0.8685966040979513,0.7787625418460267,2.373148949707961,1.625049714580117
arousal,eeg_bandpower,0,stimulus_only,35,32,1.180443548387097,1.552764938493383,0.5524171309417634,0.5261720678869681,0.5431462971770319,1.5783570373967988,1.6437990362349817
arousal,eeg_bandpower,0,stimulus_only,36,32,1.3986895161290325,1.6137422213029615,0.8281688496029957,0.8377729054559818,0.7245168899845158,2.54644359843292,1.6238238378140812
arousal,eeg_bandpower,0,stimulus_only,37,32,1.298891129032258,1.579093729239403,0.5035699282557259,0.5396798441611068,0.47245173851424793,1.346291201783626,1.6469570832960136
arousal,eeg_bandpower,0,stimulus_only,38,32,1.113407258064516,1.3992196939083654,0.7229243531153059,0.719878752428922,0.7054957767595204,1.984313483298443,1.6347132227835457
arousal,eeg_bandpower,0,stimulus_only,39,32,1.719758064516129,2.042019248651355,0.7676405249461905,0.6309757579971604,0.6368732990294125,2.9379986278928043,1.621343528399755
arousal,eeg_bandpower,0,stimulus_only,40,32,2.499495967741935,2.919191928710636,0.4684225945889068,0.5149480612492227,0.3547005955677008,3.059309562630104,1.6343109757994334
arousal,eeg_bandpower,0,stimulus_only,41,32,2.0055443548387095,2.469024743007183,0.4297075601558555,0.44572460955923554,0.16032139639803566,0.81967981553775,1.6522739410377567
arousal,eeg_bandpower,0,stimulus_only,42,32,2.253024193548387,2.6523340250498326,0.6793976578000546,0.7004036165494839,0.41601257264235547,2.2584476831443316,1.633034336140881
arousal,eeg_bandpower,0,stimulus_only,43,32,1.5972782258064515,1.8068903377094594,0.8638948839185945,0.8256486416701168,0.7198429220667221,3.0045538354304786,1.6159534382778398
arousal,eeg_bandpower,0,stimulus_only,44,32,1.982358870967742,2.461961855606203,0.5186399224228903,0.4016332543886638,0.4401171305273597,2.8111107680061274,1.6340292818038096
arousal,eeg_bandpower,0,stimulus_only,45,32,1.142641129032258,1.5219490856302587,0.6039531069248716,0.6180331561745381,0.5879117283252022,1.6665364532466729,1.6416254815754825
arousal,eeg_bandpower,0,stimulus_only,46,32,1.4858870967741935,1.9311611674675553,0.40967788010441514,0.47740043487674816,0.4052697355797902,1.885128891481959,1.645309528425829
arousal,eeg_bandpower,0,stimulus_only,47,32,2.0151209677419355,2.4418044452845615,0.5370668726263563,0.48073748385981624,0.4498019813307133,2.7780880903059932,1.6335022188213828
arousal,eeg_bandpower,0,stimulus_only,48,32,1.0493951612903225,1.3047018848475163,0.7967730533808148,0.8373097283165034,0.7663000654033917,2.1485369295173866,1.6302544520914506
arousal,eeg_bandpower,0,stimulus_only,49,32,2.065524193548387,2.3836409706151227,0.38761730890815094,0.3433325205976194,0.23736424177812304,1.3831434985206705,1.6492231245869118
arousal,eeg_bandpower,0,stimulus_only,50,32,1.2056451612903225,1.3913277090479512,0.8978581496271998,0.8873978486220416,0.7991559451798751,2.6485181588012567,1.6195365110629563
arousal,eeg_bandpower,0,stimulus_only,52,32,1.702116935483871,2.018432152260223,0.48814867280672447,0.5170577002309656,0.4555496496712094,2.1277555663186503,1.6409747657491789
