target,block,k_calibration,model,subject_id,n,mae,rmse,pearson,ccc,y_true_std,y_pred_std,locked_subject_rmse,delta_rmse_model_minus_locked
valence,emg_existing_22,4,physio_similarity_knn64,6,1400,1.012421544619969,1.149495477940343,0.9530063625118909,0.9061766648104734,3.0348775317388115,2.206223851363091,1.069221315878529,0.08027416206181393
valence,emg_existing_22,8,locked_kernel_residual_shrink4,6,1200,0.8653670782844226,1.0596055151645243,0.9479754778041379,0.9258941823546922,3.031127403019104,2.440991024012787,1.0596055151645243,0.0
valence,emg_existing_22,8,physio_residual_ridge100,6,1200,1.0686965950330098,1.1827807029744448,0.9533782850240518,0.8989582506404278,3.031127403019104,2.1535139261905942,1.0596055151645243,0.12317518780992054
valence,emg_existing_22,8,physio_context_ridge100,6,1200,1.1441284851233164,1.248995392434241,0.9532769478718636,0.883658456507592,3.031127403019104,2.0503028325715835,1.0596055151645243,0.18938987726971668
valence,emg_existing_22,8,physio_residual_ridge1000,6,1200,1.0641051253676415,1.1780746163360654,0.9535198597475378,0.899806250765161,3.031127403019104,2.156204982176439,1.0596055151645243,0.11846910117154108
valence,emg_existing_22,8,physio_context_ridge1000,6,1200,1.5992364392677942,1.72487931076069,0.9530815394779467,0.7353339552992115,3.031127403019104,1.4306703461776529,1.0596055151645243,0.6652737955961656
valence,emg_existing_22,8,physio_similarity_knn64,6,1200,1.0234567231933276,1.165337971846477,0.9509654313971364,0.9030118801511181,3.031127403019104,2.193207905851987,1.0596055151645243,0.10573245668195264
valence,emg_existing_22,16,locked_kernel_residual_shrink4,6,800,0.7623048964142799,0.9653580112369378,0.9549534177457526,0.9430825275463834,3.067225690669013,2.635863926833906,0.9653580112369378,0.0
valence,emg_existing_22,16,physio_residual_ridge100,6,800,1.042613769620657,1.1441409533030598,0.9591176041919264,0.9089357643314582,3.067225690669013,2.220735403237395,0.9653580112369378,0.178782942066122
valence,emg_existing_22,16,physio_context_ridge100,6,800,1.119455996453762,1.2134082995125013,0.9590137914452613,0.8941682930975571,3.067225690669013,2.1145443865194458,0.9653580112369378,0.24805028827556352
valence,emg_existing_22,16,physio_residual_ridge1000,6,800,1.0377067577838899,1.1389694426031798,0.959235471234247,0.9097691427234073,3.067225690669013,2.2227944573451355,0.9653580112369378,0.17361143136624202
valence,emg_existing_22,16,physio_context_ridge1000,6,800,1.5847683703899385,1.7119357163016045,0.9587750823967727,0.7475683828139127,3.067225690669013,1.4756712420904745,0.9653580112369378,0.7465777050646667
valence,emg_existing_22,16,physio_similarity_knn64,6,800,0.9931725896894932,1.1232355649425694,0.9569404792428935,0.9131269854407683,3.067225690669013,2.2590576956677655,0.9653580112369378,0.1578775537056316
valence,emg_existing_22,4,locked_kernel_residual_shrink4,7,1400,0.5627300287144524,0.7190630072787543,0.9414548600830235,0.9355375605580458,1.896197995129912,2.1017216845336737,0.7190630072787543,0.0
valence,emg_existing_22,4,physio_residual_ridge100,7,1400,0.6166751342160361,0.7766215367302437,0.9421652773634708,0.9284988170799583,1.896197995129912,2.1920285908289694,0.7190630072787543,0.057558529451489426
valence,emg_existing_22,4,physio_context_ridge100,7,1400,0.5530306880814688,0.7266797082877475,0.9422084741462947,0.9338810625184423,1.896197995129912,2.0873298534782037,0.7190630072787543,0.007616701008993254
valence,emg_existing_22,4,physio_residual_ridge1000,7,1400,0.6209200664077487,0.775488357899974,0.9426858952631646,0.9289538230361536,1.896197995129912,2.199496574402674,0.7190630072787543,0.05642535062121967
valence,emg_existing_22,4,physio_context_ridge1000,7,1400,0.6019998928478786,0.7289137764486804,0.943090465528965,0.907724550101288,1.896197995129912,1.4613464674228167,0.7190630072787543,0.00985076916992611
valence,emg_existing_22,4,physio_similarity_knn64,7,1400,0.6623658095938819,0.8318854301926547,0.9454035210888165,0.9210586044740473,1.896197995129912,2.2520529966508986,0.7190630072787543,0.11282242291390043
valence,emg_existing_22,8,locked_kernel_residual_shrink4,7,1200,0.5236107396086057,0.6733599000059508,0.9449815165966782,0.9421947407807519,1.9054745690597215,2.052160648233384,0.6733599000059508,0.0
valence,emg_existing_22,8,physio_residual_ridge100,7,1200,0.608688678542773,0.7623552170945469,0.945092754244722,0.9318098633719778,1.9054745690597215,2.2050219133611875,0.6733599000059508,0.0889953170885961
valence,emg_existing_22,8,physio_context_ridge100,7,1200,0.5447572249174119,0.7116853421558075,0.9451337381953686,0.9372319596689535,1.9054745690597215,2.0997043272885785,0.6733599000059508,0.03832544214985667
valence,emg_existing_22,8,physio_residual_ridge1000,7,1200,0.6130811552206675,0.7614289793646165,0.945589622969107,0.9322089203604375,1.9054745690597215,2.2124000371118977,0.6733599000059508,0.0880690793586657
valence,emg_existing_22,8,physio_context_ridge1000,7,1200,0.596047614812851,0.7195202590140639,0.9459691848261638,0.9109958730645557,1.9054745690597215,1.4698810003474947,0.6733599000059508,0.046160359008113105
valence,emg_existing_22,8,physio_similarity_knn64,7,1200,0.6544668451944987,0.8185569529290336,0.9480233844026771,0.9243534861841582,1.9054745690597215,2.26618189857057,0.6733599000059508,0.14519705292308283
valence,emg_existing_22,16,locked_kernel_residual_shrink4,7,800,0.5122313643991947,0.6657923950621681,0.940742667589686,0.938822116435987,1.848749154834155,1.955634533517421,0.6657923950621681,0.0
valence,emg_existing_22,16,physio_residual_ridge100,7,800,0.6237775726616382,0.7801954578970642,0.9408724238180051,0.9251048148099299,1.848749154834155,2.161250732824204,0.6657923950621681,0.1144030628348961
valence,emg_existing_22,16,physio_context_ridge100,7,800,0.5597009688615799,0.7293272840597187,0.9409098109468972,0.9308456559872442,1.848749154834155,2.0580084365728535,0.6657923950621681,0.06353488899755055
valence,emg_existing_22,16,physio_residual_ridge1000,7,800,0.6285515321791172,0.7796964647823698,0.941373527713473,0.925487236649925,1.848749154834155,2.1693065556985287,0.6657923950621681,0.11390406972020162
valence,emg_existing_22,16,physio_context_ridge1000,7,800,0.5913157111406326,0.7152720130550853,0.9417487410895304,0.9074892929371544,1.848749154834155,1.4412819303089273,0.6657923950621681,0.04947961799291711
valence,emg_existing_22,16,physio_similarity_knn64,7,800,0.6725281301140785,0.8392236182090629,0.9440786517747338,0.9167919144649262,1.848749154834155,2.2230256752855446,0.6657923950621681,0.17343122314689474
valence,emg_existing_22,4,locked_kernel_residual_shrink4,8,1400,0.8106959534542901,1.012707157702977,0.9344272546176569,0.9169769990369009,2.6801910341600355,2.261447609824369,1.012707157702977,0.0
valence,emg_existing_22,4,physio_residual_ridge100,8,1400,0.863423245038305,1.0570921034714642,0.9402823796196906,0.9073391606809154,2.6801910341600355,2.170926097608142,1.012707157702977,0.04438494576848728
valence,emg_existing_22,4,physio_context_ridge100,8,1400,0.8840861007145473,1.0946503549287199,0.9403442874329431,0.8968812583464548,2.6801910341600355,2.0675953763123966,1.012707157702977,0.08194319722574295
valence,emg_existing_22,4,physio_residual_ridge1000,8,1400,0.8451175802094596,1.039142497682208,0.9412115530521924,0.9102662840444115,2.6801910341600355,2.1711009737760443,1.012707157702977,0.026435339979230976
valence,emg_existing_22,4,physio_context_ridge1000,8,1400,1.1715894881316593,1.455569543422507,0.9416967222425001,0.7745238190518461,2.6801910341600355,1.4417608321397666,1.012707157702977,0.4428623857195302
valence,emg_existing_22,4,physio_similarity_knn64,8,1400,0.8516351643630437,1.0561787430233547,0.9371064825361299,0.9084088017527413,2.6801910341600355,2.2025092950920095,1.012707157702977,0.04347158532037776
