augmentation_config,target,model,test_subject,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,best_epoch,best_val_rmse_scaled,fit_subjects,val_subjects,outer_train_subjects,y_outer_mean,y_outer_std,final_train_last_loss,oracle_test_checkpoint_selection,arch_config,arch_description
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,9,32,0.9145537284587004,1.1488030954075505,0.9076955901155502,0.8645345052527453,0.8583333333333334,0.8398398398398399,0.9708333333333333,0.9145537284587004,1.1488030954075505,-0.2104369939844442,-0.07058392420167861,0.59375,0.503024193548387,1.061751339195067,0.11591812467606076,0.08071177276938281,2,0.912290865324482,54,8,62,-1.4325458382260084e-17,1.259250906693792,0.2525120923115361,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,10,32,0.795489525473701,1.0038009721663586,0.909986828511798,0.9029407215346167,0.875,0.8423645320197044,0.9666666666666667,0.795489525473701,1.0038009721663586,-0.07738329330473154,-0.10045829683004764,0.4375,-0.036794354838709756,0.9997417263296526,-0.031494862709246875,0.041337446961545087,1,0.7955817502977096,54,8,62,-3.223228136008519e-17,1.2617194503981597,0.26111414764196644,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,11,32,1.1982152162401984,1.44813131618348,0.914101778392266,0.8917297264444277,0.9166666666666667,0.906158357771261,0.9642857142857143,1.1982152162401984,1.44813131618348,-0.07784697827988157,-0.07074780058651026,0.59375,-0.10030241935483872,1.4456403474452697,-0.050443484833368205,0.01932235994918772,2,1.1542969464302284,54,8,62,0.0,1.254556998531285,0.25759785934802026,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,12,32,0.9161666661204171,1.1481705014655212,0.8485966561778405,0.8625351220670795,0.9166666666666667,0.906158357771261,0.9563492063492064,0.9161666661204171,1.1481705014655212,0.17441379749836658,0.08817598681615497,0.6875,0.24899193548387094,1.156639274123462,0.13222954661773118,0.11487660882525992,6,0.9118802664863133,54,8,62,-1.4325458382260084e-17,1.25912418425186,0.18870444319421245,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,13,32,0.7457870475466997,0.9531010979459315,0.9043120949293494,0.9152769666082229,0.9047619047619048,0.8704453441295547,0.9653679653679653,0.7457870475466997,0.9531010979459315,0.25608697655102836,0.28524290121816454,0.6875,-0.481350806451613,0.933579727266912,-0.18369616059593386,0.3124970282353731,13,0.7557974165611151,54,8,62,-3.9395010551215234e-17,1.2610536529056107,0.16521112572762273,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,14,32,0.7464089700924448,0.8919366011948524,0.9292874695317924,0.9126748058733876,0.8947368421052632,0.8745098039215686,0.9595141700404858,0.7464089700924448,0.8919366011948524,0.11489062480729408,0.19211732678447072,0.5,-0.32258064516129026,0.8364190183117242,-0.004863302369650886,0.03094769830764897,1,0.7062046822133807,54,8,62,-1.7906822977825105e-17,1.2630001224566252,0.26367962528621,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,15,32,0.8086362443739199,1.0713361720158328,0.8754851851512102,0.8585223902270546,0.8636363636363636,0.8056680161943319,0.8954545454545455,0.8086362443739199,1.0713361720158328,0.3987603356854935,0.39776372635208945,0.6875,-0.16381048387096778,1.1002827935536357,0.03855118773248595,0.7365570036642324,24,0.8501447353005888,54,8,62,-1.7906822977825105e-17,1.260180925953942,0.1115420285852686,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,16,32,0.7433258406865265,0.969928599535556,0.9034979412624051,0.8554755726214127,0.8299595141700404,0.8117647058823529,0.902834008097166,0.7433258406865265,0.969928599535556,-0.071619543871408,-0.0938588466733292,0.59375,-0.3860887096774194,0.9396886306748992,-0.22387996636666269,0.12234272137701613,9,0.7688592756565248,54,8,62,-3.581364595565021e-18,1.2615164194060524,0.19434584136451444,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,17,32,0.9966091468276679,1.1838930568365322,0.8978728911868945,0.8960754654709915,0.9166666666666667,0.906158357771261,0.9523809523809523,0.9966091468276679,1.1838930568365322,0.056338840013425075,0.08945921323551691,0.59375,0.24899193548387097,1.1698479042515253,0.05572446856121311,0.058823735458465025,3,0.9404006749250305,54,8,62,-1.4325458382260084e-17,1.2589240702147118,0.2598014476318513,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,18,32,1.3738078615135643,1.707244299290559,0.805433508462223,0.789012956646937,0.8299595141700404,0.8117647058823529,0.9392712550607287,1.3738078615135643,1.707244299290559,0.25888936850262906,0.15438211525713946,0.5625,0.439516129032258,1.7488893829746277,0.2533170441829472,0.2902924937951618,10,1.3690739644126915,54,8,62,-1.0744093786695063e-17,1.2470066281986227,0.19981552504243388,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,19,32,0.9839287089235089,1.2649441872176779,0.8359410898392913,0.8488555420584859,0.8531746031746033,0.8435972629521017,0.9642857142857143,0.9839287089235089,1.2649441872176779,0.2826310010877474,0.1541563566184826,0.625,0.18548387096774188,1.3051566660738005,0.011661780071276842,0.3188123982550119,13,1.0063830824324675,54,8,62,-3.581364595565021e-17,1.256921177539239,0.1644283143743392,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,20,32,0.7294796955654466,0.9478598299372725,0.9214444798984422,0.9042030648724624,0.8571428571428572,0.8095238095238095,0.935064935064935,0.7294796955654466,0.9478598299372725,0.08430818892154854,0.013566780236166798,0.59375,-0.4495967741935484,0.9188484563256268,-0.207757652237168,0.03659272459445147,1,0.7514209479743512,54,8,62,0.0,1.2614232139096553,0.26909765432919225,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,21,32,0.8872102855896723,1.0476701793842085,0.9493529525902995,0.9426347554865273,0.8947368421052632,0.8745098039215686,0.9959514170040485,0.8872102855896723,1.0476701793842085,-0.10727892177914142,-0.18993492330633516,0.59375,-0.16381048387096775,1.0394869532102124,-0.05899283930738604,0.02460455606712889,2,0.8308070891166809,54,8,62,-3.223228136008519e-17,1.2610270136941262,0.2582134503510691,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,22,32,0.9711277105811449,1.1661944226678105,0.8461887147385587,0.8506510332826054,0.8571428571428572,0.8095238095238095,0.922077922077922,0.9711277105811449,1.1661944226678105,-0.05239069015762471,0.025478874637299736,0.65625,-0.2908266129032258,1.1568399012334067,-0.2074744288210255,0.07524733299087878,2,0.9263053371084645,54,8,62,-2.5069552168955147e-17,1.2589741017060123,0.26653026489000164,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,23,32,0.8412591926506076,1.0465096213016287,0.91411669146833,0.9199975727710384,0.9166666666666667,0.906158357771261,0.9880952380952381,0.8412591926506076,1.0465096213016287,-0.012898025039205122,-0.002200220169935479,0.5,0.21723790322580647,1.0231610268410265,0.027874566709632745,0.09922913814832883,8,0.8298297957867675,54,8,62,-1.4325458382260084e-17,1.2611135890740235,0.21100542201630532,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,24,32,0.7682251609092756,1.0817729766292041,0.8786944506942416,0.825659945023538,0.7909090909090909,0.7408906882591093,0.85,0.7682251609092756,1.0817729766292041,0.1337992230125521,0.26801100358673297,0.71875,-0.544858870967742,1.0480127617606025,-0.43090362882959893,0.42054239515904496,16,0.8592688104265455,54,8,62,-2.5069552168955147e-17,1.2591541986143724,0.14955657810693787,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,25,32,1.286884744651331,1.5687081892994295,0.8281268811770109,0.8611491876153519,0.9166666666666667,0.906158357771261,0.9761904761904762,1.286884744651331,1.5687081892994295,-0.45718740038281885,-0.39703052132655564,0.375,-0.06854838709677422,1.5408977561477415,0.03459797000885627,0.05191439939021497,1,1.252230175586357,54,8,62,-2.5069552168955147e-17,1.2527314955513216,0.31523644419447067,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,26,32,1.2948581676735718,1.5559404039939984,0.8455810262538859,0.8257443477825226,0.875,0.8423645320197044,0.9333333333333333,1.2948581676735718,1.5559404039939984,-0.025643803292393116,-0.094216845781094,0.46875,-0.35433467741935487,1.502704617996618,0.0345118423781294,0.07597566646473398,3,1.242068139380092,54,8,62,-2.865091676452017e-17,1.2527013273027057,0.2553709130133352,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,27,32,0.9548953217469084,1.2860981418941992,0.8615031104946403,0.8586358626917452,0.8452380952380952,0.8423645320197044,0.9603174603174603,0.9548953217469084,1.2860981418941992,0.06424209913019809,0.09824947342152991,0.59375,0.24899193548387094,1.2826189990847694,0.16748551182098098,0.17770338141263137,7,1.0230499069090921,54,8,62,-2.865091676452017e-17,1.2571216104055178,0.20084689809910714,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,28,32,0.9348581166258431,1.2643583290609535,0.8194896144148671,0.8418345606327589,0.85,0.8117647058823529,0.9916666666666667,0.9348581166258431,1.2643583290609535,0.24745013842810362,0.22315946234093542,0.625,-0.0685483870967743,1.2733766266500446,0.14595865527626448,0.48941572238356035,15,1.0053345984900666,54,8,62,-1.4325458382260084e-17,1.2576492641407053,0.16204860097458285,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,29,32,0.6881029036827132,0.9278890008443463,0.9247176416971129,0.9242867691866972,0.96875,0.9687194525904204,1.0,0.6881029036827132,0.9278890008443463,-0.2698376187278397,-0.2498854251607479,0.71875,0.47127016129032256,0.8583382261787255,0.13769187972133168,0.02646383961663977,1,0.7352572451569908,54,8,62,-1.4325458382260084e-17,1.2619923258386632,0.26608592608282644,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,30,32,0.8388446919557906,0.988810187984807,0.937182764454698,0.8739377873970061,0.9372549019607843,0.9372549019607843,0.9921568627450981,0.8388446919557906,0.988810187984807,-0.1962186008794777,-0.13273444447276705,0.5,-0.005040322580645205,0.980497567382806,-0.0637100448534783,0.03108654980632113,3,0.7835413923159013,54,8,62,-1.0744093786695063e-17,1.2619756887814906,0.2514261763182379,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
gaussian_0p10,valence,eeg_oracle_arch_A6_stem_moe,31,32,1.3417733122106572,1.6005450982407836,0.935111131164162,0.8835976206649468,0.9375,0.9372549019607843,0.98046875,1.3417733122106572,1.6005450982407836,0.09288131385242729,0.060500506458581654,0.5625,0.6300403225806451,1.5157854873086032,0.2974245345176579,0.5571137509208134,15,1.279755274593822,54,8,62,-2.5069552168955147e-17,1.2506649669061596,0.1664742820205227,True,A6_stem_moe,Use lightweight MoE-style gate over temporal branches.
