target,k_calibration,model,n,mae,rmse,pearson,spearman,ccc,y_true_mean,y_true_std,y_pred_mean,y_pred_std,residual_mean,residual_std,stimulus_rmse_reference,lift_vs_stimulus_rmse,locked_reference_model,locked_reference_rmse,lift_vs_locked_reference_rmse,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,8,bias_shrink8,3840,1.597284226190476,1.9128075983128217,0.6345886598542542,0.6300937436706923,0.5606373158054769,4.83828125,2.47269319351022,4.824330357142857,1.4876777669620318,0.013950892857142912,1.9127567228353306,2.407846618897486,0.4950390205846642,bias_shrink4,1.8150233627301429,-0.09778423558267879,3,5,-2,0.09881104229967627,0.10159876246919264,0.2723626374816974,-0.013498048691178877
arousal,8,kernel_residual_shrink4,3840,1.612055975056305,1.928202433549236,0.627602032266318,0.626963598829507,0.54637676350174,4.83828125,2.47269319351022,4.825724337593511,1.4428381315780006,0.012556912406490128,1.9281615463171162,2.407846618897486,0.4796441853482498,bias_shrink4,1.8150233627301429,-0.11317907081909317,1,7,-6,0.11205144382049273,0.06293382254161806,0.29172604364618904,-0.004617964217933368
arousal,4,bias_shrink8,4480,1.728390731292517,2.0512368729971633,0.5630850178340514,0.5624253439563208,0.4824230133716809,4.8176339285714285,2.481629240523306,4.8587691326530615,1.4032783452247748,-0.041135204081632626,2.0508243718388814,2.4022271235379105,0.3509902505407472,bias_shrink4,1.9368991091859824,-0.11433776381118088,3,5,-2,0.11233644731904002,0.11391677508581788,0.3439867847936484,-0.03261738219295918
arousal,2,bias_shrink8,4800,1.8377380952380953,2.1785427398579436,0.4791904792371969,0.47996938871267214,0.40315126626494074,4.82625,2.4748355374650655,4.839821428571429,1.3516100132716502,-0.013571428571428564,2.1785004672283836,2.4078951770526618,0.2293524371947182,bias_shrink4,2.0619662780881725,-0.1165764617697711,3,5,-2,0.10922699782226644,0.1053023064192593,0.3281653145444454,-0.0414977204581759
arousal,4,kernel_residual_shrink4,4480,1.7365095707345952,2.0634712619176394,0.5555793394751314,0.5568161129353612,0.4713719754212321,4.8176339285714285,2.481629240523306,4.83649743354115,1.3768842905093335,-0.018863504969721476,2.063385038459917,2.4022271235379105,0.33875586162027105,bias_shrink4,1.9368991091859824,-0.126572152731657,2,6,-4,0.1225987635583303,0.07559838356707171,0.4013488709560673,-0.01182064826711704
arousal,4,affine_residual_ridge1,4480,1.6014192732771684,2.07854425274545,0.6268466716877696,0.6258140548222384,0.625396319897366,4.8176339285714285,2.481629240523306,4.821502410351502,2.3183212418667996,-0.0038684817800726636,2.0785406528306964,2.4022271235379105,0.3236828707924606,bias_shrink4,1.9368991091859824,-0.14164514355946745,3,5,-2,0.09941550356940976,0.1474697913850549,0.5338552666739589,-0.43342888791841383
arousal,1,affine_residual_ridge1,4960,1.8686635944700458,2.3872122011841665,0.5430922841899648,0.537215303271091,0.5430521785718597,4.822983870967742,2.484085630386902,4.807315668202765,2.510075641600275,0.01566820276497695,2.3871607823740466,2.4157487114215117,0.02853651023734516,bias_shrink4,2.231847703988458,-0.15536449719570866,4,4,0,0.13870838334938032,0.14889796319886905,0.8958641059504857,-0.6586408814914342
arousal,1,affine_residual_ridge4,4960,1.8686635944700458,2.3872122011841665,0.5430922841899648,0.537215303271091,0.5430521785718597,4.822983870967742,2.484085630386902,4.807315668202765,2.510075641600275,0.01566820276497695,2.3871607823740466,2.4157487114215117,0.02853651023734516,bias_shrink4,2.231847703988458,-0.15536449719570866,4,4,0,0.13870838334938032,0.14889796319886905,0.8958641059504857,-0.6586408814914342
arousal,1,bias_huber,4960,1.8686635944700458,2.3872122011841665,0.5430922841899648,0.537215303271091,0.5430521785718597,4.822983870967742,2.484085630386902,4.807315668202765,2.510075641600275,0.01566820276497695,2.3871607823740466,2.4157487114215117,0.02853651023734516,bias_shrink4,2.231847703988458,-0.15536449719570866,4,4,0,0.13870838334938032,0.14889796319886905,0.8958641059504857,-0.6586408814914342
arousal,1,bias_mean,4960,1.8686635944700458,2.3872122011841665,0.5430922841899648,0.537215303271091,0.5430521785718597,4.822983870967742,2.484085630386902,4.807315668202765,2.510075641600275,0.01566820276497695,2.3871607823740466,2.4157487114215117,0.02853651023734516,bias_shrink4,2.231847703988458,-0.15536449719570866,4,4,0,0.13870838334938032,0.14889796319886905,0.8958641059504857,-0.6586408814914342
arousal,1,bias_median,4960,1.8686635944700458,2.3872122011841665,0.5430922841899648,0.537215303271091,0.5430521785718597,4.822983870967742,2.484085630386902,4.807315668202765,2.510075641600275,0.01566820276497695,2.3871607823740466,2.4157487114215117,0.02853651023734516,bias_shrink4,2.231847703988458,-0.15536449719570866,4,4,0,0.13870838334938032,0.14889796319886905,0.8958641059504857,-0.6586408814914342
arousal,1,bias_trimmed_mean,4960,1.8686635944700458,2.3872122011841665,0.5430922841899648,0.537215303271091,0.5430521785718597,4.822983870967742,2.484085630386902,4.807315668202765,2.510075641600275,0.01566820276497695,2.3871607823740466,2.4157487114215117,0.02853651023734516,bias_shrink4,2.231847703988458,-0.15536449719570866,4,4,0,0.13870838334938032,0.14889796319886905,0.8958641059504857,-0.6586408814914342
arousal,2,affine_residual_ridge1,4800,1.7245966033529885,2.236924687795567,0.6058296566936563,0.6012466098375352,0.6054561979206348,4.82625,2.4748355374650655,4.847241595581758,2.560727471849666,-0.02099159558175687,2.236826191679681,2.4078951770526618,0.1709704892570949,bias_shrink4,2.0619662780881725,-0.1749584097073944,3,5,-2,0.14291282703752362,0.20204431685338253,0.6601227196815826,-0.5869780863642613
arousal,1,stimulus_only,4960,2.042540322580645,2.4157487114215117,0.3196033827759601,0.3206808116495175,0.26681511665342705,4.822983870967742,2.484085630386902,4.822494239631336,1.3374960761632921,0.0004896313364055332,2.4157486618015227,2.4157487114215117,0.0,bias_shrink4,2.231847703988458,-0.18390100743305382,3,5,-2,0.165777538582075,0.15988455061973927,0.43324001751268915,-0.047416796777750125
arousal,2,stimulus_only,4800,2.036785714285714,2.4078951770526618,0.3200950251589046,0.3197463844052329,0.2681058977473502,4.82625,2.4748355374650655,4.829642857142858,1.3405345447418573,-0.0033928571428571766,2.40789278669003,2.4078951770526618,0.0,bias_shrink4,2.0619662780881725,-0.3459288989644893,1,7,-6,0.3151141172171574,0.3160809082993721,0.8960880360734644,-0.06997189166135342
arousal,4,stimulus_only,4480,2.036383928571428,2.4022271235379105,0.3268901181181959,0.3268935149841581,0.2723057832468806,4.8176339285714285,2.481629240523306,4.829974489795919,1.3309673094937629,-0.012340561224489807,2.402195425774075,2.4022271235379105,0.0,bias_shrink4,1.9368991091859824,-0.46532801435192805,3,5,-2,0.43142653155721844,0.45325249850461935,1.2371357778495744,-0.06668335280680182
arousal,8,stimulus_only,3840,2.0395833333333333,2.407846618897486,0.3183335929489735,0.3187863327362745,0.2664435814305617,4.83828125,2.47269319351022,4.832700892857143,1.3376628886409168,0.005580357142857177,2.4078401524499533,2.407846618897486,0.0,bias_shrink4,1.8150233627301429,-0.592823256167343,2,6,-4,0.5546415845602428,0.6286173775854674,1.4206405387891752,-0.015200749606196107
