epoch,train_loss,train_huber,train_bce,val_rmse_scaled,val_bce,val_objective,stage,test_subject,target,auxiliary,y_fit_mean,y_fit_std,early_stop,y_outer_mean,y_outer_std
2,0.6002720881391455,0.42886309463668754,0.685635965179514,0.9385517546941077,0.676167368888855,1.1075935969163213,inner,2,arousal,residual_sign,-8.22387425648264e-18,1.9455360082914326,,,
3,0.5813798628471516,0.41172099279032814,0.678635483538663,0.9774312789145744,0.6781194806098938,1.1469611490670477,inner,2,arousal,residual_sign,-8.22387425648264e-18,1.9455360082914326,,,
4,0.5630787009442294,0.3981814972228474,0.6595888115741588,0.9578821449896681,0.6867916584014893,1.1295800595900403,inner,2,arousal,residual_sign,-8.22387425648264e-18,1.9455360082914326,,,
5,0.5572456838908019,0.3949176738107646,0.6493120513580464,1.0635465866004996,0.727831244468689,1.2455043977176719,inner,2,arousal,residual_sign,-8.22387425648264e-18,1.9455360082914326,,,
6,0.5159669430167587,0.3614914593873201,0.6179019422442825,1.0379374760072273,0.7281849384307861,1.2199837106149238,inner,2,arousal,residual_sign,-8.22387425648264e-18,1.9455360082914326,,,
7,0.48316872285472023,0.33716891761179324,0.5839992253868668,1.0717234050703277,0.7722175717353821,1.2647777980041732,inner,2,arousal,residual_sign,-8.22387425648264e-18,1.9455360082914326,,,
8,0.43297332856390214,0.2990605097126078,0.5356512621597007,1.1849952774474062,0.8696761131286621,1.4024143057295717,inner,2,arousal,residual_sign,-8.22387425648264e-18,1.9455360082914326,,,
9,0.3921475934761542,0.2691970326834255,0.4918022431709148,1.1032682499976467,0.8281705379486084,1.3103108844847988,inner,2,arousal,residual_sign,-8.22387425648264e-18,1.9455360082914326,,,
10,0.36431499708581855,0.2502903367082278,0.45609864592552185,1.1260602127155956,0.8954424262046814,1.349920819266766,inner,2,arousal,residual_sign,-8.22387425648264e-18,1.9455360082914326,True,,
1,0.615563022994226,0.4423668682575226,0.6927846141399876,,,,final,2,arousal,residual_sign,,,,-7.162729191130042e-18,1.9288502402018097
2,0.601772726543488,0.42942747665989783,0.6893809985729956,,,,final,2,arousal,residual_sign,,,,-7.162729191130042e-18,1.9288502402018097
1,0.615804272669333,0.4414093284695237,0.6975797657613401,1.1373098414823688,0.6765602827072144,1.3064499121591724,inner,3,arousal,residual_sign,-1.644774851296528e-17,1.9206108390342953,,,
2,0.5984108552888587,0.42665635270101054,0.6870179926907575,1.1085036915078093,0.6827216148376465,1.2791840952172209,inner,3,arousal,residual_sign,-1.644774851296528e-17,1.9206108390342953,,,
3,0.5920765118466483,0.4221193183351446,0.6798287707346456,1.1165732478542176,0.6941229104995728,1.2901039754791108,inner,3,arousal,residual_sign,-1.644774851296528e-17,1.9206108390342953,,,
4,0.5705678137364211,0.4022025482522117,0.6734610453799919,1.1350035766744921,0.6973950862884521,1.3093523482466052,inner,3,arousal,residual_sign,-1.644774851296528e-17,1.9206108390342953,,,
5,0.5627808311471233,0.3980870768427849,0.658775019424933,1.1250941035846997,0.690130352973938,1.2976266918281842,inner,3,arousal,residual_sign,-1.644774851296528e-17,1.9206108390342953,,,
6,0.5270812218939817,0.3686277929831434,0.633813718954722,1.1431468539189316,0.7121921181678772,1.3211948834609009,inner,3,arousal,residual_sign,-1.644774851296528e-17,1.9206108390342953,,,
7,0.5037107329677653,0.3517126101586554,0.6079924779909628,1.247516352861627,0.816184401512146,1.4515624532396636,inner,3,arousal,residual_sign,-1.644774851296528e-17,1.9206108390342953,,,
8,0.45843441508434435,0.31684490900348733,0.5663580331537459,1.157936984150955,0.7298871874809265,1.3404087810211867,inner,3,arousal,residual_sign,-1.644774851296528e-17,1.9206108390342953,,,
9,0.4287266091064171,0.294972431604509,0.5350167138708962,1.1780940611138355,0.7759547829627991,1.3720827568545353,inner,3,arousal,residual_sign,-1.644774851296528e-17,1.9206108390342953,,,
10,0.4005030079020394,0.27276386734512115,0.5109565655390421,1.2345101296639769,0.8328448534011841,1.442721343014273,inner,3,arousal,residual_sign,-1.644774851296528e-17,1.9206108390342953,True,,
1,0.6174979546377736,0.4430205817184141,0.6979094686046723,,,,final,3,arousal,residual_sign,,,,2.865091676452017e-17,1.9459122563827091
2,0.6036034793623032,0.4291398179146551,0.697854648674688,,,,final,3,arousal,residual_sign,,,,2.865091676452017e-17,1.9459122563827091
1,0.614167997682536,0.4393591207486612,0.6992355154620277,1.1852117458129077,0.7150473594665527,1.3639735856795459,inner,5,arousal,residual_sign,1.644774851296528e-17,1.9108781081428043,,,
2,0.5945254310413643,0.42225069856202163,0.689098925502212,1.1664877263378524,0.7022270560264587,1.342044490344467,inner,5,arousal,residual_sign,1.644774851296528e-17,1.9108781081428043,,,
3,0.5802707898396032,0.4105141284289183,0.6790266588882163,1.1537280965466477,0.6987450122833252,1.328414349617479,inner,5,arousal,residual_sign,1.644774851296528e-17,1.9108781081428043,,,
4,0.5557340775375013,0.39197217562684306,0.6550476164729507,1.1926078578007113,0.7250929474830627,1.373881094671477,inner,5,arousal,residual_sign,1.644774851296528e-17,1.9108781081428043,,,
5,0.5275576898345241,0.3689715972653142,0.6343443691730499,1.2525308516747686,0.7689176797866821,1.4447602716214392,inner,5,arousal,residual_sign,1.644774851296528e-17,1.9108781081428043,,,
6,0.5018158085920192,0.3490698779070819,0.6109837172208009,1.3159948255680791,0.8134661316871643,1.5193613584898702,inner,5,arousal,residual_sign,1.644774851296528e-17,1.9108781081428043,,,
7,0.45479050609800553,0.312922193772263,0.567473253718129,1.2725409178896683,0.7931467890739441,1.4708276151581543,inner,5,arousal,residual_sign,1.644774851296528e-17,1.9108781081428043,,,
8,0.39685042257662173,0.2703854124303217,0.5058600450003589,1.3676280272298562,0.9118990302085876,1.5956027847820031,inner,5,arousal,residual_sign,1.644774851296528e-17,1.9108781081428043,,,
9,0.3557023149397638,0.24450373732381397,0.44479431046379936,1.372004646404575,0.9335656762123108,1.6053960654576527,inner,5,arousal,residual_sign,1.644774851296528e-17,1.9108781081428043,,,
10,0.310773149408676,0.21218465268611908,0.39435397971559455,1.4183923237211389,1.0569926500320435,1.6826404862291497,inner,5,arousal,residual_sign,1.644774851296528e-17,1.9108781081428043,,,
11,0.282744349428901,0.19172231508073984,0.3640881390483291,1.4513017488022688,1.1134967803955078,1.7296759439011458,inner,5,arousal,residual_sign,1.644774851296528e-17,1.9108781081428043,True,,
