augmentation_config,target,subset,model,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_true_dev_std,lift_vs_stimulus_pred_dev_std
gaussian_0p05_shift16,arousal,top25_train_entropy,eeg_bc_residual_huber_norm_augmented_smoke,48,1.8801853033021843,2.0675207314389823,0.22697428590366572,0.20644207562694514,0.5740740740740741,0.5613275613275613,0.4708994708994709,1.8801853033021843,2.0675207314389823,-0.3851851660192679,-0.41167531389601547,0.3125,0.2086693548387096,1.9477974295798677,0.01996738785751782,0.2537357297575564,-0.09490304523766824,-0.10857771891239443,-0.13184803078838606,-0.06492730081181516,-0.04761904761904756,-0.056471033520213765,-0.06966490299823641,-0.09490304523766824,-0.10857771891239443,,,0.3125,0.0,0.2537357297575564
gaussian_0p05_shift16,arousal,top25_train_entropy,stimulus_only,48,1.785282258064516,1.9589430125265879,0.3588223166920518,0.2713693764387603,0.6216931216931216,0.6177985948477751,0.5405643738977073,1.785282258064516,1.9589430125265879,,,0.0,0.2086693548387096,1.9477974295798677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
gaussian_0p05_shift16,arousal,top25_train_score_std,eeg_bc_residual_huber_norm_augmented_smoke,48,2.097463221909567,2.5333321139368272,0.20332083640486023,0.16969394005092717,0.5793650793650793,0.5728337236533958,0.5855379188712522,2.097463221909567,2.5333321139368272,-0.25554688325840014,-0.267864925360954,0.4166666666666667,0.6875,2.375543334257332,0.03151024916424292,0.23719320754014145,-0.030258920834298486,-0.06030514624431049,-0.060476447853257426,0.00030973816461637993,-0.03703703703703709,-0.03466988385021175,-0.022927689594356315,-0.030258920834298486,-0.06030514624431049,,,0.4166666666666667,0.0,0.23719320754014145
gaussian_0p05_shift16,arousal,top25_train_score_std,stimulus_only,48,2.0672043010752685,2.4730269676925167,0.26379728425811766,0.1693842018863108,0.6164021164021164,0.6075036075036075,0.6084656084656085,2.0672043010752685,2.4730269676925167,,,0.0,0.6875,2.375543334257332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
gaussian_0p10,arousal,top25_train_entropy,eeg_bc_residual_huber_norm_augmented_smoke,48,1.6508950773848252,1.8234934863649583,0.5114271688208236,0.5276353449841437,0.5978835978835979,0.5901328273244781,0.7142857142857143,1.6508950773848252,1.8234934863649583,0.6790837471352669,0.6330709417490763,0.7916666666666666,0.2086693548387096,1.9477974295798677,-0.05549883046091231,0.22225829716281656,0.1343871806796908,0.13544952616162953,0.15260485212877184,0.25626596854538336,-0.023809523809523725,-0.02766576752329697,0.17372134038800702,0.1343871806796908,0.13544952616162953,,,0.7916666666666666,0.0,0.22225829716281656
gaussian_0p10,arousal,top25_train_entropy,stimulus_only,48,1.785282258064516,1.9589430125265879,0.3588223166920518,0.2713693764387603,0.6216931216931216,0.6177985948477751,0.5405643738977073,1.785282258064516,1.9589430125265879,,,0.0,0.2086693548387096,1.9477974295798677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
gaussian_0p10,arousal,top25_train_score_std,eeg_bc_residual_huber_norm_augmented_smoke,48,1.981750125997621,2.408285116082753,0.34596947061650557,0.33445969210424753,0.5978835978835979,0.5901328273244781,0.7248677248677249,1.981750125997621,2.4082851160827534,0.39289511555331846,0.3803757960984154,0.6875,0.6875,2.375543334257332,-0.05273572845946555,0.2406601407241035,0.08545417507764763,0.06474185160976376,0.08217218635838791,0.16507549021793674,-0.01851851851851849,-0.017370780179129408,0.1164021164021164,0.08545417507764763,0.06474185160976331,,,0.6875,0.0,0.2406601407241035
gaussian_0p10,arousal,top25_train_score_std,stimulus_only,48,2.0672043010752685,2.4730269676925167,0.26379728425811766,0.1693842018863108,0.6164021164021164,0.6075036075036075,0.6084656084656085,2.0672043010752685,2.4730269676925167,,,0.0,0.6875,2.375543334257332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
none,arousal,top25_train_entropy,eeg_bc_residual_huber_norm_augmented_smoke,48,1.849288712764272,2.0476183860550607,0.29381407337499266,0.2853644793723568,0.6216931216931216,0.6177985948477751,0.5326278659611993,1.849288712764272,2.0476183860550607,-0.1750573195889762,-0.2697801028143259,0.4583333333333333,0.2086693548387096,1.9477974295798677,-0.19163130056541822,0.2547169961564687,-0.06400645469975608,-0.08867537352847288,-0.06500824331705912,0.013995102933596515,0.0,0.0,-0.00793650793650802,-0.06400645469975608,-0.08867537352847288,,,0.4583333333333333,0.0,0.2547169961564687
none,arousal,top25_train_entropy,stimulus_only,48,1.785282258064516,1.9589430125265879,0.3588223166920518,0.2713693764387603,0.6216931216931216,0.6177985948477751,0.5405643738977073,1.785282258064516,1.9589430125265879,,,0.0,0.2086693548387096,1.9477974295798677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
none,arousal,top25_train_score_std,eeg_bc_residual_huber_norm_augmented_smoke,48,2.0580860396291722,2.4775219348627604,0.31204309445497785,0.27981156297522997,0.6164021164021164,0.6075036075036075,0.6613756613756614,2.0580860396291722,2.4775219348627604,0.2438996947895912,0.08997611622199489,0.5208333333333334,0.6875,2.375543334257332,-0.1695453023122786,0.26942671086351844,0.009118261446096287,-0.004494967170243669,0.048245810196860195,0.11042736108891918,0.0,0.0,0.05291005291005291,0.009118261446096287,-0.004494967170243669,,,0.5208333333333334,0.0,0.26942671086351844
none,arousal,top25_train_score_std,stimulus_only,48,2.0672043010752685,2.4730269676925167,0.26379728425811766,0.1693842018863108,0.6164021164021164,0.6075036075036075,0.6084656084656085,2.0672043010752685,2.4730269676925167,,,0.0,0.6875,2.375543334257332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
