augmentation_config,target,model,test_subject,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,best_epoch,best_val_rmse_scaled,fit_subjects,val_subjects,outer_train_subjects,y_outer_mean,y_outer_std,final_train_last_loss
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,32,32,1.1675863110082636,1.3451789069057465,0.745808017150811,0.7120010279745493,0.8545454545454545,0.8545454545454545,0.9545454545454546,1.1675863110082636,1.3451789069057465,-0.012868531002258248,-0.08413527668000417,0.46875,0.13155241935483866,1.2823728733282098,0.18667352631563078,0.38631295482231237,2,0.8677422043380892,54,8,62,-2.5069552168955147e-17,1.95336871967688,0.4272161856774361
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,33,32,1.4085788589867092,1.5560866346631583,0.5703058144068776,0.5747561691453293,0.7678571428571428,0.6621417797888387,0.8214285714285714,1.4085788589867092,1.5560866346631583,0.19278673433824253,0.15782238174615162,0.625,-0.7258064516129032,1.5470529366384678,-0.40609228652187257,0.4197811422491952,4,1.1195678345960756,54,8,62,1.4325458382260084e-17,1.9480797676103658,0.3998716824477719
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,34,32,1.22940120815512,1.418120348159529,0.8565615288220045,0.8654292634137675,0.8236714975845411,0.8128654970760234,0.9130434782608695,1.22940120815512,1.418120348159529,-0.010574016601580671,-0.007332050255338054,0.4375,-0.4717741935483871,1.287200102975002,0.0854698271650839,0.19578247246216898,2,1.036729028147739,54,8,62,-7.162729191130042e-18,1.9524548870584406,0.4280530358514478
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,35,32,1.2331876144067004,1.5515586446228775,0.5440813592535454,0.5420839627687153,0.8019323671497585,0.7818181818181817,0.8695652173913043,1.2331876144067002,1.5515586446228775,-0.3172131097548746,-0.27715149965177843,0.53125,0.29032258064516125,1.5253824941246354,0.36166088175710764,0.07253210807929945,1,0.9598606093546159,54,8,62,2.865091676452017e-17,1.9502211852312836,0.4408894162024221
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,36,32,1.4350887133551247,1.7085582613298138,0.8280217708223584,0.8436974873288198,0.819838056680162,0.8303287380699894,0.9149797570850202,1.4350887133551247,1.7085582613298138,0.06486290552064762,0.063049853372434,0.4375,0.576108870967742,1.5074025758264082,-0.2298683179385369,0.18065655165277103,1,0.8853687339722225,54,8,62,7.162729191130042e-18,1.9494092745631315,0.4416279557251161
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,37,32,1.2714281715849622,1.5729953848607852,0.5110003110899549,0.5579229398354184,0.759090909090909,0.751937984496124,0.8363636363636363,1.2714281715849622,1.5729953848607852,0.271294049119685,0.2527724325527794,0.5625,0.4490927419354839,1.513886625498777,-0.0752104847945977,0.1345756584456097,1,0.8406559849420292,54,8,62,-7.162729191130042e-18,1.9498744955098317,0.4406225263111053
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,38,32,1.2959728534584973,1.5401822662597522,0.6762950002991576,0.6930018626756241,0.8666666666666667,0.8666666666666667,0.9375,1.2959728534584973,1.5401822662597522,0.03571712472003603,-0.005498533724340175,0.375,0.19506048387096772,1.3855566244123854,0.04849837209150803,0.7077911240900931,5,0.9181585582513215,54,8,62,7.162729191130042e-18,1.9521258025940473,0.3911397812827941
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,39,32,1.7400433460013387,2.0079003000226785,0.7826184965563692,0.6268077167863094,0.9009661835748792,0.887719298245614,0.9227053140096618,1.7400433460013387,2.0079003000226785,0.08207074492787707,0.06837136863102734,0.5,-0.47177419354838707,1.9867742000953235,-0.19078573270700697,0.34201036033686,3,1.1149947096638582,54,8,62,0.0,1.9428131607785057,0.40883245415264563
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,40,32,2.5946356646186866,3.058590524473479,0.4514578187081244,0.4908453285419722,0.6686274509803922,0.6476476476476476,0.7294117647058823,2.5946356646186866,3.058590524473479,-0.13117430056979976,-0.029692082111436948,0.34375,1.0841733870967742,2.710396573079377,-0.2748707300044799,0.18124322579171614,1,0.8480274061242169,54,8,62,1.4325458382260084e-17,1.9243603592519112,0.4486206414238099
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,41,32,2.013011646907574,2.4932913617112757,0.45765021901370445,0.48114836331193617,0.6875,0.4074074074074074,,2.013011646907574,2.4932913617112757,0.09310907368661363,0.10283200483111622,0.5,-1.9642137096774193,1.4959771670373037,0.02526568118001083,0.33910727170029914,1,0.841261475024036,54,8,62,1.4325458382260084e-17,1.9346671668514144,0.4378679947506997
