method,subject_id,n_high,zero_rmse_high,model_rmse_high,improvement_zero_minus_model,pearson_high,sign_acc_high
neural_gaussian_0p10_anchor,15,5,3.0078115463256836,2.9865212440490723,0.021290302276611328,0.8035875122186893,0.6
neural_gaussian_0p10_anchor,16,4,2.8096132278442383,2.5861639976501465,0.2234492301940918,0.5642308414266922,0.5
neural_gaussian_0p10_anchor,17,5,2.6369760036468506,2.6906938552856445,-0.053717851638793945,-0.3005589738433349,0.2
neural_gaussian_0p10_anchor,18,11,3.2918927669525146,3.3307790756225586,-0.038886308670043945,0.039200153333173636,0.7272727272727273
neural_gaussian_0p10_anchor,19,9,3.100794553756714,3.1012346744537354,-0.0004401206970214844,0.1381381431831214,0.4444444444444444
neural_gaussian_0p10_anchor,20,6,3.020524740219116,3.0559229850769043,-0.035398244857788086,-0.24577197591019195,0.16666666666666666
neural_gaussian_0p10_anchor,21,4,3.2019684314727783,3.181300640106201,0.02066779136657715,0.47544394476208773,0.75
neural_gaussian_0p10_anchor,22,12,3.096914052963257,3.2027530670166016,-0.10583901405334473,-0.15299329738128437,0.4166666666666667
neural_gaussian_0p10_anchor,23,4,2.667149066925049,2.6399059295654297,0.02724313735961914,-0.5832604675815116,1.0
neural_gaussian_0p10_anchor,24,4,2.2926783561706543,2.2813756465911865,0.011302709579467773,0.4538251545627795,0.5
neural_gaussian_0p10_anchor,25,9,3.568758726119995,3.5966856479644775,-0.027926921844482422,-0.6652054182732798,0.3333333333333333
neural_gaussian_0p10_anchor,26,11,2.9441277980804443,2.86449933052063,0.07962846755981445,0.21427818094429188,0.9090909090909091
neural_gaussian_0p10_anchor,27,5,2.98258900642395,2.9369187355041504,0.045670270919799805,0.7758088320026669,0.4
neural_gaussian_0p10_anchor,28,9,2.782724142074585,2.8589046001434326,-0.07618045806884766,0.0056896857869046325,0.0
neural_gaussian_0p10_anchor,29,6,2.585923671722412,2.6027121543884277,-0.016788482666015625,-0.5318446822409918,0.5
neural_gaussian_0p10_anchor,30,1,2.4677419662475586,1.7928801774978638,0.6748617887496948,,1.0
neural_gaussian_0p10_anchor,31,12,3.388498306274414,3.3961870670318604,-0.007688760757446289,-0.009680835593689955,0.5
neural_gaussian_0p10_anchor,32,3,2.362816095352173,2.242068290710449,0.12074780464172363,0.7636921527247584,0.6666666666666666
neural_gaussian_0p10_anchor,33,5,2.9890973567962646,2.8569092750549316,0.132188081741333,0.2690032120544552,1.0
neural_gaussian_0p10_anchor,34,3,2.303046464920044,2.3021209239959717,0.0009255409240722656,-0.9008782344291282,0.6666666666666666
neural_gaussian_0p10_anchor,35,5,3.0611186027526855,3.1083405017852783,-0.04722189903259277,-0.6456975354947797,0.2
neural_gaussian_0p10_anchor,36,4,2.851351022720337,2.599546432495117,0.2518045902252197,0.4771994385736512,1.0
neural_gaussian_0p10_anchor,37,4,3.1441476345062256,3.1382980346679688,0.005849599838256836,-0.2594612687719482,0.5
neural_gaussian_0p10_anchor,38,5,2.6995394229888916,2.7355730533599854,-0.03603363037109375,0.6590127126463473,0.4
neural_gaussian_0p10_anchor,39,9,3.131054639816284,3.129394292831421,0.0016603469848632812,-0.2795175231997489,0.5555555555555556
neural_gaussian_0p10_anchor,40,16,3.8766403198242188,4.5914716720581055,-0.7148313522338867,-0.19032279753952125,0.375
neural_gaussian_0p10_anchor,41,13,3.610983371734619,3.6071927547454834,0.003790616989135742,-0.1654734576863033,0.5384615384615384
neural_gaussian_0p10_anchor,42,14,3.6852455139160156,4.400484561920166,-0.7152390480041504,-0.20312266933268847,0.0
neural_gaussian_0p10_anchor,43,8,2.778691053390503,2.788763999938965,-0.010072946548461914,-0.3155176414238349,0.375
neural_gaussian_0p10_anchor,44,12,3.6659412384033203,3.5705976486206055,0.09534358978271484,0.3895931203697974,0.5833333333333334
neural_gaussian_0p10_anchor,45,5,3.072434663772583,3.0436315536499023,0.028803110122680664,-0.034401178085176315,0.4
neural_gaussian_0p10_anchor,46,9,3.3049607276916504,3.2673540115356445,0.03760671615600586,0.2927990387472059,0.4444444444444444
neural_gaussian_0p10_anchor,47,13,3.5239317417144775,3.5318918228149414,-0.007960081100463867,-0.44096778811664433,0.3076923076923077
neural_gaussian_0p10_anchor,48,3,2.765960454940796,2.823085069656372,-0.05712461471557617,0.8591088567729653,0.3333333333333333
neural_gaussian_0p10_anchor,49,12,3.4402544498443604,3.309112548828125,0.13114190101623535,-0.15836008723905382,0.75
neural_gaussian_0p10_anchor,50,3,2.508155345916748,2.4554455280303955,0.05270981788635254,0.9287963555957564,0.6666666666666666
neural_gaussian_0p10_anchor,52,8,3.337033987045288,3.339360237121582,-0.0023262500762939453,0.16818994328367617,0.5
neural_gaussian_0p10_anchor,53,1,2.387096881866455,2.7534279823303223,-0.3663311004638672,,0.0
neural_gaussian_0p10_anchor,54,7,2.6681032180786133,2.796414852142334,-0.1283116340637207,0.31070607221983043,0.14285714285714285
neural_gaussian_0p10_anchor,55,16,3.0956716537475586,2.6268649101257324,0.46880674362182617,0.028389350695552134,0.8125
neural_gaussian_0p10_anchor,56,3,2.4800453186035156,2.5738534927368164,-0.09380817413330078,0.9969404113148818,0.0
neural_gaussian_0p10_anchor,57,9,3.447972059249878,3.452603340148926,-0.0046312808990478516,-0.41937545496761536,0.4444444444444444
neural_gaussian_0p10_anchor,58,5,2.9292471408843994,2.7554850578308105,0.17376208305358887,-0.5866715439995958,1.0
neural_gaussian_0p10_anchor,59,9,3.506077289581299,3.6011459827423096,-0.09506869316101074,0.06393303416245057,0.0
neural_gaussian_0p10_anchor,60,12,3.4430103302001953,3.5190231800079346,-0.07601284980773926,-0.11882031031153714,0.4166666666666667
neural_gaussian_0p10_anchor,61,6,3.0737340450286865,3.032158613204956,0.04157543182373047,-0.2745951781291012,0.8333333333333334
neural_gaussian_0p10_anchor,62,8,3.4774105548858643,3.456235647201538,0.021174907684326172,0.1925351023294072,0.75
neural_gaussian_0p10_anchor,63,11,3.228668212890625,3.2239251136779785,0.004743099212646484,0.16150564111704757,0.5454545454545454
neural_gaussian_0p10_anchor,64,2,3.7519679069519043,3.743725061416626,0.00824284553527832,,0.5
neural_gaussian_0p10_anchor,65,10,2.7879767417907715,2.7071943283081055,0.08078241348266602,-0.254205853551211,0.6
