target,feature_block,test_subject,selected_alpha,inner_val_dev_rmse,train_n,test_n
valence,emg_expanded_812,7,1000.0,1.4653978377973857,1984,32
valence,emg_expanded_812,8,1000.0,1.2533620505495346,1984,32
valence,emg_expanded_812,9,1000.0,1.3228542325717383,1984,32
valence,emg_expanded_812,10,1000.0,1.2928936023208963,1984,32
valence,emg_expanded_812,11,1000.0,1.255099754546252,1984,32
valence,emg_expanded_812,12,1000.0,1.2786176278709909,1984,32
valence,emg_expanded_812,13,1000.0,91119.75588014197,1984,32
valence,emg_expanded_812,14,1000.0,1.2942239367540913,1984,32
valence,emg_expanded_812,15,1000.0,1.1590753227516573,1984,32
valence,emg_expanded_812,16,1000.0,1.3676914158527698,1984,32
valence,emg_expanded_812,17,1000.0,1.2818089152350554,1984,32
valence,emg_expanded_812,18,1000.0,1.3077060033355665,1984,32
valence,emg_expanded_812,19,1000.0,287476.6485561451,1984,32
valence,emg_expanded_812,20,1000.0,13438.35778531559,1984,32
valence,emg_expanded_812,21,1000.0,1267.4524078654376,1984,32
valence,emg_expanded_812,22,1000.0,1.503090565069422,1984,32
valence,emg_expanded_812,23,1000.0,1.2007612573584552,1984,32
valence,emg_expanded_812,24,1000.0,1.3255879562141462,1984,32
valence,emg_expanded_812,25,1000.0,1.4301936268301527,1984,32
valence,emg_expanded_812,26,1000.0,1.1513914058232844,1984,32
valence,emg_expanded_812,27,1000.0,9412.126280872177,1984,32
valence,emg_expanded_812,28,1000.0,1.4739450745130767,1984,32
valence,emg_expanded_812,29,1000.0,1.2131438056764938,1984,32
valence,emg_expanded_812,30,1000.0,1.2409988497820499,1984,32
valence,emg_expanded_812,31,1000.0,280626.98978488223,1984,32
valence,emg_expanded_812,32,1000.0,1.4200006586290275,1984,32
valence,emg_expanded_812,33,1000.0,1.4123609430173696,1984,32
valence,emg_expanded_812,34,1000.0,1.4534687960287818,1984,32
valence,emg_expanded_812,35,1000.0,1.37915350997559,1984,32
valence,emg_expanded_812,36,1000.0,70745.86057096595,1984,32
valence,emg_expanded_812,37,1000.0,1.1186290685060782,1984,32
valence,emg_expanded_812,38,1000.0,225152.4401273743,1984,32
valence,emg_expanded_812,39,1000.0,87496.98586919883,1984,32
valence,emg_expanded_812,40,1000.0,1.2842424092457718,1984,32
valence,emg_expanded_812,41,1000.0,1.3028925283678452,1984,32
valence,emg_expanded_812,42,1000.0,1506.2824365755075,1984,32
valence,emg_expanded_812,43,1000.0,258676.97418547104,1984,32
valence,emg_expanded_812,44,1000.0,1.2147063805317944,1984,32
valence,emg_expanded_812,45,1000.0,1.1958097285993543,1984,32
valence,emg_expanded_812,46,1000.0,221165.55714119785,1984,32
valence,emg_expanded_812,47,1000.0,128405.7595643702,1984,32
valence,emg_expanded_812,48,1000.0,1.1472550843520293,1984,32
valence,emg_expanded_812,49,1000.0,1.0957536214697488,1984,32
valence,emg_expanded_812,50,1000.0,1.152224309511575,1984,32
valence,emg_expanded_812,52,1000.0,1.3320276449131767,1984,32
valence,emg_expanded_812,53,1000.0,1.3659153284948549,1984,32
valence,emg_expanded_812,54,1000.0,1.419793491638501,1984,32
valence,emg_expanded_812,55,1000.0,1.2309361501558411,1984,32
valence,emg_expanded_812,56,1000.0,1.231712962815101,1984,32
valence,emg_expanded_812,57,1000.0,1.287021483557203,1984,32
valence,emg_expanded_812,58,1000.0,1.2435653052055133,1984,32
valence,emg_expanded_812,59,1000.0,1.3835810675605,1984,32
valence,emg_expanded_812,60,1000.0,1.3830483409832843,1984,32
valence,emg_expanded_812,61,1000.0,409.26747286865816,1984,32
valence,emg_expanded_812,62,1000.0,1.3006509699075801,1984,32
valence,emg_expanded_812,63,1000.0,1.4573397357626248,1984,32
valence,emg_expanded_812,64,1000.0,219708.0683993269,1984,32
valence,emg_expanded_812,65,1000.0,1.1582211487417728,1984,32
arousal,emg_expanded_812,1,1000.0,2.200726191531575,1984,32
arousal,emg_expanded_812,2,1000.0,1.9134572327144028,1984,32
arousal,emg_expanded_812,3,1000.0,525445.9903111096,1984,32
arousal,emg_expanded_812,5,1000.0,1.5279693302947626,1984,32
arousal,emg_expanded_812,6,1000.0,2.020638928501066,1984,32
arousal,emg_expanded_812,7,1000.0,2.0890517814554515,1984,32
arousal,emg_expanded_812,8,100.0,2.014082556086359,1984,32
arousal,emg_expanded_812,9,1000.0,1.9891677850226008,1984,32
arousal,emg_expanded_812,10,1000.0,2.1113116591028884,1984,32
arousal,emg_expanded_812,11,1000.0,2.212704033091651,1984,32
arousal,emg_expanded_812,12,100.0,1.7152716465656948,1984,32
arousal,emg_expanded_812,13,1000.0,215804.40974880866,1984,32
arousal,emg_expanded_812,14,1000.0,1.8123575137892347,1984,32
arousal,emg_expanded_812,15,1000.0,1.612303590815842,1984,32
arousal,emg_expanded_812,16,1000.0,2.0168746074762334,1984,32
arousal,emg_expanded_812,17,100.0,2.1568181371561117,1984,32
arousal,emg_expanded_812,18,1000.0,1.8684162340467076,1984,32
arousal,emg_expanded_812,19,1000.0,324263.4044829788,1984,32
arousal,emg_expanded_812,20,1000.0,220766.078514334,1984,32
arousal,emg_expanded_812,21,100.0,1190.8990098596664,1984,32
arousal,emg_expanded_812,22,1000.0,2.0470847965856644,1984,32
arousal,emg_expanded_812,23,1000.0,2.0493839071859608,1984,32
arousal,emg_expanded_812,24,1000.0,1.9379877847372355,1984,32
arousal,emg_expanded_812,25,1000.0,1.8250688127078492,1984,32
arousal,emg_expanded_812,26,1000.0,1.9730375577446955,1984,32
arousal,emg_expanded_812,27,10.0,4378.318378491258,1984,32
arousal,emg_expanded_812,28,1000.0,2.2810936277077922,1984,32
arousal,emg_expanded_812,29,1000.0,2.0325812348669783,1984,32
arousal,emg_expanded_812,30,1000.0,2.303270786092384,1984,32
arousal,emg_expanded_812,31,1000.0,565069.7254236873,1984,32
arousal,emg_expanded_812,32,1000.0,2.1197850094319195,1984,32
arousal,emg_expanded_812,33,1000.0,2.0062105685933327,1984,32
arousal,emg_expanded_812,34,1000.0,2.3895901041473797,1984,32
arousal,emg_expanded_812,35,1000.0,2.1485844289047824,1984,32
arousal,emg_expanded_812,36,1000.0,955912.834313531,1984,32
arousal,emg_expanded_812,37,1000.0,2.0236237084489974,1984,32
arousal,emg_expanded_812,38,1000.0,170791.97159972478,1984,32
arousal,emg_expanded_812,39,1000.0,167219.31978963758,1984,32
arousal,emg_expanded_812,40,1000.0,1.7180728416496622,1984,32
arousal,emg_expanded_812,41,1000.0,2.1429084529620512,1984,32
arousal,emg_expanded_812,42,1000.0,2995.875812266235,1984,32
arousal,emg_expanded_812,43,1000.0,166989.67473527737,1984,32
arousal,emg_expanded_812,44,1000.0,2.123010450438124,1984,32
arousal,emg_expanded_812,45,1000.0,1.8445190928502662,1984,32
arousal,emg_expanded_812,46,1000.0,374271.44402493857,1984,32
arousal,emg_expanded_812,47,1000.0,714976.6886219358,1984,32
arousal,emg_expanded_812,48,1000.0,1.826645690597865,1984,32
arousal,emg_expanded_812,49,1000.0,1.7154609705854822,1984,32
arousal,emg_expanded_812,50,100.0,1.8693365781370108,1984,32
arousal,emg_expanded_812,52,1000.0,2.0342782246074385,1984,32
arousal,emg_expanded_812,53,100.0,2.1307654309035406,1984,32
arousal,emg_expanded_812,54,1000.0,2.1723446612132853,1984,32
arousal,emg_expanded_812,55,1000.0,1.8946304321882956,1984,32
arousal,emg_expanded_812,56,100.0,1.9250301869383046,1984,32
arousal,emg_expanded_812,57,1000.0,1.8753060382155085,1984,32
arousal,emg_expanded_812,58,1000.0,1.8619311304787864,1984,32
arousal,emg_expanded_812,59,1000.0,2.2555230459370192,1984,32
arousal,emg_expanded_812,60,1000.0,2.044694193252346,1984,32
arousal,emg_expanded_812,61,1000.0,1549.7852869599135,1984,32
arousal,emg_expanded_812,62,1000.0,2.059236828754475,1984,32
arousal,emg_expanded_812,63,1000.0,2.113670680885903,1984,32
