seed,test_subject,train_rows,val_rows,test_rows,high_threshold,threshold_source,best_epoch,best_monitor,test_high_n,test_all_model_rmse,test_high_zero_rmse,test_high_model_rmse,test_high_lift_vs_zero,test_high_pearson
11,29,1728,256,32,2.2096774193548385,05ajb_confirmatory,1,3.3115634335835225,6,1.7374996245499899,2.5657784618086374,2.7255918244110364,-0.15981336260239898,0.2155547370773817
11,30,1728,256,32,2.2096774193548385,05ajb_confirmatory,5,2.3160717788938854,1,1.1414568996661032,2.4814815521240234,1.8795752757013933,0.6019062764226302,
11,31,1728,256,32,2.2096774193548385,05ajb_confirmatory,1,2.971871747428754,13,2.1947175319226306,3.3361257531462396,2.943065926262807,0.39305982688343244,-0.386057265198448
11,32,1728,256,32,2.2096774193548385,05ajb_confirmatory,2,3.289604857235172,2,1.539568695506586,2.531827505476735,1.0072297990666743,1.5245977064100606,
11,33,1728,256,32,2.2096774193548385,05ajb_confirmatory,9,2.9853610396916332,4,1.8330777019293818,3.07943803920378,1.6389001640650944,1.4405378751386855,-0.014489161200130248
11,34,1728,256,32,2.2096774193548385,05ajb_confirmatory,1,2.9940964535209944,2,1.4476453600598087,2.2969683034293227,2.419675017421196,-0.12270671399187316,
11,35,1728,256,32,2.2096774193548385,05ajb_confirmatory,3,2.3294518392526284,4,2.0055724461823794,3.276391216528876,2.8996034745191714,0.37678774200970455,-0.6166339929210805
11,36,1728,256,32,2.2096774193548385,05ajb_confirmatory,1,3.306570640206482,5,1.542437094150892,2.751505320012186,2.450474900605976,0.3010304194062101,0.30211745927556005
11,37,1728,256,32,2.2096774193548385,05ajb_confirmatory,5,2.901965520884342,5,1.9850517009959612,2.9983877503008762,2.5043133046495107,0.4940744456513655,0.5497357335346175
11,38,1728,256,32,2.2096774193548385,05ajb_confirmatory,3,3.1854059866977904,5,1.6590205772584337,2.730385853143907,2.515194420279182,0.2151914328647253,0.5756723878452568
11,39,1728,256,32,2.2096774193548385,05ajb_confirmatory,2,3.486776199061371,8,2.050497664458609,3.1870283753912205,3.0103411146144707,0.1766872607767498,0.21299323803008205
11,40,1728,256,32,2.2096774193548385,05ajb_confirmatory,3,3.0852706087772326,17,3.4424545219195934,3.777970004603904,4.38448782009939,-0.606517815495486,-0.15065548840832496
11,41,1728,256,32,2.2096774193548385,05ajb_confirmatory,2,3.3278530343753174,12,2.5808675877899017,3.7336902887010175,3.7483705958957207,-0.014680307194703257,0.14432259687270427
11,42,1728,256,32,2.2096774193548385,05ajb_confirmatory,1,2.6995224631664536,14,2.8761326852418305,3.655781190786306,3.9229488055137756,-0.2671676147274695,-0.17822654519795217
11,43,1728,256,32,2.2096774193548385,05ajb_confirmatory,1,3.2032475096661974,8,1.7970184682732062,2.79960557925105,2.7243811425548383,0.0752244366962116,-0.01607815764510122
11,44,1728,256,32,2.2096774193548385,05ajb_confirmatory,1,3.0541815756864423,11,2.3600009372298905,3.7785286793564796,3.5610839032985466,0.217444776057933,0.42127192835540556
11,45,1728,256,32,2.2096774193548385,05ajb_confirmatory,2,3.4812050743034395,4,1.467433731052303,3.2883279288247227,2.9593746549267435,0.32895327389797924,0.00982550322243873
11,46,1728,256,32,2.2096774193548385,05ajb_confirmatory,1,3.3562268403862934,9,2.0515734430509087,3.268266410189373,3.2702973520559575,-0.002030941866584701,0.32136977972787106
11,47,1728,256,32,2.2096774193548385,05ajb_confirmatory,4,2.868753262127755,13,3.2343114293251483,3.457828693484092,4.277608696840866,-0.8197800033567737,-0.3434020120045319
11,48,1728,256,32,2.2096774193548385,05ajb_confirmatory,2,3.1170179092469135,4,1.5822333193137645,2.696559567122996,2.9878215607794787,-0.29126199365648286,-0.050259481064155884
11,49,1728,256,32,2.2096774193548385,05ajb_confirmatory,6,3.073384574978358,14,1.8693818870541286,3.3144490250310463,2.356175050170649,0.9582739748603974,-0.024254813702704485
11,50,1728,256,32,2.2096774193548385,05ajb_confirmatory,2,3.64263057260287,2,1.5838416047565047,2.623950620047588,2.8471760407401296,-0.22322542069254148,
11,52,1728,256,32,2.2096774193548385,05ajb_confirmatory,1,3.181581098208614,8,2.1485488964448987,3.303830371685505,3.2795943275043444,0.024236044181160654,0.33215898102948316
11,53,1728,256,32,2.2096774193548385,05ajb_confirmatory,6,3.041717892088082,1,1.91339768012872,2.222222328186035,4.423337524561054,-2.201115196375019,
11,54,1728,256,32,2.2096774193548385,05ajb_confirmatory,3,3.4767072094511136,8,2.0462114768119997,2.602000106785338,2.6989619695453237,-0.09696186275998553,0.24013037510701607
11,55,1728,256,32,2.2096774193548385,05ajb_confirmatory,1,3.1663970135171478,16,3.5743238108196573,3.0619357262932434,4.180585613819344,-1.1186498875261002,-0.1887581079594063
11,56,1728,256,32,2.2096774193548385,05ajb_confirmatory,4,3.248624053252658,4,1.8173028595739724,2.434410545171987,2.9865217965194484,-0.5521112513474615,0.8956853809780398
11,57,1728,256,32,2.2096774193548385,05ajb_confirmatory,4,3.1599832238686547,9,2.6337338413270603,3.5913672716155776,3.501539608969934,0.08982766264564335,0.2898738069293899
11,58,1728,256,32,2.2096774193548385,05ajb_confirmatory,7,2.918314648812831,5,1.2726452881751167,2.9442115298593214,1.6864610488901655,1.257750480969156,-0.5836446590951156
11,59,1728,256,32,2.2096774193548385,05ajb_confirmatory,1,3.15870929203792,9,1.9576005588213634,3.5581694492273157,3.324428432804584,0.23374101642273182,0.25819663134683574
