target,feature_block,model,k_calibration,candidate_rmse,locked_B2_k16_rmse,pooled_delta_rmse_candidate_minus_locked_B2,pooled_lift_vs_locked_B2_rmse,subjects_with_pair,mean_delta_rmse_candidate_minus_locked_B2,median_delta_rmse_candidate_minus_locked_B2,ci95_low_mean_delta_candidate_minus_locked_B2,ci95_high_mean_delta_candidate_minus_locked_B2,wins_vs_locked_B2,losses_vs_locked_B2,ties_vs_locked_B2,win_margin_vs_locked_B2,subject_evidence_status,passes_sample_reduction_gate,reason
arousal,emg_existing_22,physio_similarity_knn64,16,1.9873733990690468,1.6576672767528169,0.32970612231622987,-0.32970612231622987,63,0.31734835106546644,0.2178631643224893,0.23526259495213586,0.41050004060432504,6,57,0,-51,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_entropy_complexity,physio_context_ridge1000,4,2.0146686161839376,1.6576672767528169,0.35700133943112067,-0.35700133943112067,63,0.34251720779761047,0.3002574165026939,0.25965877496541595,0.4326461332121199,13,50,0,-37,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_lagged_interaction_experimental,physio_context_ridge1000,8,2.017164689229216,1.6576672767528169,0.3594974124763992,-0.3594974124763992,63,0.34876155018428384,0.30575420344118687,0.2670387465631508,0.43781261728960513,6,57,0,-51,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_entropy_complexity,physio_context_ridge1000,8,2.017233448320671,1.6576672767528169,0.359566171567854,-0.359566171567854,63,0.3445595643904408,0.29071706108643824,0.26114619102949854,0.4346764426077435,12,51,0,-39,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_lagged_interaction_experimental,physio_context_ridge1000,4,2.017398136690684,1.6576672767528169,0.35973085993786724,-0.35973085993786724,63,0.3490409713880752,0.308623033687081,0.2685937617998895,0.43744534031184923,5,58,0,-53,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_lagged_interaction_experimental,physio_context_ridge1000,16,2.017566572999641,1.6576672767528169,0.35989929624682415,-0.35989929624682415,63,0.34934020076135736,0.31605911118780794,0.26928217189490466,0.43743568693656143,7,56,0,-49,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_entropy_complexity,physio_context_ridge1000,16,2.017899727798838,1.6576672767528169,0.3602324510460211,-0.3602324510460211,63,0.34668223533316295,0.2588006749044469,0.2644266633567792,0.4353924055381691,11,52,0,-41,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_entropy_complexity,physio_residual_ridge100,4,2.027476774437777,1.6576672767528169,0.3698094976849602,-0.3698094976849602,63,0.3490790460954069,0.20595520394902445,0.2523635265410297,0.4563422173692729,9,54,0,-45,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_entropy_complexity,physio_context_ridge100,4,2.030248374838696,1.6576672767528169,0.372581098085879,-0.372581098085879,63,0.35266627727957606,0.2306426047284269,0.2552781924426297,0.4628999200403664,7,56,0,-49,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_entropy_complexity,physio_residual_ridge100,8,2.031520476826292,1.6576672767528169,0.37385320007347533,-0.37385320007347533,63,0.35219980294703074,0.2020882019749699,0.2555357517441886,0.4600035873491962,9,54,0,-45,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
